80-Hg_n-tot
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
3.207940e+01 3.09663242e+01
3.228770e+01 3.75279995e+01
3.249590e+01 4.85740606e+01
3.260010e+01 5.71298930e+01
3.270420e+01 6.91381733e+01
3.280830e+01 8.66631123e+01
3.291250e+01 1.13506531e+02
3.301660e+01 1.57194815e+02
3.312070e+01 2.33856190e+02
3.317280e+01 2.94732028e+02
3.320460e+01 3.47182404e+02
3.322490e+01 3.80664980e+02
3.327690e+01 5.03858863e+02
3.332900e+01 6.79567367e+02
3.341450e+01 1.08938023e+03
3.350000e+01 1.37110256e+03
3.358550e+01 1.10938483e+03
3.367100e+01 7.04835564e+02
3.373480e+01 4.96257057e+02
3.379860e+01 3.60155444e+02
3.386240e+01 2.71138001e+02
3.392620e+01 2.11270231e+02
3.405370e+01 1.39735151e+02
3.418130e+01 1.00912517e+02
3.428500e+01 8.20683899e+01
3.430890e+01 7.77253631e+01
3.443640e+01 6.28311123e+01
3.469160e+01 4.55267446e+01
3.488420e+01 3.85123524e+01
3.494670e+01 3.62363161e+01
3.500000e+01 3.50732989e+01
3.520190e+01 3.06679283e+01
3.545700e+01 2.70598702e+01
3.571210e+01 2.45827094e+01
3.571350e+01 2.45742000e+01
3.622240e+01 2.14821879e+01
3.656370e+01 2.02735623e+01
3.673270e+01 1.96755014e+01
3.714200e+01 1.87511459e+01
3.724300e+01 1.85237120e+01
3.775330e+01 1.77414289e+01
3.857050e+01 1.69597783e+01
3.877380e+01 1.67680342e+01
3.928480e+01 1.64886176e+01
3.979440e+01 1.62218457e+01
3.992280e+01 1.61800742e+01
3.999900e+01 1.61554144e+01
4.035610e+01 1.60527796e+01
4.063720e+01 1.59853305e+01
4.071330e+01 1.59670711e+01
4.081490e+01 1.59516216e+01
4.107040e+01 1.59411296e+01
4.142750e+01 1.59907443e+01
4.178460e+01 1.61930625e+01
4.183550e+01 1.62593043e+01
4.196320e+01 1.64368826e+01
4.214180e+01 1.68795282e+01
4.232030e+01 1.77376506e+01
4.240960e+01 1.84850135e+01
4.249890e+01 1.96446337e+01
4.250000e+01 1.96681582e+01
4.258820e+01 2.15543955e+01
4.267740e+01 2.49461071e+01
4.276670e+01 3.15287720e+01
4.281140e+01 3.71119399e+01
4.285600e+01 4.51415962e+01
4.292800e+01 6.36310330e+01
4.300000e+01 7.64972228e+01
4.307200e+01 6.49655192e+01
4.314400e+01 4.67938634e+01
4.319760e+01 3.73769568e+01
4.325110e+01 3.11985247e+01
4.328190e+01 2.88649937e+01
4.330470e+01 2.71375990e+01
