14-Si_n-tot
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
4.973460e+03 2.58671558e+00
4.974130e+03 2.88759831e+00
4.974800e+03 3.45331084e+00
4.975140e+03 3.93651320e+00
4.975470e+03 4.66475356e+00
4.975810e+03 5.80457613e+00
4.976140e+03 7.58720395e+00
4.976570e+03 1.09706211e+01
4.977000e+03 1.32194289e+01
4.977430e+03 1.09635328e+01
4.977860e+03 7.58987866e+00
4.978210e+03 5.75718530e+00
4.978550e+03 4.60692426e+00
4.978900e+03 3.87942920e+00
4.979250e+03 3.40306328e+00
4.979940e+03 2.85003747e+00
4.980630e+03 2.55875564e+00
4.981320e+03 2.38854108e+00
4.982010e+03 2.28106010e+00
4.983400e+03 2.15865058e+00
4.984780e+03 2.09435251e+00
4.986160e+03 2.05655226e+00
4.987550e+03 2.03248318e+00
4.988930e+03 2.01623448e+00
4.991700e+03 1.99631215e+00
4.994470e+03 1.98503876e+00
4.997230e+03 1.97803984e+00
5.000000e+03 1.97339478e+00
5.004880e+03 1.96828857e+00
5.009770e+03 1.96526535e+00
5.014650e+03 1.96332102e+00
5.019530e+03 1.96199045e+00
5.029300e+03 1.96032145e+00
5.039060e+03 1.95933494e+00
5.048830e+03 1.95868692e+00
5.058590e+03 1.95822605e+00
5.078130e+03 1.95759880e+00
5.097660e+03 1.95716892e+00
5.117190e+03 1.95683519e+00
5.156250e+03 1.95630286e+00
5.195310e+03 1.95585308e+00
5.234380e+03 1.95544000e+00
5.312500e+03 1.95466228e+00
5.468750e+03 1.95317413e+00
5.625000e+03 1.95171258e+00
5.937500e+03 1.94881019e+00
6.250000e+03 1.94591615e+00
7.500000e+03 1.93435358e+00
1.000000e+04 1.91038584e+00
1.131910e+04 1.89694585e+00
1.263810e+04 1.88351669e+00
1.329760e+04 1.87681523e+00
1.362740e+04 1.87347478e+00
1.395720e+04 1.87015119e+00
1.428690e+04 1.86687217e+00
1.445180e+04 1.86527292e+00
1.461670e+04 1.86374207e+00
1.469910e+04 1.86302891e+00
1.478160e+04 1.86238269e+00
1.486400e+04 1.86186396e+00
1.494640e+04 1.86161088e+00
1.498770e+04 1.86168432e+00
1.500000e+04 1.86178459e+00
1.502890e+04 1.86199053e+00
1.507010e+04 1.86276667e+00
1.511130e+04 1.86454494e+00
1.513190e+04 1.86618601e+00
1.515250e+04 1.86878892e+00
1.517320e+04 1.87314385e+00
1.519380e+04 1.88106235e+00
1.520410e+04 1.88763560e+00
1.521440e+04 1.89745556e+00
1.522470e+04 1.91304837e+00
1.523500e+04 1.93983505e+00
1.524530e+04 1.99164759e+00
1.525040e+04 2.03768985e+00
1.525560e+04 2.11157535e+00
1.526080e+04 2.24074761e+00
1.526590e+04 2.49291768e+00
1.526850e+04 2.71738951e+00
1.527110e+04 3.06944794e+00
1.527360e+04 3.65110995e+00
1.527620e+04 4.61884298e+00
1.527910e+04 6.26633339e+00
1.528200e+04 7.36129365e+00
1.528490e+04 6.26815745e+00
1.528780e+04 4.62050465e+00
1.529010e+04 3.72948597e+00
1.529240e+04 3.16866141e+00
1.529470e+04 2.81158281e+00
1.529700e+04 2.57657657e+00
1.530160e+04 2.30237367e+00
1.530620e+04 2.15724954e+00
1.531080e+04 2.07202830e+00
1.531540e+04 2.01823356e+00
1.532460e+04 1.95677354e+00
1.533380e+04 1.92439050e+00
1.534300e+04 1.90531661e+00
1.535220e+04 1.89312686e+00
1.536140e+04 1.88485658e+00
1.537980e+04 1.87464124e+00
1.539830e+04 1.86877341e+00
1.541670e+04 1.86505804e+00
1.543510e+04 1.86252891e+00
1.547190e+04 1.85932638e+00
1.550870e+04 1.85736678e+00
1.554550e+04 1.85600826e+00
1.558230e+04 1.85497488e+00
1.565600e+04 1.85341113e+00
1.572960e+04 1.85218065e+00
1.580320e+04 1.85110899e+00
1.587680e+04 1.85012259e+00
1.602410e+04 1.84828035e+00
1.617130e+04 1.84652541e+00
1.646590e+04 1.84311687e+00
1.676040e+04 1.83976566e+00
1.705490e+04 1.83643599e+00
1.764390e+04 1.82980337e+00
1.882200e+04 1.81657215e+00
2.000000e+04 1.80335515e+00
2.397700e+04 1.75255663e+00
2.586980e+04 1.72838800e+00
2.750000e+04 1.70467996e+00
2.795400e+04 1.69807499e+00
2.880460e+04 1.68570434e+00
2.994250e+04 1.66781209e+00
3.027210e+04 1.66263235e+00
3.100580e+04 1.65059411e+00
3.137260e+04 1.64444128e+00
3.155610e+04 1.64134639e+00
3.164780e+04 1.63986351e+00
3.169360e+04 1.63940798e+00
3.171660e+04 1.64033297e+00
3.172800e+04 1.64511615e+00
3.173380e+04 1.66298734e+00
3.173660e+04 1.72165882e+00
3.173810e+04 1.87918451e+00
3.173880e+04 2.19316674e+00
3.173910e+04 2.60979328e+00
3.173950e+04 3.51660348e+00
3.174000e+04 5.39634786e+00
3.174050e+04 3.51667698e+00
3.174110e+04 2.33975455e+00
3.174160e+04 1.97443144e+00
3.174270e+04 1.76383069e+00
3.174500e+04 1.67707586e+00
3.174940e+04 1.64890050e+00
3.175830e+04 1.64072705e+00
3.177620e+04 1.63828733e+00
3.181180e+04 1.63711532e+00
3.188320e+04 1.63573960e+00
3.193100e+04 1.63489769e+00
3.202580e+04 1.63323057e+00
3.231110e+04 1.62823354e+00
3.288170e+04 1.61803659e+00
3.391950e+04 1.59872733e+00
3.402290e+04 1.59681031e+00
3.491380e+04 1.57870653e+00
3.500000e+04 1.57696243e+00
3.541090e+04 1.56864447e+00
3.590800e+04 1.55864150e+00
3.626700e+04 1.55148499e+00
3.630540e+04 1.55073058e+00
3.662600e+04 1.54275564e+00
3.698490e+04 1.53402435e+00
3.734390e+04 1.52570747e+00
3.752340e+04 1.52186785e+00
3.770290e+04 1.51844332e+00
3.788240e+04 1.51578712e+00
3.806190e+04 1.51472102e+00
3.815160e+04 1.51537525e+00
3.824130e+04 1.51753290e+00
3.833110e+04 1.52239827e+00
3.842080e+04 1.53266518e+00
3.851060e+04 1.55537759e+00
3.855550e+04 1.57716284e+00
3.860030e+04 1.61401619e+00
3.864520e+04 1.68228180e+00
3.866760e+04 1.73992333e+00
3.869010e+04 1.82719259e+00
3.871250e+04 1.96703667e+00
3.873490e+04 2.20679211e+00
3.875740e+04 2.65107806e+00
3.877980e+04 3.51458503e+00
3.879940e+04 4.74102600e+00
3.881900e+04 5.56313742e+00
3.883860e+04 4.75174863e+00
3.885820e+04 3.53026304e+00
3.888000e+04 2.68398051e+00
3.890170e+04 2.23800098e+00
3.892350e+04 1.99220895e+00
3.894530e+04 1.84644635e+00
3.896700e+04 1.75400629e+00
3.898880e+04 1.69209208e+00
3.903230e+04 1.61706517e+00
3.907580e+04 1.57500472e+00
3.911940e+04 1.54893585e+00
3.920640e+04 1.51915956e+00
3.929340e+04 1.50286482e+00
3.938050e+04 1.49249125e+00
3.946750e+04 1.48512378e+00
3.955460e+04 1.47943895e+00
3.972870e+04 1.47076011e+00
3.990280e+04 1.46391028e+00
4.007680e+04 1.45796300e+00
4.025090e+04 1.45250837e+00
4.059910e+04 1.44237682e+00
4.087030e+04 1.43489259e+00
4.094730e+04 1.43172128e+00
4.129550e+04 1.41763476e+00
4.164370e+04 1.40368786e+00
4.234000e+04 1.37601628e+00
4.303640e+04 1.34848836e+00
4.442910e+04 1.29362104e+00
4.543510e+04 1.25406274e+00
4.582180e+04 1.23020779e+00
4.721460e+04 1.14433114e+00
4.771760e+04 1.11332771e+00
4.885880e+04 1.01814601e+00
5.000000e+04 8.96417933e-01
5.133750e+04 7.01938782e-01
5.200630e+04 5.74879806e-01
5.267500e+04 4.24461698e-01
5.334380e+04 2.63521467e-01
5.351090e+04 2.28663320e-01
5.367810e+04 2.01258972e-01
5.376170e+04 1.92013289e-01
5.384530e+04 1.87015472e-01
5.392890e+04 1.87573814e-01
5.401250e+04 1.95392006e-01
5.409610e+04 2.12705534e-01
5.417970e+04 2.42459667e-01
5.426330e+04 2.88594081e-01
5.434690e+04 3.56390939e-01
5.443050e+04 4.53074808e-01
5.451410e+04 5.88552282e-01
5.459770e+04 7.76699234e-01
5.468130e+04 1.03716101e+00
5.476490e+04 1.39825283e+00
5.484840e+04 1.90120026e+00
5.493200e+04 2.60752703e+00
5.501560e+04 3.60960375e+00
5.509920e+04 5.04863304e+00
5.518280e+04 7.13890426e+00
5.526640e+04 1.01995736e+01
5.535000e+04 1.46671970e+01
5.551350e+04 2.88862695e+01
5.567700e+04 4.44222865e+01
5.575880e+04 4.62326892e+01
5.584050e+04 4.31662474e+01
5.600400e+04 3.18718271e+01
5.618720e+04 2.18889034e+01
5.625000e+04 1.98412519e+01
5.637050e+04 1.59122400e+01
5.655370e+04 1.23040482e+01
5.673690e+04 9.99601630e+00
5.692010e+04 8.43168907e+00
5.710340e+04 7.31853517e+00
5.746980e+04 5.86281515e+00
5.783630e+04 4.96720226e+00
5.820270e+04 4.36712724e+00
5.893560e+04 3.62040076e+00
5.966850e+04 3.17694962e+00
6.040140e+04 2.88364674e+00
6.186720e+04 2.51815485e+00
6.250000e+04 2.42255725e+00
6.333300e+04 2.29671913e+00
6.479880e+04 2.14538502e+00
6.626460e+04 2.03311658e+00
6.663110e+04 2.00915107e+00
6.699750e+04 1.98647672e+00
6.736400e+04 1.96535168e+00
6.754720e+04 1.95834898e+00
6.763880e+04 1.97052093e+00
6.766170e+04 1.98815590e+00
6.768460e+04 2.04094628e+00
6.769610e+04 2.11394635e+00
6.770750e+04 2.31022093e+00
6.771330e+04 2.56009731e+00
6.771900e+04 3.16719950e+00
6.772180e+04 3.85907400e+00
6.772470e+04 5.30141313e+00
6.772610e+04 6.67613483e+00
6.772760e+04 9.00738424e+00
6.772900e+04 1.32590301e+01
6.773040e+04 2.13622035e+01
6.773170e+04 3.31600149e+01
6.773300e+04 4.11720720e+01
6.773430e+04 3.34883279e+01
6.773560e+04 2.17472329e+01
6.773710e+04 1.33127935e+01
6.773860e+04 8.98811535e+00
6.774010e+04 6.65532487e+00
6.774160e+04 5.30012585e+00
6.774460e+04 3.87908836e+00
6.774760e+04 3.19937623e+00
6.775350e+04 2.59595004e+00
6.775950e+04 2.34476034e+00
6.777150e+04 2.14165381e+00
6.778350e+04 2.06243966e+00
6.780740e+04 2.00039364e+00
6.783130e+04 1.97610372e+00
6.792710e+04 1.94654342e+00
6.811860e+04 1.92914455e+00
6.850160e+04 1.90747015e+00
6.888460e+04 1.88848865e+00
6.926750e+04 1.87065075e+00
7.003350e+04 1.83733580e+00
7.041650e+04 1.82166511e+00
7.060800e+04 1.81406032e+00
7.070370e+04 1.81036861e+00
7.075160e+04 1.80876713e+00
7.077560e+04 1.80887016e+00
7.078750e+04 1.81235241e+00
7.079350e+04 1.82636839e+00
7.079650e+04 1.87282016e+00
7.079800e+04 2.00001365e+00
7.079870e+04 2.25601525e+00
7.079950e+04 3.37685645e+00
7.080000e+04 4.94835465e+00
7.080050e+04 3.37686535e+00
7.080150e+04 2.14154717e+00
7.080250e+04 1.93724524e+00
7.080440e+04 1.84841544e+00
7.080830e+04 1.81819272e+00
7.081610e+04 1.80910628e+00
7.083180e+04 1.80613170e+00
7.086300e+04 1.80430498e+00
7.092550e+04 1.80174895e+00
7.105040e+04 1.79695050e+00
7.130040e+04 1.78756563e+00
7.180020e+04 1.76939542e+00
7.279990e+04 1.73509308e+00
7.479920e+04 1.67295327e+00
7.500000e+04 1.66756883e+00
7.879800e+04 1.56551964e+00
8.279670e+04 1.47099560e+00
8.479600e+04 1.42639884e+00
8.579570e+04 1.40446473e+00
8.629560e+04 1.39346998e+00
8.654550e+04 1.38794496e+00
8.667040e+04 1.38580498e+00
8.673290e+04 1.38865905e+00
8.676420e+04 1.40766378e+00
8.677980e+04 1.48391716e+00
8.678760e+04 1.73595972e+00
8.679150e+04 2.38917377e+00
8.679340e+04 3.58527771e+00
8.679440e+04 5.04141395e+00
8.679540e+04 7.97876224e+00
8.679620e+04 1.19859158e+01
8.679700e+04 1.47511300e+01
8.679780e+04 1.21325498e+01
8.679860e+04 8.15627188e+00
8.679940e+04 5.57580748e+00
8.680020e+04 4.12041758e+00
8.680180e+04 2.77053971e+00
8.680510e+04 1.93030395e+00
8.681150e+04 1.56448981e+00
8.682440e+04 1.43854528e+00
8.685020e+04 1.39931323e+00
8.690180e+04 1.38657645e+00
8.700490e+04 1.38070956e+00
8.721120e+04 1.37502555e+00
8.762370e+04 1.36571416e+00
8.844880e+04 1.34792133e+00
9.009900e+04 1.31287058e+00
9.339930e+04 1.24337778e+00
1.000000e+05 1.10355292e+00
1.160430e+05 7.39184417e-01
1.196230e+05 6.52201106e-01
1.294340e+05 4.12500333e-01
1.295400e+05 4.09893948e-01
1.320850e+05 3.47373927e-01
1.360960e+05 2.59575090e-01
1.369250e+05 2.44978778e-01
1.392450e+05 2.04246360e-01
1.401060e+05 1.88907237e-01
1.421120e+05 1.63851484e-01
1.431140e+05 1.55026987e-01
1.441170e+05 1.49176655e-01
1.443100e+05 1.48708720e-01
1.451200e+05 1.46849000e-01
1.461220e+05 1.48471253e-01
1.471250e+05 1.54591510e-01
1.480030e+05 1.64456964e-01
1.481280e+05 1.65885024e-01
1.490560e+05 1.81955942e-01
1.491300e+05 1.83215156e-01
1.498490e+05 2.00263841e-01
1.501330e+05 2.07081129e-01
1.516950e+05 2.63399813e-01
1.521380e+05 2.79673484e-01
1.535410e+05 3.59245011e-01
1.539620e+05 3.83608613e-01
1.541440e+05 3.94089378e-01
1.544640e+05 4.20807868e-01
1.553880e+05 4.99533986e-01
1.561490e+05 5.67190391e-01
1.563110e+05 5.86982858e-01
1.567720e+05 6.45980673e-01
1.572340e+05 7.08654891e-01
1.576950e+05 7.77972823e-01
1.581540e+05 8.61106073e-01
1.581570e+05 8.61776614e-01
1.583880e+05 9.24016743e-01
1.586190e+05 9.99232448e-01
1.588490e+05 1.09557625e+00
1.588680e+05 1.10626822e+00
1.590800e+05 1.22549744e+00
1.593800e+05 1.45287679e+00
1.596800e+05 1.62853045e+00
1.599800e+05 1.56024554e+00
1.601590e+05 1.47685836e+00
1.602800e+05 1.43091300e+00
1.604680e+05 1.39259638e+00
1.606570e+05 1.38004062e+00
1.610330e+05 1.40249748e+00
1.614100e+05 1.45858177e+00
1.617870e+05 1.53008065e+00
1.621630e+05 1.60909624e+00
1.625400e+05 1.69260840e+00
1.632930e+05 1.86595099e+00
1.637730e+05 1.97917887e+00
1.640470e+05 2.04376650e+00
1.641700e+05 2.07308659e+00
1.648000e+05 2.32711527e+00
1.663070e+05 2.93749029e+00
1.678140e+05 3.54945680e+00
1.685330e+05 3.84175240e+00
1.686790e+05 3.93074099e+00
1.693200e+05 4.32164029e+00
1.699050e+05 4.67855422e+00
1.705180e+05 5.05274293e+00
1.711320e+05 5.42773390e+00
1.717450e+05 5.80236776e+00
1.720510e+05 5.98949929e+00
1.723340e+05 6.16265444e+00
1.723580e+05 6.17734262e+00
1.726650e+05 6.36533950e+00
1.728950e+05 6.50627960e+00
1.729710e+05 6.56205874e+00
1.732780e+05 6.78752120e+00
1.735840e+05 7.01241636e+00
1.741980e+05 7.46426805e+00
1.748110e+05 7.91637892e+00
1.753470e+05 8.31282783e+00
1.754240e+05 8.36978481e+00
1.760370e+05 8.82489550e+00
1.766500e+05 9.28216792e+00
1.772580e+05 9.73844353e+00
1.772640e+05 9.74225945e+00
1.783600e+05 1.04495498e+01
1.784900e+05 1.05334467e+01
1.797400e+05 1.13620889e+01
1.798670e+05 1.14490821e+01
1.809900e+05 1.22183504e+01
1.813740e+05 1.24863775e+01
1.816200e+05 1.26581028e+01
1.821270e+05 1.28477294e+01
1.828800e+05 1.31295844e+01
1.832570e+05 1.32710325e+01
1.834450e+05 1.33418379e+01
1.834900e+05 1.33588909e+01
1.836340e+05 1.34081220e+01
1.838220e+05 1.34734765e+01
1.839160e+05 1.35070964e+01
1.840100e+05 1.35421340e+01
1.841050e+05 1.35806157e+01
1.841520e+05 1.36021205e+01
1.841990e+05 1.36268293e+01
1.842460e+05 1.36575823e+01
1.842930e+05 1.37007214e+01
1.843170e+05 1.37314255e+01
1.843400e+05 1.37721369e+01
1.843640e+05 1.38295178e+01
1.843870e+05 1.39110113e+01
1.844220e+05 1.40838348e+01
1.844570e+05 1.42084890e+01
1.844920e+05 1.41211282e+01
1.845260e+05 1.39774788e+01
1.845630e+05 1.38836672e+01
1.846000e+05 1.38380643e+01
1.846370e+05 1.38176385e+01
1.846740e+05 1.38102403e+01
1.847100e+05 1.38095382e+01
1.847400e+05 1.38125915e+01
1.847470e+05 1.38130309e+01
1.848210e+05 1.38244182e+01
1.848950e+05 1.38404198e+01
1.849690e+05 1.38587142e+01
1.851160e+05 1.38982615e+01
1.852630e+05 1.39398136e+01
1.854110e+05 1.39825674e+01
1.857060e+05 1.40689834e+01
1.859830e+05 1.41507891e+01
1.859900e+05 1.41506549e+01
1.860010e+05 1.41501259e+01
1.862960e+05 1.41362440e+01
1.868860e+05 1.41088813e+01
1.874750e+05 1.40817977e+01
1.880650e+05 1.40547705e+01
1.884900e+05 1.40353503e+01
1.892450e+05 1.39991488e+01
1.903450e+05 1.39464972e+01
1.914080e+05 1.36826316e+01
1.916040e+05 1.36356734e+01
1.939640e+05 1.30703443e+01
1.943250e+05 1.29838749e+01
1.972430e+05 1.23039455e+01
1.990700e+05 1.18855634e+01
2.001610e+05 1.16197911e+01
2.030780e+05 1.09164454e+01
2.034020e+05 1.08388431e+01
2.052970e+05 1.03849664e+01
2.059960e+05 1.02472200e+01
2.115230e+05 9.16610340e+00
2.118310e+05 9.11863707e+00
2.176660e+05 8.22596244e+00
2.177500e+05 8.21316474e+00
2.222770e+05 7.67155226e+00
2.235020e+05 7.52495864e+00
2.239760e+05 7.46842235e+00
2.293370e+05 7.00930303e+00
2.307960e+05 6.88464531e+00
2.322540e+05 6.76024929e+00
2.329840e+05 6.69812506e+00
2.333480e+05 6.66725430e+00
2.337130e+05 6.63646722e+00
2.340780e+05 6.60608550e+00
2.342600e+05 6.59130176e+00
2.344430e+05 6.57700953e+00
2.346250e+05 6.56416386e+00
2.347160e+05 6.55891645e+00
2.348070e+05 6.55542653e+00
2.348980e+05 6.55580408e+00
2.349440e+05 6.55901198e+00
2.349900e+05 6.56635759e+00
2.350350e+05 6.58173387e+00
2.350810e+05 6.61407336e+00
2.351040e+05 6.64314401e+00
2.351260e+05 6.68834172e+00
2.351490e+05 6.76015309e+00
2.351720e+05 6.87384961e+00
2.352010e+05 7.08982011e+00
2.352300e+05 7.23236797e+00
2.352590e+05 7.08441625e+00
2.352880e+05 6.86459408e+00
2.353210e+05 6.70864843e+00
2.353540e+05 6.62654067e+00
2.353870e+05 6.58051624e+00
2.354200e+05 6.55230606e+00
2.354530e+05 6.53347701e+00
2.354860e+05 6.52004752e+00
2.355520e+05 6.50169122e+00
2.356170e+05 6.48912606e+00
2.356830e+05 6.47924401e+00
2.358150e+05 6.46331429e+00
2.359470e+05 6.44968565e+00
2.360780e+05 6.43714922e+00
2.363420e+05 6.41320964e+00
2.364290e+05 6.40556207e+00
2.366050e+05 6.39501732e+00
2.368680e+05 6.37956776e+00
2.373950e+05 6.34899674e+00
2.379220e+05 6.31864123e+00
2.384480e+05 6.28843410e+00
2.395020e+05 6.22803012e+00
2.416080e+05 6.10754551e+00
2.437150e+05 5.98714504e+00
2.488820e+05 5.69239106e+00
2.521420e+05 5.55989127e+00
2.600280e+05 5.24050393e+00
2.613350e+05 5.18746899e+00
2.689960e+05 4.95485848e+00
2.737880e+05 4.80986661e+00
2.858490e+05 4.52584657e+00
2.862420e+05 4.51660690e+00
2.924680e+05 4.39273246e+00
2.942760e+05 4.35927200e+00
2.955810e+05 4.33512585e+00
2.963830e+05 4.32076865e+00
2.971380e+05 4.30726724e+00
2.977790e+05 4.29644694e+00
2.979160e+05 4.29412335e+00
2.983050e+05 4.29041689e+00
2.984900e+05 4.29935891e+00
2.985000e+05 4.29984324e+00
2.985970e+05 4.34660103e+00
2.986220e+05 4.39313428e+00
2.986460e+05 4.51560441e+00
2.986580e+05 4.67001699e+00
2.986700e+05 5.03873737e+00
2.986760e+05 5.45754688e+00
2.986820e+05 6.33171666e+00
2.986860e+05 7.18280397e+00
2.986890e+05 8.58134592e+00
2.986920e+05 1.11141754e+01
2.986950e+05 1.60360233e+01
2.986970e+05 2.31400523e+01
2.987000e+05 2.77894734e+01
2.987030e+05 2.31534218e+01
2.987050e+05 1.60450565e+01
2.987080e+05 1.17201653e+01
2.987110e+05 9.25892567e+00
2.987160e+05 6.82971418e+00
2.987210e+05 5.79828980e+00
2.987260e+05 5.27955153e+00
2.987360e+05 4.80303061e+00
2.987460e+05 4.60071634e+00
2.987660e+05 4.43412458e+00
2.987870e+05 4.36918054e+00
2.988680e+05 4.30013216e+00
2.990310e+05 4.27888149e+00
2.993560e+05 4.26799466e+00
2.995430e+05 4.26383717e+00
3.000060e+05 4.25363563e+00
3.000700e+05 4.25186859e+00
3.005960e+05 4.23754248e+00
3.006570e+05 4.23594226e+00
3.009820e+05 4.21695401e+00
3.011230e+05 4.19060570e+00
3.011440e+05 4.18672170e+00
3.012260e+05 4.13147901e+00
3.012660e+05 4.02821796e+00
3.012870e+05 3.84542168e+00
3.012970e+05 3.55703370e+00
3.013020e+05 3.20109570e+00
3.013070e+05 2.72333112e+00
3.013090e+05 3.24602024e+00
3.013100e+05 4.74362334e+00
3.013130e+05 5.90681344e+00
