45-Rh_n-g
> 45-Rh-103:1.000000
5.091600e+01 8.04491000e-02
5.137390e+01 6.94168000e-02
5.160290e+01 6.60095000e-02
5.171740e+01 6.63832000e-02
5.183190e+01 7.70550000e-02
5.190000e+01 9.26255000e-02
5.196810e+01 7.49953000e-02
5.209540e+01 6.01688000e-02
5.222270e+01 5.63089000e-02
5.247730e+01 5.23311000e-02
5.298650e+01 4.70627000e-02
5.400500e+01 4.00807000e-02
5.604180e+01 3.26729000e-02
6.011550e+01 2.83156000e-02
6.215240e+01 2.96114000e-02
6.418920e+01 3.62690000e-02
6.520760e+01 4.62194000e-02
6.571680e+01 5.61757000e-02
6.622610e+01 7.41873000e-02
6.673530e+01 1.11840000e-01
6.698990e+01 1.48317000e-01
6.724450e+01 2.12658000e-01
6.749910e+01 3.42489000e-01
6.762640e+01 4.63674000e-01
6.775370e+01 6.68828000e-01
6.788100e+01 1.05693000e+00
6.794470e+01 1.39487000e+00
6.800830e+01 1.92571000e+00
6.807200e+01 2.82343000e+00
6.813560e+01 4.49714000e+00
6.816740e+01 5.91224000e+00
6.819930e+01 8.03306000e+00
6.823110e+01 1.13087000e+01
6.826290e+01 1.63835000e+01
6.830500e+01 2.61934000e+01
6.834700e+01 3.27271000e+01
6.838910e+01 2.61773000e+01
6.843110e+01 1.63634000e+01
6.846050e+01 1.16059000e+01
6.848990e+01 8.42943000e+00
6.851920e+01 6.30949000e+00
6.854860e+01 4.86169000e+00
6.860740e+01 3.10568000e+00
6.866610e+01 2.14077000e+00
6.872490e+01 1.56106000e+00
6.878360e+01 1.18805000e+00
6.890110e+01 7.55267000e-01
6.901860e+01 5.24297000e-01
6.913610e+01 3.87087000e-01
6.937110e+01 2.39383000e-01
6.960610e+01 1.65902000e-01
6.984110e+01 1.24176000e-01
7.031120e+01 8.10728000e-02
7.078120e+01 6.04598000e-02
7.125120e+01 4.90740000e-02
7.219120e+01 3.76890000e-02
7.407130e+01 2.99131000e-02
7.595130e+01 2.79320000e-02
7.971140e+01 2.95271000e-02
8.159150e+01 3.36241000e-02
8.253150e+01 4.18743000e-02
8.276650e+01 4.85436000e-02
8.300150e+01 6.46122000e-02
8.311900e+01 8.33707000e-02
8.323650e+01 1.24973000e-01
8.329530e+01 1.67723000e-01
8.335400e+01 2.47069000e-01
8.338340e+01 3.13894000e-01
8.341280e+01 4.13688000e-01
8.344210e+01 5.67156000e-01
8.347150e+01 8.03756000e-01
8.351080e+01 1.26540000e+00
8.355000e+01 1.57343000e+00
8.358930e+01 1.26618000e+00
8.362850e+01 8.04883000e-01
8.367540e+01 4.69020000e-01
8.372230e+01 3.00416000e-01
8.376910e+01 2.10920000e-01
8.381600e+01 1.59290000e-01
8.390980e+01 1.06186000e-01
8.400350e+01 8.12632000e-02
8.419110e+01 5.97680000e-02
8.437860e+01 5.12933000e-02
8.475360e+01 4.53689000e-02
8.512870e+01 4.40400000e-02
8.662880e+01 4.86728000e-02
8.812900e+01 6.02996000e-02
8.962910e+01 8.20886000e-02
9.112930e+01 1.28345000e-01
9.187930e+01 1.73962000e-01
9.262940e+01 2.56334000e-01
9.300440e+01 3.25158000e-01
9.337950e+01 4.29491000e-01
9.375450e+01 5.98879000e-01
9.412960e+01 9.01489000e-01
9.431710e+01 1.15134000e+00
9.450460e+01 1.52540000e+00
9.469210e+01 2.12201000e+00
9.487960e+01 3.15990000e+00
9.506720e+01 5.20909000e+00
9.516090e+01 7.07740000e+00
9.525470e+01 1.01598000e+01
9.534840e+01 1.57644000e+01
9.539530e+01 2.04468000e+01
