Nd-145(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2130.50
1.25000E-05 1907.34
1.50000E-05 1742.60
1.77828E-05 1601.82
2.00000E-05 1511.37
2.75000E-05 1291.36
3.16228E-05 1205.36
3.50000E-05 1146.56
4.25000E-05 1042.03
5.00000E-05 962.002
5.62341E-05 908.064
7.50000E-05 788.530
0.000100000 685.120
0.000125000 614.550
0.000150000 562.457
0.000177828 517.936
0.000200000 489.334
0.000275000 419.759
0.000316228 392.565
0.000350000 373.969
0.000425000 340.913
0.000500000 315.606
0.000562341 298.549
0.000750000 260.749
0.00100000 228.046
0.00125000 205.729
0.00150000 189.255
0.00177828 175.175
0.00200000 166.130
0.00275000 144.126
0.00316228 135.525
0.00350000 129.644
0.00425000 119.188
0.00500000 111.184
0.00562341 105.789
0.00750000 93.8307
0.0100000 83.4841
0.0125000 76.4218
0.0150000 71.2075
0.0177828 66.7500
0.0200000 63.8858
0.0253000 58.6347
0.0316228 54.1884
0.0376500 51.0385
0.0500000 46.4631
0.0562341 44.7478
0.0750000 40.9399
0.100000 37.6342
0.125000 35.3684
0.150000 33.6878
0.177828 32.2440
0.200000 31.3114
0.275000 29.0195
0.316228 28.1109
0.350000 27.4839
0.425000 26.3542
0.500000 25.4726
0.562341 24.8677
0.750000 23.4858
0.999999 22.2274
1.00000 22.2274
1.00000 22.2274
1.00001 22.2273
1.00001 22.2273
1.00001 22.2273
1.00003 22.2273
1.00005 22.2271
1.00011 22.2269
1.00021 22.2265
1.00042 22.2256
1.00083 22.2239
1.00165 22.2205
1.00331 22.2136
1.00661 22.1998
1.01322 22.1725
1.02644 22.1186
1.05288 22.0135
1.10577 21.8132
1.21153 21.4484
1.21153 21.4484
1.21154 21.4484
1.21155 21.4483
1.21156 21.4483
1.21159 21.4482
1.21166 21.4480
1.21178 21.4476
1.21203 21.4468
1.21253 21.4451
1.21353 21.4419
1.21554 21.4354
1.21954 21.4225
1.22755 21.3968
1.24357 21.3462
1.27560 21.2476
1.33967 21.0601
1.46780 20.7209
1.46780 20.7209
1.46781 20.7209
1.46782 20.7209
1.46783 20.7208
1.46786 20.7207
1.46793 20.7206
1.46805 20.7203
1.46831 20.7196
1.46881 20.7184
1.46981 20.7159
1.47183 20.7110
1.47585 20.7010
1.48390 20.6814
1.50000 20.6425
1.53479 20.5606
1.56957 20.4816
1.63914 20.3318
1.77828 20.0638
1.77828 20.0638
1.77829 20.0638
1.77830 20.0638
1.77831 20.0637
1.77834 20.0637
1.77839 20.0636
1.77850 20.0634
1.77872 20.0630
1.77915 20.0622
1.78001 20.0607
1.78175 20.0576
1.78521 20.0515
1.79214 20.0393
1.80600 20.0152
1.83371 19.9682
1.88914 19.8787
2.00000 19.7184
2.15443 19.5371
2.15443 19.5371
2.15444 19.5371
2.15444 19.5371
2.15446 19.5371
2.15448 19.5371
2.15454 19.5370
2.15464 19.5369
2.15485 19.5367
2.15526 19.5363
2.15610 19.5355
2.15776 19.5338
2.16109 19.5305
2.16774 19.5239
2.18105 19.5110
2.20767 19.4865
2.26091 19.4424
2.36739 19.3747
2.58035 19.3355
2.61016 19.3422
2.61016 19.3422
2.61017 19.3422
2.61017 19.3422
2.61018 19.3422
2.61020 19.3422
2.61023 19.3422
2.61030 19.3422
2.61043 19.3422
2.61070 19.3423
2.61124 19.3425
2.61231 19.3428
2.61446 19.3434
2.61876 19.3447
2.62737 19.3475
2.64457 19.3541
2.67898 19.3709
2.74780 19.4205
2.88543 19.5961
3.16070 20.4081
3.16228 20.4153
3.16228 20.4164
3.16229 20.4164
3.16229 20.4164
3.16230 20.4165
3.16232 20.4165
3.16236 20.4167
3.16245 20.4171
3.16261 20.4179
3.16294 20.4194
3.16359 20.4224
3.16489 20.4284
3.16751 20.4405
3.17273 20.4651
3.18319 20.5156
3.20409 20.6220
3.24590 20.8584
3.32951 21.4431
3.49674 23.2727
3.66396 26.7540
3.83119 34.2878
3.83119 34.2869
3.83120 34.2875
3.83121 34.2879
3.83122 34.2890
3.83125 34.2910
3.83131 34.2951
3.83143 34.3033
3.83167 34.3196
3.83215 34.3524
3.83311 34.4181
3.83502 34.5508
3.83885 34.8206
3.84651 35.3790
3.86183 36.5758
3.89247 39.3405
3.95374 46.9113
4.01502 58.9701
4.07630 79.8722
4.13757 120.868
4.16821 157.977
4.19885 218.738
4.22949 328.005
