Hg-202(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 263.783
1.25000E-05 237.473
1.50000E-05 218.052
2.00000E-05 190.791
2.75000E-05 164.851
3.50000E-05 147.780
4.25000E-05 135.456
5.00000E-05 126.022
6.25000E-05 114.256
7.50000E-05 105.570
0.000100000 93.3784
0.000125000 85.0584
0.000150000 78.9169
0.000200000 70.2961
0.000275000 62.0934
0.000350000 56.6950
0.000425000 52.7978
0.000500000 49.8143
0.000625000 46.0935
0.000750000 43.3469
0.00100000 39.4915
0.00125000 36.8605
0.00150000 34.9184
0.00200000 32.1922
0.00275000 29.5982
0.00350000 27.8911
0.00425000 26.6586
0.00500000 25.7151
0.00625000 24.5384
0.00750000 23.6698
0.0100000 22.4506
0.0125000 21.6185
0.0150000 21.0042
0.0200000 20.1420
0.0253000 19.5239
0.0314750 19.0111
0.0376500 18.6304
0.0500000 18.0929
0.0625000 17.7205
0.0750000 17.4456
0.100000 17.0595
0.125000 16.7958
0.150000 16.6010
0.200000 16.3274
0.275000 16.0665
0.350000 15.8943
0.500000 15.6739
0.750000 15.4649
1.00000 15.3386
1.50000 15.1855
2.00000 15.0910
2.75000 14.9968
3.50000 14.9309
5.00000 14.8387
7.50000 14.7360
10.0000 14.6606
15.0000 14.5436
20.0000 14.4479
27.5000 14.3240
35.0000 14.2141
50.0000 14.0197
75.0000 13.7443
100.000 13.5105
150.000 13.1280
200.000 12.8242
275.000 12.4652
350.000 12.1827
425.000 11.9500
500.000 11.7510
625.000 11.4663
750.000 11.2126
875.000 10.9664
1000.00 10.7051
1176.75 10.2490
1265.13 9.93817
1353.50 9.51418
1397.69 9.23040
1441.88 8.86902
1486.06 8.38799
1530.25 7.70934
1552.34 7.25142
1574.44 6.67216
1596.53 5.91713
1618.63 4.89920
1629.67 4.25199
1640.72 3.48796
1651.77 2.59991
1662.81 1.64224
1668.34 1.21617
1671.10 1.05488
1673.86 0.959672
1675.24 0.948654
1676.62 0.970859
1678.00 1.03511
1679.38 1.15267
1680.08 1.23586
1680.77 1.33796
1681.46 1.46175
1682.15 1.60969
1683.53 1.99225
1684.91 2.51741
1686.29 3.22885
1687.67 4.18427
1689.05 5.46314
1690.43 7.17609
1691.81 9.47989
1693.19 12.6012
