Rb-85(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
476.986 6.19109
477.389 5.74607
478.197 5.16232
479.004 4.79653
480.619 4.35660
482.234 4.09049
483.849 3.90184
487.080 3.62841
493.540 3.23582
500.000 2.95338
503.235 2.89057
506.470 2.95933
509.705 3.32447
512.940 4.41500
514.558 5.56441
516.175 7.54176
517.793 11.0950
519.410 17.9461
520.219 23.8129
521.028 32.7074
521.836 46.8675
522.645 70.9049
523.454 115.481
523.858 152.938
524.263 209.138
524.667 297.634
525.071 444.962
525.476 704.921
525.880 1177.56
526.290 1950.08
526.700 2521.82
527.110 2086.63
527.520 1349.23
527.990 807.368
528.460 520.252
528.931 361.139
529.401 266.105
529.871 205.325
530.341 164.237
531.281 113.835
532.221 85.1657
533.162 67.2190
535.042 46.6659
536.923 35.6399
538.803 28.9991
539.744 26.6738
540.684 24.9461
541.154 24.4354
541.389 24.3705
541.624 24.5693
541.859 25.3327
541.977 26.1610
542.094 27.5998
542.212 30.2372
542.329 35.5256
542.388 40.2624
542.447 47.7063
542.506 59.9242
542.564 80.1498
542.632 115.399
542.700 138.881
542.768 115.216
542.836 79.7823
542.885 62.0804
542.934 50.4175
542.983 42.7156
543.032 37.4985
543.130 31.1823
543.228 27.6919
543.326 25.5610
543.424 24.1537
543.621 22.4310
543.817 21.4106
544.013 20.7191
544.405 19.7880
545.190 18.6082
545.975 17.7541
547.545 16.4283
549.115 15.3822
552.254 13.7894
555.394 12.6240
561.672 11.0308
567.951 9.99282
574.230 9.26141
580.509 8.71698
583.649 8.49536
586.788 8.30689
588.358 8.23284
589.143 8.20719
589.928 8.19834
590.712 8.22899
591.105 8.27930
591.497 8.38450
591.890 8.61833
592.086 8.84541
592.282 9.23646
592.478 9.98340
592.576 10.6356
592.675 11.6597
592.773 13.3865
592.871 16.5855
592.920 19.2731
592.969 23.2637
593.018 29.3780
593.067 38.7274
593.134 57.2245
593.200 69.5368
593.267 57.2059
593.333 38.7364
593.393 27.7844
593.453 21.2939
593.513 17.3675
593.573 14.8884
593.692 12.1034
593.812 10.6822
593.932 9.86548
594.051 9.35532
594.290 8.77634
594.530 8.47069
594.769 8.28762
595.248 8.08296
595.726 7.97102
596.205 7.89822
597.162 7.80215
598.119 7.73394
599.077 7.67759
600.991 7.58079
604.820 7.41319
608.649 7.26091
616.307 6.97635
623.965 6.69454
631.623 6.38345
635.451 6.20208
639.280 5.99273
641.195 5.87611
643.109 5.75440
645.024 5.63949
646.938 5.57314
647.896 5.59642
648.853 5.71227
649.810 6.02660
650.767 6.80399
651.246 7.56526
651.724 8.82249
652.203 11.0004
652.682 15.0486
653.160 23.4121
653.400 31.1458
653.639 43.8275
653.878 66.2530
653.998 84.2658
654.117 110.145
654.237 148.719
654.357 208.329
654.476 303.802
654.596 457.816
654.748 757.138
654.900 980.646
655.052 815.026
655.204 530.280
655.327 368.929
655.450 265.717
655.573 199.336
655.696 155.194
655.942 102.870
656.187 74.5433
656.433 57.5348
656.679 46.5184
657.171 33.5142
657.662 26.3516
658.154 21.9441
658.646 19.0115
659.137 16.9461
660.121 14.2671
661.104 12.6317
662.087 11.5422
663.071 10.7697
665.037 9.75353
667.004 9.11776
668.971 8.68267
670.937 8.36548
674.871 7.93094
678.804 7.64330
682.737 7.43532
686.670 7.27541
694.537 7.03978
702.404 6.86858
718.137 6.62278
733.870 6.44303
749.603 6.29799
765.336 6.17452
773.203 6.12069
775.170 6.10951
777.136 6.10246
778.119 6.10413
779.103 6.11964
779.594 6.14503
779.840 6.17045
780.086 6.21528
780.332 6.30367
780.455 6.38326
780.578 6.51228
780.701 6.74009
780.824 7.19355
780.885 7.60420
780.946 8.26218
781.008 9.37523
781.069 11.2926
781.135 14.4282
781.200 16.5121
781.265 14.4166
781.331 11.2839
781.400 9.19572
781.469 8.06211
781.537 7.42413
781.606 7.04116
781.675 6.79596
781.744 6.63093
781.882 6.43076
782.020 6.31893
782.157 6.25037
782.433 6.17393
782.708 6.13422
782.984 6.11068
783.535 6.08458
784.637 6.06126
785.738 6.04942
787.942 6.03575
790.146 6.02991
792.350 6.03687
793.452 6.05146
794.554 6.08403
795.105 6.11381
795.656 6.16088
796.207 6.23958
796.758 6.38281
797.033 6.50197
797.309 6.68075
797.584 6.96571
797.859 7.45907
798.135 8.42381
798.273 9.29315
798.410 10.7065
798.548 13.2237
798.617 15.2804
798.686 18.3030
798.755 22.9772
798.824 30.5980
798.893 43.7995
798.961 67.2448
799.031 104.070
799.100 128.585
799.169 104.044
799.239 67.2843
799.288 49.2477
799.337 37.2876
799.386 29.3362
799.435 23.9207
799.533 17.3697
799.631 13.7852
799.729 11.6339
799.827 10.2525
800.023 8.65060
800.219 7.79535
800.415 7.28711
800.611 6.96057
800.807 6.73858
801.199 6.46425
801.591 6.30721
801.984 6.20856
802.376 6.14222
803.160 6.06038
803.944 6.01268
804.728 5.98154
805.513 5.95940
807.081 5.92908
808.649 5.90802
811.786 5.87721
814.923 5.85257
818.060 5.83043
824.334 5.78932
836.882 5.71134
849.429 5.63459
874.524 5.47765
899.619 5.30744
924.715 5.10994
949.810 4.85786
962.357 4.69234
974.905 4.47501
981.179 4.33209
987.453 4.14796
990.589 4.03103
993.726 3.88792
996.863 3.70586
998.432 3.59509
1000.00 3.47068
1000.85 3.40093
1001.70 3.33707
1002.55 3.29764
1003.40 3.33567
1003.82 3.42761
1004.24 3.62617
1004.67 4.03871
1005.09 4.91397
1005.52 6.94744
1005.73 8.97639
1005.94 12.5127
1006.05 15.2995
1006.15 19.2374
1006.26 24.9899
1006.37 33.7395
1006.47 47.7154
1006.58 71.3705
1006.68 113.945
1006.74 147.541
1006.79 193.253
1006.90 322.483
1007.00 421.716
1007.11 353.677
1007.21 232.241
1007.29 164.159
1007.38 119.915
1007.46 91.1003
1007.54 71.7451
1007.71 48.5574
1007.87 35.8573
1008.04 28.1804
1008.21 23.1910
1008.54 17.3569
1008.87 14.3266
1009.20 13.0354
1009.37 13.1780
1009.53 14.4737
1009.62 16.0789
1009.70 19.1043
1009.78 25.0976
1009.86 37.2048
1009.93 54.0708
1010.00 65.0524
1010.07 53.4996
1010.14 36.5842
1010.22 24.5277
1010.29 18.2778
1010.37 14.8028
1010.45 12.7071
1010.60 10.4058
1010.75 9.20301
1010.91 8.46147
1011.06 7.95721
1011.37 7.29063
1011.99 6.52399
1012.60 6.05690
1013.84 5.46966
1015.07 5.09389
1017.54 4.60586
1020.00 4.27070
1022.47 4.00099
1024.94 3.76790
