Sr-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6.55818
1.25000E-05 6.47853
1.50000E-05 6.41973
2.00000E-05 6.33720
2.75000E-05 6.25867
3.50000E-05 6.20699
4.25000E-05 6.16968
5.00000E-05 6.14111
6.25000E-05 6.10549
7.50000E-05 6.07920
0.000100000 6.04229
0.000125000 6.01710
0.000150000 5.99851
0.000200000 5.97241
0.000275000 5.94757
0.000350000 5.93123
0.000425000 5.91943
0.000500000 5.91040
0.000625000 5.89914
0.000750000 5.89082
0.00100000 5.87915
0.00125000 5.87118
0.00150000 5.86530
0.00200000 5.85705
0.00275000 5.84920
0.00350000 5.84403
0.00425000 5.84030
0.00500000 5.83744
0.00625000 5.83388
0.00750000 5.83125
0.0100000 5.82756
0.0125000 5.82504
0.0150000 5.82318
0.0200000 5.82057
0.0253000 5.81870
0.0314750 5.81715
0.0376500 5.81600
0.0500000 5.81437
0.0625000 5.81324
0.0750000 5.81241
0.100000 5.81125
0.125000 5.81045
0.150000 5.80986
0.200000 5.80904
0.275000 5.80825
0.350000 5.80773
0.500000 5.80707
0.750000 5.80646
1.00000 5.80609
1.50000 5.80565
2.00000 5.80539
2.75000 5.80514
3.50000 5.80498
5.00000 5.80477
7.50000 5.80457
10.0000 5.80445
15.0000 5.80432
20.0000 5.80423
27.5000 5.80416
35.0000 5.80410
50.0000 5.80404
75.0000 5.80398
100.000 5.80394
150.000 5.80390
200.000 5.80387
275.000 5.80384
350.000 5.80383
500.000 5.80381
750.000 5.80379
1000.00 5.80378
1500.00 5.80376
2000.00 5.80375
2750.00 5.80375
3500.00 5.80374
5000.00 5.80373
6000.00 5.80373
6000.00 8.70357
7000.00 8.62367
8000.00 8.56713
10000.0 8.49783
12500.0 8.45847
15000.0 8.44742
17000.0 8.45032
20000.0 8.46630
25000.0 8.50954
30000.0 8.56203
35000.0 8.61720
40000.0 8.67232
50000.0 8.77770
60000.0 8.87347
70000.0 8.95910
80000.0 9.03530
99999.9 9.16219
100000 9.14696
150000 9.28768
200000 9.28005
250000 9.18441
300000 9.03721
500000 8.26842
700000 7.50345
800000 7.15744
841031 7.02328
900000 6.83832
1.00000E+06 6.54508
1.06250E+06 6.36087
1.12500E+06 6.19615
1.18750E+06 6.04803
1.25000E+06 5.91417
1.31250E+06 5.77156
1.37500E+06 5.64020
1.43750E+06 5.51877
1.50000E+06 5.40615
1.54362E+06 5.32710
1.58724E+06 5.25180
1.63086E+06 5.17998
1.67448E+06 5.11139
1.75000E+06 4.99696
1.83177E+06 4.87995
1.91353E+06 4.77332
1.91353E+06 4.77331
2.00000E+06 4.66714
2.05794E+06 4.59841
2.11588E+06 4.53433
2.17382E+06 4.47449
2.23176E+06 4.41855
2.23176E+06 4.41855
2.30515E+06 4.34791
2.37854E+06 4.28272
2.45193E+06 4.22243
2.52532E+06 4.16660
2.55626E+06 4.14360
2.55626E+06 4.14360
2.61173E+06 4.10461
2.66720E+06 4.06750
2.72266E+06 4.03215
2.77813E+06 3.99846
2.83360E+06 3.96632
2.88907E+06 3.93563
2.94453E+06 3.90633
3.00000E+06 3.87831
3.06250E+06 3.86030
3.12500E+06 3.84292
3.18750E+06 3.82614
3.25000E+06 3.80992
3.31250E+06 3.79424
3.37500E+06 3.77908
3.43750E+06 3.76440
3.50000E+06 3.75019
3.56250E+06 3.73643
3.62500E+06 3.72308
3.68750E+06 3.71014
3.75000E+06 3.69758
3.81250E+06 3.68539
3.87500E+06 3.67355
3.93750E+06 3.66206
4.00000E+06 3.65088
4.12500E+06 3.66843
4.25000E+06 3.68548
4.37500E+06 3.70208
4.50000E+06 3.71822
4.62500E+06 3.73396
