Sr-88(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 0.436868
1.25000E-05 0.390747
1.50000E-05 0.356701
2.00000E-05 0.308912
2.75000E-05 0.263441
3.50000E-05 0.233516
4.25000E-05 0.211912
5.00000E-05 0.195373
6.25000E-05 0.174747
7.50000E-05 0.159522
0.000100000 0.138150
0.000125000 0.123565
0.000150000 0.112799
0.000200000 0.0976867
0.000275000 0.0833075
0.000350000 0.0738442
0.000425000 0.0670125
0.000500000 0.0617825
0.000625000 0.0552599
0.000750000 0.0504452
0.00100000 0.0436868
0.00125000 0.0390747
0.00150000 0.0356701
0.00200000 0.0308912
0.00275000 0.0263441
0.00350000 0.0233516
0.00425000 0.0211912
0.00500000 0.0195373
0.00625000 0.0174747
0.00750000 0.0159522
0.0100000 0.0138150
0.0125000 0.0123565
0.0150000 0.0112799
0.0200000 0.00976868
0.0253000 0.00868542
0.0314750 0.00778697
0.0376500 0.00711982
0.0500000 0.00617827
0.0625000 0.00552602
0.0750000 0.00504454
0.100000 0.00436871
0.125000 0.00390750
0.150000 0.00356705
0.200000 0.00308917
0.275000 0.00263446
0.350000 0.00233521
0.500000 0.00195380
0.750000 0.00159530
1.00000 0.00138159
1.50000 0.00112810
2.00000 0.000976997
2.75000 0.000833228
3.50000 0.000738614
5.00000 0.000618031
7.50000 0.000504704
10.0000 0.000437160
15.0000 0.000357059
20.0000 0.000309325
27.5000 0.000263926
35.0000 0.000234063
50.0000 0.000196029
75.0000 0.000160328
100.000 0.000139084
150.000 0.000113951
200.000 9.90266E-05
275.000 8.48960E-05
350.000 7.56561E-05
500.000 6.39965E-05
750.000 5.32598E-05
1000.00 4.70623E-05
1500.00 4.01377E-05
2000.00 3.64813E-05
2750.00 3.37827E-05
3500.00 3.29556E-05
5000.00 3.50788E-05
6250.00 4.09192E-05
7500.00 5.29434E-05
8750.00 7.87582E-05
9375.00 0.000103699
10000.0 0.000147659
10599.8 0.000232656
10899.7 0.000312610
11199.7 0.000452070
11499.6 0.000736410
11649.5 0.00101073
11799.5 0.00150040
11874.5 0.00190753
11949.4 0.00252416
12024.4 0.00352736
12099.4 0.00533098
12136.9 0.00683275
12174.4 0.00910184
12211.9 0.0127689
12249.4 0.0192751
12268.1 0.0246094
12286.8 0.0325325
12305.6 0.0450460
12324.3 0.0664720
12343.1 0.107773
12352.5 0.144420
12361.8 0.203156
12371.2 0.305428
12380.6 0.504963
12385.3 0.682084
12389.9 0.959995
12394.6 1.41784
12399.3 2.18136
12404.7 3.51045
12410.0 4.40185
12415.4 3.50492
12420.7 2.17778
12424.5 1.52748
12428.4 1.10058
12432.2 0.818746
12436.0 0.627787
12443.6 0.397899
12451.3 0.272752
12458.9 0.197848
12466.6 0.149867
12481.9 0.0943469
12497.1 0.0647722
12512.4 0.0472293
12527.7 0.0359921
12543.0 0.0283746
12573.6 0.0190037
12604.2 0.0136913
12634.7 0.0103975
12665.3 0.00822103
12726.4 0.00563000
12787.6 0.00422918
12848.7 0.00342205
12879.3 0.00318880
12894.6 0.00324662
12902.2 0.00386965
12906.1 0.00644680
12908.0 0.0161072
12908.9 0.0499840
12909.4 0.153934
12909.7 0.406047
12909.8 0.834191
12909.9 2.16660
12910.0 4.31494
12910.1 2.16662
12910.2 0.895493
12910.3 0.476493
12910.5 0.195392
12910.9 0.0649924
12911.7 0.0208256
12913.4 0.00768815
12916.6 0.00412008
12923.1 0.00315673
12936.1 0.00285372
12962.2 0.00268312
13014.2 0.00252384
13118.3 0.00248261
13222.5 0.00275518
13274.5 0.00303062
13300.5 0.00321307
13326.6 0.00343151
13339.6 0.00355628
13352.6 0.00369251
13365.6 0.00384148
13378.6 0.00400422
13391.6 0.00418239
13404.7 0.00437733
13417.7 0.00459102
13430.7 0.00482559
13456.7 0.00536772
13482.7 0.00602808
13508.8 0.00683979
