Nd-144(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 180.778
1.25000E-05 161.693
1.50000E-05 147.605
2.00000E-05 127.829
2.50000E-05 114.334
3.12500E-05 102.263
3.75000E-05 93.3533
5.00000E-05 80.8463
6.25000E-05 72.3112
7.50000E-05 66.0108
0.000100000 57.1670
0.000125000 51.1317
0.000150000 46.6766
0.000200000 40.4232
0.000275000 34.4730
0.000350000 30.5570
0.000425000 27.7300
0.000500000 25.5658
0.000625000 22.8668
0.000750000 20.8744
0.00100000 18.0777
0.00125000 16.1692
0.00150000 14.7604
0.00200000 12.7829
0.00275000 10.9012
0.00350000 9.66288
0.00425000 8.76890
0.00500000 8.08451
0.00625000 7.23098
0.00750000 6.60092
0.0100000 5.71652
0.0125000 5.11297
0.0150000 4.66745
0.0200000 4.04206
0.0253000 3.59377
0.0314750 3.22196
0.0376500 2.94586
0.0500000 2.55618
0.0625000 2.28623
0.0750000 2.08695
0.100000 1.80721
0.125000 1.61629
0.150000 1.47535
0.200000 1.27749
0.275000 1.08919
0.350000 0.965239
0.500000 0.807199
0.750000 0.658564
1.00000 0.569893
1.50000 0.464604
2.00000 0.401751
2.75000 0.341850
3.50000 0.302353
5.00000 0.251889
7.50000 0.204280
10.0000 0.175795
15.0000 0.141914
20.0000 0.121720
27.5000 0.102630
35.0000 0.0902759
50.0000 0.0751844
62.5000 0.0677089
68.7500 0.0650101
75.0000 0.0628251
81.2500 0.0610669
84.3750 0.0603271
85.9375 0.0599892
87.5000 0.0596715
89.0625 0.0593735
90.6250 0.0590945
92.1875 0.0588340
93.7500 0.0585914
95.3125 0.0583663
96.8750 0.0581581
98.4375 0.0579665
100.000 0.0577910
103.125 0.0574870
106.250 0.0572434
112.500 0.0569292
118.750 0.0568340
125.000 0.0569485
137.500 0.0577881
150.000 0.0594450
162.500 0.0619681
175.000 0.0654601
187.500 0.0700875
200.000 0.0760998
220.703 0.0901581
241.405 0.111977
262.108 0.147394
282.810 0.209498
293.161 0.259550
303.513 0.332651
313.864 0.445397
324.215 0.632477
334.566 0.976353
339.742 1.26737
344.918 1.71175
350.093 2.43438
355.269 3.70620
360.444 6.16233
363.032 8.24210
365.620 11.2262
369.710 17.8256
373.800 21.9699
377.890 17.3267
381.980 10.7464
385.668 6.89416
389.356 4.62160
393.044 3.25468
396.733 2.39303
404.109 1.43031
411.485 0.942054
418.861 0.663994
426.238 0.491757
440.990 0.299475
455.743 0.200844
470.495 0.143924
485.248 0.108275
500.000 0.0845740
529.169 0.0564553
558.337 0.0411116
587.506 0.0322196
616.675 0.0272550
645.843 0.0256620
675.012 0.0299980
689.596 0.0388760
696.888 0.0483432
704.180 0.0660623
707.827 0.0811782
711.473 0.104417
715.119 0.142727
718.765 0.212470
720.588 0.271067
722.411 0.360245
724.234 0.505661
725.145 0.615490
725.601 0.684782
726.057 0.766773
726.513 0.864813
726.741 0.921183
726.969 0.983349
727.196 1.05214
727.424 1.12852
727.652 1.21365
727.880 1.30888
728.336 1.53689
728.792 1.83080
729.247 2.21878
729.703 2.74537
730.159 3.48552
730.615 4.57133
731.070 6.25625
731.526 9.07133
731.754 11.2444
731.982 14.2917
732.210 18.7421
732.438 25.5768
732.665 36.7806
732.893 56.6989
733.007 72.7527
733.121 95.7196
733.235 129.206
733.349 177.849
733.525 284.261
733.700 355.018
733.876 283.773
734.052 177.183
734.182 123.231
734.312 88.0622
734.442 65.0780
734.572 49.6462
734.831 31.2444
735.091 21.3020
735.351 15.3935
735.610 11.6218
736.130 7.27764
736.649 4.97481
737.169 3.61286
737.688 2.74206
738.208 2.15220
739.246 1.42777
740.285 1.01706
741.324 0.762041
742.363 0.592996
744.441 0.389887
746.518 0.277209
748.596 0.208283
750.674 0.163075
754.829 0.109336
758.985 0.0798209
763.140 0.0618777
767.296 0.0501531
775.606 0.0362499
783.917 0.0286156
800.539 0.0209222
833.783 0.0153702
867.026 0.0136154
933.513 0.0135994
966.757 0.0146854
983.378 0.0155168
991.689 0.0160161
1000.00 0.0165776
1008.16 0.0171954
1012.24 0.0175312
1016.32 0.0178859
1020.40 0.0182610
1024.48 0.0186574
1028.56 0.0190765
1032.64 0.0195194
1036.72 0.0199878
1040.80 0.0204833
1048.96 0.0215626
1057.12 0.0227735
1065.28 0.0241353
1081.59 0.0274104
1097.91 0.0316419
1114.23 0.0372153
1130.55 0.0447371
1146.87 0.0552060
1163.19 0.0703540
1179.51 0.0933997
1195.83 0.130858
1203.99 0.159005
1212.14 0.197505
1220.30 0.251988
1228.46 0.332269
1236.62 0.456530
1244.78 0.660157
1252.94 1.01431
1261.10 1.64833
1269.20 2.62615
1277.30 3.25695
1285.40 2.58337
1293.50 1.60730
