Zn-70(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
13123.8 3.33318
13144.4 3.27197
13164.9 3.23348
13185.5 3.20598
13206.0 3.18447
13247.1 3.15102
13288.2 3.12540
13308.8 3.11715
13329.3 3.12239
13339.6 3.14611
13344.8 3.17581
13349.9 3.23634
13352.5 3.29082
13355.0 3.37725
13357.6 3.52361
13360.2 3.79556
13361.5 4.02716
13362.7 4.37745
13364.0 4.95077
13365.3 5.95794
13366.6 7.99982
13367.2 9.87285
13367.9 12.9882
13368.5 18.7000
13368.8 23.5009
13369.2 30.7606
13369.5 42.3778
13369.8 62.2976
13370.1 99.1985
13370.4 170.999
13370.7 273.424
13371.0 343.085
13371.3 276.699
13371.6 175.103
13371.8 109.571
13372.1 72.7142
13372.4 51.3917
13372.7 38.6889
13373.0 30.0808
13373.2 24.4036
13373.8 17.2401
13374.3 13.1158
13374.9 10.6126
13376.0 7.79595
13377.1 6.31950
13378.2 5.46199
13379.3 4.91420
13380.4 4.54223
13382.6 4.08063
13384.8 3.81575
13387.0 3.64871
13389.2 3.53641
13393.6 3.39692
13398.1 3.31625
13406.9 3.22883
13415.7 3.18301
13424.5 3.15479
13442.2 3.12089
13459.8 3.10005
13477.5 3.08491
13512.8 3.06237
13548.1 3.04462
13583.4 3.02921
13654.0 3.00197
13724.6 2.97732
13795.2 2.95416
13936.4 2.91034
14218.8 2.82673
14501.2 2.74262
15066.0 2.55564
15630.8 2.31574
15913.2 2.16116
16195.6 1.97031
16478.0 1.72641
16760.4 1.40242
16901.6 1.19771
17042.8 0.955880
17184.0 0.671747
17325.2 0.352140
17395.8 0.193862
17466.4 0.0633243
17484.1 0.0403322
17501.7 0.0235590
17519.4 0.0147243
17537.0 0.0159968
17554.7 0.0301267
17572.3 0.0606225
17590.0 0.111990
17607.6 0.190061
17625.3 0.302443
17642.9 0.459154
17660.6 0.673522
17678.2 0.963470
17713.5 1.87701
17748.8 3.53386
17766.5 4.83137
17784.1 6.61713
17801.8 9.10595
17819.4 12.6255
17837.1 17.6821
17854.7 25.0576
17872.4 35.9271
17890.0 51.8873
17922.5 98.3319
17955.0 143.526
17987.5 132.683
18020.0 95.0080
18050.9 67.5113
18081.9 50.0241
18112.8 38.8863
18143.8 31.4947
18174.7 26.3593
18205.6 22.6453
18267.5 17.7232
18329.4 14.6667
18391.3 12.6141
18515.0 10.0660
18638.8 8.56547
18762.5 7.58419
18886.3 6.89465
19010.0 6.38412
19257.5 5.67814
19505.0 5.21095
19752.5 4.87614
20000.0 4.62170
20343.2 4.35093
20686.4 4.13883
21372.8 3.80203
21716.0 3.64584
21887.6 3.56255
22059.2 3.46988
22230.8 3.35905
22316.6 3.29177
22402.4 3.21162
22488.2 3.11199
22531.1 3.05175
22574.0 2.98243
22616.9 2.90325
22659.8 2.82143
22681.2 2.79582
22692.0 2.80024
22702.7 2.83628
22708.1 2.87929
22713.4 2.95502
22718.8 3.09159
22724.1 3.35362
22726.8 3.57755
22729.5 3.91830
22732.2 4.46721
22734.9 5.42477
22737.5 7.30213
22738.9 8.99101
22740.2 11.7287
22741.6 16.5651
22742.9 26.1966
22743.6 34.9106
22744.2 48.8899
22744.9 72.4729
22745.6 113.088
22746.3 180.057
22747.0 224.085
22747.7 179.911
22748.4 113.377
22749.2 68.2159
22750.0 44.1015
22750.8 30.6906
22751.6 22.7742
22752.3 17.6620
22753.1 14.2352
22754.7 10.1118
22756.2 7.79998
22757.8 6.39318
22760.9 4.82268
22764.0 4.01047
22767.1 3.53178
22770.2 3.22216
22773.3 3.00718
22779.5 2.72739
22785.8 2.54844
22792.0 2.41756
22798.2 2.31170
22810.6 2.13293
22823.1 1.96701
22847.9 1.60460
22872.8 1.13280
22885.3 0.834267
22897.7 0.494163
22910.1 0.166018
22916.3 0.0798359
22919.5 0.0940648
22922.6 0.179561
22925.7 0.382875
22928.8 0.782916
22930.3 1.09818
22931.9 1.52052
22935.0 2.85818
22938.1 5.31098
22939.7 7.26011
22941.2 9.94585
22942.8 13.7348
22944.3 19.0613
22945.9 26.6281
22947.4 37.3174
22950.7 73.2278
22954.0 110.202
22955.7 113.140
22957.3 104.491
22960.6 76.4341
22962.7 61.1972
22964.8 49.7864
22969.0 35.1102
22973.3 26.7130
22977.5 21.5185
22981.7 18.0733
22985.9 15.6570
22994.4 12.5390
23002.8 10.6430
23011.2 9.38184
23028.1 7.82343
23045.0 6.90495
23061.9 6.30280
23078.8 5.87815
23095.7 5.56277
23129.4 5.12541
23163.2 4.83607
23196.9 4.62975
23230.7 4.47460
23298.2 4.25519
23365.8 4.10565
23500.8 3.90993
23635.9 3.78242
23770.9 3.68873
24041.0 3.55182
24311.1 3.44825
