Gd-160(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 70.9256
1.25000E-05 63.4378
1.50000E-05 57.9105
2.00000E-05 50.1520
2.75000E-05 42.7697
3.50000E-05 37.9113
4.25000E-05 34.4040
5.00000E-05 31.7189
6.25000E-05 28.3702
7.50000E-05 25.8984
0.000100000 22.4286
0.000125000 20.0608
0.000150000 18.3129
0.000200000 15.8594
0.000275000 13.5250
0.000350000 11.9886
0.000425000 10.8795
0.000500000 10.0304
0.000625000 8.97143
0.000750000 8.18975
0.00100000 7.09252
0.00125000 6.34374
0.00150000 5.79101
0.00200000 5.01515
0.00275000 4.27692
0.00350000 3.79107
0.00425000 3.44033
0.00500000 3.17181
0.00625000 2.83694
0.00750000 2.58974
0.0100000 2.24276
0.0125000 2.00596
0.0150000 1.83116
0.0200000 1.58579
0.0253000 1.40991
0.0314750 1.26402
0.0376500 1.15569
0.0500000 1.00280
0.0625000 0.896877
0.0750000 0.818684
0.100000 0.708916
0.125000 0.633998
0.150000 0.578689
0.200000 0.501039
0.275000 0.427134
0.350000 0.378478
0.500000 0.316431
0.750000 0.258056
1.00000 0.223217
1.50000 0.181823
2.00000 0.157091
2.75000 0.133494
3.50000 0.117913
5.00000 0.0979648
7.50000 0.0790717
10.0000 0.0677063
15.0000 0.0540731
20.0000 0.0458389
27.5000 0.0379128
35.0000 0.0326496
50.0000 0.0259252
75.0000 0.0197566
100.000 0.0164382
125.000 0.0147746
150.000 0.0147709
162.500 0.0158329
175.000 0.0184951
187.500 0.0252435
193.750 0.0326533
200.000 0.0473570
202.739 0.0587557
205.479 0.0762745
208.218 0.105213
210.958 0.158175
212.327 0.202961
213.697 0.271608
215.067 0.384695
216.436 0.590956
217.121 0.764802
217.806 1.03033
218.491 1.46573
219.176 2.25401
219.518 2.91362
219.861 3.91343
220.203 5.53550
220.545 8.42752
220.717 10.8089
220.802 12.3974
220.845 13.3263
220.888 14.3636
220.931 15.5268
220.973 16.8371
221.016 18.3204
221.038 19.1365
221.059 20.0084
221.102 21.9404
221.145 24.1657
221.187 26.7466
221.230 29.7629
221.273 33.3176
221.316 37.5463
221.359 42.6297
221.401 48.8130
221.444 56.4351
221.487 65.9749
221.530 78.1258
221.573 93.9204
221.615 114.947
221.658 143.738
221.701 184.516
221.744 244.665
221.787 337.825
221.829 490.603
221.872 756.495
221.915 1233.19
221.958 1972.92
222.000 2465.97
222.043 1972.64
222.085 1232.79
222.134 708.863
222.183 439.018
222.231 293.037
222.280 207.821
222.329 154.286
222.378 118.779
222.475 76.3800
222.573 53.0724
222.670 38.9759
222.865 23.5249
223.061 15.7113
223.256 11.2260
223.451 8.41749
223.646 6.54401
224.036 4.27904
224.426 3.01464
224.816 2.23800
225.207 1.72727
225.987 1.11842
226.767 0.783410
227.548 0.579639
228.328 0.446602
229.889 0.289235
231.449 0.203302
233.010 0.151325
234.571 0.117527
237.692 0.0777255
240.814 0.0560920
243.935 0.0430507
247.056 0.0345923
253.299 0.0246603
259.542 0.0192820
272.028 0.0139775
284.513 0.0115908
296.999 0.0103878
321.970 0.00956123
346.942 0.00994774
371.913 0.0116066
396.884 0.0159142
409.370 0.0211105
415.613 0.0283023
417.174 0.0333286
418.734 0.0457741
419.515 0.0620152
419.905 0.0778614
420.295 0.106364
420.685 0.166204
420.880 0.224728
421.075 0.329274
421.173 0.415625
421.270 0.544722
421.368 0.750700
421.466 1.10819
421.563 1.81308
421.612 2.45415
421.661 3.50588
421.709 5.41200
421.734 6.99628
421.758 9.35678
421.783 13.1001
421.807 19.4160
421.831 30.8602
421.856 52.3660
421.878 83.7993
421.900 104.769
421.922 83.8036
421.944 52.3714
421.970 30.2402
421.995 18.7900
422.020 12.5744
422.046 8.93173
422.071 6.64508
422.096 5.12646
422.147 3.30921
422.197 2.31014
422.248 1.70479
422.349 1.04118
422.450 0.705342
422.552 0.512473
422.653 0.391679
422.754 0.311162
422.956 0.213733
423.159 0.159420
423.563 0.104253
423.968 0.0783642
424.373 0.0643144
425.182 0.0506592
426.801 0.0421746
428.420 0.0408526
431.658 0.0444000
434.896 0.0528567
438.133 0.0688943
439.752 0.0831548
441.371 0.107267
442.990 0.155608
443.799 0.202127
444.609 0.285386
445.014 0.354859
445.418 0.460363
445.823 0.632538
446.228 0.943125
446.430 1.20239
446.632 1.59462
446.835 2.23011
447.037 3.35996
447.138 4.28873
447.240 5.67238
447.341 7.86377
447.442 11.6312
447.492 14.6277
447.518 16.5796
447.543 18.9488
447.568 21.8619
447.581 23.5826
447.594 25.4972
447.606 27.6709
447.619 30.1115
447.644 36.0843
447.670 43.9945
447.695 54.7568
447.720 69.8749
447.745 91.9362
447.771 125.616
447.796 179.759
447.821 271.422
447.834 339.855
447.847 429.284
447.873 687.517
447.900 859.743
447.913 809.554
447.927 688.096
447.954 430.520
447.984 250.584
448.014 156.511
448.044 105.063
448.074 74.7605
448.104 55.6728
448.134 42.9648
448.194 27.7208
448.254 19.3206
448.314 14.2231
448.433 8.63055
448.553 5.79371
448.673 4.16340
448.793 3.14182
448.913 2.46052
449.153 1.63584
449.393 1.17574
449.633 0.893352
449.873 0.707897
450.353 0.487693
450.833 0.367619
451.793 0.249726
452.752 0.198096
453.712 0.173349
455.631 0.158039
459.470 0.183455
463.309 0.263188
465.229 0.334933
467.148 0.446265
469.068 0.630157
470.987 0.964298
471.947 1.24421
472.427 1.43301
472.907 1.66879
473.147 1.80942
473.387 1.96867
473.627 2.15009
473.866 2.35796
474.106 2.59780
474.346 2.87627
474.586 3.20226
474.826 3.58722
475.066 4.04648
475.306 4.59993
475.546 5.27580
475.786 6.11219
476.026 7.16512
476.266 8.51489
476.506 10.2849
476.746 12.6689
476.986 15.9874
477.226 20.7924
477.465 28.1183
477.705 40.0628
477.945 61.4102
478.065 78.9240
478.185 104.790
478.305 145.001
478.425 211.156
478.545 327.067
478.665 536.339
478.783 858.434
478.900 1074.92
479.018 861.442
479.135 538.590
479.217 382.583
479.298 278.232
479.380 208.400
479.461 160.593
479.624 102.499
479.787 70.5103
479.950 51.2674
480.113 38.8708
480.439 24.4735
480.765 16.7805
481.091 12.2081
481.417 9.27417
481.743 7.28157
482.395 4.82775
483.047 3.43299
483.699 2.56546
484.351 1.98958
485.655 1.29678
486.959 0.911979
488.264 0.676416
489.568 0.521872
492.176 0.338147
494.784 0.237306
497.392 0.176085
500.000 0.136163
504.485 0.0939322
508.969 0.0691925
517.939 0.0429077
526.908 0.0300492
535.877 0.0229384
544.847 0.0188326
553.816 0.0169520
558.301 0.0173169
562.785 0.0205451
565.028 0.0259122
566.149 0.0315000
567.270 0.0418995
568.391 0.0644059
568.952 0.0869324
569.512 0.128048
569.793 0.162689
570.073 0.215546
570.353 0.302018
570.633 0.458010
570.774 0.588010
570.914 0.784115
571.054 1.10056
571.194 1.65920
571.264 2.11521
571.334 2.78968
571.404 3.84734
571.474 5.63860
571.544 9.04097
571.579 12.0076
571.614 16.6783
571.650 24.6326
571.685 39.5081
571.702 52.1494
571.720 71.1980
571.737 100.800
571.755 147.022
571.777 235.440
571.800 294.043
571.823 235.034
571.846 147.033
571.862 102.726
571.879 73.6762
571.895 54.5983
571.912 41.7961
571.945 26.4050
571.978 18.0483
572.011 13.0673
572.044 9.87893
572.110 6.19835
572.177 4.24105
572.243 3.08360
572.309 2.34268
572.375 1.84032
572.508 1.22242
572.640 0.872001
572.773 0.654229
572.905 0.509740
573.170 0.335939
573.435 0.239449
573.700 0.180350
573.964 0.141571
574.494 0.0954144
575.024 0.0700392
576.083 0.0444981
577.143 0.0325061
578.202 0.0259061
580.321 0.0192090
584.559 0.0141713
588.797 0.0122097
605.748 0.00975214
639.650 0.00889953
673.552 0.00962509
690.504 0.0111035
694.741 0.0121597
698.979 0.0147934
701.098 0.0182610
703.217 0.0278660
704.276 0.0410618
704.806 0.0541754
705.336 0.0780309
705.866 0.128646
706.130 0.178584
706.395 0.268492
706.528 0.343342
706.660 0.456112
706.793 0.637623
706.925 0.957467
706.991 1.21818
707.057 1.60234
707.124 2.20267
707.190 3.21633
707.256 5.12557
707.289 6.78029
707.322 9.36652
707.355 13.7082
707.388 21.7114
707.405 28.4220
707.422 38.3075
707.438 53.4431
707.455 76.3667
707.477 122.101
707.500 152.559
707.523 121.890
707.546 76.2035
707.568 47.6002
707.590 31.2873
707.612 21.7481
707.634 15.8572
707.656 12.0187
707.678 9.39858
707.721 6.18069
707.765 4.35816
707.809 3.23607
707.897 1.98316
707.985 1.33897
708.073 0.965227
708.161 0.729467
708.249 0.571331
708.425 0.378985
708.601 0.271067
708.776 0.204509
708.952 0.160595
709.304 0.108081
709.655 0.0790989
710.359 0.0498814
711.062 0.0362020
711.765 0.0287343
713.172 0.0213125
715.985 0.0161266
718.798 0.0144787
730.050 0.0140296
741.303 0.0171298
744.116 0.0197241
746.929 0.0265479
748.335 0.0357375
749.039 0.0448288
749.742 0.0613553
750.445 0.0965031
750.797 0.131302
751.148 0.194292
751.324 0.247002
751.500 0.326858
751.676 0.456357
751.852 0.687064
751.940 0.876871
752.027 1.15993
752.115 1.60884
752.203 2.38301
752.291 3.89000
752.335 5.24466
752.379 7.43686
752.423 11.3312
752.445 14.5017
752.467 19.1272
752.489 26.2635
752.511 37.8431
752.533 57.6968
752.555 92.3967
752.577 147.778
752.600 184.681
