53-I_n-tot
>  53-I-127:1.000000
3.747440e+01 7.78555000e+02
3.752390e+01 1.15116000e+03
3.757330e+01 1.84277000e+03
3.759810e+01 2.42404000e+03
3.762280e+01 3.28903000e+03
3.764760e+01 4.61180000e+03
3.767230e+01 6.63927000e+03
3.770620e+01 1.06982000e+04
3.774000e+01 1.34657000e+04
3.777390e+01 1.08488000e+04
3.780770e+01 6.83087000e+03
3.783700e+01 4.50398000e+03
3.786630e+01 3.08921000e+03
3.789560e+01 2.21784000e+03
3.792490e+01 1.65832000e+03
3.798360e+01 1.02050000e+03
3.804220e+01 6.89725000e+02
3.810080e+01 4.97864000e+02
3.815940e+01 3.77129000e+02
3.827660e+01 2.39627000e+02
3.839390e+01 1.67200000e+02
3.851110e+01 1.24346000e+02
3.862840e+01 9.68382000e+01
3.874560e+01 7.80935000e+01
3.898010e+01 5.48191000e+01
3.921450e+01 4.13840000e+01
3.944900e+01 3.28791000e+01
3.968350e+01 2.71273000e+01
4.015240e+01 2.00219000e+01
4.062130e+01 1.59404000e+01
4.155920e+01 1.17379000e+01
4.249710e+01 1.01896000e+01
4.296600e+01 1.02960000e+01
4.343500e+01 1.14293000e+01
4.390390e+01 1.49318000e+01
4.413840e+01 1.88287000e+01
4.437280e+01 2.61790000e+01
4.449010e+01 3.23976000e+01
4.460730e+01 4.17889000e+01
4.472450e+01 5.67751000e+01
4.484180e+01 8.25396000e+01
4.490040e+01 1.02853000e+02
4.495900e+01 1.31800000e+02
4.501760e+01 1.74831000e+02
4.507620e+01 2.42296000e+02
4.513490e+01 3.55620000e+02
4.516420e+01 4.42760000e+02
4.519350e+01 5.63590000e+02
4.522280e+01 7.36124000e+02
4.525210e+01 9.89700000e+02
4.528140e+01 1.37122000e+03
4.531070e+01 1.94509000e+03
4.535290e+01 3.14766000e+03
4.539500e+01 3.98202000e+03
4.543720e+01 3.22627000e+03
4.547930e+01 2.04369000e+03
4.551460e+01 1.37242000e+03
4.554990e+01 9.56242000e+02
4.558530e+01 6.95719000e+02
4.562060e+01 5.26295000e+02
4.569120e+01 3.30567000e+02
4.576190e+01 2.27630000e+02
4.583250e+01 1.67306000e+02
4.590310e+01 1.29030000e+02
4.604440e+01 8.50044000e+01
4.618570e+01 6.15349000e+01
4.632690e+01 4.74982000e+01
4.646820e+01 3.83967000e+01
4.660950e+01 3.21323000e+01
4.689200e+01 2.42446000e+01
4.717460e+01 1.95997000e+01
4.745710e+01 1.65982000e+01
4.773970e+01 1.45243000e+01
4.830470e+01 1.18772000e+01
4.886980e+01 1.02750000e+01
4.943490e+01 9.20570000e+00
5.000000e+01 8.44122000e+00
5.092500e+01 7.56864000e+00
5.185000e+01 6.97039000e+00
5.277500e+01 6.54779000e+00
5.323750e+01 6.43944000e+00
5.335310e+01 6.46121000e+00
5.346880e+01 6.56632000e+00
5.352660e+01 6.70069000e+00
5.358440e+01 6.97666000e+00
5.364220e+01 7.61012000e+00
5.367110e+01 8.23373000e+00
5.370000e+01 9.24622000e+00
