W-186(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1910.90
1.25000E-05 1709.16
1.50000E-05 1560.24
2.00000E-05 1351.21
2.75000E-05 1152.32
3.50000E-05 1021.42
4.25000E-05 926.926
5.00000E-05 854.584
6.25000E-05 764.364
7.50000E-05 697.766
0.000100000 604.285
0.000125000 540.490
0.000150000 493.399
0.000200000 427.298
0.000275000 364.404
0.000350000 323.012
0.000425000 293.130
0.000500000 270.255
0.000625000 241.726
0.000750000 220.668
0.00100000 191.108
0.00125000 170.937
0.00150000 156.047
0.00200000 135.147
0.00275000 115.262
0.00350000 102.177
0.00425000 92.7304
0.00500000 85.4994
0.00625000 76.4823
0.00750000 69.8269
0.0100000 60.4865
0.0125000 54.1139
0.0150000 49.4110
0.0200000 42.8120
0.0253000 38.0841
0.0314750 34.1650
0.0376500 31.2567
0.0500000 27.1558
0.0625000 24.3184
0.0750000 22.2267
0.100000 19.2959
0.125000 17.3010
0.150000 15.8322
0.200000 13.7786
0.275000 11.8376
0.350000 10.5711
0.500000 8.97779
0.750000 7.51802
1.00000 6.68035
1.50000 5.74991
2.00000 5.25894
2.75000 4.88540
3.50000 4.73957
5.00000 4.82642
6.25000 5.18172
7.50000 5.79665
8.75000 6.74497
10.0000 8.18541
11.0826 10.0667
12.1653 12.9460
13.2479 17.6404
13.7892 21.1793
14.3305 26.0460
14.8718 33.0021
15.4131 43.4493
15.9544 60.2081
16.4958 89.6670
16.7664 113.621
17.0371 148.979
17.3077 204.338
17.5784 298.194
17.8490 476.441
17.9844 632.475
18.1197 879.082
18.2550 1300.18
18.3904 2097.56
18.4580 2782.82
18.5257 3826.83
18.5933 5472.48
18.6610 8083.02
18.7455 12878.1
18.8300 16004.5
18.9145 12751.8
18.9990 7957.14
19.0616 5525.96
19.1241 3943.07
19.1867 2909.52
19.2493 2215.73
19.3744 1389.86
19.4995 944.509
19.6246 680.369
19.7498 511.982
20.0000 318.495
20.2344 221.215
20.4688 162.184
20.9375 97.4026
21.4063 64.6277
21.8750 45.8388
22.3438 34.1034
22.8125 26.3005
23.7500 16.9189
24.6875 11.7275
25.6250 8.56867
27.5000 5.10021
29.3750 3.35064
31.2500 2.35353
33.1250 1.73529
35.0000 1.32751
38.7500 0.842982
42.5000 0.579223
46.2500 0.421176
50.0000 0.319664
56.2500 0.216896
62.5000 0.157486
68.7500 0.120413
75.0000 0.0959641
87.5000 0.0673381
100.000 0.0527465
117.663 0.0441630
135.326 0.0458615
144.157 0.0525156
152.988 0.0702970
157.404 0.0924285
159.612 0.113295
161.820 0.150114
164.028 0.226757
165.132 0.302106
166.236 0.438701
166.788 0.553577
167.340 0.729035
167.892 1.01705
168.443 1.54012
168.719 1.97942
168.995 2.64824
169.271 3.73984
169.547 5.70261
169.685 7.33401
169.754 8.42897
169.789 9.07161
169.823 9.79124
169.858 10.6007
169.892 11.5154
169.927 12.5546
169.961 13.7419
169.996 15.1067
170.030 16.6862
170.065 18.5278
170.099 20.6928
170.134 23.2615
170.168 26.3403
170.237 34.6601
170.272 40.3797
170.306 47.6369
170.341 57.0324
170.375 69.4892
170.410 86.4823
170.444 110.480
170.479 145.856
170.513 200.904
170.548 292.739
170.582 460.430
170.600 599.675
170.617 802.972
170.634 1108.43
170.651 1567.41
170.676 2507.32
170.700 3136.94
170.724 2513.30
170.749 1571.92
170.777 894.350
170.806 549.803
170.835 365.195
170.863 258.262
170.892 191.275
170.920 147.001
170.977 94.3399
171.035 65.4611
171.092 48.0447
171.206 28.9944
171.320 19.3670
171.434 13.8509
171.549 10.3963
171.663 8.09499
171.892 5.31193
172.120 3.76005
172.349 2.80725
172.577 2.18081
173.034 1.43464
173.491 1.02468
173.948 0.775763
174.405 0.613694
175.319 0.423038
176.233 0.320203
178.062 0.220759
179.890 0.178643
181.718 0.159915
185.374 0.153457
189.031 0.169423
192.687 0.204322
196.344 0.265095
200.000 0.371700
202.152 0.474082
204.304 0.630990
204.842 0.683253
205.380 0.742628
205.649 0.775391
205.918 0.810459
206.187 0.848055
206.456 0.888425
206.725 0.931850
206.994 0.978645
207.263 1.02917
207.532 1.08382
207.801 1.14307
208.070 1.20745
208.608 1.35411
209.146 1.52989
209.684 1.74305
210.222 2.00499
210.760 2.33182
211.298 2.74689
211.836 3.28508
212.374 4.00038
212.912 4.97995
213.450 6.37193
213.988 8.44469
214.526 11.7258
215.064 17.3706
215.333 21.8554
215.602 28.3209
215.871 38.1163
216.140 53.9481
216.409 81.8618
216.544 104.457
216.678 137.423
216.813 187.740
216.947 268.614
217.082 405.501
217.216 642.394
217.358 1026.84
217.500 1283.76
217.642 1028.41
217.784 643.302
217.919 405.613
218.053 268.448
218.188 187.461
218.322 137.105
218.591 81.5321
218.860 53.6547
219.129 37.8528
219.398 28.0880
219.936 17.1817
220.475 11.5678
221.013 8.30931
221.551 6.25353
222.089 4.87494
223.165 3.19898
224.241 2.25871
225.317 1.67922
226.393 1.29727
228.546 0.841179
230.698 0.589836
232.850 0.436905
235.003 0.337065
239.307 0.219119
243.612 0.154955
247.916 0.116446
252.221 0.0917960
260.830 0.0645457
269.439 0.0556057
273.744 0.0602070
275.896 0.0679645
278.049 0.0843041
280.201 0.121919
281.277 0.160509
282.353 0.231857
282.891 0.292477
283.429 0.385585
283.967 0.539135
284.505 0.819115
284.775 1.05495
285.044 1.41460
285.313 2.00320
285.582 3.06483
285.716 3.95023
285.851 5.28655
285.985 7.44267
286.053 9.05634
286.086 10.0664
286.120 11.2556
286.153 12.6736
286.187 14.3721
286.204 15.3523
286.221 16.4363
286.237 17.6393
286.254 18.9791
286.288 22.1705
286.322 26.2243
286.355 31.4960
286.389 38.5237
286.422 48.2100
286.456 61.9763
286.490 82.5073
286.523 114.971
286.557 170.611
286.574 214.121
286.591 275.662
286.607 365.832
286.624 503.049
286.641 719.010
286.658 1061.23
286.679 1699.51
286.700 2122.36
286.721 1696.28
