60-Nd_n-tot
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
3.172730e+00 1.28601018e+01
3.183190e+00 1.28477772e+01
3.204090e+00 1.28236073e+01
3.245900e+00 1.27772088e+01
3.329510e+00 1.26937075e+01
3.496740e+00 1.25814395e+01
3.500000e+00 1.25819215e+01
3.663960e+00 1.26548182e+01
3.831190e+00 1.30651880e+01
3.831200e+00 1.30651876e+01
3.831210e+00 1.30652080e+01
3.831220e+00 1.30652864e+01
3.831250e+00 1.30654138e+01
3.831310e+00 1.30656769e+01
3.831430e+00 1.30662031e+01
3.831670e+00 1.30672472e+01
3.832150e+00 1.30693520e+01
3.833110e+00 1.30735698e+01
3.835020e+00 1.30821262e+01
3.838850e+00 1.30995911e+01
3.846510e+00 1.31360799e+01
3.861830e+00 1.32156919e+01
3.892470e+00 1.34056913e+01
3.953740e+00 1.39549962e+01
4.015020e+00 1.48764781e+01
4.076300e+00 1.65313348e+01
4.137570e+00 1.98525750e+01
4.168210e+00 2.28907471e+01
4.198850e+00 2.78903797e+01
4.229490e+00 3.69126148e+01
4.244810e+00 4.43799795e+01
4.250000e+00 4.81528652e+01
4.260120e+00 5.55122103e+01
4.275440e+00 7.29938803e+01
4.290760e+00 1.02214458e+02
4.306080e+00 1.54459554e+02
4.321400e+00 2.51449533e+02
4.335700e+00 3.94975898e+02
4.350000e+00 4.90037972e+02
4.364300e+00 3.93665263e+02
4.378600e+00 2.49808495e+02
4.395040e+00 1.47947769e+02
4.411470e+00 9.55506520e+01
4.427910e+00 6.72328307e+01
4.444350e+00 5.06879181e+01
4.460790e+00 4.03241100e+01
4.477220e+00 3.34507531e+01
4.510100e+00 2.52332105e+01
4.542970e+00 2.07131951e+01
4.575840e+00 1.79675500e+01
4.641590e+00 1.49346224e+01
4.641600e+00 1.49343177e+01
4.641610e+00 1.49338928e+01
4.641640e+00 1.49331903e+01
4.641680e+00 1.49317974e+01
4.641770e+00 1.49290181e+01
4.641940e+00 1.49234945e+01
4.642290e+00 1.49124621e+01
4.642990e+00 1.48905132e+01
4.644390e+00 1.48470717e+01
4.647190e+00 1.47619466e+01
4.652790e+00 1.45984222e+01
4.663990e+00 1.42961113e+01
4.686390e+00 1.37755391e+01
4.731190e+00 1.29830852e+01
4.820800e+00 1.19833462e+01
4.910400e+00 1.13809101e+01
5.000000e+00 1.09729283e+01
5.155850e+00 1.05221535e+01
5.311710e+00 1.02114144e+01
5.623410e+00 9.76157611e+00
5.623420e+00 9.76156993e+00
5.623430e+00 9.76155545e+00
5.623450e+00 9.76153480e+00
5.623480e+00 9.76149967e+00
5.623560e+00 9.76142535e+00
5.623700e+00 9.76127248e+00
5.623990e+00 9.76096885e+00
5.624570e+00 9.76036159e+00
5.625740e+00 9.75914918e+00
5.628060e+00 9.75672843e+00
5.632710e+00 9.75190564e+00
5.642000e+00 9.74231599e+00
5.660580e+00 9.72333572e+00
