Sr-87(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 802.759
1.25000E-05 718.739
1.50000E-05 656.718
2.00000E-05 569.660
2.75000E-05 486.825
3.50000E-05 432.309
4.25000E-05 392.954
5.00000E-05 362.825
6.25000E-05 325.251
7.50000E-05 297.515
0.000100000 258.583
0.000125000 232.014
0.000150000 212.403
0.000200000 184.874
0.000275000 158.682
0.000350000 141.445
0.000425000 129.001
0.000500000 119.476
0.000625000 107.596
0.000750000 98.8276
0.00100000 86.5203
0.00125000 78.1223
0.00150000 71.9238
0.00200000 63.2245
0.00275000 54.9494
0.00350000 49.5051
0.00425000 45.5761
0.00500000 42.5692
0.00625000 38.8208
0.00750000 36.0554
0.0100000 32.1767
0.0125000 29.5326
0.0150000 27.5830
0.0200000 24.8508
0.0253000 22.8969
0.0314750 21.2805
0.0376500 20.0836
0.0500000 18.4015
0.0625000 17.2432
0.0750000 16.3935
0.100000 15.2119
0.125000 14.4166
0.150000 13.8381
0.200000 13.0448
0.275000 12.3236
0.350000 11.8808
0.500000 11.3885
0.750000 11.0984
1.00000 11.1425
1.50000 11.9736
2.00000 14.3135
2.35680 18.2897
2.53520 22.0657
2.71360 28.5252
2.89200 40.9100
2.98120 51.8491
3.07040 69.3011
3.15960 99.5143
3.24880 158.005
3.29340 209.477
3.33800 289.836
3.38260 420.678
3.42720 636.576
3.45290 811.076
3.47860 1009.93
3.53000 1255.52
3.58140 1002.04
3.63280 626.724
3.67553 418.479
3.71825 290.200
3.76098 210.345
3.80370 158.704
3.88915 99.5372
3.97460 68.7956
4.06005 51.0074
4.14550 39.8615
4.31640 27.2697
4.48730 20.7260
4.65820 16.9087
4.82910 14.4936
5.00000 12.8709
5.31250 11.0208
5.62500 9.93501
5.93750 9.24280
6.25000 8.77334
6.87500 8.19208
7.50000 7.85513
8.12500 7.63868
8.75000 7.48859
10.0000 7.29298
11.2500 7.16830
12.5000 7.07897
15.0000 6.95282
17.5000 6.86193
20.0000 6.78947
23.8037 6.69994
27.6073 6.62655
31.4110 6.56633
32.3619 6.55496
33.3128 6.54973
33.7882 6.55490
34.0260 6.56333
34.2637 6.58112
34.5014 6.62142
34.6203 6.66146
34.7392 6.73222
34.8580 6.87301
34.9175 7.00143
34.9769 7.21265
35.0363 7.59401
35.0660 7.90999
35.0957 8.38123
35.1255 9.12244
35.1552 10.3631
35.1849 12.5869
35.2146 16.7264
35.2423 22.8664
35.2700 26.9659
35.2977 22.8785
35.3254 16.7410
35.3541 12.7050
35.3827 10.4896
35.4114 9.23171
35.4401 8.47099
35.4687 7.98252
35.4974 7.65283
35.5547 7.25151
35.6120 7.02695
35.6694 6.88915
35.7840 6.73585
35.8986 6.65676
36.0133 6.61039
36.2426 6.56022
36.4719 6.53424
36.7012 6.51835
37.1597 6.49921
38.0769 6.47779
38.9941 6.46291
42.6627 6.41673
50.0000 6.34153
62.5000 6.23969
75.0000 6.15962
100.000 6.03980
125.000 5.95245
150.000 5.88422
200.000 5.77948
260.621 5.67826
275.776 5.65363
290.932 5.62698
298.509 5.61139
302.298 5.60227
306.087 5.59144
309.876 5.57742
311.770 5.56823
313.664 5.55645
314.612 5.54911
315.559 5.54040
316.506 5.52995
317.453 5.51756
317.927 5.51088
318.400 5.50462
318.874 5.50068
319.348 5.50478
319.584 5.51478
319.821 5.53689
320.058 5.58403
320.295 5.68813
320.413 5.78553
320.532 5.94319
320.650 6.21317
320.768 6.71385
320.887 7.75945
320.946 8.74490
321.005 10.4013
321.064 13.4502
321.094 16.0043
321.124 19.8362
321.153 25.8788
321.183 35.9847
321.212 53.9696
321.242 87.0753
321.257 111.214
321.271 139.272
321.300 176.841
321.329 145.962
321.358 95.4403
321.380 68.7055
321.402 51.2547
321.424 39.7850
321.445 32.0338
321.489 22.7119
321.533 17.6050
321.576 14.5206
321.620 12.5263
321.707 10.1790
321.794 8.89500
321.882 8.11333
321.969 7.59863
322.056 7.23982
322.230 6.78119
322.405 6.50699
322.579 6.32774
322.754 6.20304
323.103 6.04302
323.452 5.94618
323.800 5.88196
324.149 5.83655
324.847 5.77689
325.545 5.73960
326.243 5.71407
326.941 5.69546
328.336 5.66992
329.732 5.65298
332.523 5.63114
335.315 5.61688
338.106 5.60622
343.688 5.59005
354.853 5.56586
366.019 5.54535
410.679 5.46779
455.340 5.37941
500.000 5.26240
521.472 5.18500
526.840 5.16120
532.207 5.13357
534.891 5.11698
536.233 5.10737
537.575 5.09635
538.917 5.08316
539.588 5.07552
540.259 5.06734
540.930 5.06030
541.266 5.05953
541.601 5.06541
541.937 5.09198
542.105 5.12690
542.272 5.19970
542.356 5.26542
542.440 5.36904
542.524 5.54140
542.608 5.84966
542.692 6.46474
542.734 7.01819
542.775 7.90692
542.817 9.44528
542.859 12.3592
542.880 14.8547
542.901 18.5985
542.922 24.4321
542.943 33.4723
542.972 51.9121
543.000 65.3002
543.029 54.6209
543.057 36.9432
543.083 26.1343
543.108 19.5962
543.134 15.5858
543.159 13.0137
543.211 10.0747
543.262 8.53832
543.313 7.63762
543.364 7.06377
543.467 6.39791
543.569 6.03756
543.671 5.81849
543.774 5.67412
543.876 5.57325
544.081 5.44333
544.286 5.36466
544.695 5.27564
545.105 5.22711
545.514 5.19658
546.333 5.15973
547.152 5.13748
547.972 5.12185
549.610 5.09965
552.886 5.06875
556.162 5.04339
569.268 4.94499
582.373 4.82589
595.479 4.66597
602.031 4.56167
608.584 4.43307
615.137 4.27037
621.689 4.05931
624.966 3.93042
628.242 3.78480
631.518 3.62839
634.795 3.49141
636.433 3.46168
638.071 3.50624
639.709 3.72295
641.347 4.36559
642.167 5.04331
642.986 6.21083
643.805 8.31294
644.624 12.3762
645.033 15.8650
645.443 21.1661
645.852 29.6327
646.262 44.0649
646.672 71.0024
646.876 93.7839
647.081 128.174
647.286 182.804
647.491 274.785
647.695 439.876
647.900 746.466
648.100 1233.82
648.300 1593.80
648.500 1317.81
648.700 851.680
648.912 528.684
649.124 349.405
649.336 246.606
649.548 183.748
649.760 142.910
649.971 114.986
650.395 80.3745
650.819 60.4968
651.243 47.9872
652.090 33.5951
652.938 25.8417
653.785 21.1270
654.633 18.0117
655.480 15.8249
657.175 12.9925
658.870 11.2578
660.565 10.0923
662.260 9.25348
665.650 8.10334
667.345 7.67151
669.040 7.28347
670.735 6.90475
671.583 6.70653
672.430 6.49641
672.854 6.38802
673.278 6.28287
673.701 6.19613
674.125 6.17469
674.337 6.22872
674.549 6.38151
674.761 6.73698
674.973 7.54748
675.185 9.53531
675.291 11.6065
675.396 15.3471
675.502 22.8260
675.555 29.5363
675.608 40.2035
675.661 58.3741
675.714 91.9010
675.741 119.785
675.767 160.677
675.794 221.916
675.820 313.179
675.860 517.793
675.900 670.916
675.940 558.518
675.980 364.754
676.010 261.110
676.040 192.686
676.070 147.339
676.100 116.473
676.160 78.9711
676.219 58.2361
676.279 45.5890
676.339 37.3276
676.459 27.4825
676.578 22.0095
676.698 18.6253
676.818 16.3634
676.937 14.7664
677.177 12.6864
677.416 11.4114
677.655 10.5583
677.895 9.95049
678.373 9.14466
678.852 8.63433
679.330 8.28013
679.809 8.01785
680.766 7.64970
681.724 7.39729
683.638 7.05807
685.553 6.82670
687.467 6.64948
691.296 6.37896
698.954 5.98351
706.613 5.64731
714.271 5.28406
718.100 5.06312
721.929 4.79167
723.843 4.62883
725.758 4.44373
727.672 4.23765
729.587 4.03090
730.544 3.95200
731.502 3.92992
732.459 4.04915
733.416 4.53281
733.895 5.08604
734.373 6.07173
734.852 7.88738
735.331 11.4491
735.570 14.5266
735.809 19.2102
736.049 26.6825
736.288 39.3681
736.527 62.8104
736.647 82.4126
736.766 111.622
736.886 157.217
737.006 232.021
737.125 361.525
737.245 590.893
737.373 981.484
737.500 1274.97
737.628 1061.89
737.755 691.582
737.897 423.286
738.039 277.754
738.180 195.625
738.322 145.978
738.464 113.913
738.606 92.0920
738.889 65.1013
739.173 49.6159
739.456 39.8534
740.023 28.5740
740.590 22.4441
741.157 18.6739
741.724 16.1457
742.291 14.3359
743.425 11.8849
743.992 10.9839
744.559 10.1969
745.126 9.47982
745.410 9.15051
745.693 8.87685
745.977 8.79502
746.118 8.97159
746.260 9.54640
746.402 11.1487
746.473 12.8730
746.544 15.9830
746.614 22.0583
746.650 27.3128
746.685 35.3449
746.721 48.2423
746.756 69.9704
746.774 86.4658
746.792 108.767
746.809 139.112
746.827 180.125
746.845 235.706
746.864 302.007
746.900 399.202
746.918 387.766
746.937 340.761
746.973 228.984
747.000 168.895
747.027 128.178
747.054 100.694
747.080 81.6951
747.134 58.2181
747.187 44.9489
747.241 36.7022
747.295 31.2274
747.402 24.5613
747.509 20.7589
747.616 18.3470
747.830 15.5058
748.044 13.9034
748.259 12.8771
748.687 11.6275
749.115 10.8789
749.544 10.3674
750.401 9.68825
751.258 9.23773
752.115 8.90520
753.828 8.43037
755.542 8.09678
757.256 7.84434
760.683 7.48103
764.111 7.22799
767.538 7.03938
774.393 6.77334
781.248 6.59157
788.103 6.45732
801.813 6.26804
815.523 6.13696
829.233 6.03780
856.653 5.89107
884.073 5.77994
911.493 5.68418
925.204 5.63693
938.914 5.58464
945.769 5.55236
949.196 5.53247
952.624 5.50769
956.051 5.47353
957.765 5.44980
959.479 5.41786
960.335 5.39701
961.192 5.37124
962.049 5.33847
962.906 5.29560
963.335 5.26919
963.763 5.23908
964.191 5.20623
964.620 5.17633
964.834 5.16851
965.048 5.17484
965.263 5.21427
965.477 5.33573
965.584 5.46482
965.691 5.68716
965.798 6.08555
965.905 6.84738
