Se-74(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2601.73
1.25000E-05 2327.06
1.50000E-05 2124.30
2.00000E-05 1839.70
2.75000E-05 1568.90
3.50000E-05 1390.68
4.25000E-05 1262.03
5.00000E-05 1163.53
6.25000E-05 1040.69
7.50000E-05 950.019
0.000100000 822.742
0.000125000 735.884
0.000150000 671.768
0.000200000 581.770
0.000275000 496.137
0.000350000 439.780
0.000425000 399.096
0.000500000 367.950
0.000625000 329.107
0.000750000 300.434
0.00100000 260.187
0.00125000 232.722
0.00150000 212.448
0.00200000 183.990
0.00275000 156.914
0.00350000 139.095
0.00425000 126.232
0.00500000 116.385
0.00625000 104.105
0.00750000 95.0414
0.0100000 82.3198
0.0125000 73.6393
0.0150000 67.2326
0.0200000 58.2415
0.0253000 51.7983
0.0314750 46.4562
0.0376500 42.4907
0.0500000 36.8971
0.0625000 33.0249
0.0750000 30.1687
0.100000 26.1636
0.125000 23.4344
0.150000 21.4227
0.200000 18.6051
0.275000 15.9340
0.350000 14.1844
0.500000 11.9699
0.750000 9.91591
1.00000 8.71443
1.50000 7.33191
2.00000 6.54856
2.75000 5.85902
3.50000 5.46030
5.00000 5.08513
7.50000 5.08246
10.0000 5.58628
12.5000 6.64606
15.0000 8.59973
17.5000 12.3685
18.1250 13.8373
18.7500 15.6455
19.0625 16.7101
19.2188 17.2900
19.2969 17.5930
19.3750 17.9050
19.4531 18.2266
19.4922 18.3911
19.5313 18.5580
19.5703 18.7276
19.6094 18.8998
19.6875 19.2522
19.7656 19.6158
19.8438 19.9911
20.0000 20.7786
20.2159 21.9552
20.4319 23.2463
20.6478 24.6671
20.8638 26.2358
21.2956 29.9061
21.7275 34.4816
22.1594 40.2884
22.5913 47.8139
23.0231 57.8152
23.4550 71.5174
23.8869 91.0138
24.3188 120.118
24.7506 166.401
25.1825 246.658
25.3984 310.991
25.6144 404.590
25.8303 548.230
26.0463 784.757
26.2622 1214.00
26.3702 1572.07
26.4781 2110.48
26.5861 2966.84
26.6941 4425.29
26.8020 7105.37
26.9100 12266.6
27.0050 19585.6
27.1000 24408.2
27.1950 19468.1
27.2900 12142.7
27.3787 7693.42
27.4674 5108.91
27.5561 3575.16
27.6449 2617.95
27.8223 1558.26
27.9997 1024.93
28.1771 722.326
28.3545 535.177
28.7094 326.229
29.0642 218.788
29.4191 156.528
29.7739 117.326
30.1288 91.0888
30.8384 59.3021
31.5481 41.5526
32.2578 30.6686
32.9675 23.5297
34.3869 15.0654
35.8063 10.4467
37.2256 7.66310
38.6450 5.86234
41.4838 3.76012
44.3225 2.63270
47.1613 1.96227
50.0000 1.53318
56.2500 1.00427
62.5000 0.738757
75.0000 0.495982
87.5000 0.396341
100.000 0.351512
125.000 0.334677
150.000 0.379762
175.000 0.502750
187.500 0.617396
200.000 0.800593
204.321 0.889303
208.641 0.996995
210.802 1.05966
211.882 1.09357
212.962 1.12937
213.502 1.14802
214.042 1.16719
214.582 1.18691
215.122 1.20719
215.662 1.22807
216.202 1.24955
217.283 1.29444
218.363 1.34208
219.443 1.39269
221.603 1.50384
223.764 1.63026
225.924 1.77488
228.084 1.94134
230.244 2.13428
234.565 2.62511
238.886 3.32033
243.206 4.35162
247.527 5.97690
249.687 7.16605
251.848 8.75827
254.008 10.9582
256.168 14.1175
258.329 18.8818
260.489 26.5369
262.649 39.9269
263.729 50.6833
264.809 66.2629
265.890 89.8225
266.970 127.210
268.050 189.412
269.130 294.671
270.315 469.496
271.500 583.220
272.685 464.400
273.870 289.726
274.753 200.733
275.637 142.969
276.520 105.351
277.403 80.1512
279.170 50.2158
280.937 34.1041
282.703 24.5606
284.470 18.4816
288.003 11.5021
291.537 7.81759
295.070 5.64596
298.603 4.26228
302.136 3.32811
309.203 2.18603
316.269 1.54241
323.336 1.14512
330.403 0.883197
344.536 0.570849
358.669 0.399251
372.802 0.295215
386.935 0.227531
415.201 0.147892
443.468 0.104699
471.734 0.0787329
500.000 0.0619514
562.500 0.0410259
625.000 0.0306967
687.500 0.0254485
750.000 0.0234993
812.500 0.0249914
875.000 0.0332882
906.250 0.0442264
921.875 0.0538398
937.500 0.0689072
953.125 0.0943003
968.750 0.141935
976.563 0.183160
984.375 0.247786
992.188 0.357573
1000.00 0.567056
1003.46 0.726265
1006.92 0.965351
1007.78 1.04403
1008.64 1.13276
1009.51 1.23358
1010.37 1.34852
1010.81 1.41232
1011.24 1.48064
1011.67 1.55408
1012.10 1.63317
1012.97 1.81076
1013.83 2.01920
1014.70 2.26636
1015.56 2.56171
1016.42 2.91947
1017.29 3.35739
1018.15 3.90257
1019.02 4.59117
1019.88 5.47898
1020.75 6.65016
1021.61 8.24013
1022.47 10.4659
1023.34 13.7186
1024.20 18.7069
1025.07 26.8835
1025.93 41.3853
1026.36 53.0522
1026.80 69.7401
1027.23 94.0504
1027.66 129.349
1028.33 207.279
1029.00 259.242
1029.67 206.953
1030.34 129.032
1031.03 77.9832
1031.73 50.0678
1032.42 34.2396
1033.11 24.6773
1033.81 18.5370
1034.50 14.4017
1035.89 9.37451
1037.27 6.56677
1038.66 4.84985
1041.43 2.95028
1044.20 1.98060
1046.98 1.42108
1049.75 1.06931
1052.52 0.834130
1058.07 0.549030
1063.61 0.389587
1069.16 0.291552
1074.70 0.227047
1085.79 0.150201
1096.88 0.108006
1107.97 0.0824453
1119.06 0.0658633
1141.24 0.0465656
1163.42 0.0364945
1207.79 0.0281722
1252.15 0.0283424
1274.33 0.0318149
1296.51 0.0396076
1318.69 0.0574946
1329.78 0.0756218
1340.87 0.108788
1346.42 0.136746
1351.96 0.179409
1357.51 0.249246
1363.05 0.375419
1365.82 0.480753
1368.60 0.640064
1371.37 0.897910
1374.14 1.35565
1375.53 1.73140
1376.22 1.98123
1376.57 2.12731
1376.91 2.28978
1377.26 2.47228
1377.61 2.67697
1377.95 2.90901
1378.30 3.17188
1378.65 3.47309
1378.99 3.81834
1379.34 4.21903
1379.69 4.68481
1380.38 5.88509
1381.07 7.60811
1381.77 10.2078
1382.46 14.3852
1382.81 17.4932
1383.15 21.6869
1383.50 27.5551
1383.84 36.0184
1384.19 48.8258
1384.54 69.0302
1384.88 102.602
1385.23 159.003
1385.62 254.250
1386.00 317.626
1386.39 254.090
1386.77 158.845
1387.01 117.083
1387.25 87.9168
1387.72 53.0570
1388.20 34.8252
1388.67 24.4221
1389.14 17.9878
1389.62 13.7686
1390.57 8.78655
1391.52 6.07718
1392.47 4.45027
1394.37 2.67935
1396.26 1.78869
1398.16 1.27947
1400.06 0.961535
1401.96 0.749997
1405.76 0.494706
1409.56 0.352607
1413.35 0.265503
1417.15 0.208356
1424.75 0.140492
1432.34 0.103407
1447.53 0.0667310
1462.72 0.0503539
1477.91 0.0422285
1508.29 0.0366809
1538.67 0.0385630
1569.05 0.0471113
1584.24 0.0557087
1599.43 0.0720800
1607.02 0.0889551
1614.62 0.128380
1618.41 0.177989
1620.31 0.225739
1622.21 0.311045
1624.11 0.489585
1625.06 0.664062
1626.01 0.976155
1626.48 1.23461
1626.96 1.62248
1627.43 2.24315
1627.91 3.32490
1628.38 5.47868
1628.62 7.45134
1628.86 10.7268
1629.09 16.7753
1629.21 21.8922
1629.33 29.6108
1629.45 42.1934
1629.57 63.9228
1629.69 105.564
1629.75 140.000
1629.81 188.781
1629.90 302.773
1630.00 377.786
1630.10 301.520
1630.20 188.780
1630.30 110.065
1630.41 69.1230
1630.52 46.5896
1630.63 33.2550
1630.74 24.7638
1630.85 19.1576
1631.06 12.4113
1631.28 8.66895
1631.49 6.40582
1631.93 3.91551
1632.36 2.64865
1632.79 1.92160
1633.22 1.46468
1633.66 1.16038
1634.52 0.791919
1635.39 0.586465
1637.12 0.378236
1638.85 0.281058
1640.58 0.228920
1644.04 0.179757
1650.96 0.154304
1657.88 0.158458
1671.72 0.201618
1678.64 0.239234
1682.10 0.263341
1683.83 0.277020
1685.56 0.291938
1687.29 0.308246
1689.02 0.326084
1690.75 0.345649
1692.48 0.367160
1694.22 0.390886
1695.95 0.417099
1697.68 0.446167
1699.41 0.478509
1702.87 0.555141
1706.33 0.652313
1709.79 0.778036
1713.25 0.944422
1716.71 1.17098
1720.17 1.48992
1723.63 1.95840
1727.09 2.68338
1730.55 3.88433
1732.28 4.79732
1734.01 6.05277
1735.74 7.82752
1737.47 10.4070
1739.20 14.2382
1740.93 19.9196
1743.47 31.8528
1746.00 39.7549
1748.54 31.7347
1751.07 19.8055
1753.02 13.5826
1754.96 9.59629
1756.91 7.03007
1758.85 5.32635
1762.74 3.32073
1766.63 2.25047
1770.52 1.61956
1774.41 1.21904
1782.19 0.760269
1789.97 0.518460
1797.75 0.375959
1805.52 0.285106
1813.30 0.223699
1828.86 0.148474
1844.42 0.105935
1859.98 0.0795819
1875.54 0.0621464
1906.65 0.0412660
1937.77 0.0297602
1968.88 0.0228126
2000.00 0.0183738
2075.52 0.0130758
2113.27 0.0123497
2151.03 0.0130430
2188.79 0.0164204
2207.67 0.0203997
2226.55 0.0280692
2235.99 0.0346889
2245.42 0.0449159
2254.86 0.0618320
2264.30 0.0926847
2269.02 0.118626
2273.74 0.158115
2278.46 0.222498
2283.18 0.338024
2285.54 0.433788
2287.90 0.577640
2290.26 0.808047
2292.62 1.21095
2293.80 1.53654
2294.39 1.75095
2294.98 2.01353
2295.57 2.33979
2295.87 2.53338
2296.16 2.75194
2296.46 2.99990
2296.75 3.28274
2297.05 3.60728
2297.34 3.98204
2297.93 4.92847
2298.52 6.25165
2299.11 8.17659
2299.70 11.1188
2300.29 15.9043
2300.59 19.4798
2300.88 24.3182
2301.18 31.0214
2301.47 40.5209
2301.77 54.1992
2302.06 73.7128
2302.53 117.622
2303.00 146.743
2303.47 117.565
2303.94 73.6570
2304.23 54.3739
2304.52 40.8672
2305.10 24.7155
2305.68 16.2434
2306.25 11.3924
2306.83 8.39199
2307.41 6.42661
2308.57 4.10172
2309.72 2.83693
2310.88 2.07702
2313.19 1.24934
2315.51 0.833187
2317.82 0.595166
2320.13 0.446498
2322.44 0.347501
2327.07 0.228026
2331.70 0.161437
2336.32 0.120571
2340.95 0.0937016
2350.20 0.0616766
2359.45 0.0440337
2368.70 0.0332804
2377.96 0.0262373
2396.46 0.0178533
2414.96 0.0132197
