Zn-68(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 58.0858
1.25000E-05 52.4307
1.50000E-05 48.2563
2.00000E-05 42.3967
2.75000E-05 36.8214
3.50000E-05 33.1521
4.25000E-05 30.5032
5.00000E-05 28.4754
6.25000E-05 25.9463
7.50000E-05 24.0795
0.000100000 21.4590
0.000125000 19.6707
0.000150000 18.3506
0.000200000 16.4977
0.000275000 14.7346
0.000350000 13.5743
0.000425000 12.7366
0.000500000 12.0954
0.000625000 11.2956
0.000750000 10.7052
0.00100000 9.87658
0.00125000 9.31107
0.00150000 8.89363
0.00200000 8.30767
0.00275000 7.75014
0.00350000 7.38321
0.00425000 7.11832
0.00500000 6.91553
0.00625000 6.66263
0.00750000 6.47594
0.0100000 6.21388
0.0125000 6.03504
0.0150000 5.90303
0.0200000 5.71771
0.0253000 5.58487
0.0314750 5.47468
0.0376500 5.39285
0.0500000 5.27734
0.0625000 5.19730
0.0750000 5.13820
0.100000 5.05521
0.125000 4.99852
0.150000 4.95664
0.200000 4.89777
0.275000 4.84160
0.350000 4.80448
0.500000 4.75685
0.750000 4.71143
1.00000 4.68375
1.50000 4.64969
2.00000 4.62816
2.75000 4.60601
3.50000 4.58985
5.00000 4.56590
7.50000 4.53659
10.0000 4.51277
15.0000 4.47153
20.0000 4.43383
27.5000 4.37970
35.0000 4.32654
50.0000 4.21995
75.0000 4.03642
100.000 3.84168
150.000 3.40750
200.000 2.89542
275.000 1.92476
312.500 1.32983
350.000 0.688135
368.750 0.391200
378.125 0.268738
387.500 0.179776
392.188 0.153849
394.531 0.146931
396.875 0.144712
399.219 0.147768
401.563 0.156750
403.906 0.172388
406.250 0.195507
408.594 0.227040
410.938 0.268038
415.625 0.383389
420.313 0.553251
425.000 0.792878
429.688 1.12238
434.375 1.56856
439.063 2.16764
443.750 2.96925
453.125 5.48578
457.813 7.44139
462.500 10.1213
467.188 13.8500
471.875 19.1414
476.563 26.8438
481.250 38.4279
485.938 56.6045
490.625 86.7715
495.313 140.813
497.656 184.726
500.000 248.668
503.018 382.915
506.035 634.811
507.544 847.145
509.053 1162.93
510.561 1644.12
512.070 2378.28
514.235 3944.47
516.400 5094.98
518.565 4209.23
520.730 2721.80
522.602 1837.92
524.474 1290.42
526.347 947.740
528.219 724.506
531.963 465.236
535.707 327.429
539.452 245.682
543.196 193.129
550.684 131.548
558.173 97.8599
565.662 77.2115
573.150 63.5145
580.639 53.8864
595.616 41.4306
610.593 33.8477
625.570 28.8103
