Pt-192(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 514.532
1.25000E-05 461.339
1.50000E-05 422.074
1.56878E-05 412.954
1.96492E-05 370.124
2.00000E-05 366.958
2.11527E-05 357.114
2.23054E-05 348.044
2.46108E-05 331.855
2.75000E-05 314.515
3.08253E-05 297.659
3.50000E-05 280.001
3.86090E-05 267.105
4.83583E-05 239.804
5.00000E-05 236.011
5.52847E-05 224.971
6.05693E-05 215.409
7.50000E-05 194.662
7.58636E-05 193.612
7.82582E-05 190.792
8.06527E-05 188.098
8.54419E-05 183.054
9.50201E-05 174.135
0.000100000 170.013
0.000119014 156.733
0.000149066 141.182
0.000150000 140.776
0.000152294 139.792
0.000154588 138.830
0.000159177 136.970
0.000168353 133.480
0.000186707 127.288
0.000200000 123.346
0.000233852 114.873
0.000275000 106.762
0.000292903 103.780
0.000350000 95.8479
0.000366863 93.8675
0.000413182 89.0662
0.000459500 85.0106
0.000500000 81.9367
0.000575530 77.0966
0.000720857 70.0253
0.000750000 68.8608
0.000826441 66.1048
0.000902881 63.7067
0.00100000 61.0660
0.00113087 58.0609
0.00141643 53.0161
0.00150000 51.8197
0.00177409 48.5083
0.00200000 46.3077
0.00222206 44.4804
0.00275000 41.0629
0.00278316 40.8813
0.00287100 40.4156
0.00295885 39.9708
0.00313455 39.1379
0.00348594 37.6653
0.00350000 37.6110
0.00355414 37.4050
0.00360827 37.2038
0.00371654 36.8145
0.00393309 36.0847
0.00436618 34.7915
0.00500000 33.2110
0.00546868 32.2236
0.00684958 29.9288
0.00750000 29.0748
0.00857917 27.8782
0.0100000 26.6087
0.0107455 26.0457
0.0134589 24.4080
0.0150000 23.6827
0.0168574 22.9443
0.0200000 21.9377
0.0211141 21.6360
0.0253000 20.6863
0.0331234 19.4209
0.0376500 18.8762
0.0414874 18.4859
0.0500000 17.7861
0.0519634 17.6496
0.0585240 17.2440
0.0650847 16.9012
0.0750000 16.4707
0.0815193 16.2312
0.100000 15.6837
0.102104 15.6309
0.108550 15.4787
0.114995 15.3393
0.127886 15.0925
0.150000 14.7448
0.160179 14.6091
0.200000 14.1799
0.200626 14.1742
0.202209 14.1598
0.203792 14.1456
0.206958 14.1177
0.213291 14.0636
0.225956 13.9621
0.251286 13.7820
0.275000 13.6357
0.314739 13.4272
0.350000 13.2713
0.394213 13.1047
0.493756 12.8099
0.500000 12.7941
0.514805 12.7579
0.529609 12.7230
0.559218 12.6571
0.618436 12.5383
0.750000 12.3208
0.774597 12.2856
0.830948 12.2100
0.887299 12.1405
1.00000 12.0164
1.21518 11.8198
1.50000 11.6123
1.52202 11.5981
1.57006 11.5677
1.61810 11.5382
1.71418 11.4818
1.90635 11.3776
2.00000 11.3304
2.19386 11.2387
2.38772 11.1538
2.75000 11.0092
2.99065 10.9212
3.50000 10.7508
3.74582 10.6745
4.40000 10.4862
5.00000 10.3278
5.87637 10.1144
7.36023 9.78753
7.50000 9.75846
7.81250 9.69435
8.12500 9.63140
8.75000 9.50865
10.0000 9.27383
11.5466 8.99875
14.4622 8.51119
15.0000 8.42428
16.5571 8.17708
18.1141 7.94533
19.0571 7.84293
19.5285 7.83621
20.0000 7.92701
20.3928 8.22821
20.5892 8.59226
20.7856 9.32279
20.8838 9.97140
20.9819 10.9909
21.0801 12.6990
21.1783 15.8293
21.2274 18.4499
21.2765 22.3985
21.3256 28.7123
21.3747 39.6537
21.4238 60.9482
21.4484 79.9557
21.4729 110.479
21.4975 163.664
21.5097 206.121
