Nd-143(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 16562.7
1.25000E-05 14822.6
1.50000E-05 13538.2
1.77828E-05 12440.4
2.00000E-05 11735.2
2.75000E-05 10019.7
3.16228E-05 9349.12
3.50000E-05 8890.62
4.25000E-05 8075.56
5.00000E-05 7451.57
5.62341E-05 7030.99
7.50000E-05 6098.95
0.000100000 5292.61
0.000125000 4742.34
0.000150000 4336.15
0.000177828 3988.99
0.000200000 3765.97
0.000275000 3223.43
0.000316228 3011.37
0.000350000 2866.37
0.000425000 2608.60
0.000500000 2411.25
0.000562341 2278.23
0.000750000 1983.43
0.00100000 1728.38
0.00125000 1554.31
0.00150000 1425.81
0.00177828 1315.97
0.00200000 1245.40
0.00275000 1073.71
0.00316228 1006.59
0.00350000 960.682
0.00425000 879.063
0.00500000 816.560
0.00562341 774.420
0.00750000 680.989
0.0100000 600.086
0.0125000 544.815
0.0150000 503.969
0.0177828 469.017
0.0200000 446.537
0.0253000 405.266
0.0316228 370.239
0.0376500 345.362
0.0500000 309.092
0.0562341 295.439
0.0750000 264.970
0.100000 238.260
0.125000 219.740
0.150000 205.844
0.177828 193.757
0.200000 185.860
0.237500 174.900
0.275000 166.044
0.316228 157.980
0.350000 152.327
0.425000 141.927
0.500000 133.583
0.562341 127.722
0.750000 113.844
1.00000 100.498
1.50000 82.3144
1.77828 74.8876
2.00000 69.8439
2.75000 56.6275
3.16228 51.1027
3.50000 47.2216
4.25000 40.1580
5.00000 34.6659
5.62341 30.9620
7.50000 22.9188
9.99999 16.4144
10.0000 16.4142
10.0000 16.4142
10.0001 16.4141
10.0001 16.4140
10.0001 16.4139
10.0003 16.4137
10.0005 16.4131
10.0011 16.4121
10.0021 16.4100
10.0042 16.4059
10.0083 16.3977
10.0165 16.3812
10.0331 16.3484
10.0661 16.2830
10.1322 16.1535
10.2644 15.8993
10.5288 15.4093
11.0577 14.4975
12.1153 12.9092
12.1153 12.9091
12.1154 12.9090
12.1155 12.9089
12.1156 12.9086
12.1159 12.9082
12.1166 12.9073
12.1178 12.9056
12.1203 12.9022
12.1253 12.8953
12.1353 12.8817
12.1554 12.8543
12.1954 12.8000
12.2755 12.6924
12.4357 12.4813
12.7560 12.0752
13.3967 11.3225
14.6780 10.0205
14.6780 10.0204
14.6781 10.0204
14.6782 10.0203
14.6783 10.0201
14.6786 10.0198
14.6793 10.0193
14.6805 10.0181
14.6831 10.0158
14.6881 10.0111
14.6981 10.0019
14.7183 9.98336
14.7585 9.94652
14.8390 9.87346
15.0000 9.72984
15.3479 9.43041
15.6957 9.14510
16.3914 8.61332
17.7828 7.68424
17.7828 7.68415
17.7829 7.68411
17.7830 7.68407
17.7831 7.68398
17.7834 7.68382
17.7839 7.68349
17.7850 7.68283
17.7872 7.68150
17.7915 7.67886
17.8001 7.67358
17.8175 7.66304
17.8521 7.64201
17.9214 7.60023
18.0600 7.51773
18.3371 7.35684
18.8914 7.05070
20.0000 6.49483
21.5443 5.82694
21.5443 5.82687
21.5444 5.82684
21.5445 5.82681
21.5446 5.82676
21.5449 5.82665
21.5454 5.82642
21.5465 5.82598
21.5488 5.82510
21.5532 5.82333
21.5621 5.81980
21.5799 5.81274
21.6155 5.79868
21.6867 5.77069
21.8291 5.71536
22.1140 5.60712
22.6836 5.39997
23.8230 5.01976
26.1016 4.37407
26.1016 4.37402
26.1017 4.37401
26.1017 4.37400
26.1018 4.37397
26.1020 4.37393
26.1023 4.37384
26.1030 4.37367
26.1044 4.37332
26.1071 4.37263
26.1125 4.37124
26.1235 4.36847
26.1453 4.36293
26.1890 4.35188
26.2764 4.32991
26.4512 4.28649
26.8008 4.20167
27.5000 4.03976
29.5614 3.61579
31.6228 3.25922
31.6228 3.25919
31.6229 3.25918
31.6229 3.25917
31.6230 3.25916
31.6232 3.25912
31.6236 3.25906
31.6245 3.25893
31.6261 3.25867
31.6294 3.25814
31.6360 3.25710
31.6492 3.25500
31.6756 3.25083
31.7284 3.24251
31.8339 3.22597
32.0450 3.19331
32.4671 3.12966
33.3114 3.00872
35.0000 2.79040
38.3119 2.44335
38.3119 2.45025
38.3120 2.45025
38.3120 2.45024
38.3122 2.45023
38.3124 2.45021
38.3129 2.45017
38.3139 2.45008
38.3159 2.44990
38.3198 2.44955
38.3277 2.44884
38.3436 2.44742
