Zr-91(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 71.0099
1.25000E-05 64.5539
1.50000E-05 59.7883
2.00000E-05 53.0988
2.75000E-05 46.7339
3.50000E-05 42.5449
4.25000E-05 39.5208
5.00000E-05 37.2058
6.25000E-05 34.3185
7.50000E-05 32.1873
0.000100000 29.1957
0.000125000 27.1541
0.000150000 25.6471
0.000200000 23.5317
0.000275000 21.5189
0.000350000 20.1942
0.000425000 19.2379
0.000500000 18.5058
0.000625000 17.5928
0.000750000 16.9188
0.00100000 15.9728
0.00125000 15.3272
0.00150000 14.8506
0.00200000 14.1817
0.00275000 13.5452
0.00350000 13.1263
0.00425000 12.8238
0.00500000 12.5923
0.00625000 12.3036
0.00750000 12.0904
0.0100000 11.7912
0.0125000 11.5870
0.0150000 11.4363
0.0200000 11.2247
0.0253000 11.0730
0.0314750 10.9472
0.0376500 10.8537
0.0500000 10.7217
0.0625000 10.6303
0.0750000 10.5627
0.100000 10.4678
0.125000 10.4030
0.150000 10.3551
0.200000 10.2876
0.275000 10.2231
0.350000 10.1804
0.500000 10.1254
0.750000 10.0725
1.00000 10.0398
1.50000 9.99901
2.00000 9.97254
2.75000 9.94450
3.50000 9.92339
5.00000 9.89090
7.50000 9.84930
10.0000 9.81442
15.0000 9.75319
20.0000 9.69747
27.5000 9.61918
35.0000 9.54478
50.0000 9.40330
75.0000 9.18041
100.000 8.96491
129.637 8.70757
144.456 8.57397
151.865 8.50619
153.717 8.48998
155.569 8.47596
156.496 8.47193
156.959 8.47217
157.422 8.47602
157.885 8.48848
158.116 8.50223
158.348 8.52744
158.580 8.57831
158.695 8.62457
158.811 8.69971
158.927 8.83250
159.043 9.09556
159.100 9.33238
159.158 9.70996
159.216 10.3417
159.274 11.4161
159.337 13.2036
159.400 14.3947
159.463 13.2030
159.526 11.4145
159.569 10.5582
159.613 9.98331
159.656 9.59667
159.699 9.33086
159.785 9.00591
159.872 8.82613
159.958 8.71724
160.045 8.64674
160.218 8.56397
160.391 8.51891
160.563 8.49142
160.909 8.46025
161.255 8.44307
161.601 8.43189
162.292 8.41717
163.676 8.39810
165.059 8.38313
167.825 8.35704
170.592 8.33510
173.358 8.32206
174.741 8.32396
176.124 8.33997
176.816 8.35877
177.508 8.39166
178.199 8.45074
178.891 8.56454
179.237 8.66273
179.582 8.81415
179.928 9.06332
180.274 9.51324
180.447 9.88706
180.620 10.4489
180.793 11.3486
180.966 12.9201
181.138 16.0382
181.225 18.8959
181.311 23.6261
181.398 32.2922
181.441 39.5702
181.484 50.5923
181.527 68.2888
181.571 98.8203
181.614 155.966
181.657 268.723
181.694 423.756
181.730 526.591
181.767 423.833
181.803 268.827
181.839 170.766
181.874 115.007
181.910 82.3350
181.945 62.2337
181.981 49.1077
182.016 40.1788
182.087 29.1834
182.159 22.9776
182.230 19.1508
182.372 14.8883
182.514 12.6953
182.656 11.4228
182.798 10.6197
182.940 10.0808
183.225 9.42381
183.509 9.05354
183.793 8.82381
184.078 8.67103
184.646 8.48549
185.215 8.37990
185.784 8.31276
186.352 8.26639
187.490 8.20563
188.627 8.16587
190.902 8.11150
193.176 8.07020
195.451 8.03364
200.000 7.96475
209.991 7.80977
219.982 7.63499
224.977 7.53745
229.972 7.43436
232.470 7.38470
233.719 7.36357
234.968 7.34971
236.217 7.35519
236.841 7.37612
237.465 7.42671
238.090 7.54932
238.402 7.67463
238.714 7.89933
239.026 8.35202
239.183 8.76870
239.339 9.45936
239.495 10.7194
239.573 11.7748
239.651 13.3630
239.729 15.8974
239.807 20.2172
239.885 28.1843
239.963 43.5523
240.032 65.3677
240.100 79.9059
240.169 65.3788
240.237 43.5637
240.288 32.4878
240.338 25.2611
240.389 20.5352
240.439 17.3587
240.541 13.5708
240.642 11.5242
240.743 10.3054
240.844 9.52653
241.046 8.62604
241.249 8.14567
241.451 7.85884
241.856 7.54523
242.260 7.38315
242.665 7.28559
243.474 7.17198
244.283 7.10337
245.092 7.05283
246.711 6.97281
249.948 6.83426
253.184 6.69386
259.658 6.37302
266.132 5.97524
269.368 5.74427
272.605 5.50052
275.842 5.27684
279.079 5.18698
280.697 5.29621
282.316 5.65818
283.934 6.56408
285.552 8.74942
286.362 10.8820
287.171 14.4175
287.980 20.5971
288.789 32.2701
289.194 42.1589
289.598 57.0725
290.003 80.7333
290.408 120.879
290.812 195.578
291.015 258.729
291.217 354.230
291.419 506.312
291.621 763.905
291.824 1230.14
292.026 2106.87
292.218 3461.04
292.410 4442.43
292.602 3653.33
292.794 2348.86
292.947 1626.10
293.100 1162.90
293.253 864.369
293.405 665.893
293.711 430.781
294.017 303.786
294.323 227.853
294.628 178.866
295.240 121.426
295.851 90.0963
296.462 70.9939
297.074 58.4008
297.685 49.6066
298.908 38.3363
300.131 31.5626
301.354 27.1163
302.576 24.0080
305.022 19.9971
307.468 17.5524
309.913 15.9217
312.359 14.7627
317.250 13.2320
322.141 12.2698
327.032 11.6093
331.924 11.1270
341.706 10.4661
351.488 10.0298
361.271 9.71556
371.053 9.47486
390.618 9.12125
410.183 8.86347
429.748 8.65901
434.639 8.61445
439.530 8.57447
441.976 8.55905
443.198 8.55458
444.421 8.55531
445.033 8.55956
445.644 8.56882
446.255 8.58722
446.867 8.62441
447.172 8.65693
447.478 8.70704
447.784 8.78875
448.090 8.93335
448.395 9.22286
448.548 9.48935
448.701 9.93192
448.854 10.7446
448.930 11.4291
449.007 12.4679
449.083 14.1409
449.159 17.0396
449.236 22.5009
449.312 33.3857
449.376 48.3255
449.440 58.2850
449.504 48.3289
449.568 33.3894
449.617 25.5405
449.666 20.5197
449.716 17.2921
449.765 15.1554
449.863 12.6387
449.962 11.2959
450.060 10.5044
450.159 10.0016
450.356 9.42497
450.553 9.12012
450.750 8.93968
450.947 8.82397
451.144 8.74518
451.538 8.64730
451.932 8.59046
452.326 8.55395
452.720 8.52867
453.508 8.49571
454.296 8.47455
455.872 8.44678
457.448 8.42698
459.024 8.41043
462.176 8.38140
468.480 8.32920
474.784 8.27984
500.000 8.09151
545.237 7.74751
567.856 7.54873
590.475 7.30537
613.093 6.97095
624.403 6.73804
635.712 6.42408
641.367 6.21936
647.021 5.96715
652.676 5.64887
658.330 5.23949
661.158 4.99336
663.985 4.72199
666.812 4.44642
669.640 4.25025
671.053 4.26221
672.467 4.46573
673.881 5.09180
675.294 6.72191
676.001 8.35233
676.708 11.0733
677.415 15.8214
678.122 24.6831
678.475 32.0674
678.829 42.9929
679.182 59.8611
679.535 87.3603
679.889 135.498
680.242 228.086
680.419 307.889
680.596 428.980
680.772 618.024
680.949 914.634
681.190 1526.71
681.430 1991.06
681.671 1662.10
681.911 1084.23
682.117 740.380
682.322 525.258
682.528 389.577
682.734 300.645
683.145 196.662
683.557 140.982
683.968 107.740
684.379 86.2576
685.202 60.9260
686.025 46.9573
686.848 38.3385
687.670 32.5870
688.493 28.5225
690.138 23.2290
691.784 19.9805
693.429 17.8082
695.075 16.2639
698.366 14.2288
701.657 12.9565
704.948 12.0896
708.239 11.4620
714.821 10.6143
721.402 10.0673
727.984 9.68323
734.566 9.39725
747.730 8.99553
760.894 8.72186
787.221 8.35980
813.549 8.11766
839.877 7.93423
853.040 7.85631
859.622 7.82026
866.204 7.78644
872.786 7.75604
876.077 7.74334
879.368 7.73435
881.014 7.73260
882.659 7.73435
884.305 7.74259
885.950 7.76433
886.773 7.78541
887.595 7.81967
888.418 7.87824
889.241 7.98705
889.652 8.07897
890.064 8.21867
890.475 8.44493
890.886 8.84552
891.092 9.17252
891.298 9.65591
891.503 10.4129
891.709 11.6933
891.915 14.1133
892.018 16.2184
892.120 19.5154
892.223 25.0797
892.326 35.3933
892.378 44.0649
