Ba-130(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 437.692
1.25000E-05 391.483
1.50000E-05 357.374
2.00000E-05 309.495
2.75000E-05 263.938
3.50000E-05 233.956
4.25000E-05 212.311
5.00000E-05 195.741
6.25000E-05 175.076
7.50000E-05 159.821
0.000100000 138.409
0.000125000 123.796
0.000150000 113.010
0.000200000 97.8688
0.000275000 83.4621
0.000350000 73.9806
0.000425000 67.1358
0.000500000 61.8956
0.000625000 55.3604
0.000750000 50.5362
0.00100000 43.7644
0.00125000 39.1430
0.00150000 35.7315
0.00200000 30.9427
0.00275000 26.3858
0.00350000 23.3866
0.00425000 21.2212
0.00500000 19.5633
0.00625000 17.4956
0.00750000 15.9690
0.0100000 13.8257
0.0125000 12.3627
0.0150000 11.2824
0.0200000 9.76547
0.0253000 8.67750
0.0314750 7.77459
0.0376500 7.10370
0.0500000 6.15598
0.0625000 5.49861
0.0750000 5.01276
0.100000 4.32957
0.125000 3.86224
0.150000 3.51650
0.200000 3.02971
0.275000 2.56435
0.350000 2.25652
0.500000 1.86185
0.750000 1.48820
1.00000 1.26448
1.50000 0.999721
2.00000 0.844082
2.75000 0.700284
3.50000 0.610085
5.00000 0.504456
7.50000 0.422379
10.0000 0.388233
15.0000 0.379658
20.0000 0.418332
26.5554 0.548693
29.8331 0.673939
33.1108 0.884042
34.7496 1.04810
35.5690 1.15453
35.9787 1.21592
36.1836 1.24902
36.3884 1.28388
36.5933 1.32065
36.7982 1.35947
37.0030 1.40051
37.2079 1.44395
37.4127 1.49001
37.6176 1.53892
38.0273 1.64634
38.4370 1.76869
38.8467 1.90913
39.2564 2.07171
39.6661 2.26177
40.4856 2.75530
41.3050 3.48475
42.1244 4.64531
42.5341 5.51012
42.9438 6.69389
43.3535 8.38315
43.7632 10.9256
44.1730 15.0317
44.5827 22.3477
44.7875 28.3879
44.9924 37.4435
45.1972 51.9316
45.4021 77.2746
45.6069 127.813
45.7094 174.417
45.8118 252.280
45.9142 396.677
45.9654 519.840
46.0167 709.155
46.0679 1019.72
46.1191 1572.58
46.1703 2658.30
46.1959 3593.16
46.2215 4954.04
46.2608 7921.81
46.3000 9896.15
46.3393 7912.72
46.3785 4943.83
46.4068 3467.65
46.4351 2495.37
46.4634 1853.80
46.4917 1419.78
46.5483 898.560
46.6049 614.998
46.6614 445.736
46.7180 337.327
46.8312 212.108
46.9444 145.583
47.0575 106.190
47.1707 80.9952
47.2839 63.9327
47.5102 43.0048
47.7366 31.1790
47.9629 23.8775
48.1893 19.0770
48.4156 15.7715
48.6419 13.4161
48.8683 11.6943
49.0946 10.4131
49.3210 9.44903
49.5473 8.72082
49.7737 8.17314
49.8868 7.95453
50.0000 7.76768
50.0607 7.67949
50.1213 7.59914
50.1820 7.52624
50.2427 7.46044
50.3034 7.40145
50.3640 7.34897
50.4247 7.30275
50.4854 7.26255
50.6067 7.19937
50.7280 7.15798
50.9707 7.13602
51.2134 7.18998
51.4560 7.31637
51.9414 7.78617
52.4267 8.57022
52.9121 9.73772
53.3974 11.4184
53.8828 13.8395
54.3681 17.4055
54.8534 22.8732
55.3388 31.7832
55.8241 47.6604
56.0668 60.6973
56.3095 80.0871
56.5522 110.718
56.7948 163.249
56.9162 204.850
57.0375 264.629
57.1588 354.826
57.2802 499.745
57.4015 753.108
57.4622 956.436
57.5228 1250.57
57.5835 1694.63
57.6442 2397.71
57.7048 3563.69
57.7655 5530.45
57.8328 8842.07
57.9000 11040.0
57.9673 8822.11
58.0345 5510.03
58.0755 4076.65
58.1165 3067.63
58.1984 1858.49
58.2804 1222.64
58.3624 857.988
58.4443 632.479
58.5263 484.362
58.6902 309.039
58.8542 213.686
59.0181 156.329
59.3459 93.8911
59.6738 62.5047
60.0016 44.5616
60.3295 33.3598
60.6574 25.9049
61.3131 16.9145
61.9688 11.9088
62.6245 8.83972
63.2802 6.82359
64.5916 4.42365
65.9030 3.10424
67.2145 2.30219
68.5259 1.77867
71.1487 1.16000
73.7716 0.823160
76.3944 0.620706
79.0173 0.490565
84.2629 0.342066
89.5086 0.268720
94.7543 0.234104
100.000 0.224983
109.003 0.266178
113.504 0.328853
118.005 0.453052
120.256 0.560527
120.818 0.595182
121.381 0.633899
121.944 0.677337
122.506 0.726260
122.788 0.753081
123.069 0.781637
123.350 0.812093
123.632 0.844617
123.913 0.879413
124.194 0.916668
124.757 0.999574
125.320 1.09566
125.882 1.20780
126.445 1.33985
127.008 1.49674
127.570 1.68518
128.133 1.91420
128.696 2.19635
129.258 2.54941
129.821 2.99949
130.384 3.58553
130.946 4.36881
131.509 5.44861
132.072 6.99681
132.634 9.32881
133.197 13.0810
133.759 19.6894
134.041 25.0685
134.322 33.0029
134.603 45.4067
134.885 66.3657
135.166 105.918
135.307 140.265
135.447 194.015
135.588 284.581
135.729 452.179
135.799 593.097
135.869 802.673
135.940 1123.46
136.010 1615.63
136.105 2583.78
136.200 3227.16
136.295 2579.71
136.390 1611.61
136.484 997.773
136.577 651.696
136.671 450.768
136.765 327.566
136.858 247.557
136.952 193.184
137.139 126.488
137.327 88.9543
137.514 65.8576
137.888 40.1817
138.263 27.0139
138.638 19.3908
139.012 14.5903
139.387 11.3758
140.136 7.47362
140.885 5.28815
141.634 3.94314
142.383 3.05789
143.882 2.00315
145.380 1.42429
146.878 1.07423
148.376 0.847811
151.373 0.586370
154.369 0.453128
157.366 0.384593
160.363 0.356244
166.356 0.398742
169.352 0.488539
172.349 0.674780
173.847 0.838615
175.345 1.09311
176.095 1.27554
176.844 1.51480
177.218 1.66329
177.406 1.74657
177.593 1.83669
177.780 1.93453
177.967 2.04092
178.155 2.15691
178.342 2.28358
178.529 2.42244
178.717 2.57503
178.904 2.74319
179.091 2.92912
179.466 3.36510
179.840 3.91009
180.215 4.60401
180.589 5.50615
180.964 6.70887
181.339 8.36151
181.713 10.7211
182.088 14.2554
182.462 19.8943
182.837 29.7023
183.024 37.5843
183.211 49.0709
183.399 66.7277
183.586 95.8315
183.773 148.749
183.867 192.966
183.961 259.425
184.054 365.312
184.148 545.545
184.241 876.775
184.335 1514.83
184.418 2423.00
184.500 3027.31
184.583 2420.71
184.665 1512.54
184.725 1057.76
184.785 759.619
184.845 563.462
184.905 430.978
185.025 272.233
185.144 186.023
185.264 134.635
185.384 101.741
185.624 63.7730
185.863 43.6095
186.103 31.6668
186.342 24.0249
186.582 18.8455
187.061 12.4807
187.540 8.87107
188.020 6.62943
188.499 5.14311
189.457 3.35714
190.416 2.36636
191.374 1.76030
192.333 1.36280
194.249 0.890297
196.166 0.630833
198.083 0.473203
200.000 0.370403
203.237 0.263602
206.475 0.203300
209.712 0.183379
210.522 0.197201
211.331 0.250799
211.736 0.330033
211.938 0.409174
212.140 0.551599
212.343 0.845830
212.444 1.12638
212.545 1.61116
212.646 2.55922
212.697 3.41348
212.747 4.80087
212.798 7.27670
212.823 9.30208
212.848 12.2877
212.874 16.9077
212.899 24.4741
212.924 37.6162
212.950 60.9878
212.975 97.5760
213.000 121.835
213.025 97.4096
213.051 60.9725
213.069 42.8938
213.087 31.0038
213.105 23.0901
213.123 17.7500
213.159 11.2985
213.195 7.78530
213.231 5.67716
213.267 4.32482
213.339 2.76200
213.411 1.92868
213.483 1.43484
213.628 0.902947
213.772 0.638060
213.916 0.487230
214.205 0.330399
214.494 0.254262
214.782 0.211226
215.359 0.166005
216.514 0.129239
217.668 0.112768
222.286 0.0846079
231.521 0.0613298
240.756 0.0505101
249.991 0.0460451
259.227 0.0472801
268.462 0.0595593
273.079 0.0785397
275.388 0.0976701
277.697 0.132637
280.006 0.207322
281.160 0.281652
282.315 0.417128
282.892 0.531286
283.469 0.705700
284.046 0.991763
284.623 1.51015
284.912 1.94415
285.201 2.60272
285.345 3.06802
285.489 3.67246
285.561 4.04514
285.633 4.47757
285.706 4.98470
285.778 5.58303
285.850 6.29788
285.886 6.70825
285.922 7.15900
285.994 8.21226
286.066 9.51541
286.139 11.1590
286.211 13.2660
286.283 16.0365
286.355 19.7686
286.427 24.9786
286.499 32.5335
286.571 44.1069
286.644 63.0379
286.680 77.3832
286.716 97.1363
286.752 125.313
286.788 167.120
286.824 232.830
286.860 342.076
286.896 537.254
286.932 896.893
286.966 1434.91
287.000 1793.48
287.034 1434.67
287.068 896.624
287.092 634.433
287.116 460.379
287.140 343.875
287.163 264.706
287.211 168.571
287.259 115.804
287.307 84.1273
287.354 63.7495
287.450 40.1319
287.545 27.5138
287.640 20.0177
287.736 15.2108
287.831 11.9503
288.022 7.93233
288.213 5.64999
288.403 4.22989
288.594 3.28781
288.976 2.15430
289.357 1.52475
289.739 1.13944
290.120 0.886747
290.883 0.586426
291.646 0.421800
292.409 0.322041
293.172 0.257191
294.698 0.181104
296.224 0.140287
299.275 0.101429
302.327 0.0859694
305.379 0.0805597
311.483 0.0859642
317.587 0.112765
320.638 0.141222
323.690 0.192943
326.742 0.301844
328.268 0.409080
329.031 0.490444
329.413 0.541975
329.794 0.603165
329.985 0.638188
330.175 0.676655
330.557 0.765981
330.938 0.876082
331.320 1.01394
331.701 1.18991
332.083 1.41944
332.464 1.72682
332.846 2.15168
333.227 2.76306
333.609 3.68851
333.990 5.18698
334.181 6.31113
334.372 7.85051
334.562 10.0391
334.753 13.2958
334.944 18.4522
335.135 27.3135
335.230 34.3523
335.325 44.4930
335.421 59.8419
335.516 84.5799
335.612 128.129
335.659 163.291
335.707 214.335
335.755 292.105
335.802 416.499
335.850 625.639
335.898 983.535
335.949 1574.08
336.000 1966.54
336.051 1572.42
336.103 983.082
336.145 653.911
336.188 450.891
336.231 324.370
336.273 242.613
336.359 148.518
336.444 99.5487
336.529 71.0976
336.615 53.2419
336.785 32.9866
336.956 22.3991
337.127 16.1952
337.297 12.2549
337.468 9.60016
337.809 6.35442
338.151 4.52403
338.492 3.39177
338.833 2.64332
339.516 1.74725
340.199 1.25258
340.881 0.951686
341.564 0.755748
342.929 0.526101
344.295 0.403976
345.660 0.333764
347.025 0.292166
348.391 0.268207
349.756 0.256497
350.439 0.254418
351.121 0.254728
351.804 0.257542
352.487 0.263220
353.169 0.272537
353.852 0.287065
354.535 0.310160
355.217 0.349815
355.900 0.428970
356.241 0.504274
356.583 0.637334
356.924 0.911641
357.095 1.17618
357.265 1.64248
357.436 2.58697
357.521 3.47246
357.607 4.98042
357.692 7.86490
357.735 10.4045
357.777 14.4280
357.820 21.3578
357.863 34.5648
357.884 46.0732
357.905 63.6875
357.927 91.7565
357.948 136.892
357.974 218.846
357.987 257.410
358.000 273.475
358.026 218.830
358.052 136.874
358.073 92.5745
