Zn-67(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
275.534 0.343190
275.708 0.342412
276.055 0.340892
276.750 0.337987
278.141 0.332694
280.921 0.323968
286.482 0.312696
297.605 0.308537
308.727 0.324877
314.288 0.351032
317.069 0.411908
317.764 0.465954
318.459 0.604797
318.806 0.777809
318.980 0.935398
319.154 1.19527
319.328 1.66859
319.502 2.66195
319.588 3.61562
319.675 5.24827
319.762 8.27075
319.849 14.1429
319.925 22.4371
320.000 27.9746
320.076 22.4426
320.151 14.1503
320.216 9.39098
320.282 6.51101
320.347 4.74429
320.412 3.61402
320.543 2.33193
320.673 1.67151
320.804 1.29114
320.935 1.05343
321.196 0.785492
321.718 0.565547
322.240 0.480554
323.285 0.417551
324.330 0.396666
328.508 0.388516
336.866 0.423455
353.580 0.546945
353.580 0.546947
353.581 0.546954
353.582 0.546961
353.583 0.546974
353.586 0.547000
353.591 0.547052
353.602 0.547158
353.624 0.547369
353.667 0.547792
353.755 0.548639
353.929 0.550339
354.278 0.553771
354.975 0.560757
356.370 0.575237
359.159 0.606360
364.738 0.678558
375.895 0.877103
387.053 1.19357
398.210 1.74072
403.789 2.17717
409.368 2.80885
414.946 3.77139
420.525 5.34074
426.104 8.14708
428.893 10.4533
431.683 13.8699
434.472 19.1959
437.261 28.0116
440.051 43.5599
442.840 71.8913
445.520 114.473
448.200 141.963
450.885 112.687
453.570 70.1116
454.000 64.6903
454.000 64.6879
454.001 64.6782
454.002 64.6697
454.003 64.6528
454.006 64.6190
454.011 64.5515
454.023 64.4166
454.045 64.1466
454.090 63.6114
454.180 62.5555
454.360 60.5003
454.719 56.6147
455.438 49.6888
456.875 38.7215
459.750 24.7875
462.625 16.9375
465.500 12.2033
468.375 9.16770
471.250 7.11945
477.000 4.62923
482.750 3.23977
488.500 2.39050
500.000 1.45457
510.369 1.01719
520.738 0.758362
531.106 0.598389
541.475 0.502782
551.844 0.463669
562.213 0.514057
567.397 0.622442
572.581 0.901866
575.173 1.21049
577.766 1.82286
579.062 2.37956
580.358 3.29358
581.654 4.94688
582.302 6.32575
582.950 8.40785
582.950 8.40864
582.951 8.41064
582.951 8.41224
582.952 8.41583
582.954 8.42303
582.957 8.43706
582.964 8.46521
582.978 8.52237
583.006 8.63806
583.063 8.87679
583.175 9.38610
583.400 10.5482
583.850 13.6439
584.300 18.3561
584.750 26.0192
585.200 39.6604
585.424 50.8046
585.649 67.2135
585.874 92.5817
586.099 134.032
586.324 205.836
586.549 333.770
586.775 533.487
587.000 666.323
587.226 533.113
587.451 333.380
587.608 236.597
587.766 171.899
587.923 128.677
588.080 99.1272
588.395 63.2679
588.709 43.5490
589.024 31.6973
589.339 24.0669
589.968 15.2098
590.597 10.4804
591.226 7.66896
592.485 4.63997
593.743 3.13053
595.001 2.27153
596.260 1.73632
597.518 1.38026
600.035 0.950010
602.551 0.708963
607.585 0.460338
612.618 0.339098
617.652 0.269407
627.718 0.193575
647.852 0.127278
667.986 0.0957166
708.253 0.0638051
728.386 0.0562531
738.453 0.0595044
740.970 0.0649696
743.487 0.0792121
744.745 0.0956809
746.003 0.130514
746.632 0.164443
747.262 0.224440
747.891 0.345708
748.205 0.459031
748.520 0.651053
748.520 0.651214
748.521 0.651781
748.521 0.652267
748.523 0.653323
748.525 0.655443
748.531 0.659717
748.541 0.668399
748.562 0.686237
748.603 0.724282
748.686 0.811252
748.852 1.04384
749.017 1.40001
749.183 1.98422
749.349 3.03703
749.432 3.90900
749.514 5.20771
749.597 7.25174
749.680 10.6697
749.763 16.8028
749.846 28.2122
749.923 45.1330
750.000 56.3986
750.077 45.1136
750.154 28.2174
750.206 20.3075
750.257 14.9394
750.360 8.77312
750.463 5.66891
750.566 3.93826
750.669 2.88839
750.772 2.20798
750.978 1.41308
751.185 0.985828
751.391 0.730953
751.803 0.455296
752.215 0.317446
752.627 0.238861
753.451 0.157221
754.275 0.117817
755.099 0.0957838
756.747 0.0731701
760.043 0.0560384
763.340 0.0493584
776.525 0.0404059
802.896 0.0336252
855.637 0.0259640
961.120 0.0185434
961.120 0.0185434
961.121 0.0185434
961.121 0.0185433
961.123 0.0185433
961.125 0.0185432
961.130 0.0185430
961.139 0.0185426
961.158 0.0185418
961.196 0.0185403
961.272 0.0185371
961.424 0.0185309
961.728 0.0185185
962.335 0.0184937
963.550 0.0184447
965.980 0.0183486
970.840 0.0181639
980.560 0.0178240
1000.00 0.0172600
1046.92 0.0166608
1070.39 0.0177054
1076.25 0.0189533
1082.12 0.0225287
1085.05 0.0274831
1086.52 0.0324085
1087.98 0.0413565
1089.45 0.0602983
1090.18 0.0788997
1090.91 0.112243
1091.65 0.181255
1092.01 0.247584
1092.38 0.363022
1092.75 0.592642
1092.93 0.802430
1093.11 1.14996
1093.30 1.79049
1093.39 2.33074
1093.48 3.14062
1093.57 4.45739
1093.66 6.70841
1093.76 10.9837
1093.85 19.3654
1093.92 30.9434
1094.00 38.6493
1094.08 30.9453
1094.15 19.3679
1094.22 12.5220
1094.29 8.49291
1094.36 6.01089
1094.43 4.45909
1094.57 2.69720
1094.70 1.80130
1094.84 1.28296
1094.98 0.960093
1095.25 0.597874
1095.52 0.409246
1095.80 0.299599
1096.34 0.183325
1096.89 0.126171
1097.44 0.0939941
1098.53 0.0609971
1099.62 0.0452618
1100.72 0.0365695
1102.90 0.0277931
1107.28 0.0214334
1111.65 0.0192097
1129.14 0.0172748
1164.13 0.0178150
1199.11 0.0199741
1234.10 0.0249190
1234.10 0.0249194
1234.11 0.0249208
1234.11 0.0249218
1234.12 0.0249242
1234.14 0.0249288
1234.19 0.0249380
1234.27 0.0249565
1234.44 0.0249935
1234.78 0.0250683
1235.45 0.0252200
1236.80 0.0255332
1239.49 0.0262007
1244.87 0.0277267
1255.65 0.0318346
1266.42 0.0383105
1277.19 0.0496726
1287.96 0.0731605
1293.35 0.0960997
1298.74 0.137400
1301.43 0.171896
1304.12 0.224236
1306.82 0.309378
1309.51 0.462000
1310.86 0.588518
1312.20 0.778463
1313.55 1.08312
1314.22 1.30935
1314.89 1.61639
1315.23 1.81309
1315.57 2.04850
1315.91 2.33342
1316.24 2.68159
1316.58 3.11588
1316.91 3.66348
1317.25 4.37178
1317.59 5.30365
1317.92 6.57123
1318.26 8.34900
1318.60 10.9460
1318.93 14.9227
1319.27 21.4555
1319.44 26.3559
1319.61 33.0250
1319.78 42.3969
1319.94 55.7351
1320.11 75.1609
1320.28 103.351
1320.54 165.327
1320.80 206.614
1321.06 165.265
1321.32 103.287
1321.54 68.7851
1321.75 47.4760
1321.97 34.1807
1322.18 25.5653
1322.62 15.6682
1323.05 10.5079
1323.48 7.51228
1323.91 5.62950
1324.78 3.49558
1325.64 2.37913
1326.50 1.72551
1327.37 1.30980
1328.23 1.02990
1329.96 0.687677
1331.68 0.494687
1333.41 0.375374
1335.14 0.296571
1338.59 0.202392
1342.05 0.150580
1348.95 0.0989748
1355.86 0.0756434
1362.77 0.0637440
1376.59 0.0542198
1404.22 0.0565584
1431.85 0.0750543
1445.67 0.0924128
1459.48 0.119377
1473.30 0.163516
1487.12 0.242270
1494.02 0.306955
1500.93 0.403153
1507.84 0.555119
1514.75 0.815738
1518.20 1.02214
1521.66 1.31879
1525.11 1.76641
1528.56 2.48586
1532.02 3.74408
1533.75 4.75424
1535.47 6.21641
1537.20 8.42479
1538.93 11.9239
1540.65 17.7324
1542.38 27.5432
1544.29 44.0266
1546.20 54.9459
1548.11 43.8904
1550.02 27.4114
1552.18 15.8745
1554.34 9.88289
1556.50 6.61968
1558.67 4.70305
1560.83 3.49773
1562.99 2.69693
1567.31 1.73787
1571.63 1.21021
1575.96 0.890530
1584.60 0.540155
1584.60 0.540100
1584.61 0.539962
1584.61 0.539852
