Ge-70(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 167.299
1.25000E-05 151.093
1.50000E-05 139.130
2.00000E-05 122.338
2.75000E-05 106.361
3.50000E-05 95.8461
4.25000E-05 88.2552
5.00000E-05 82.4439
6.25000E-05 75.1965
7.50000E-05 69.8466
0.000100000 62.3371
0.000125000 57.2124
0.000150000 53.4295
0.000200000 48.1195
0.000275000 43.0670
0.000350000 39.7419
0.000425000 37.3414
0.000500000 35.5037
0.000625000 33.2119
0.000750000 31.5201
0.00100000 29.1454
0.00125000 27.5248
0.00150000 26.3285
0.00200000 24.6493
0.00275000 23.0515
0.00350000 22.0000
0.00425000 21.2409
0.00500000 20.6597
0.00625000 19.9349
0.00750000 19.3999
0.0100000 18.6489
0.0125000 18.1363
0.0150000 17.7579
0.0200000 17.2267
0.0253000 16.8459
0.0314750 16.5300
0.0376500 16.2954
0.0500000 15.9642
0.0625000 15.7346
0.0750000 15.5650
0.100000 15.3268
0.125000 15.1640
0.150000 15.0436
0.200000 14.8742
0.275000 14.7122
0.350000 14.6049
0.500000 14.4665
0.750000 14.3333
1.00000 14.2511
1.50000 14.1479
2.00000 14.0808
2.75000 14.0094
3.50000 13.9554
5.00000 13.8718
7.50000 13.7642
10.0000 13.6736
15.0000 13.5145
20.0000 13.3699
27.5000 13.1680
35.0000 12.9780
50.0000 12.6236
75.0000 12.0900
100.000 11.6127
150.000 10.7889
200.000 10.0992
275.000 9.24525
350.000 8.54417
500.000 7.41890
625.000 6.61751
750.000 5.80155
812.500 5.32793
875.000 4.74628
906.250 4.38447
937.500 3.94602
968.750 3.39226
1000.00 2.65955
1000.00 2.65953
1000.01 2.65942
1000.01 2.65931
1000.02 2.65912
1000.03 2.65874
1000.06 2.65797
1000.11 2.65644
1000.23 2.65336
1000.45 2.64717
1000.91 2.63476
1001.81 2.60979
1003.62 2.55911
1007.23 2.45486
1014.45 2.23411
1028.91 1.73951
1043.36 1.17441
1057.81 0.583047
1065.04 0.336619
1068.65 0.254372
1070.46 0.230739
1072.26 0.222983
1074.07 0.235271
1074.97 0.250527
1075.88 0.272876
1076.78 0.303246
1077.68 0.342578
1078.59 0.392044
1079.49 0.452944
1081.30 0.615293
1083.10 0.844065
1084.91 1.15882
1086.72 1.58500
1088.52 2.15794
1090.33 2.92491
1092.14 3.95361
1093.94 5.33795
1095.75 7.21771
1097.56 9.79664
1099.36 13.3935
1101.17 18.5049
1102.98 25.9643
1104.78 37.1966
1106.59 54.8516
1108.39 84.1219
1110.20 136.344
1111.10 178.392
1112.01 238.881
1112.91 328.956
1113.81 467.605
1114.72 687.995
1115.62 1040.90
1116.81 1756.45
1118.00 2310.98
1119.19 1943.44
1120.38 1276.05
1121.76 772.116
1123.14 503.280
1124.52 353.470
1125.90 263.479
1127.28 205.520
1128.66 166.082
1131.42 117.283
1134.18 89.1718
1136.94 71.3723
1142.46 50.6631
1147.97 39.3094
1153.49 32.2879
1159.01 27.5748
1164.53 24.2191
1175.57 19.7939
1186.61 17.0290
1197.64 15.1461
1208.68 13.7830
1230.75 11.9391
1252.83 10.7408
1274.90 9.88746
1296.98 9.23554
1341.13 8.24929
1363.20 7.82642
1385.28 7.39693
1407.35 6.89668
1418.39 6.57986
1429.43 6.17039
1434.95 5.90713
1440.46 5.58145
1445.98 5.16152
1451.50 4.59178
1454.26 4.22128
1457.02 3.76931
1459.78 3.21047
1462.54 2.52176
1463.92 2.13301
1465.30 1.74156
1466.68 1.42461
1467.37 1.35541
1467.71 1.36549
1468.06 1.42017
1468.40 1.53641
1468.75 1.73753
1469.09 2.05680
1469.44 2.54248
1469.61 2.86984
1469.78 3.26592
1470.13 4.33533
1470.47 5.91954
1470.82 8.28269
1471.16 11.8952
1471.51 17.5598
1471.85 26.7931
1472.20 42.6679
1472.54 72.0408
1472.71 96.4732
1472.89 132.222
1473.06 187.114
1473.23 273.814
1473.40 416.597
1473.58 654.725
1473.79 1121.49
1474.00 1494.88
1474.21 1273.54
1474.43 847.686
1474.65 541.385
1474.88 367.330
1475.10 265.644
1475.33 202.453
1475.55 160.793
1475.78 131.921
1476.22 95.5475
1476.67 74.1240
1477.12 60.3599
1478.02 44.1245
1478.92 35.0777
1479.82 29.4272
1480.72 25.6018
1481.62 22.8594
1483.42 19.2163
1485.22 16.9247
1487.02 15.3584
1488.82 14.2237
1492.41 12.6909
1496.01 11.7048
1499.61 11.0161
1503.20 10.5066
1510.40 9.79948
1517.59 9.32759
1524.79 8.98641
1531.98 8.72547
1546.37 8.34596
1560.76 8.07649
1589.54 7.70340
1618.32 7.44364
1647.10 7.24353
1704.66 6.94050
1762.21 6.71026
1819.77 6.52242
1848.55 6.43965
1877.33 6.36291
1891.72 6.32677
1906.11 6.29277
1913.30 6.27756
1920.50 6.26662
1924.09 6.26677
1925.89 6.27118
1927.69 6.28276
1929.49 6.31228
1930.39 6.34365
1931.29 6.40220
1931.74 6.45198
1932.19 6.52805
1932.64 6.65220
1933.09 6.87384
1933.31 7.05701
1933.54 7.33067
1933.76 7.76547
1933.99 8.51236
1934.21 9.97374
1934.32 11.2950
1934.44 13.4223
1934.55 17.2364
1934.61 20.3209
1934.66 24.8453
1934.72 31.7998
1934.77 43.0857
1934.83 62.4415
1934.89 96.4986
1934.94 151.196
1935.00 186.842
1935.06 150.223
1935.12 96.5398
1935.18 59.0007
1935.24 39.5043
1935.31 28.5833
1935.37 22.2194
1935.43 18.1296
1935.50 15.4421
1935.62 12.1968
1935.75 10.3854
1935.88 9.28475
1936.13 8.07796
1936.38 7.46227
1936.64 7.10902
1936.89 6.88626
1937.14 6.73781
1937.65 6.55712
1938.16 6.45553
1939.17 6.35071
1940.19 6.29979
1941.20 6.27067
1943.23 6.23905
1945.25 6.22178
1947.28 6.21027
1951.34 6.19423
1959.45 6.17128
1967.56 6.15185
1983.78 6.11602
2000.00 6.08198
2036.15 6.00988
2072.31 5.94183
2144.61 5.81552
2289.22 5.59231
2578.45 5.21865
2789.22 4.97991
3000.00 4.75371
3078.45 4.67297
3117.67 4.63337
3127.47 4.62423
3137.28 4.61702
3142.18 4.61611
3147.08 4.62296
3149.54 4.63707
3151.99 4.68148
3153.21 4.74474
3153.83 4.80782
3154.44 4.92174
3155.05 5.16022
3155.36 5.39155
3155.66 5.79749
3155.82 6.12966
3155.97 6.61605
3156.12 7.37388
3156.28 8.64771
3156.43 11.0297
3156.51 13.0947
3156.58 16.2542
3156.66 21.5687
3156.74 31.0654
3156.78 39.0773
3156.81 50.4744
3156.85 67.3995
3156.89 92.4826
3156.95 145.375
3157.00 179.669
3157.06 144.429
3157.11 91.7708
3157.18 53.9589
3157.24 35.0668
3157.31 24.7829
3157.37 18.9008
3157.44 15.1720
3157.51 12.7439
3157.64 9.82343
3157.77 8.22413
3157.90 7.25744
3158.16 6.19985
3158.42 5.66542
3158.68 5.35863
3159.21 5.03810
3159.73 4.88266
3160.26 4.79557
3161.30 4.70628
3162.35 4.66332
3163.40 4.63914
3165.49 4.61366
3169.69 4.59234
3173.88 4.58193
3182.26 4.56879
3190.64 4.55846
3224.16 4.52173
3291.21 4.45016
3425.31 4.30283
3693.50 3.97042
3827.60 3.76687
3961.69 3.51090
4028.74 3.34758
4095.79 3.14239
4129.31 3.01547
4162.84 2.86429
4179.60 2.77668
4196.36 2.67913
4204.74 2.62649
4213.12 2.57263
4217.32 2.54752
4221.51 2.53090
4223.60 2.53528
4225.70 2.57650
4226.74 2.64708
4227.27 2.72052
4227.79 2.85525
4228.32 3.13906
4228.58 3.41322
4228.84 3.89290
4229.10 4.84480
4229.23 5.71575
4229.36 7.15662
4229.49 9.78544
4229.56 12.0087
4229.63 15.3138
4229.69 20.6807
4229.76 29.7377
4229.82 46.4416
4229.89 78.9871
4229.94 124.800
4230.00 155.580
4230.06 124.884
4230.11 79.0244
4230.15 56.5432
4230.19 41.6602
4230.23 31.7473
4230.27 24.9854
4230.35 16.7974
4230.43 12.3037
4230.52 9.57923
4230.60 7.85211
4230.76 5.84625
4230.92 4.76902
4231.08 4.13268
4231.40 3.44506
4231.72 3.09995
4232.04 2.90306
4232.68 2.69603
4233.32 2.59364
4233.96 2.53422
4235.24 2.46836
4237.81 2.40576
4240.37 2.36848
4245.50 2.31058
4250.63 2.25701
4260.88 2.14647
4271.14 2.02506
4291.65 1.73515
4312.16 1.35759
4322.42 1.12497
4332.67 0.858703
4342.93 0.564399
4353.19 0.281308
4355.75 0.226484
4358.31 0.186798
4360.88 0.170437
4363.44 0.189694
4366.01 0.263367
4367.29 0.329213
4368.57 0.420846
4369.85 0.544772
4371.13 0.709360
4373.70 1.20738
4376.26 2.05070
4378.83 3.48653
4381.39 5.99439
4383.95 10.5830
4385.24 14.2946
4386.52 19.6107
4387.80 27.4490
4389.08 39.4213
4390.36 58.5005
4391.65 90.4360
4392.93 146.628
4394.21 247.941
4395.61 430.079
4397.00 581.042
4398.40 501.326
4399.79 337.152
4400.96 237.180
4402.14 172.833
4403.31 131.242
4404.48 103.464
4406.83 70.2109
4409.17 51.9155
4411.51 40.7378
4413.86 33.3714
4418.55 24.4647
4423.24 19.4018
4427.93 16.1962
4432.62 14.0078
4437.30 12.4296
4446.68 10.3208
4456.06 8.98566
4465.44 8.06823
4474.82 7.39999
4493.57 6.49125
4512.33 5.89976
4531.09 5.48092
4549.84 5.16597
4587.36 4.71581
4624.87 4.39965
4699.90 3.95559
4774.92 3.62423
4849.95 3.33620
5000.00 2.77261
5147.11 2.11801
5220.66 1.70548
5294.21 1.20505
5330.99 0.917013
5367.76 0.609840
5404.54 0.310720
5422.93 0.188071
5432.12 0.142547
5441.32 0.113761
5445.91 0.107719
5450.51 0.108665
5455.11 0.117915
5459.70 0.137039
5464.30 0.167921
5468.90 0.212822
5473.50 0.274477
5478.09 0.356204
5487.29 0.596978
5496.48 0.980070
5505.67 1.57498
5514.87 2.49254
5524.06 3.91591
5533.26 6.16105
5542.45 9.80203
5551.64 15.9495
5560.84 26.9221
5565.44 35.6592
5570.03 48.0123
5574.63 65.8984
5579.23 92.4186
5583.82 132.475
5588.42 192.972
5595.71 340.738
5603.00 467.472
5610.29 408.700
5617.58 278.272
5622.15 215.131
5626.72 169.125
5635.86 111.857
5645.00 80.2559
5654.14 61.2937
5663.28 49.0454
5672.42 40.6555
5690.70 30.1408
5708.97 23.9654
5727.25 19.9730
5763.81 15.1940
5800.37 12.4702
5836.93 10.7217
5873.48 9.50433
5910.04 8.60492
5983.16 7.35116
6056.27 6.49689
6202.50 5.32243
6348.73 4.40226
6421.85 3.93385
6494.96 3.39886
6568.08 2.71608
6604.63 2.27381
6641.19 1.72369
6659.47 1.39645
6677.75 1.03201
6696.03 0.643094
6714.31 0.291147
6718.88 0.229237
6723.45 0.189692
6728.02 0.183293
6732.58 0.225840
6734.87 0.272436
6737.15 0.340940
6739.44 0.436256
6741.72 0.564499
6746.29 0.952500
6750.86 1.59458
6755.43 2.64007
6760.00 4.34675
6764.57 7.18340
6769.14 12.0535
6773.71 20.8362
6776.00 27.8513
6778.28 37.7605
6780.57 52.0737
6782.85 73.1829
6785.14 104.816
6787.42 152.139
6791.21 274.030
6795.00 382.970
6798.79 340.531
6802.58 235.379
6805.67 170.893
6808.75 127.992
6811.84 99.5505
6814.92 80.1383
6821.09 56.3486
6827.26 42.9106
6833.43 34.5338
6839.60 28.9178
6851.94 21.9925
6864.27 17.9630
6876.61 15.3607
6888.95 13.5536
6901.29 12.2304
6925.97 10.4264
6950.65 9.25441
6975.32 8.42934
7000.00 7.81412
7062.50 6.77171
7125.00 6.11075
7187.50 5.63755
7250.00 5.26969
7375.00 4.70374
7500.00 4.25194
7647.55 3.77344
7795.11 3.30722
7942.66 2.81298
8090.21 2.24913
8237.76 1.56171
8311.54 1.15307
8385.32 0.704806
8459.09 0.289237
8477.54 0.222186
8486.76 0.201552
8495.98 0.192875
8505.20 0.199587
8514.42 0.226137
8523.65 0.278339
8532.87 0.363861
8542.09 0.492924
8551.31 0.679315
8560.53 0.941868
8569.76 1.30670
8578.98 1.81063
8588.20 2.50654
8597.42 3.47202
8606.64 4.82364
8615.87 6.74142
8625.09 9.51203
8634.31 13.6082
8643.53 19.8397
8652.75 29.6509
8661.98 45.7095
8671.20 72.9915
8680.42 120.004
8691.71 214.823
8703.00 298.303
8714.29 263.581
8725.58 181.142
8735.05 129.679
8744.52 96.0002
8754.00 73.9681
8763.47 59.0792
8782.41 41.0173
8801.35 30.9016
8820.30 24.6250
8839.24 20.4232
8877.12 15.2345
8915.01 12.1920
8952.89 10.1990
9028.67 7.72365
9104.44 6.19839
9180.21 5.10929
9331.75 3.49474
9483.29 2.13530
9559.06 1.46901
9634.84 0.816002
9672.72 0.519501
9691.66 0.390917
9710.61 0.285094
9720.08 0.244251
9729.55 0.214045
9739.02 0.197019
9748.49 0.196382
9757.97 0.216195
9767.44 0.261633
9776.91 0.339363
9786.38 0.458042
9795.85 0.629056
9805.32 0.867465
9814.79 1.19363
9824.26 1.63519
9833.74 2.23068
9843.21 3.03426
9852.68 4.12418
9862.15 5.61567
9871.62 7.68324
9881.09 10.5974
9890.56 14.7938
9900.04 20.9931
9909.51 30.4347
9918.98 45.2948
9928.45 69.3930
9937.92 108.762
9950.46 191.466
9963.00 260.858
9975.54 225.604
9988.08 151.362
10000.0 101.267
10010.6 73.2978
10021.3 55.1337
10031.9 42.8666
10042.5 34.2319
10063.7 23.1341
10085.0 16.4318
10106.2 11.9553
10127.5 8.72770
10170.0 4.28844
10191.2 2.69964
10212.4 1.47588
10223.1 1.02869
10233.7 0.730424
10239.0 0.652376
10244.3 0.633358
10249.6 0.685014
10254.9 0.822091
10260.3 1.06387
10265.6 1.43336
10270.9 1.96148
10276.2 2.68763
10286.8 4.95413
10297.4 8.86391
10308.0 15.5279
10318.7 26.9480
10329.3 46.7369
