Ge-74(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 33.2721
1.25000E-05 30.5168
1.50000E-05 28.4829
2.00000E-05 25.6280
2.75000E-05 22.9116
3.50000E-05 21.1238
4.25000E-05 19.8332
5.00000E-05 18.8452
6.25000E-05 17.6130
7.50000E-05 16.7034
0.000100000 15.4267
0.000125000 14.5554
0.000150000 13.9122
0.000200000 13.0094
0.000275000 12.1504
0.000350000 11.5851
0.000425000 11.1769
0.000500000 10.8645
0.000625000 10.4748
0.000750000 10.1872
0.00100000 9.78347
0.00125000 9.50794
0.00150000 9.30455
0.00200000 9.01906
0.00275000 8.74741
0.00350000 8.56863
0.00425000 8.43957
0.00500000 8.34077
0.00625000 8.21754
0.00750000 8.12658
0.0100000 7.99890
0.0125000 7.91176
0.0150000 7.84744
0.0200000 7.75714
0.0253000 7.69241
0.0314750 7.63872
0.0376500 7.59884
0.0500000 7.54256
0.0625000 7.50355
0.0750000 7.47475
0.100000 7.43431
0.125000 7.40668
0.150000 7.38627
0.200000 7.35758
0.275000 7.33020
0.350000 7.31210
0.500000 7.28889
0.750000 7.26676
1.00000 7.25328
1.50000 7.23673
2.00000 7.22629
2.75000 7.21559
3.50000 7.20784
5.00000 7.19644
7.50000 7.18270
10.0000 7.17172
15.0000 7.15313
20.0000 7.13657
27.5000 7.11347
35.0000 7.09148
50.0000 7.04936
75.0000 6.98239
100.000 6.91815
150.000 6.79590
200.000 6.68062
275.000 6.51876
350.000 6.36834
500.000 6.09552
750.000 5.70247
1000.00 5.36004
1500.00 4.74112
1750.00 4.42601
2000.00 4.07146
2213.46 3.69454
2320.19 3.45427
2426.92 3.14915
2533.65 2.72541
2587.02 2.43363
2640.38 2.04901
2667.06 1.80479
2693.75 1.51206
2720.43 1.15731
2747.11 0.731033
2760.45 0.496885
2773.79 0.268750
2780.46 0.170831
2783.80 0.130709
2787.13 0.0995063
2790.47 0.0804244
2793.81 0.0777533
2797.14 0.0972435
2800.48 0.146727
2802.14 0.185950
2803.81 0.237016
2807.15 0.383101
2810.48 0.606403
2813.82 0.937572
2817.15 1.42221
2820.49 2.12861
