Sb-121(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
55.4849 0.413350
55.6314 0.337537
55.9244 0.252312
56.2175 0.203006
56.8036 0.147459
57.3897 0.118017
58.5618 0.0910192
59.7340 0.0836766
60.9062 0.0899126
61.4923 0.100326
62.0784 0.120774
62.6644 0.164756
62.9575 0.207935
63.2505 0.285262
63.5436 0.445802
63.6901 0.600882
63.8366 0.874223
63.9831 1.42598
64.0564 1.94163
64.1297 2.81604
64.2029 4.47467
64.2396 5.92336
64.2762 8.20626
64.3128 12.0848
64.3494 19.3673
64.3678 25.5705
64.3861 34.9315
64.4044 49.5253
64.4227 72.3700
64.4464 115.746
64.4700 144.654
64.4937 115.704
64.5173 72.3174
64.5353 49.8143
64.5532 35.3256
64.5712 25.9592
64.5892 19.7236
64.6251 12.3555
64.6610 8.40970
64.6970 6.07869
64.7329 4.59668
64.8048 2.89670
64.8766 1.99927
64.9485 1.47006
65.0922 0.904441
65.2360 0.625334
65.3797 0.468028
65.6671 0.307621
65.9546 0.233082
66.2421 0.193942
66.8170 0.160313
67.9668 0.159160
69.1167 0.204255
69.6916 0.248708
70.2665 0.319034
70.8414 0.436246
71.4163 0.650364
71.7038 0.830336
71.9913 1.10422
72.2787 1.55074
72.5662 2.35255
72.7099 3.01764
72.8536 4.01772
72.9974 5.62207
73.1411 8.43610
73.2848 14.0638
73.3567 19.2666
73.4286 27.9788
73.5004 44.1885
73.5364 58.0548
73.5723 79.4397
73.6082 114.666
73.6441 177.784
73.6621 229.047
73.6801 302.954
73.6980 411.776
73.7160 571.419
73.7430 914.073
73.7700 1142.34
73.7970 913.694
73.8240 570.966
73.8547 329.964
73.8854 205.071
73.9161 137.199
73.9468 97.4031
73.9775 72.4011
74.0082 55.7966
74.0696 35.9174
74.1310 24.9850
74.1924 18.3617
74.3151 11.1011
74.4379 7.42696
74.5607 5.31748
74.6835 3.99650
74.8063 3.11535
75.0518 2.05032
75.2974 1.45622
75.5430 1.09170
75.7885 0.852333
76.2797 0.568032
76.7708 0.412789
77.2619 0.319577
77.7531 0.259947
78.7353 0.193025
79.7176 0.161847
81.6821 0.150930
83.6466 0.193855
84.6289 0.248241
85.6112 0.351332
86.1023 0.438454
86.5934 0.570529
87.0846 0.784025
87.5757 1.16262
87.8213 1.47336
88.0668 1.93697
88.3124 2.67565
88.5579 3.96659
88.8035 6.56300
88.9263 9.00169
89.0491 13.1936
89.1719 21.3934
89.2333 28.8436
89.2946 41.1471
89.3560 63.6503
89.3867 82.6195
89.4174 111.465
89.4481 158.145
89.4788 239.663
89.4942 304.268
89.5095 395.410
89.5249 526.004
89.5402 712.070
89.5651 1138.00
89.5900 1422.20
89.6149 1138.22
89.6398 712.800
89.6580 499.055
89.6762 359.257
89.6944 267.694
89.7126 206.171
89.7490 133.012
89.7855 93.9515
89.8219 71.3735
89.8583 57.7564
89.9311 45.1262
90.0039 45.1940
90.0403 50.3028
90.0768 60.7711
90.1132 80.6967
90.1496 120.024
90.1678 154.054
90.1860 205.616
90.2042 286.001
90.2133 342.003
90.2224 411.470
90.2343 523.866
90.2462 652.356
90.2700 812.702
90.2819 765.044
90.2938 651.121
90.3176 409.128
90.3448 238.386
90.3719 149.920
90.3990 101.755
90.4262 73.4116
90.4533 55.5215
90.4805 43.5711
90.5347 29.1181
90.5890 21.0295
90.6433 16.0300
90.7519 10.3749
90.8605 7.37494
90.9690 5.56900
91.1862 3.56273
91.4033 2.51596
91.6204 1.90860
91.8376 1.60475
91.9461 1.72389
92.0004 2.15013
92.0276 2.70945
92.0547 3.85956
92.1000 6.51219
92.1453 3.76724
92.1760 2.45529
92.2067 1.83752
92.2680 1.32677
92.3908 0.996543
92.6362 0.759025
93.1271 0.532797
93.6181 0.403344
94.1090 0.318803
95.0908 0.217617
96.0727 0.161570
98.0363 0.105541
100.000 0.0809316
102.664 0.0687509
105.328 0.0737540
106.659 0.0871042
107.991 0.122029
108.657 0.162442
109.323 0.249985
109.656 0.339057
109.989 0.508071
110.156 0.660237
110.322 0.921457
110.405 1.14377
110.489 1.52299
110.530 1.85196
110.572 2.41380
110.613 3.57658
110.634 4.70303
110.655 6.57053
110.678 9.60022
110.700 11.6573
110.745 7.09018
110.779 4.84296
110.814 4.09961
110.882 4.18659
110.951 5.26798
111.019 7.41682
111.088 11.6208
111.122 15.3035
111.156 21.0581
111.190 30.7628
111.225 48.6149
111.242 63.6324
111.259 85.7836
111.276 119.495
111.293 170.889
111.305 219.007
111.317 273.565
111.340 342.091
111.364 273.497
111.387 170.800
111.402 124.887
111.417 93.0436
111.447 55.6752
111.476 36.3625
111.506 25.4087
111.536 18.6856
111.565 14.2921
111.625 9.11719
111.684 6.31494
111.744 4.63365
111.862 2.80686
111.981 1.88920
112.100 1.36535
112.219 1.03835
112.338 0.820741
112.575 0.558398
112.813 0.412714
113.288 0.265749
113.764 0.197895
114.239 0.162173
115.189 0.130715
117.090 0.125289
118.992 0.156654
120.893 0.238334
121.843 0.321122
122.794 0.471209
123.269 0.596831
123.744 0.787711
124.220 1.09909
124.695 1.66041
124.933 2.12915
125.170 2.83899
125.408 3.99116
125.646 6.04701
125.764 7.74460
125.883 10.2823
126.002 14.3251
126.121 21.3458
126.180 26.9762
126.240 35.1672
126.299 47.7283
126.358 68.3779
