Ti-49(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
14782.6 1.75958
14783.1 1.23258
14784.2 0.688696
14785.3 0.438652
14787.6 0.221241
14789.8 0.133144
14794.2 0.0634666
14798.7 0.0371349
14807.6 0.0173724
14816.5 0.0101842
14852.1 0.00304258
14923.3 0.00120647
15065.7 0.000745760
15350.6 0.000644530
15920.3 0.000666316
16490.0 0.000747479
16774.9 0.000815779
16917.3 0.000881066
16988.5 0.00100917
17024.1 0.00144278
17041.9 0.00310759
17050.8 0.00951554
17055.3 0.0333803
17057.5 0.116669
17058.6 0.368241
17059.2 0.975691
17059.5 1.99477
17059.6 3.12258
17059.7 4.99055
17059.9 8.11048
17060.0 9.99668
17060.1 7.87317
17060.3 4.99059
17060.5 2.55597
17060.7 1.46771
17061.0 0.641634
17061.8 0.224996
17063.3 0.0679556
17066.3 0.0192204
17072.3 0.00569545
17084.3 0.00212730
17108.4 0.00121909
17156.5 0.00100488
17252.7 0.000986492
17445.1 0.00107030
17830.0 0.00138940
18022.4 0.00167806
18214.9 0.00216420
18407.3 0.00311611
18503.5 0.00403721
18551.6 0.00492544
18575.7 0.00638887
18587.7 0.0108395
18593.7 0.0270124
18596.7 0.0849184
18598.2 0.271068
18599.0 0.762709
18599.4 1.72825
18599.5 2.98183
18599.7 5.51254
18599.9 8.82149
18600.0 11.0294
18600.1 8.82150
18600.3 5.51259
18600.5 2.88937
18600.7 1.68441
18601.0 0.749270
18601.8 0.265427
18603.3 0.0836336
18606.3 0.0269917
18612.4 0.0112603
18624.5 0.00733241
18648.6 0.00685548
18697.0 0.00815647
18745.3 0.0104374
18793.6 0.0140788
18842.0 0.0202610
18890.3 0.0318226
18914.5 0.0416263
18938.7 0.0563688
18962.8 0.0792173
18987.0 0.114760
19018.5 0.182365
19050.0 0.226879
19081.5 0.181615
19113.0 0.114064
19140.7 0.0746825
19168.4 0.0510202
19196.2 0.0365972
19223.9 0.0274187
19279.3 0.0170706
19334.8 0.0117817
19390.2 0.00875887
19445.6 0.00688755
19501.1 0.00565903
19556.5 0.00481673
19667.4 0.00378742
19778.3 0.00323239
19889.1 0.00292785
20000.0 0.00277269
20112.8 0.00271684
20225.6 0.00273770
20338.4 0.00282303
20451.3 0.00296955
20564.1 0.00318108
20676.9 0.00346848
20789.7 0.00385188
20902.5 0.00436530
21015.3 0.00506663
21128.1 0.00605838
21240.9 0.00753631
21353.8 0.00991331
21466.6 0.0141932
21523.0 0.0178042
21579.4 0.0233648
21635.8 0.0326106
21692.2 0.0495979
21720.4 0.0638388
21748.6 0.0850644
21776.8 0.117667
21805.0 0.167946
21842.5 0.265413
21861.3 0.311115
21880.0 0.329974
21917.5 0.264963
21955.0 0.168247
21977.5 0.127135
21999.9 0.0981146
22022.4 0.0777766
22044.9 0.0633545
22067.4 0.0529449
22089.8 0.0452946
22134.8 0.0352614
22179.7 0.0294311
22224.6 0.0260155
22269.6 0.0241142
22314.5 0.0232503
22404.4 0.0237194
22494.3 0.0265423
22584.1 0.0316964
22674.0 0.0395082
22837.0 0.0600071
23000.0 0.0732039
23081.5 0.0685032
23163.0 0.0581390
23326.0 0.0366152
23444.4 0.0259315
23562.7 0.0189219
23681.0 0.0143107
23799.4 0.0111985
24036.1 0.00748195
24272.8 0.00549161
24509.4 0.00434496
24746.1 0.00366306
25219.5 0.00308024
25692.9 0.00323329
25929.6 0.00364542
26166.3 0.00445733
26402.9 0.00606294
26521.3 0.00745617
26639.6 0.00960393
26758.0 0.0131176
26876.3 0.0193241
26994.7 0.0313419
27053.8 0.0415398
27113.0 0.0562109
27206.5 0.0889303
27300.0 0.110366
27393.5 0.0881773
27487.0 0.0555098
27559.0 0.0384569
27631.0 0.0275675
27703.1 0.0205766
27775.1 0.0159503
27919.1 0.0105341
28063.1 0.00767786
28207.2 0.00602954
28351.2 0.00502324
28495.2 0.00442387
28567.2 0.00438244
28603.2 0.00502822
28621.2 0.00781567
28630.2 0.0180587
28634.7 0.0517946
28637.0 0.144257
28638.1 0.333252
28638.7 0.588682
28639.2 1.19269
28640.0 2.38267
28640.8 1.19271
28641.7 0.387055
28642.7 0.177053
28644.6 0.0655875
28648.5 0.0225630
28656.2 0.00904166
28671.7 0.00521940
28702.5 0.00415557
28764.3 0.00379305
28887.9 0.00357927
29135.1 0.00345750
29382.2 0.00357612
29505.8 0.00382115
29567.6 0.00439601
29598.5 0.00634661
29613.9 0.0135929
29621.6 0.0397130
29625.5 0.125336
29627.4 0.358952
29628.4 0.834102
29628.9 1.47097
29629.3 2.96672
29629.7 4.72782
29630.0 5.93126
29630.3 4.72784
29630.7 2.96676
29631.0 1.82958
29631.3 1.18595
29632.0 0.592012
29633.3 0.229092
29635.9 0.0750874
29641.2 0.0240399
29651.7 0.00929581
29672.8 0.00539892
29715.0 0.00465490
29757.2 0.00569662
29778.2 0.0101680
29788.8 0.0267656
29794.1 0.0838657
29796.7 0.254715
29798.0 0.652099
29798.7 1.29161
29799.0 1.97373
29799.3 3.17011
29799.7 5.04659
29800.0 6.33831
29800.3 5.04662
29800.7 3.17015
29801.1 1.77117
29801.5 1.07420
29802.3 0.498079
29804.0 0.182222
29807.2 0.0583823
29813.8 0.0191685
29826.9 0.00813673
29853.1 0.00524343
29905.6 0.00459158
30010.5 0.00466669
30220.3 0.00536489
30430.1 0.00648041
30639.8 0.00824631
30849.6 0.0113120
31059.4 0.0176936
31164.3 0.0242063
31269.2 0.0369171
31321.7 0.0485685
31374.1 0.0679682
31426.6 0.103412
31452.8 0.132786
31479.0 0.176351
31499.8 0.228101
31520.7 0.309624
31541.5 0.470406
31551.9 0.635577
31562.3 0.944507
31571.2 1.36460
31580.0 1.64281
31588.9 1.36381
31597.7 0.943781
31608.1 0.634975
31618.5 0.470261
31639.4 0.310459
31660.2 0.229927
31681.0 0.179272
31708.0 0.136006
31735.0 0.107506
31776.6 0.0800844
31818.1 0.0639206
31901.3 0.0476664
32067.5 0.0385286
32400.0 0.0370307
32732.5 0.0282892
33065.0 0.0179678
33326.1 0.0126567
33587.1 0.00934109
33848.2 0.00728177
33978.8 0.00659836
34044.0 0.00647010
34076.7 0.00702492
34093.0 0.00960194
34101.1 0.0191216
34105.2 0.0503132
34107.3 0.134814
34108.3 0.302994
34109.3 1.02908
34110.0 2.05288
34110.7 1.02909
34111.3 0.473516
34111.9 0.258480
34113.1 0.109996
34115.4 0.0404829
34120.2 0.0159415
34129.6 0.00858306
34148.5 0.00651050
34186.3 0.00585224
34261.8 0.00547466
34412.9 0.00504484
34715.0 0.00454089
35017.2 0.00437368
35168.3 0.00446272
35243.8 0.00479078
35281.6 0.00596210
35300.5 0.0103745
35309.9 0.0265718
35314.6 0.0814638
35317.0 0.240544
35318.2 0.592579
35318.7 1.12496
35319.3 2.58840
35320.0 5.17304
35320.7 2.58843
35321.1 1.41890
35321.5 0.849015
35322.3 0.388466
35324.0 0.141297
35327.4 0.0459483
35334.1 0.0159033
35347.5 0.00748505
35374.3 0.00528021
35428.0 0.00477036
35535.3 0.00479445
35750.0 0.00530650
35857.3 0.00573081
35964.6 0.00633191
36071.9 0.00732249
36125.6 0.00862542
36152.4 0.0119567
36165.8 0.0234730
36172.5 0.0633994
36175.9 0.186131
36177.6 0.488096
36178.4 1.01102
36178.8 1.61026
36179.2 2.72830
36179.6 4.35229
36180.0 5.45080
36180.4 4.35231
36180.8 2.72835
36181.3 1.35168
36181.9 0.765290
36183.0 0.330970
36185.3 0.117950
36189.8 0.0405927
36198.8 0.0172333
36216.9 0.0110279
36253.1 0.00992698
36325.4 0.0110148
36397.7 0.0130630
36470.0 0.0160171
36700.0 0.0271441
36815.0 0.0237342
36930.0 0.0198196
36949.6 0.0234292
36959.5 0.0388648
36964.4 0.0917834
36966.8 0.243034
36968.1 0.572077
36968.7 1.05109
36969.3 2.28613
36970.0 4.55663
36970.7 2.28611
36971.4 1.00482
36972.0 0.529502
36973.4 0.221522
36976.0 0.0831067
36981.2 0.0356588
36991.8 0.0215086
37012.8 0.0172683
37054.9 0.0155426
37139.0 0.0144824
37307.4 0.0146083
37475.7 0.0163200
37644.0 0.0192014
37833.0 0.0236397
38022.0 0.0288432
38400.0 0.0350321
38589.0 0.0327005
38778.0 0.0276823
39156.0 0.0173393
39575.2 0.0102691
39994.3 0.00654476
40413.5 0.00448788
40832.6 0.00326479
41251.8 0.00248795
41670.9 0.00196893
42090.1 0.00162056
42299.6 0.00154533
42404.4 0.00174019
42456.8 0.00271005
42483.0 0.00654212
42496.1 0.0208721
