32-Ge_n-g
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
2.259500e+02 6.16425335e+00
2.259800e+02 5.84886309e+00
2.261660e+02 4.53623625e+00
2.265390e+02 2.94899432e+00
2.269110e+02 2.06707214e+00
2.272830e+02 1.52906397e+00
2.280280e+02 9.35601355e-01
2.287730e+02 6.33378319e-01
2.295180e+02 4.59092283e-01
2.302620e+02 3.49541231e-01
2.310070e+02 2.76238470e-01
2.324970e+02 1.87244124e-01
2.339860e+02 1.37287311e-01
2.354760e+02 1.06435014e-01
2.369650e+02 8.60343762e-02
2.389250e+02 6.99254201e-02
2.399440e+02 6.16032404e-02
2.421690e+02 5.15747062e-02
2.429230e+02 4.82702577e-02
2.454130e+02 4.29892685e-02
2.470340e+02 4.01022572e-02
2.478450e+02 3.90831221e-02
2.486560e+02 3.87611896e-02
2.488810e+02 3.91499053e-02
2.494670e+02 4.08965028e-02
2.498730e+02 4.36740801e-02
2.502780e+02 4.89685869e-02
2.504810e+02 5.34727859e-02
2.506840e+02 6.03032900e-02
2.508860e+02 7.12846300e-02
2.510890e+02 9.04304668e-02
2.512920e+02 1.28088309e-01
2.513930e+02 1.62141390e-01
2.514950e+02 2.17652454e-01
2.515960e+02 3.16923991e-01
2.516470e+02 3.98333567e-01
2.516970e+02 5.18319683e-01
2.517480e+02 7.04799625e-01
2.517990e+02 1.01134587e+00
2.518490e+02 1.54651598e+00
2.519000e+02 2.50696788e+00
2.519500e+02 3.99113665e+00
2.520000e+02 4.98005252e+00
2.520500e+02 3.99179978e+00
2.521000e+02 2.50773417e+00
2.521300e+02 1.86743402e+00
2.521610e+02 1.41530532e+00
2.522210e+02 8.72366133e-01
2.522820e+02 5.85630468e-01
2.523420e+02 4.20658567e-01
2.524030e+02 3.18268867e-01
2.524630e+02 2.51011006e-01
2.525840e+02 1.71200981e-01
2.527050e+02 1.27618918e-01
2.528260e+02 1.01336942e-01
2.530680e+02 7.25468862e-02
2.533110e+02 5.79180545e-02
2.535530e+02 4.94313091e-02
2.537950e+02 4.40291751e-02
2.540370e+02 4.03434347e-02
2.545210e+02 3.56878843e-02
2.548390e+02 3.38322092e-02
2.550050e+02 3.29517970e-02
2.559740e+02 3.00865410e-02
2.569420e+02 2.84614774e-02
2.579100e+02 2.73366900e-02
2.598470e+02 2.56956830e-02
2.607970e+02 2.50840704e-02
2.637200e+02 2.43217800e-02
2.675940e+02 2.36012649e-02
2.727130e+02 2.28093960e-02
2.750000e+02 2.32787903e-02
2.830880e+02 2.50027068e-02
2.846290e+02 2.53455570e-02
2.905870e+02 2.88067935e-02
2.965450e+02 3.49117875e-02
3.025030e+02 4.63836565e-02
3.054820e+02 5.63069935e-02
3.084610e+02 7.21470680e-02
3.099510e+02 8.41043433e-02
3.106950e+02 9.17259586e-02
3.114400e+02 1.00871982e-01
3.121850e+02 1.12041531e-01
3.129300e+02 1.25969305e-01
3.136740e+02 1.43793021e-01
3.140750e+02 1.56464849e-01
3.144190e+02 1.67336134e-01
3.151640e+02 1.99725901e-01
3.159090e+02 2.46670944e-01
3.166530e+02 3.19654450e-01
3.170260e+02 3.72952839e-01
3.173980e+02 4.44643543e-01
3.177700e+02 5.44845721e-01
3.181430e+02 6.91681960e-01
3.185150e+02 9.20488413e-01
3.188880e+02 1.30759558e+00
3.190740e+02 1.61123792e+00
3.192600e+02 2.04432851e+00
