Ge-73(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 739.562
1.25000E-05 661.485
1.50000E-05 603.850
2.00000E-05 522.950
2.75000E-05 445.973
3.50000E-05 395.313
4.25000E-05 358.740
5.00000E-05 330.742
6.25000E-05 295.825
7.50000E-05 270.050
0.000100000 233.870
0.000125000 209.180
0.000150000 190.954
0.000200000 165.371
0.000275000 141.029
0.000350000 125.009
0.000425000 113.443
0.000500000 104.590
0.000625000 93.5476
0.000750000 85.3968
0.00100000 73.9556
0.00125000 66.1478
0.00150000 60.3842
0.00200000 52.2941
0.00275000 44.5962
0.00350000 39.5301
0.00425000 35.8727
0.00500000 33.0728
0.00625000 29.5809
0.00750000 27.0033
0.0100000 23.3850
0.0125000 20.9158
0.0150000 19.0930
0.0200000 16.5343
0.0253000 14.7001
0.0314750 13.1788
0.0376500 12.0491
0.0500000 10.4546
0.0625000 9.34984
0.0750000 8.53430
0.100000 7.38936
0.125000 6.60785
0.150000 6.03085
0.200000 5.22068
0.275000 4.44943
0.350000 3.94156
0.500000 3.29370
0.750000 2.68391
1.00000 2.31980
1.50000 1.88700
2.00000 1.62839
2.75000 1.38180
3.50000 1.21930
5.00000 1.01225
7.50000 0.818998
10.0000 0.706141
15.0000 0.579408
20.0000 0.513414
27.5000 0.468472
35.0000 0.462531
50.0000 0.546903
62.5000 0.768990
68.7500 0.994225
75.0000 1.39216
78.1250 1.71409
81.2500 2.18565
84.3750 2.91607
87.5000 4.13705
90.6250 6.41446
92.1875 8.37909
93.7500 11.4517
95.3125 16.6552
96.8750 26.5282
97.6563 35.1711
98.4375 48.8478
99.2188 72.2802
100.000 117.059
100.433 161.336
100.865 233.917
101.298 360.200
101.730 586.538
102.160 937.645
102.590 1167.68
103.020 928.188
103.450 577.344
103.827 375.159
104.204 254.062
104.582 180.313
104.959 133.408
105.713 80.4908
106.467 53.3863
107.222 37.8369
107.976 28.1477
109.484 17.2548
110.993 11.6181
112.502 8.33899
114.010 6.26903
115.519 4.88134
118.536 3.19782
121.553 2.25709
124.570 1.68052
127.588 1.30299
133.622 0.857641
139.656 0.618116
145.691 0.478022
151.725 0.392744
163.794 0.315072
175.863 0.331273
181.897 0.394196
187.931 0.554704
190.949 0.728896
193.966 1.07460
195.474 1.39382
196.983 1.93264
198.492 2.95871
199.246 3.86633
200.000 5.32552
200.474 6.75118
200.948 8.88161
201.421 12.2752
201.658 14.7831
201.895 18.1692
202.132 22.9008
202.369 29.7915
202.606 40.3757
202.843 57.8096
203.079 89.4723
203.198 115.899
203.316 155.592
203.435 218.742
203.553 326.077
203.672 522.910
203.731 681.656
203.790 901.121
203.895 1442.97
204.000 1804.34
204.105 1441.65
204.210 899.745
204.289 622.277
204.367 442.718
204.446 326.099
204.525 248.134
204.682 155.692
204.840 106.025
204.997 76.5972
205.154 57.8603
205.469 36.3250
205.784 24.9419
206.098 18.2237
206.728 11.0431
207.357 7.50442
207.987 5.51699
209.245 3.51358
210.504 2.62044
211.763 2.20365
214.281 2.07814
216.798 2.72404
218.057 3.52670
219.316 5.03377
219.945 6.29463
220.575 8.18433
221.204 11.1845
221.833 16.3458
222.148 20.4392
222.463 26.3262
222.778 35.2129
223.092 49.4984
223.407 74.4785
223.564 94.5353
223.722 123.538
223.879 167.346
224.036 236.659
224.194 351.672
224.351 545.568
224.526 872.303
224.700 1089.40
224.875 870.845
225.049 544.104
225.235 324.659
225.421 206.398
225.608 140.219
225.794 100.611
225.980 75.3798
226.166 58.4427
226.539 37.9622
226.911 26.5826
227.283 19.6406
228.028 11.9831
228.773 8.08353
229.518 5.83476
230.262 4.42128
231.007 3.47552
232.497 2.32737
233.986 1.68293
235.476 1.28500
236.965 1.02193
239.944 0.706336
242.923 0.531420
248.881 0.355460
254.839 0.275821
260.797 0.237063
272.713 0.218437
284.629 0.255153
290.587 0.301068
296.545 0.381096
302.503 0.530374
305.482 0.659044
308.461 0.864059
309.951 1.01866
310.695 1.11716
311.440 1.23533
312.185 1.37961
312.930 1.55948
313.674 1.78962
314.419 2.09355
315.164 2.51162
315.909 3.11750
316.653 4.05936
317.026 4.74715
317.398 5.67226
317.770 6.96526
318.143 8.85999
318.515 11.8124
318.888 16.8074
319.074 20.7254
319.260 26.3137
319.446 34.6708
319.632 47.9523
319.819 70.8222
320.005 114.713
320.098 152.967
320.191 212.090
320.284 307.055
320.377 461.023
320.489 736.858
320.600 920.702
320.712 736.433
320.823 460.650
320.911 313.353
320.999 220.195
321.087 160.888
321.175 121.860
321.351 76.3403
321.527 52.2763
321.703 38.1990
321.879 29.3194
322.231 19.2526
322.583 14.0479
322.935 11.0709
323.639 8.12713
324.343 6.99920
325.047 6.74434
326.455 7.87904
327.159 9.28435
327.863 11.5079
328.567 15.0370
329.271 20.8911
329.975 31.3964
330.327 39.9973
330.679 52.6592
331.031 72.1980
331.383 104.054
331.735 159.016
332.087 256.419
332.444 409.598
332.800 511.157
333.157 408.522
333.513 255.335
333.779 177.158
334.044 126.392
334.310 93.3135
334.575 71.1436
335.106 44.7854
335.637 30.5845
336.168 22.1606
336.699 16.7882
337.761 10.6075
338.824 7.33686
339.886 5.40616
342.010 3.34752
344.134 2.34564
346.258 1.80259
350.507 1.34270
354.755 1.36939
356.879 1.59090
359.003 2.08019
361.128 3.17616
362.190 4.25001
363.252 6.13003
364.314 9.84036
364.845 13.2087
365.376 18.7294
365.907 28.6652
366.173 36.8722
366.438 49.0872
366.704 68.2379
366.969 100.181
367.235 157.123
367.500 262.426
367.750 419.518
368.000 523.918
368.250 418.864
368.500 261.775
368.659 191.349
368.818 142.550
369.135 85.1584
369.453 55.5736
369.771 38.8288
370.088 28.5614
370.406 21.8587
371.041 13.9732
371.677 9.70660
372.312 7.14859
373.583 4.36986
374.853 2.97429
376.124 2.17610
378.665 1.34511
381.207 0.945198
383.748 0.725515
388.831 0.520982
393.913 0.478908
396.455 0.515878
398.996 0.621798
401.537 0.883977
402.808 1.15453
404.078 1.64886
404.714 2.06214
405.349 2.68570
405.984 3.68850
406.620 5.45028
407.255 8.97789
407.573 12.2405
407.890 17.7035
408.208 27.8700
408.367 36.5648
408.526 49.9719
408.685 72.0699
408.843 111.634
408.923 143.747
409.002 190.057
409.082 258.183
409.161 358.150
409.281 572.992
409.400 716.128
409.520 572.669
409.639 357.818
409.718 258.415
409.797 190.515
409.955 112.163
410.112 72.4870
410.270 50.3083
410.428 36.8158
410.586 28.0640
410.901 17.8235
411.216 12.3123
411.532 9.02112
412.163 5.45892
412.794 3.67707
413.425 2.66120
414.056 2.02778
414.686 1.60637
415.948 1.09790
417.210 0.814317
419.734 0.525215
422.257 0.388198
424.781 0.312977
429.828 0.239470
439.923 0.201644
450.018 0.226342
460.112 0.321748
465.160 0.424381
470.207 0.612116
472.731 0.768209
475.254 1.00217
477.778 1.37486
480.301 2.02067
481.563 2.53721
482.825 3.28643
484.087 4.43087
485.349 6.30198
486.611 9.65878
487.242 12.4243
487.872 16.5304
488.503 22.9476
489.134 33.6049
489.765 52.4871
490.396 87.1288
490.998 139.288
491.600 173.857
492.202 138.867
492.804 86.7206
493.254 60.0669
493.704 42.7859
494.153 31.5403
494.603 24.0141
495.503 15.0780
496.402 10.2695
497.302 7.42098
498.201 5.60601
500.000 3.52149
502.236 2.23404
504.471 1.55447
506.707 1.15898
508.942 0.919318
511.178 0.786964
513.413 0.784582
514.531 0.901844
515.090 1.04310
515.649 1.31494
516.207 1.90066
516.487 2.47175
516.766 3.47566
517.046 5.47774
517.185 7.31608
517.325 10.3691
517.465 15.9712
517.535 20.6981
517.605 27.8677
517.674 39.4444
517.744 59.5118
517.779 75.3503
517.814 97.4886
517.849 128.944
517.884 173.380
517.913 221.937
517.942 277.226
518.000 346.273
518.029 325.820
518.058 276.993
518.116 173.328
518.155 124.700
518.194 91.7365
518.272 53.8579
518.349 34.8134
518.427 24.2047
518.505 17.7727
518.582 13.6057
518.738 8.74082
518.893 6.12482
519.048 4.56361
519.359 2.87240
519.670 2.02420
519.981 1.53862
520.602 1.02971
521.223 0.779576
521.845 0.636303
523.088 0.482786
525.573 0.354457
528.059 0.298026
533.031 0.251492
538.002 0.251841
542.974 0.309252
545.459 0.381723
547.945 0.522379
549.188 0.643317
550.431 0.828856
551.674 1.13222
552.917 1.67561
553.538 2.12401
554.160 2.79374
554.781 3.85756
555.402 5.69554
555.713 7.16199
556.024 9.28300
556.335 12.5112
556.645 17.7616
556.801 21.7089
556.956 27.1047
557.111 34.7412
557.267 45.9775
557.422 63.3500
557.577 91.7259
557.733 140.916
557.888 228.534
558.044 365.780
558.200 457.268
558.356 365.564
558.512 228.317
558.619 162.885
558.726 118.898
558.833 89.3279
558.939 69.0068
559.153 44.2009
559.367 30.4921
559.580 22.2184
559.794 16.8801
560.221 10.6672
560.648 7.34067
561.076 5.36015
561.930 3.22357
562.785 2.15768
563.639 1.55089
564.494 1.17284
565.348 0.921472
567.058 0.618164
568.767 0.448792
570.476 0.344418
572.185 0.275380
575.603 0.192134
579.021 0.145304
585.857 0.0962938
592.694 0.0717389
599.530 0.0572623
613.203 0.0412219
626.875 0.0329655
640.548 0.0292386
647.384 0.0297485
654.221 0.0352958
657.639 0.0446088
659.348 0.0542968
661.057 0.0722809
662.766 0.111012
663.621 0.149574
664.475 0.219542
664.902 0.278140
665.330 0.367036
665.757 0.511325
666.184 0.768578
666.398 0.980527
666.612 1.29675
666.825 1.79883
667.039 2.66615
667.252 4.36006
667.359 5.88458
667.466 8.36521
667.573 12.7824
667.626 16.3937
667.680 21.7143
667.733 29.9418
667.786 43.4042
667.840 66.7601
667.867 84.6621
667.893 108.462
667.920 138.816
667.947 173.502
668.000 216.848
668.053 173.486
668.107 108.442
668.142 78.6494
668.176 58.1868
668.246 34.4333
668.315 22.3253
668.385 15.5204
668.454 11.3701
668.524 8.67005
668.663 5.50418
668.802 3.79647
668.941 2.77585
669.219 1.67004
669.497 1.11627
669.775 0.800508
670.053 0.603563
670.331 0.472633
670.887 0.314776
671.443 0.226888
672.000 0.172983
672.556 0.137555
673.668 0.0953219
674.780 0.0720448
677.004 0.0485319
679.229 0.0374189
681.453 0.0312503
685.902 0.0249037
694.799 0.0200490
703.696 0.0183776
712.594 0.0182817
721.491 0.0206662
725.940 0.0246238
728.164 0.0286380
730.388 0.0359502
732.613 0.0514370
733.725 0.0667193
734.837 0.0943451
735.393 0.117459
735.949 0.152548
736.505 0.209622
737.061 0.311831
737.339 0.396456
737.617 0.523398
737.896 0.726544
738.174 1.08126
738.452 1.78620
738.591 2.43285
738.730 3.50690
738.869 5.47959
738.938 7.14480
739.008 9.67782
739.077 13.7703
739.147 20.8967
739.216 34.4256
739.251 45.7159
739.286 61.6800
739.343 98.6786
739.400 123.345
739.457 98.6833
739.514 61.6873
739.582 34.8685
739.650 21.3481
739.718 14.1467
739.786 9.98496
739.854 7.39113
739.922 5.67975
740.057 3.64618
740.193 2.53416
740.329 1.86360
740.600 1.13112
740.872 0.761584
741.143 0.549947
741.415 0.417599
741.686 0.329492
742.229 0.223253
742.772 0.164284
743.858 0.105119
744.944 0.0783841
746.029 0.0651830
748.201 0.0577384
750.373 0.0684765
751.458 0.0842760
752.544 0.115442
753.087 0.142357
753.630 0.183755
754.173 0.251674
754.716 0.373988
754.987 0.475487
755.259 0.627896
755.530 0.871943
755.802 1.29814
756.073 2.14483
756.209 2.92098
756.344 4.20904
756.480 6.57402
756.548 8.56841
756.616 11.5935
756.684 16.4791
756.752 24.9500
756.820 40.9896
756.853 54.2813
756.887 73.0667
756.944 116.966
757.000 146.176
757.056 116.889
757.113 73.0752
757.161 47.9049
757.210 32.6863
757.259 23.3366
757.307 17.3481
757.404 10.5470
757.502 7.03914
757.599 5.01659
757.696 3.75124
757.890 2.32206
758.085 1.57802
758.279 1.14324
758.474 0.867474
758.668 0.681741
759.057 0.454900
759.446 0.326997
759.835 0.247840
760.223 0.195463
761.001 0.132609
761.779 0.0977432
763.334 0.0623601
764.890 0.0456240
766.445 0.0363911
769.555 0.0270967
775.777 0.0206484
781.998 0.0192363
788.219 0.0205164
794.441 0.0266691
797.551 0.0356149
799.107 0.0445430
800.662 0.0607842
802.217 0.0952474
802.995 0.129277
803.773 0.190677
804.162 0.241886
804.550 0.319265
804.939 0.444262
805.328 0.665713
805.523 0.847005
805.717 1.11579
805.911 1.53891
806.106 2.26090
806.300 3.64311
806.397 4.86196
806.495 6.80183
806.592 10.1451
806.689 16.5625
806.738 22.1537
806.786 30.7902
806.835 44.6497
806.883 67.1252
806.942 107.475
807.000 134.332
807.058 107.405
807.117 67.1320
807.160 46.7345
