Ba-138(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 20.2960
1.25000E-05 18.1533
1.50000E-05 16.5717
2.00000E-05 14.3515
2.75000E-05 12.2390
3.50000E-05 10.8487
4.25000E-05 9.84502
5.00000E-05 9.07666
6.25000E-05 8.11841
7.50000E-05 7.41106
0.000100000 6.41817
0.000125000 5.74058
0.000150000 5.24041
0.000200000 4.53832
0.000275000 3.87029
0.000350000 3.43064
0.000425000 3.11326
0.000500000 2.87028
0.000625000 2.56725
0.000750000 2.34357
0.00100000 2.02958
0.00125000 1.81531
0.00150000 1.65714
0.00200000 1.43512
0.00275000 1.22386
0.00350000 1.08483
0.00425000 0.984456
0.00500000 0.907616
0.00625000 0.811785
0.00750000 0.741044
0.0100000 0.641745
0.0125000 0.573978
0.0150000 0.523953
0.0200000 0.453731
0.0253000 0.403392
0.0314750 0.361639
0.0376500 0.330632
0.0500000 0.286868
0.0625000 0.256547
0.0750000 0.234161
0.100000 0.202732
0.125000 0.181279
0.150000 0.165437
0.200000 0.143193
0.275000 0.122012
0.350000 0.108061
0.500000 0.0902586
0.750000 0.0734897
1.00000 0.0634662
1.50000 0.0515315
2.00000 0.0443798
2.75000 0.0375336
3.50000 0.0329955
5.00000 0.0271551
7.50000 0.0215782
10.0000 0.0181935
15.0000 0.0140951
20.0000 0.0115981
27.5000 0.00918232
35.0000 0.00757653
50.0000 0.00553323
75.0000 0.00367070
100.000 0.00263452
125.000 0.00198517
150.000 0.00154799
200.000 0.00101192
275.000 0.000604110
350.000 0.000397531
425.000 0.000280999
500.000 0.000213604
536.993 0.000196013
573.986 0.000199390
592.483 0.000225283
610.979 0.000318181
629.476 0.000861646
634.100 0.00143248
638.724 0.00306618
641.036 0.00535113
643.348 0.0118570
644.505 0.0209189
645.083 0.0299871
645.661 0.0465844
646.239 0.0821048
646.528 0.117457
646.817 0.181763
646.961 0.235788
647.106 0.318035
647.250 0.452208
647.395 0.693312
647.467 0.893562
647.539 1.19433
647.611 1.67758
647.684 2.52394
647.720 3.21140
647.756 4.21837
647.792 5.78170
647.828 8.39671
647.864 13.2705
647.882 17.4385
647.900 23.8187
647.918 34.3606
647.936 53.0666
647.955 90.1442
647.964 122.001
647.973 168.468
647.986 269.959
648.000 336.974
648.014 269.178
648.028 168.473
648.038 114.617
648.049 80.7054
648.060 58.8156
648.071 44.4961
648.092 27.6358
648.114 18.6833
648.135 13.4247
648.157 10.0925
648.199 6.28955
648.242 4.28205
648.285 3.10005
648.328 2.34676
648.371 1.83867
648.457 1.21452
648.543 0.861764
648.629 0.642985
648.715 0.498044
648.887 0.323944
649.059 0.227470
649.231 0.168443
649.402 0.129761
649.746 0.0837714
650.090 0.0585399
650.777 0.0332205
651.465 0.0214001
652.152 0.0149456
653.527 0.00849599
656.277 0.00386220
