S-34(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
464251 0.0112843
464346 0.00782139
464440 0.00558374
464535 0.00413285
464629 0.00316451
464818 0.00201945
465007 0.00140701
465196 0.00104713
465385 0.000820504
465763 0.000567481
466141 0.000444085
466519 0.000383500
467275 0.000363612
468031 0.000451219
468409 0.000552041
468787 0.000721747
469165 0.00101858
469543 0.00158085
469732 0.00205869
469921 0.00277623
470016 0.00326914
470110 0.00388459
470205 0.00465254
470299 0.00560153
470362 0.00633880
470424 0.00715535
470550 0.00892912
470800 0.0111408
470925 0.0104821
471051 0.00891216
471301 0.00558028
471573 0.00331414
471845 0.00210507
472117 0.00143279
472388 0.00103224
472660 0.000777542
472932 0.000606784
473476 0.000400120
474020 0.000285009
474563 0.000214460
475651 0.000135956
476738 9.53753E-05
477825 7.15725E-05
480000 4.59517E-05
480000 0.000300230
500000 0.000295873
600000 0.000277173
615000 0.000274733
700000 0.000262287
750000 0.000255886
800000 0.000252279
900000 0.000245826
1.00000E+06 0.000240193
1.37418E+06 0.000291832
1.40000E+06 0.000295179
1.50000E+06 0.000303596
2.00000E+06 0.000341356
2.14892E+06 0.000356181
2.19016E+06 0.000360212
2.19016E+06 0.000360211
2.24262E+06 0.000303088
2.29508E+06 0.000256043
2.34754E+06 0.000217126
2.40000E+06 0.000184797
2.50000E+06 0.000169421
2.75000E+06 0.000155416
3.00000E+06 0.000158697
3.25000E+06 0.000175638
3.40211E+06 0.000183877
3.40211E+06 0.000183877
3.50000E+06 0.000170645
3.75000E+06 0.000157517
4.00000E+06 0.000156801
4.03022E+06 0.000156718
4.10000E+06 0.000155595
4.19292E+06 0.000156725
4.21000E+06 0.000155233
4.23719E+06 0.000154856
4.30000E+06 0.000149387
4.44491E+06 0.000143674
4.50000E+06 0.000141607
4.63361E+06 0.000139583
4.63363E+06 0.000139583
4.70000E+06 0.000139167
4.90000E+06 0.000134747
5.00000E+06 0.000132655
5.37500E+06 0.000109913
5.75000E+06 9.22329E-05
6.00000E+06 8.25700E-05
6.12500E+06 7.82593E-05
6.50000E+06 6.70544E-05
6.91452E+06 5.87537E-05
7.00000E+06 5.72307E-05
7.32905E+06 5.18782E-05
8.00000E+06 4.30195E-05
8.15810E+06 4.12570E-05
8.20000E+06 4.08077E-05
9.00000E+06 3.24668E-05
9.10000E+06 3.15974E-05
1.00000E+07 2.50638E-05
1.04599E+07 2.12007E-05
1.10000E+07 1.75772E-05
1.12000E+07 1.64368E-05
1.12045E+07 1.64007E-05
1.12045E+07 1.64005E-05
1.15000E+07 1.42249E-05
1.17539E+07 1.26239E-05
1.20000E+07 1.12716E-05
1.25000E+07 9.01677E-06
1.26188E+07 8.36439E-06
1.30000E+07 6.60407E-06
1.40000E+07 3.66670E-06
1.45000E+07 2.69230E-06
1.50000E+07 1.99765E-06
1.60000E+07 1.11889E-06
1.70000E+07 6.58036E-07
1.80000E+07 3.98926E-07
1.90000E+07 2.32629E-07
2.00000E+07 1.39461E-07
