Hg-198(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
344.968 69.6749
345.254 54.2284
345.540 45.7560
345.825 40.4975
346.111 36.9493
346.397 34.4067
346.968 31.0190
347.539 28.8670
348.111 27.3745
348.682 26.2732
349.825 24.7400
350.968 23.7041
353.253 22.3447
355.539 21.4476
357.824 20.7809
362.396 19.8022
366.967 19.0728
371.538 18.4757
380.680 17.4735
389.822 16.5203
394.393 15.9804
398.965 15.3217
401.250 14.9123
403.536 14.4155
405.821 13.7857
408.107 12.9443
409.250 12.4037
410.392 11.7505
411.535 10.9537
412.678 9.99526
413.249 9.47381
413.821 8.97932
414.392 8.65406
414.964 8.91987
415.249 9.62743
415.535 11.1939
415.678 12.5392
415.749 13.4225
415.821 14.4872
415.892 15.7757
415.964 17.3358
415.999 18.2383
416.035 19.2352
416.071 20.3380
416.106 21.5597
416.178 24.4263
416.249 27.9774
416.321 32.4194
416.392 38.0312
416.464 45.2145
416.535 54.5081
416.606 66.7380
416.678 83.1331
416.749 105.636
416.821 137.253
416.892 183.142
416.963 252.301
417.035 361.335
417.106 542.439
417.178 859.732
417.249 1430.60
417.325 2411.04
417.400 3174.84
417.476 2675.57
417.551 1761.43
417.632 1106.32
417.714 741.218
417.795 530.622
417.876 401.326
417.957 316.725
418.039 258.595
418.201 185.863
418.363 143.551
418.526 116.611
418.851 85.1145
419.176 67.7915
419.501 57.0709
419.826 49.8752
420.150 44.7548
420.800 38.0154
421.450 33.8201
422.100 30.9763
422.750 28.9294
424.049 26.1887
425.349 24.4419
426.649 23.2315
427.948 22.3422
430.548 21.1188
433.147 20.3113
435.746 19.7335
438.346 19.2962
443.544 18.6700
448.743 18.2350
459.140 17.6526
459.140 46.8719
526.747 44.0130
594.355 41.6441
729.570 37.9113
864.785 35.0702
1000.00 32.8120
1281.25 30.7796
1562.50 29.2432
1843.75 28.0207
2125.00 27.0129
2687.50 25.4248
3250.00 24.2082
4375.00 22.4210
5500.00 21.1355
6625.00 20.1446
7750.00 19.3457
10000.0 18.1144
12812.5 17.3023
15625.0 16.6783
21250.0 15.7557
26875.0 15.0855
32500.0 14.5641
43750.0 13.7846
55000.0 13.2129
77500.0 12.4003
100000 11.8289
125000 11.0144
150000 10.3907
200000 9.47762
275000 8.56016
350000 7.92494
413898 7.51117
413898 7.51117
413900 7.51116
420000 7.47615
425000 7.44796
440000 7.36575
460000 7.26176
500000 7.07084
593539 6.56721
600000 6.53665
649020 6.33356
692820 6.17680
800000 5.83675
1.00000E+06 5.49361
1.05380E+06 5.47138
1.05384E+06 5.47136
1.05384E+06 5.47135
1.05384E+06 5.47135
1.07836E+06 5.46168
1.09320E+06 5.45596
1.09324E+06 5.45594
1.09324E+06 5.45594
1.09324E+06 5.45593
1.10288E+06 5.45227
1.13243E+06 5.44127
1.15192E+06 5.43421
1.17162E+06 5.42721
1.25000E+06 5.40075
1.37500E+06 5.47489
1.40864E+06 5.49386
1.40864E+06 5.49386
1.40870E+06 5.49389
1.42663E+06 5.50385
1.42663E+06 5.50384
1.45435E+06 5.51912
1.46331E+06 5.52387
1.50000E+06 5.54348
1.55639E+06 5.61656
1.55639E+06 5.61656
1.62062E+06 5.69744
1.64390E+06 5.72629
1.64393E+06 5.72633
1.64394E+06 5.72634
1.64394E+06 5.72634
1.68843E+06 5.78010
1.69188E+06 5.78419
1.69190E+06 5.78422
1.73041E+06 5.82922
1.73294E+06 5.83214
1.75000E+06 5.85164
1.76892E+06 5.87456
1.76897E+06 5.87462
1.82196E+06 5.93796
1.82505E+06 5.94158
1.82505E+06 5.94158
1.84184E+06 5.96107
1.84420E+06 5.96382
1.84425E+06 5.96388
1.84425E+06 5.96388
1.84595E+06 5.96587
1.85661E+06 5.97822
1.85661E+06 5.97822
1.86827E+06 5.99173
1.86827E+06 5.99173
1.88318E+06 6.00893
1.90898E+06 6.03791
1.91109E+06 6.04025
