Nd-146(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
815.651 41.1610
816.767 31.7499
817.884 25.5943
819.000 21.3181
821.234 15.8608
823.467 12.5888
825.700 10.4403
827.933 8.93476
832.399 6.98054
836.865 5.77478
841.331 4.95725
845.798 4.36440
854.730 3.55325
863.662 3.01193
881.527 2.29808
899.392 1.80887
917.257 1.42204
935.121 1.09052
944.054 0.939409
948.520 0.869803
949.637 0.855463
950.753 0.848038
951.311 0.853751
951.870 0.886369
952.149 0.939471
952.288 0.994559
952.428 1.09652
952.567 1.31518
952.637 1.53147
952.707 1.92003
952.777 2.72832
952.812 3.50640
952.847 4.86859
952.881 7.58274
952.899 10.0896
952.916 14.2422
952.934 21.9514
952.943 28.4555
952.951 38.3847
952.960 54.5068
952.969 82.7847
952.977 137.056
952.982 183.371
952.986 248.077
952.993 396.495
953.000 495.475
953.007 396.565
953.014 248.165
953.020 165.706
953.026 115.395
953.031 83.2880
953.037 62.7708
953.049 38.8619
953.060 26.4332
953.071 19.1225
953.083 14.5229
953.106 9.31574
953.129 6.57713
953.152 4.97681
953.175 3.95446
953.198 3.26755
953.244 2.42481
953.289 1.94843
953.381 1.45771
953.473 1.22214
953.565 1.09097
953.748 0.956827
954.115 0.855325
954.482 0.815491
955.217 0.779383
955.951 0.759252
957.419 0.730297
958.887 0.705612
964.761 0.615607
976.507 0.449656
1000.00 0.173170
1010.10 0.0881962
1015.15 0.0570463
1017.68 0.0449305
1020.20 0.0354112
1022.73 0.0287358
1025.25 0.0251789
1027.78 0.0250449
1030.30 0.0286723
1032.83 0.0364375
1035.35 0.0487596
1037.88 0.0661057
1040.40 0.0889976
1045.45 0.153821
1050.50 0.248793
1055.55 0.380939
1060.60 0.559203
1070.70 1.10342
1080.80 2.02198
1090.90 3.56380
1101.00 6.19688
1111.10 10.8715
1116.15 14.5557
1121.20 19.7236
1126.25 27.1724
1131.30 38.2823
1136.35 55.5926
1141.40 84.1374
1146.45 134.887
1148.98 175.785
1151.50 234.756
1154.03 322.835
1156.55 459.484
1159.08 678.892
1161.60 1034.38
1164.80 1725.26
1168.00 2242.17
1171.20 1863.47
1174.40 1210.80
1176.97 843.004
1179.53 606.309
1182.10 453.317
1184.67 351.158
1189.80 229.508
1194.93 163.287
1200.06 123.363
1205.20 97.4042
1215.46 66.6204
1225.72 49.5609
1235.99 38.9947
1246.25 31.9172
1256.52 26.8931
1277.05 20.2882
1297.58 16.1537
1318.11 13.3000
1338.64 11.1715
1379.69 8.01662
1400.22 6.67632
1420.75 5.32665
1441.28 3.81199
1451.55 2.92382
1461.81 1.90750
1466.95 1.35351
1472.08 0.796058
1477.21 0.315817
1478.49 0.230107
1479.78 0.169672
1481.06 0.143967
1481.70 0.148022
1482.34 0.165945
1482.98 0.200205
1483.63 0.253647
