U-235(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
11.2678 6.13980
11.3609 9.24481
11.4075 12.1281
11.4541 17.0201
11.5007 26.3967
11.5240 34.7246
11.5473 48.1227
11.5706 71.6858
11.5939 118.525
11.6056 161.042
11.6172 229.699
11.6289 347.124
11.6405 554.819
11.6465 713.790
11.6526 902.131
11.6646 1175.71
11.6767 969.449
11.6887 605.896
11.6960 446.418
11.7034 334.771
11.7180 202.203
11.7327 133.429
11.7474 94.4420
11.7620 70.5478
11.7767 55.0082
11.8060 36.8802
11.8354 27.3027
11.8647 21.8079
11.9234 16.6004
11.9820 15.2254
12.0407 16.2491
12.0993 19.8191
12.1580 27.5869
12.2155 44.2225
12.2443 60.0207
12.2730 86.6649
12.2928 116.969
12.3125 166.343
12.3323 253.098
12.3421 321.490
12.3520 415.924
12.3610 531.799
12.3700 678.389
12.3880 978.267
12.3900 997.941
12.3948 1022.03
12.3995 1011.14
12.4090 898.772
12.4280 565.200
12.4390 417.495
12.4499 312.516
12.4719 187.410
12.4938 122.620
12.5158 86.0048
12.5377 63.6226
12.5596 49.0747
12.6035 32.1232
12.6474 23.2041
12.6913 18.2547
12.7351 15.7785
12.7790 15.5083
12.8530 19.1712
12.8900 16.9590
12.9270 12.6216
12.9575 10.0125
12.9880 8.34198
13.0490 6.60585
13.1100 5.99689
13.1710 6.20795
13.2670 8.44912
13.2750 8.64301
13.3013 8.95811
13.3275 8.67284
13.3800 7.30653
13.4345 6.37778
13.4890 6.12869
13.5980 6.68433
13.8450 8.05583
13.9290 8.10143
14.0160 8.00529
14.1030 7.43469
14.2190 6.02988
14.2770 5.60878
14.3350 5.78927
14.3600 6.18137
14.3997 7.53048
14.4394 10.7801
14.4592 14.0502
14.4790 19.7749
14.4989 30.6002
14.5187 52.1953
14.5349 81.2540
14.5510 102.935
14.5531 103.045
14.5617 95.6626
14.5703 80.2244
14.5789 63.6579
14.5875 49.6657
14.5987 36.2709
14.6099 27.2392
14.6324 16.8857
14.6548 11.6591
14.6773 8.73484
14.7221 5.80256
14.7670 4.47001
14.8470 3.49049
14.9270 3.25084
15.0070 3.44679
15.0870 4.13763
15.1655 5.69707
15.2048 7.13649
15.2440 9.47886
15.2743 12.4703
15.3045 17.5640
15.3348 27.0330
15.3650 45.6026
15.4010 81.4450
15.4170 88.9073
15.4430 71.3769
15.4690 45.2192
15.4874 32.4248
15.5059 23.9678
15.5243 18.3767
15.5427 14.6003
15.5796 10.1092
15.6165 7.74999
15.6534 6.45251
15.6902 5.76106
15.7640 5.50821
15.8377 6.62941
15.8746 7.99513
15.9114 10.4177
15.9483 14.9916
15.9667 18.8835
15.9852 24.8104
16.0036 34.3943
16.0220 51.0861
16.0405 82.9460
16.0497 109.834
16.0589 148.714
16.0738 242.531
16.0886 323.668
16.0960 315.584
16.1035 274.323
16.1183 172.904
16.1326 107.543
16.1469 70.5154
16.1611 49.1406
16.1754 36.1072
16.1897 27.7078
16.2039 22.0417
16.2325 15.1844
16.2610 11.4234
16.2896 9.21172
16.3467 7.09014
16.4037 6.65294
16.4323 6.93481
16.4608 7.61253
16.4894 8.83468
16.5179 10.8884
16.5465 14.3014
16.5750 19.9419
16.6460 40.9741
16.6635 40.1539
16.6810 35.3481
16.7160 23.0957
16.7387 17.1559
16.7614 13.0305
16.8068 8.23524
16.8521 5.80553
16.8975 4.44972
16.9883 3.10419
17.0790 2.51425
17.2605 2.14353
17.4420 2.34534
17.5440 2.84356
17.6450 3.41370
17.7155 4.08631
17.7860 5.44552
17.8213 6.59127
17.8565 8.28823
17.8918 10.8782
17.9270 14.8876
18.0200 30.8180
18.0557 31.0857
18.1020 28.0373
18.1053 27.6224
18.1130 26.3864
18.1340 21.6175
18.1549 16.8997
18.1970 11.0741
18.2392 8.27609
18.3235 5.99769
18.4077 5.36133
18.4920 5.42522
18.5895 6.08933
18.6870 7.47477
18.7845 10.1517
18.8333 12.5219
18.8820 16.6499
18.9241 24.7324
18.9451 34.5609
18.9556 43.6991
18.9661 58.4599
18.9779 83.3099
18.9897 101.145
19.0015 87.4871
19.0132 65.4920
19.0247 52.4700
19.0361 46.2447
19.0590 43.8756
19.1048 56.5029
19.1277 69.8907
19.1506 90.5457
19.1735 123.866
19.1964 181.800
19.2124 245.603
19.2284 316.178
19.2392 354.845
19.2603 446.910
19.2965 641.680
19.3108 630.559
19.3251 552.494
19.3537 349.947
19.3739 245.229
19.3941 175.701
19.4143 129.978
19.4345 99.2358
19.4749 62.6330
19.5153 42.9374
19.5557 31.2822
19.5961 23.8738
19.6769 15.4091
19.7576 11.0065
19.8384 8.50776
19.9192 7.07219
20.0000 6.42299
20.0736 6.83765
20.1103 8.09708
20.1287 9.49607
20.1471 11.9613
20.1720 17.1418
20.1843 18.6017
20.2029 16.9192
20.2215 14.2878
20.2360 13.0165
20.2680 10.7969
20.2840 9.62511
20.3000 8.62100
20.3389 7.16784
20.3779 6.70785
20.4557 7.47458
20.4946 8.82956
20.5336 11.6539
20.5530 14.2764
20.5725 18.6386
20.5919 26.5132
20.6114 41.6632
20.6283 63.6503
20.6451 81.4793
20.6620 69.7316
20.6704 57.9183
20.6788 47.2491
20.6873 38.7590
20.6958 32.4767
20.7129 24.6312
20.7299 20.5680
20.7469 18.5563
20.7810 17.7585
20.8150 19.5524
20.8735 28.3115
20.9028 36.9478
20.9320 51.2793
20.9563 71.4781
20.9805 107.169
21.0048 176.565
21.0169 236.008
21.0290 322.840
21.0390 420.622
21.0490 537.744
21.0668 692.418
21.0763 671.706
21.0857 582.265
21.1046 366.856
21.1186 253.909
21.1325 180.407
21.1464 132.682
21.1604 100.899
21.1883 63.3811
21.2162 43.3349
21.2440 31.5085
21.2719 23.9940
21.3277 15.3789
21.3835 10.8279
21.4393 8.14144
21.5508 5.26873
21.6624 3.85999
21.7739 3.08589
21.9970 2.39234
22.2201 2.30121
22.4432 2.81030
22.5548 3.54653
22.6663 5.25462
22.7221 7.10241
22.7779 10.8617
22.8057 14.4293
22.8336 20.5692
22.8615 32.2866
22.8755 42.3127
22.8894 57.2470
22.9112 95.1817
22.9329 139.963
22.9438 145.032
22.9547 131.455
22.9764 84.7013
22.9893 62.9653
23.0022 47.7699
23.0280 30.2407
23.0538 21.6935
23.0796 17.2966
23.1311 14.0768
23.1827 14.7413
23.2343 18.9841
23.2601 23.3139
23.2859 30.4899
23.3116 43.2311
23.3374 68.6230
23.3503 91.7088
23.3632 129.064
23.3761 193.269
23.3890 307.673
23.3955 392.822
23.4020 493.151
23.4150 637.219
23.4280 529.091
23.4410 337.439
23.4535 215.993
23.4660 147.338
23.4816 101.096
23.4973 76.7103
23.5285 56.0355
23.5598 50.9837
23.5910 51.1910
23.6225 50.5115
23.6540 45.6128
23.7170 29.9109
23.7771 19.2578
23.8372 13.5600
23.8973 10.7284
23.9574 9.69367
24.0175 10.3344
24.0776 13.8272
24.1077 17.9827
24.1377 25.9943
24.1527 32.8277
24.1678 43.0851
24.1828 58.9904
24.1903 70.0950
24.1978 83.9997
24.2079 107.798
24.2180 136.931
24.2381 185.096
24.2482 181.853
24.2583 158.936
24.2784 100.805
24.2967 64.7448
24.3149 43.6361
24.3332 31.1267
24.3515 23.3372
24.3880 14.7223
24.4246 10.3739
24.4611 7.88820
24.4976 6.33668
24.5707 4.58406
24.6438 3.68050
24.7169 3.18051
24.8630 2.86738
24.9600 3.17171
25.0580 3.05721
25.1555 3.11527
25.2530 3.65822
25.2540 3.66665
25.2561 3.68430
25.2581 3.70216
25.2623 3.73878
25.2705 3.81580
25.2870 3.98530
25.3200 4.38931
25.3860 5.35801
25.5180 6.06021
25.5830 6.36192
25.6653 6.76222
25.7475 6.71079
25.9120 5.39202
25.9895 4.86409
26.0283 4.71699
26.0670 4.66501
26.1058 4.72117
26.1445 4.90321
26.1833 5.23794
26.2220 5.76772
26.2820 7.14984
26.3420 9.72838
26.3970 14.1352
26.4520 20.4751
26.4640 21.5130
26.4885 22.1741
26.5130 20.6036
26.5620 14.5319
26.5980 10.8030
26.6340 8.25614
26.7060 5.41509
26.8067 3.73441
26.9075 3.19447
26.9578 3.25812
27.0082 3.69453
27.0585 5.04559
27.0837 6.60366
27.1089 9.50610
27.1577 17.4668
27.1822 14.3465
27.2066 9.57052
27.2348 6.31171
27.2630 4.73587
27.2912 3.95984
27.3195 3.58050
27.3759 3.41473
27.4323 3.73111
27.4887 4.52247
27.5452 6.07026
27.6016 9.18970
27.6298 11.9577
27.6580 16.2779
27.6805 21.5738
