V-50(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2254.63
1.25000E-05 2017.41
1.50000E-05 1842.29
2.00000E-05 1596.50
2.75000E-05 1362.62
3.50000E-05 1208.70
4.25000E-05 1097.58
5.00000E-05 1012.51
6.25000E-05 906.424
7.50000E-05 828.112
0.000100000 718.187
0.000125000 643.170
0.000150000 587.795
0.000200000 510.067
0.000275000 436.108
0.000350000 387.434
0.000425000 352.296
0.000500000 325.396
0.000625000 291.847
0.000750000 267.083
0.00100000 232.322
0.00125000 208.599
0.00150000 191.088
0.00200000 166.508
0.00275000 143.121
0.00350000 127.729
0.00425000 116.617
0.00500000 108.110
0.00625000 97.5013
0.00750000 89.6701
0.0100000 78.6777
0.0125000 71.1760
0.0150000 65.6386
0.0200000 57.8657
0.0253000 52.2940
0.0314750 47.6728
0.0376500 44.2413
0.0500000 39.3984
0.0625000 36.0434
0.0750000 33.5668
0.100000 30.0904
0.125000 27.7178
0.150000 25.9663
0.200000 23.5075
0.275000 21.1675
0.350000 19.6269
0.500000 17.6623
0.750000 15.8134
1.00000 14.7091
1.50000 13.3948
2.00000 12.6069
2.75000 11.8513
3.50000 11.3484
5.00000 10.6955
7.50000 10.0582
10.0000 9.65650
15.0000 9.13741
20.0000 8.78711
27.5000 8.40169
35.0000 8.10372
50.0000 7.64963
75.0000 7.19553
100.000 7.36871
116.313 8.53060
124.469 10.0336
132.625 13.1166
136.703 15.8778
140.781 20.2322
144.859 27.5322
148.938 40.8797
150.977 52.0051
153.016 68.6794
155.055 95.1247
157.094 140.383
159.133 226.634
160.152 301.874
161.172 419.828
162.192 618.069
163.211 982.565
163.721 1285.63
164.231 1732.00
164.740 2405.59
165.250 3421.71
165.975 5520.59
166.700 6947.86
166.700 6947.87
166.700 6947.87
166.701 6947.90
166.701 6947.92
166.702 6947.96
166.703 6948.03
166.706 6948.13
166.712 6948.17
166.723 6947.61
166.746 6943.96
166.791 6926.60
166.881 6852.62
167.063 6562.54
167.425 5602.24
168.150 3538.57
168.648 2543.64
169.145 1870.56
169.643 1416.00
170.141 1102.36
171.136 717.390
172.131 502.875
173.127 372.500
174.122 287.729
176.113 188.085
178.103 133.998
180.094 101.352
182.084 80.0993
184.075 65.4584
188.056 47.0676
192.038 36.3174
196.019 29.4429
200.000 24.7511
207.278 19.2606
214.556 15.9059
229.113 12.0878
243.669 9.99465
258.225 8.66694
