Ba-135(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 295.323
1.25000E-05 264.145
1.50000E-05 241.130
2.00000E-05 208.825
2.75000E-05 178.087
3.50000E-05 157.857
4.25000E-05 143.253
5.00000E-05 132.073
6.25000E-05 118.129
7.50000E-05 107.837
0.000100000 93.3893
0.000125000 83.5300
0.000150000 76.2521
0.000200000 66.0362
0.000275000 56.3158
0.000350000 49.9186
0.000425000 45.3004
0.000500000 41.7648
0.000625000 37.3556
0.000750000 34.1008
0.00100000 29.5321
0.00125000 26.4142
0.00150000 24.1127
0.00200000 20.8821
0.00275000 17.8082
0.00350000 15.7852
0.00425000 14.3247
0.00500000 13.2067
0.00625000 11.8123
0.00750000 10.7830
0.0100000 9.33812
0.0125000 8.35208
0.0150000 7.62420
0.0200000 6.60246
0.0253000 5.87003
0.0314750 5.26253
0.0376500 4.81140
0.0500000 4.17467
0.0625000 3.73353
0.0750000 3.40786
0.100000 2.95067
0.125000 2.63859
0.150000 2.40819
0.200000 2.08469
0.275000 1.77675
0.350000 1.57400
0.500000 1.31544
0.750000 1.07224
1.00000 0.927220
1.50000 0.755354
2.00000 0.653270
2.75000 0.556980
3.50000 0.494721
5.00000 0.418738
7.50000 0.357846
10.0000 0.338639
12.5000 0.352306
15.0000 0.412349
17.5000 0.577511
18.7500 0.760986
20.0000 1.12568
20.5386 1.40285
21.0773 1.82573
21.6159 2.51777
22.1546 3.76823
22.4239 4.81283
22.6932 6.39552
22.9625 8.96266
23.2318 13.5424
23.3665 17.3181
23.5012 22.9635
23.6358 31.9523
23.7705 47.5539
23.8378 60.0618
23.9051 78.2546
23.9725 106.151
24.0398 152.015
24.1071 234.985
24.1408 303.959
24.1745 407.236
24.2081 570.636
24.2418 846.559
24.2754 1347.44
24.3091 2296.50
24.3396 3672.26
24.3700 4587.13
24.4005 3666.72
24.4309 2290.02
24.4559 1531.93
24.4808 1060.96
24.5058 765.639
24.5308 573.553
24.5807 352.076
24.6307 236.210
24.6806 168.812
24.7305 126.398
24.8304 78.2404
24.9303 53.0649
25.0302 38.3083
25.1301 28.9362
25.2299 22.6203
25.4297 14.9074
25.6295 10.5608
25.8292 7.87483
26.0290 6.10124
26.4285 3.98034
26.8280 2.81044
27.2275 2.09849
27.6270 1.63380
28.4261 1.08506
29.2251 0.786508
30.0242 0.606801
30.8232 0.490644
32.4213 0.355359
34.0193 0.283461
37.2155 0.216038
43.6077 0.182894
50.0000 0.198310
57.9681 0.273594
61.9522 0.353419
65.9363 0.497092
69.9203 0.792994
71.9124 1.07730
73.9044 1.57966
74.9004 1.99274
75.8964 2.61213
76.8924 3.60814
77.3904 4.35388
77.8884 5.37606
78.3865 6.83421
78.8845 9.02343
79.3825 12.5415
79.8805 18.7564
80.1295 23.8423
80.3785 31.4011
80.6275 43.3536
80.8765 63.9146
81.0010 80.2647
81.1255 103.864
81.2500 139.690
81.3745 197.781
81.4990 300.733
81.5613 384.523
81.6235 507.438
81.6858 696.427
81.7480 1003.27
81.8103 1529.94
81.8725 2457.53
81.9363 3929.27
82.0000 4907.56
82.0638 3923.47
82.1275 2451.66
82.1991 1425.90
82.2708 890.489
82.3424 597.911
82.4140 425.727
82.4856 317.321
82.5573 245.204
82.7005 158.786
82.8437 111.260
82.9870 82.5082
83.2735 51.1765
83.5600 35.6137
83.8465 27.0400
84.1330 22.1334
84.4195 19.4810
84.9924 19.1474
85.2789 21.8708
85.4222 24.4047
85.5654 28.1525
85.6371 30.6605
85.7087 33.7353
85.7803 37.5354
85.8161 39.7724
85.8519 42.2790
85.8878 45.0979
85.9236 48.2781
85.9952 55.9834
86.0668 66.0737
86.1384 79.6015
86.2101 98.2724
86.2817 124.977
86.3533 164.949
86.4249 228.390
86.4965 337.192
86.5324 422.771
86.5682 544.217
86.6040 722.913
86.6398 996.333
86.6756 1429.68
86.7114 2122.01
86.7557 3391.97
86.8000 4237.33
86.8443 3389.19
86.8886 2118.88
86.9398 1215.18
86.9910 751.822
87.0423 501.962
87.0935 356.206
87.1447 264.970
87.1959 204.507
87.2983 132.300
87.4008 92.6539
87.5032 68.6412
87.7081 42.2903
87.9129 28.9081
88.1178 21.1811
88.5275 13.0271
88.9373 9.00548
89.3470 6.70991
90.1665 4.29419
90.9859 3.10061
91.8054 2.42401
93.4443 1.75419
95.0832 1.52536
96.7222 1.58692
98.3611 2.02463
99.1805 2.50919
100.000 3.36343
100.483 4.18478
100.966 5.43665
101.449 7.46647
101.932 11.0629
