Pt-196(n,g) JEFF-3.2
Energy(eV) XS(b)
524.556 0.0113152
532.742 0.0165789
536.834 0.0210471
540.927 0.0279143
545.020 0.0392627
549.112 0.0600493
551.159 0.0776418
553.205 0.104626
555.251 0.149121
557.298 0.230365
558.321 0.298908
559.344 0.403709
560.367 0.575726
561.390 0.887652
561.902 1.14898
562.414 1.54574
562.925 2.19065
563.437 3.34323
563.693 4.29494
563.948 5.71916
564.204 7.98864
564.332 9.66559
564.396 10.7097
564.460 11.9300
564.524 13.3730
564.588 15.0905
564.620 16.0771
564.652 17.1633
564.684 18.3628
564.716 19.6874
564.780 22.8135
564.844 26.7345
564.908 31.7585
564.972 38.3134
565.036 47.1101
565.099 59.2348
565.163 76.6149
565.227 102.564
565.291 143.580
565.355 212.521
565.387 265.262
565.419 337.001
565.451 436.135
565.483 571.222
565.542 914.130
565.600 1143.71
565.659 915.812
565.717 572.492
565.784 329.603
565.851 204.295
565.918 136.433
565.985 96.7746
566.052 71.8647
566.119 55.3581
566.253 35.6021
566.387 24.7427
566.521 18.1720
566.788 10.9719
567.056 7.32842
567.324 5.23731
567.592 3.92763
567.860 3.05378
568.395 1.99691
568.931 1.40679
569.467 1.04425
570.002 0.805763
571.074 0.521406
572.145 0.364877
573.217 0.269634
574.288 0.207428
576.431 0.133810
578.573 0.0935850
580.716 0.0692423
582.859 0.0534077
587.144 0.0347561
591.429 0.0246236
595.715 0.0185288
600.000 0.0145947
607.727 0.0103685
615.454 0.00807214
623.181 0.00683204
630.908 0.00637018
638.635 0.00687673
642.498 0.00782555
646.362 0.00984000
650.225 0.0144783
652.157 0.0192312
654.088 0.0280109
655.054 0.0354645
656.020 0.0469049
656.986 0.0657561
657.952 0.100093
658.435 0.128978
658.918 0.172986
659.401 0.244864
659.884 0.374253
660.125 0.481846
660.367 0.643974
660.608 0.904768
660.850 1.36365
660.970 1.73699
661.091 2.28679
661.212 3.14473
661.332 4.59035
661.453 7.30777
661.514 9.65647
661.574 13.3092
661.634 19.4232
661.695 30.5953
661.725 39.8773
661.755 53.5450
661.785 74.1739
661.815 105.194
661.837 134.662
661.858 168.329
661.900 210.280
661.942 168.200
661.985 105.089
662.020 69.7528
662.056 48.0647
662.091 34.5617
662.127 25.8253
662.197 15.7941
662.268 10.5805
662.339 7.55270
662.410 5.65374
662.552 3.49924
662.693 2.37428
662.835 1.71516
662.977 1.29654
663.118 1.01436
663.402 0.669538
663.685 0.474967
663.969 0.354559
664.252 0.274942
664.819 0.179470
665.386 0.126617
665.952 0.0943328
666.519 0.0731823
667.653 0.0480603
668.786 0.0342770
669.920 0.0259038
671.053 0.0204360
673.320 0.0139568
675.587 0.0104009
680.121 0.00680998
684.656 0.00510253
689.190 0.00414393
698.258 0.00313592
716.395 0.00231573
734.531 0.00196352
800.898 0.00152384
867.266 0.00142119
1000.00 0.00149052
1136.46 0.00181285
1245.33 0.00234246
1354.20 0.00341256
1413.59 0.00451635
1487.30 0.00719554
1524.15 0.00979116
1561.00 0.0144224
1579.42 0.0182646
1597.85 0.0240706
1616.27 0.0334948
1634.70 0.0504177
1643.91 0.0645186
1653.13 0.0858773
1662.34 0.120578
1671.55 0.182758
1676.16 0.234335
1680.76 0.311931
1685.37 0.436624
1689.98 0.656033
1692.28 0.834480
1694.58 1.09746
1696.89 1.50808
1699.19 2.20068
1701.49 3.50315
1702.64 4.63074
1703.79 6.38850
1704.95 9.33453
1706.10 14.7387
1706.67 19.2385
1707.25 25.8813
1707.83 35.9370
1708.40 51.1312
1709.20 81.6460
1710.00 101.841
1710.81 81.3042
1711.61 50.7237
1712.34 32.5731
1713.07 21.8666
1713.80 15.4317
1714.53 11.3810
1715.99 6.84528
1717.45 4.54140
1718.91 3.22431
1720.37 2.40609
1723.29 1.48725
1726.21 1.01218
1729.12 0.735920
1732.04 0.561711
1734.96 0.445257
1740.80 0.305171
1746.64 0.229205
1752.48 0.185946
1758.31 0.162308
1770.22 0.157402
1776.18 0.179968
1782.13 0.234046
1788.09 0.360964
1791.06 0.489716
1794.04 0.722977
1795.53 0.916976
1797.02 1.20854
1798.51 1.67510
1800.00 2.48858
1800.74 3.14450
1801.11 3.57491
1801.49 4.10092
1801.86 4.75288
1802.23 5.57410
1802.60 6.62805
1802.97 8.01065
1803.35 9.87782
1803.72 12.4652
1804.09 16.1971
1804.46 21.8363
1804.83 30.8638
1805.21 46.3766
1805.39 58.4635
1805.58 75.2541
1805.76 98.8721
1805.95 131.883
1806.27 209.998
1806.58 264.048
1806.90 213.322
1807.22 133.436
1807.60 75.4985
1807.97 46.2125
1808.35 30.6065
1808.73 21.5972
1809.10 15.9758
1809.48 12.2763
1810.23 7.87085
1810.99 5.46410
1811.74 4.01188
1813.25 2.42594
1814.75 1.62600
1816.26 1.16741
1817.76 0.880421
1819.27 0.688972
1822.28 0.457274
1825.29 0.327688
1828.31 0.247812
1831.32 0.195033
1837.34 0.131613
1843.37 0.0962254
1855.42 0.0597925
1867.46 0.0420905
1879.51 0.0320234
1903.61 0.0214387
1927.71 0.0162618
1951.81 0.0134453
2000.00 0.0112376
2051.61 0.0122814
2077.41 0.0145840
2103.21 0.0193896
2129.01 0.0302194
2141.91 0.0411654
2154.82 0.0611899
2161.27 0.0780651
2167.72 0.103810
2174.17 0.145918
2180.62 0.221845
2183.84 0.285109
2187.07 0.380590
2190.29 0.534582
2193.52 0.806764
2195.13 1.02902
2195.94 1.17652
2196.75 1.35798
2197.55 1.58528
2197.96 1.72077
2198.36 1.87439
2198.76 2.04951
2199.16 2.25031
2199.57 2.48205
2199.97 2.75136
2200.37 3.06765
2200.78 3.44042
2201.18 3.88500
2201.58 4.42086
2201.99 5.07448
2202.39 5.88256
2202.79 6.89696
2203.20 8.19280
2203.60 9.88654
2204.00 12.1412
2204.41 15.2311
2204.81 19.5993
2205.21 25.9965
2205.61 35.7276
2206.02 51.0411
2206.42 75.3288
2206.93 120.512
2207.43 151.726
2207.94 122.147
2208.45 76.2178
2208.82 53.3737
2209.18 38.3763
2209.55 28.4906
2209.92 21.8053
2210.65 13.7775
2211.38 9.42070
2212.11 6.81891
2212.85 5.15535
2214.31 3.23311
2215.78 2.21202
2217.24 1.60711
2218.71 1.21999
2220.17 0.957571
2223.10 0.635089
2226.03 0.452120
2228.96 0.338476
2231.89 0.263118
2237.75 0.172573
2243.61 0.122350
2249.47 0.0916480
2255.33 0.0715357
2267.05 0.0477004
2278.77 0.0347097
2290.49 0.0269270
2302.21 0.0219786
2325.65 0.0166552
2349.09 0.0152760
2360.81 0.0166505
2366.67 0.0185997
2372.53 0.0225355
2378.39 0.0313865
2381.32 0.0403680
2384.25 0.0568657
2385.72 0.0708143
2387.18 0.0921535
2388.65 0.127171
2390.11 0.190600
2390.84 0.243694
2391.58 0.324050
2392.31 0.454508
2393.04 0.686482
2393.41 0.877789
2393.77 1.16224
2394.14 1.61289
2394.51 2.38900
2394.87 3.90238
2395.06 5.25577
2395.24 7.44657
2395.42 11.3177
2395.51 14.4783
2395.60 19.0484
2395.70 26.1215
2395.74 31.1211
2395.79 37.4051
2395.83 45.7706
2395.88 56.8148
2395.93 71.4623
2395.97 90.2287
2396.02 115.564
2396.07 144.508
2396.16 180.382
2396.21 169.885
2396.26 144.390
2396.35 90.6060
2396.42 63.5584
2396.49 45.7258
2396.56 33.9625
2396.63 26.0986
2396.76 16.5482
2396.90 11.3375
2397.04 8.22184
2397.18 6.22308
2397.45 3.91097
2397.72 2.68041
2398.00 1.95045
2398.27 1.48284
2398.55 1.16562
2399.09 0.774936
2399.64 0.553563
2400.19 0.415939
2400.74 0.324607
2401.84 0.214684
2402.93 0.153694
2404.03 0.116323
2405.12 0.0918213
2407.32 0.0626664
2409.51 0.0466512
2413.90 0.0305713
2418.28 0.0230697
2422.67 0.0189873
2431.44 0.0149694
2448.98 0.0123729
2466.53 0.0119638
2501.61 0.0135782
2536.70 0.0181879
2554.25 0.0223766
2571.79 0.0289154
2589.33 0.0397568
2606.88 0.0594952
2615.65 0.0760404
2624.42 0.101146
2633.19 0.141904
2641.96 0.214607
2646.35 0.274514
2650.74 0.363988
2655.12 0.506194
2657.31 0.611017
2658.41 0.676161
2659.51 0.752257
2660.60 0.842067
2661.70 0.948870
2662.25 1.01017
2662.80 1.07747
2663.89 1.23387
2664.99 1.42702
2666.09 1.66881
2667.18 1.97748
2668.28 2.37899
2669.38 2.91507
2670.47 3.65036
2671.57 4.69620
2672.67 6.24427
