Eu-151(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 679337
1.30871E-05 593802
1.50000E-05 554631
1.61743E-05 534108
2.00000E-05 480285
2.23486E-05 454331
2.75000E-05 409538
2.85229E-05 402120
3.16101E-05 381960
3.46972E-05 364554
3.50000E-05 362972
3.57529E-05 359125
3.65057E-05 355398
3.80115E-05 348279
4.10230E-05 335235
4.70459E-05 313011
5.00000E-05 303609
5.93945E-05 278521
7.17431E-05 253369
7.50000E-05 247793
8.40917E-05 233979
0.000100000 214506
0.000108789 205629
0.000133486 185559
0.000150000 174999
0.000158183 170389
0.000179092 160079
0.000200000 151428
0.000207578 148620
0.000232276 140439
0.000256973 133465
0.000275000 128978
0.000306367 122134
0.000350000 114185
0.000405156 106032
0.000500000 95297.3
0.000503945 94917.3
0.000516294 93756.2
0.000528642 92635.8
0.000553340 90507.9
0.000602734 86649.3
0.000750000 77489.0
0.000800313 74951.5
0.000997891 66904.0
0.00100000 66831.1
0.00100611 66621.2
0.00101222 66413.2
0.00102443 66002.7
0.00104887 65203.1
0.00109774 63683.9
0.00119547 60926.9
0.00150000 54119.7
0.00159062 52477.1
0.00178820 49332.7
0.00198578 46662.6
0.00200000 46485.5
0.00204762 45906.0
0.00209524 45345.9
0.00219047 44280.0
0.00238094 42339.7
0.00275000 39159.2
0.00317125 36216.0
0.00350000 34289.2
0.00396156 31989.2
0.00475187 28837.2
0.00500000 28000.4
0.00566625 26022.6
0.00633250 24354.7
0.00750000 21967.5
0.00791312 21247.2
0.00949375 18922.8
0.0100000 18292.9
0.0113275 16838.6
0.0126550 15610.8
0.0150000 13841.2
0.0158162 13316.8
0.0189775 11609.0
0.0200000 11144.1
0.0221387 10277.5
0.0253000 9205.45
0.0295458 8053.50
0.0337915 7137.74
0.0376500 6455.02
0.0380373 6392.93
0.0390988 6228.12
0.0401602 6070.76
0.0422831 5776.57
0.0500000 4895.81
0.0507746 4820.89
0.0528975 4626.08
0.0550204 4445.46
0.0592662 4121.67
0.0677577 3595.36
0.0750000 3244.33
0.0762493 3191.10
0.0804951 3024.02
0.0847408 2876.11
0.0932324 2628.37
0.100000 2468.71
0.101724 2432.59
0.105970 2350.67
0.110215 2277.92
0.127198 2062.56
0.144182 1941.58
0.150000 1917.62
0.161165 1893.66
0.169657 1893.81
0.178148 1909.47
0.186640 1940.89
0.195131 1988.86
0.200000 2024.38
0.212114 2141.03
0.220605 2250.52
0.229097 2387.68
0.237588 2558.36
0.246080 2770.56
0.254572 3034.83
0.263063 3364.81
0.271555 3777.09
0.280046 4288.52
0.281210 4367.08
0.285165 4649.45
0.289120 4954.78
0.297029 5619.68
0.308515 6583.20
0.314257 6960.93
0.320000 7203.03
0.321000 7229.21
0.322420 7258.13
0.322420 7258.13
0.322420 7258.14
0.322421 7258.15
0.322421 7258.16
0.322423 7258.18
0.322425 7258.22
0.322430 7258.29
0.322439 7258.45
0.322458 7258.77
0.322495 7259.40
0.322570 7260.63
0.322720 7263.02
0.323020 7267.48
0.323619 7275.15
0.324818 7285.59
0.327217 7288.00
0.332013 7231.00
0.341605 6993.23
0.351198 6810.18
0.355994 6794.60
0.360790 6844.78
0.367440 7033.80
0.374090 7371.10
0.380740 7867.44
0.387390 8537.32
0.394040 9400.76
0.400690 10483.3
0.407340 11813.9
0.413990 13419.7
0.413990 13419.8
0.413991 13420.0
0.413991 13420.1
0.413992 13420.4
0.413994 13420.9
0.413999 13422.1
0.414007 13424.3
0.414024 13428.8
0.414058 13437.8
0.414126 13455.7
0.414263 13491.8
0.414535 13564.2
0.415080 13710.6
0.416170 14009.1
0.418909 14793.9
0.421649 15626.7
0.427128 17422.4
0.438085 21297.7
0.449043 24616.1
0.454521 25558.6
0.460000 25781.1
0.465000 25305.5
0.470000 24239.5
0.480000 20912.5
0.500000 13584.9
0.503830 12420.6
0.517705 9020.63
0.531580 6682.92
0.531580 6682.89
0.531581 6682.81
0.531581 6682.72
0.531583 6682.56
0.531585 6682.24
0.531589 6681.60
0.531599 6680.33
0.531617 6677.78
0.531654 6672.68
0.531728 6662.51
0.531875 6642.23
0.532170 6601.89
0.532760 6522.19
0.533939 6366.56
0.536298 6069.80
0.541016 5529.67
0.550453 4630.53
0.569325 3357.44
0.588198 2531.42
0.607070 1972.19
0.644815 1294.81
0.682560 922.895
0.682560 922.893
0.682561 922.889
0.682561 922.885
0.682562 922.877
0.682564 922.861
0.682569 922.830
0.682577 922.767
0.682594 922.642
0.682628 922.390
0.682696 921.888
0.682831 920.885
0.683102 918.884
0.683644 914.905
0.684728 907.035
0.686895 891.641
0.691230 862.176
0.699899 808.143
0.717238 716.898
0.751915 585.509
0.814168 462.839
0.876420 450.984
0.876420 450.984
0.876421 450.985
0.876421 450.985
0.876422 450.986
0.876424 450.987
0.876428 450.990
0.876435 450.996
0.876450 451.009
0.876481 451.033
0.876541 451.082
0.876662 451.181
0.876903 451.381
0.877386 451.786
0.878351 452.626
0.880282 454.418
0.884144 458.470
0.891868 468.580
0.907315 498.159
0.938210 611.585
0.969105 861.482
0.984553 1087.30
1.00000 1431.41
1.01090 1773.63
1.02193 2214.58
1.03295 2716.68
1.05500 3325.83
1.07705 2657.78
1.09910 1686.72
1.12540 984.490
1.12540 984.453
1.12541 984.361
1.12541 984.268
1.12542 984.102
1.12544 983.751
1.12548 983.049
1.12555 981.665
1.12570 978.888
1.12601 973.367
1.12661 962.475
1.12782 941.188
1.13023 900.606
1.13506 826.707
1.14471 703.618
1.16401 528.957
1.20263 337.056
1.24124 240.699
1.27985 185.510
1.35708 127.390
1.43430 98.8901
1.44500 96.1673
1.44500 96.1668
1.44501 96.1656
1.44501 96.1643
1.44502 96.1619
1.44504 96.1570
1.44508 96.1473
1.44516 96.1280
1.44532 96.0896
1.44564 96.0126
1.44627 95.8591
1.44754 95.5545
1.45007 94.9547
1.45514 93.7907
1.46528 91.5999
1.48556 87.7295
1.52613 81.8196
1.60725 77.0825
1.68838 88.8892
1.72894 114.800
1.74922 142.382
1.76950 189.343
1.79225 269.445
1.81500 321.644
