Cs-133(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
59.5120 2.41827
59.5349 3.78080
59.5463 4.94148
59.5577 6.69196
59.5691 9.41755
59.5805 13.6823
59.5953 21.7782
59.6100 27.1720
59.6248 21.7833
59.6395 13.6886
59.6484 10.1983
59.6574 7.73492
59.6752 4.77039
59.6930 3.20398
59.7109 2.30346
59.7287 1.74516
59.7466 1.37809
59.7823 0.942984
59.8179 0.706154
59.8536 0.563993
59.9250 0.411229
59.9964 0.339986
60.0678 0.314341
60.1391 0.358125
60.1748 0.479644
60.1927 0.634019
60.2105 0.949189
60.2253 1.38098
60.2400 1.66805
60.2548 1.37531
60.2695 0.937606
60.2873 0.615558
60.3051 0.453692
60.3407 0.316081
60.3763 0.261845
60.4119 0.234470
60.5542 0.193583
60.8389 0.170154
61.4083 0.153136
62.5471 0.138173
64.8248 0.124136
69.3800 0.120625
73.9353 0.152065
76.2129 0.202755
77.3517 0.254434
77.9211 0.294800
78.2058 0.322172
78.3482 0.342471
78.4193 0.364710
78.4549 0.394841
78.4905 0.493026
78.5200 0.639239
78.5495 0.500218
78.5939 0.402331
78.6383 0.385564
78.7271 0.386595
78.9048 0.409228
79.2600 0.474012
79.6153 0.565552
79.7929 0.633790
79.8817 0.699118
79.9261 0.784299
79.9483 0.886448
79.9705 1.11492
80.0000 1.55861
80.0295 1.14028
80.0501 0.940205
80.0707 0.855470
80.1119 0.803079
80.1943 0.808194
80.3591 0.891192
80.6888 1.15376
81.0184 1.58504
81.3481 2.35525
81.5129 2.99058
81.6777 3.94105
81.8425 5.45576
82.0073 8.08817
82.1722 13.2782
82.2546 18.0033
82.3370 25.7869
82.4194 39.9073
82.4606 51.6778
82.5018 69.3509
82.5430 97.4124
82.5842 145.042
82.6048 181.720
82.6254 232.137
82.6460 302.181
82.6666 398.778
82.7033 637.747
82.7400 796.901
82.7767 637.444
82.8134 398.410
82.8373 289.004
82.8612 213.872
82.9090 126.521
82.9568 82.0194
83.0046 57.0198
83.0524 41.7777
83.1001 31.8652
83.1957 20.2469
83.2913 13.9865
83.3869 10.2437
83.5780 6.19211
83.7692 4.16683
83.9604 3.01389
84.1515 2.29703
84.3427 1.82207
84.7250 1.25402
85.1073 0.943227
85.8720 0.642082
86.6366 0.520821
87.4012 0.480670
88.1659 0.496902
88.5482 0.547320
88.7394 0.662164
88.7871 0.752779
88.8349 0.953654
88.8588 1.16259
88.8827 1.55817
88.9066 2.42006
88.9186 3.24630
88.9305 4.56560
88.9453 6.98239
88.9600 8.59393
88.9748 6.98653
88.9895 4.57307
88.9996 3.41885
89.0098 2.64276
89.0300 1.76449
89.0503 1.32927
89.0705 1.08992
89.1110 0.854787
89.1515 0.750221
89.3136 0.640521
89.6377 0.652354
90.2858 0.796800
90.9340 1.06205
91.5821 1.55644
91.9062 1.97397
92.2303 2.60956
92.5543 3.64395
92.8784 5.49338
93.0404 7.01977
93.2025 9.30284
93.3645 12.9381
93.5266 19.2441
93.6076 24.2956
93.6886 31.6356
93.7696 42.8733
93.8506 61.3048
93.9317 94.5211
93.9722 122.016
94.0127 163.025
94.0532 227.511
94.0937 335.532
94.1342 529.280
94.1747 890.457
94.2124 1424.85
94.2500 1780.99
94.2877 1424.12
94.3253 889.620
94.3696 504.636
94.4140 309.688
94.4583 205.470
94.5026 145.048
94.5470 107.389
94.5913 82.5183
94.6800 52.9150
94.7686 36.7231
94.8573 26.9469
95.0346 16.2660
95.2120 10.8775
95.3893 7.78940
95.5667 5.85795
95.7440 4.57076
96.0987 3.01612
96.4533 2.14928
96.8080 1.61739
97.1627 1.26793
97.8720 0.852235
98.5813 0.624390
99.2907 0.486720
100.000 0.397755
101.309 0.300853
102.618 0.249095
105.235 0.205990
107.853 0.202783
109.162 0.211592
109.816 0.219263
110.143 0.226516
110.307 0.239099
110.389 0.268024
110.430 0.322915
110.450 0.394320
110.471 0.550967
110.500 0.875785
110.530 0.551919
110.547 0.411711
110.564 0.341153
110.599 0.281571
110.668 0.248956
110.807 0.237734
111.085 0.238110
111.640 0.247418
112.750 0.273666
113.860 0.309920
114.415 0.335041
114.693 0.357996
114.832 0.397612
114.901 0.484060
114.936 0.634194
114.953 0.810051
114.971 1.15533
115.000 1.95535
115.030 1.15853
115.049 0.790941
115.068 0.616739
115.106 0.479027
115.182 0.408654
115.335 0.388438
115.640 0.397343
116.250 0.436024
116.860 0.487215
117.165 0.524253
117.318 0.566970
117.394 0.646172
117.432 0.784029
117.452 0.953985
117.471 1.30673
117.500 2.07248
117.530 1.31348
117.548 0.973655
117.566 0.808363
117.603 0.675458
117.676 0.609475
117.822 0.598271
118.115 0.628080
118.700 0.720870
119.285 0.866912
119.578 1.05758
119.651 1.18944
119.724 1.48622
119.761 1.81619
119.797 2.51152
119.816 3.18886
119.834 4.37270
119.852 6.63806
119.871 11.2215
119.885 17.3877
119.900 21.4571
119.915 17.3537
119.930 11.2407
119.942 7.81051
119.954 5.70849
119.966 4.39482
119.978 3.54302
120.003 2.56265
120.027 2.05660
120.076 1.58440
120.125 1.38622
120.321 1.20436
120.712 1.28124
121.494 1.67917
122.277 2.35915
123.059 3.59208
123.450 4.62118
123.841 6.17683
124.232 8.69208
124.623 13.1519
124.819 16.8061
125.015 22.2338
125.210 30.7955
125.406 45.4397
125.504 57.0181
125.601 73.6254
125.699 98.6154
125.797 138.622
125.895 208.169
125.944 263.662
125.993 343.506
126.041 463.139
126.090 650.657
126.139 957.447
126.188 1465.21
126.244 2343.69
126.300 2928.46
126.356 2341.88
126.412 1463.31
126.474 860.667
126.535 541.889
126.596 365.466
126.658 260.988
126.719 194.738
126.781 150.544
126.904 97.3192
127.026 67.8598
127.149 49.9562
127.395 30.2521
127.641 20.2501
127.886 14.4955
128.132 10.8871
128.378 8.47774
128.869 5.56299
129.361 3.93556
129.852 2.93655
130.343 2.28037
131.326 1.50135
132.309 1.07705
133.292 0.824250
134.275 0.665723
136.240 0.505030
138.206 0.489731
139.189 0.560751
139.680 0.640971
140.171 0.786572
140.663 1.08354
140.909 1.36502
141.154 1.85544
141.400 2.84068
141.523 3.76570
141.646 5.34933
141.769 8.41946
141.830 11.1665
141.891 15.6159
141.953 23.5112
142.014 39.3302
142.045 53.7822
142.076 77.2285
142.106 117.429
142.122 148.033
142.137 188.134
142.153 240.747
142.169 300.450
142.200 375.239
142.232 300.394
142.263 188.077
142.292 120.890
142.320 81.2780
142.349 57.4972
142.378 42.5709
142.435 25.8625
142.492 17.3843
142.550 12.5516
142.607 9.55632
142.722 6.21515
142.836 4.51133
142.951 3.54576
143.180 2.59588
143.409 2.23223
143.639 2.15058
144.097 2.53603
144.326 3.02914
144.556 3.84165
144.785 5.20885
145.014 7.67655
145.129 9.71146
145.243 12.7355
145.358 17.5030
145.473 25.6428
145.530 32.0691
145.587 41.2430
145.645 54.9849
145.702 76.8417
145.759 114.470
145.788 144.261
145.816 186.569
145.845 249.392
145.874 345.874
145.902 500.759
145.931 749.864
145.966 1195.81
146.000 1491.42
146.035 1195.44
146.069 749.438
146.105 453.006
146.141 290.897
146.177 198.756
146.213 143.286
146.249 107.630
146.285 83.6550
146.357 54.4802
146.429 38.2046
146.500 28.2466
146.644 17.2366
146.788 11.6117
146.932 8.36292
147.076 6.31938
147.219 4.95191
147.507 3.29003
147.794 2.35741
148.082 1.78131
148.369 1.40051
148.945 0.943033
149.520 0.688314
150.670 0.427712
151.820 0.302865
152.970 0.234275
154.120 0.201968
154.408 0.205561
154.695 0.231079
154.839 0.271737
154.911 0.312524
154.983 0.385015
155.055 0.530940
155.091 0.665823
155.127 0.889847
155.163 1.30338
155.181 1.65316
155.199 2.18236
155.217 3.04237
155.235 4.53130
155.253 7.37378
155.262 9.74461
155.270 13.0652
155.285 20.8261
155.300 26.0069
155.315 20.8274
155.330 13.0664
155.341 8.99932
155.352 6.39763
155.364 4.72490
155.375 3.62343
155.398 2.31453
155.421 1.61892
155.443 1.20688
155.466 0.946178
155.512 0.646762
155.557 0.487977
155.603 0.393994
155.693 0.292767
155.875 0.212234
156.057 0.180245
156.785 0.139686
158.240 0.114587
161.150 0.0908249
164.060 0.0784897
165.515 0.0759491
166.243 0.0803250
166.425 0.0858962
166.607 0.101485
166.698 0.121918
166.789 0.173669
166.834 0.235632
166.880 0.374729
166.902 0.519916
166.925 0.791141
166.937 1.02286
166.948 1.36890
166.959 1.91144
166.971 2.75068
166.985 4.36179
167.000 5.42520
167.015 4.35052
167.030 2.75105
167.044 1.75486
167.058 1.18233
167.072 0.845571
167.086 0.636736
167.114 0.406866
167.142 0.292016
167.199 0.186458
167.255 0.141378
167.368 0.104564
167.480 0.0902111
167.931 0.0747632
168.832 0.0697482
170.634 0.0677373
174.239 0.0712884
176.041 0.0795219
177.843 0.103627
178.744 0.136619
179.195 0.169153
179.646 0.227893
180.096 0.351403
180.321 0.472199
180.547 0.687750
180.659 0.865706
180.772 1.13161
180.885 1.55540
180.997 2.29005
181.110 3.73549
181.166 5.04575
181.223 7.19509
181.279 11.0692
181.307 14.2834
181.335 19.0610
181.363 26.6026
181.391 39.1932
181.420 61.8673
181.434 79.8005
181.448 104.014
181.461 133.200
181.474 166.564
181.500 208.069
181.526 166.284
181.552 103.983
181.570 73.9591
181.588 53.9284
181.606 40.4863
181.624 31.2615
181.661 19.9981
181.697 13.8003
181.733 10.0556
181.769 7.64730
181.841 4.84537
181.913 3.34436
181.985 2.45237
182.129 1.48976
182.273 1.00982
182.417 0.737162
182.561 0.567587
182.705 0.455067
182.994 0.319844
183.282 0.244993
183.858 0.169707
184.435 0.135009
185.011 0.116713
186.164 0.100366
188.470 0.0959042
190.776 0.107054
193.082 0.134462
195.388 0.200158
196.541 0.272963
197.694 0.425689
198.271 0.576011
198.847 0.847905
199.135 1.07577
199.424 1.42223
