O-18(n,g) JEFF-3.2
Energy(eV) XS(b)
1.20993E+07 4.96454E-05
1.25000E+07 5.54553E-05
1.28700E+07 5.83296E-05
1.30000E+07 5.93395E-05
1.35000E+07 6.68558E-05
1.38485E+07 7.19206E-05
1.39699E+07 7.36850E-05
1.40000E+07 7.41224E-05
1.40914E+07 7.53494E-05
1.40915E+07 7.53505E-05
1.44690E+07 8.04186E-05
1.44860E+07 8.06469E-05
1.44860E+07 8.06471E-05
1.45000E+07 8.08348E-05
1.46374E+07 8.28468E-05
1.50000E+07 8.81563E-05
1.52111E+07 9.15889E-05
1.55000E+07 9.62867E-05
1.56806E+07 9.92233E-05
1.58075E+07 0.000101287
1.59369E+07 0.000103391
1.60000E+07 0.000104417
1.61824E+07 0.000107624
1.64041E+07 0.000111522
1.64392E+07 0.000112139
1.64997E+07 0.000113202
1.65000E+07 0.000113208
1.66095E+07 0.000115133
1.67658E+07 0.000117881
1.68352E+07 0.000119101
1.68353E+07 0.000119102
1.70000E+07 0.000121998
1.71536E+07 0.000126024
1.75000E+07 0.000135103
1.77902E+07 0.000142708
1.80000E+07 0.000148207
1.85000E+07 0.000167990
1.87279E+07 0.000177007
1.87279E+07 0.000177008
1.90000E+07 0.000187773
1.92601E+07 0.000194924
1.95000E+07 0.000201521
2.00000E+07 0.000215268
2.04334E+07 0.000229149
2.06993E+07 0.000237665
2.10000E+07 0.000247294
2.20000E+07 0.000267912
2.25312E+07 0.000275434
2.30000E+07 0.000282072
2.30486E+07 0.000281768
2.33738E+07 0.000279735
2.40000E+07 0.000275819
2.50000E+07 0.000254088
2.57229E+07 0.000236312
2.60000E+07 0.000229499
2.62131E+07 0.000223245
2.62246E+07 0.000222907
2.64541E+07 0.000216172
2.70000E+07 0.000200153
2.70197E+07 0.000199615
2.75498E+07 0.000185168
2.80000E+07 0.000172895
2.83325E+07 0.000165172
2.90000E+07 0.000149669
2.94119E+07 0.000141830
3.00000E+07 0.000130638
3.00000E+07 0.00000
3.10000E+07 0.00000
3.20000E+07 0.00000
3.30000E+07 0.00000
3.40000E+07 0.00000
3.50000E+07 0.00000
3.60000E+07 0.00000
3.70000E+07 0.00000
3.80000E+07 0.00000
3.90000E+07 0.00000
4.00000E+07 0.00000
4.10000E+07 0.00000
4.20000E+07 0.00000
4.30000E+07 0.00000
4.40000E+07 0.00000
4.50000E+07 0.00000
4.60000E+07 0.00000
4.70000E+07 0.00000
4.80000E+07 0.00000
4.90000E+07 0.00000
5.00000E+07 0.00000
5.10000E+07 0.00000
5.20000E+07 0.00000
5.30000E+07 0.00000
5.40000E+07 0.00000
5.50000E+07 0.00000
5.60000E+07 0.00000
5.70000E+07 0.00000
5.80000E+07 0.00000
5.90000E+07 0.00000
6.00000E+07 0.00000
6.10000E+07 0.00000
6.20000E+07 0.00000
6.30000E+07 0.00000
6.40000E+07 0.00000
6.50000E+07 0.00000
6.60000E+07 0.00000
6.70000E+07 0.00000
6.80000E+07 0.00000
6.90000E+07 0.00000
7.00000E+07 0.00000
7.10000E+07 0.00000
7.20000E+07 0.00000
7.30000E+07 0.00000
7.40000E+07 0.00000
7.50000E+07 0.00000
7.60000E+07 0.00000
7.70000E+07 0.00000
7.80000E+07 0.00000
7.90000E+07 0.00000
8.00000E+07 0.00000
8.10000E+07 0.00000
8.20000E+07 0.00000
8.30000E+07 0.00000
8.40000E+07 0.00000
8.50000E+07 0.00000
8.60000E+07 0.00000
8.70000E+07 0.00000
8.80000E+07 0.00000
8.90000E+07 0.00000
9.00000E+07 0.00000
9.10000E+07 0.00000
9.20000E+07 0.00000
9.30000E+07 0.00000
9.40000E+07 0.00000
9.50000E+07 0.00000
9.60000E+07 0.00000
9.70000E+07 0.00000
9.80000E+07 0.00000
9.90000E+07 0.00000
1.00000E+08 0.00000
1.02000E+08 0.00000
1.04000E+08 0.00000
1.06000E+08 0.00000
1.08000E+08 0.00000
1.10000E+08 0.00000
1.12000E+08 0.00000
1.14000E+08 0.00000
1.16000E+08 0.00000
1.18000E+08 0.00000
1.20000E+08 0.00000
1.22000E+08 0.00000
1.24000E+08 0.00000
1.26000E+08 0.00000
1.28000E+08 0.00000
1.30000E+08 0.00000
1.32000E+08 0.00000
1.34000E+08 0.00000
1.36000E+08 0.00000
1.38000E+08 0.00000
1.40000E+08 0.00000
1.42000E+08 0.00000
1.44000E+08 0.00000
1.46000E+08 0.00000
1.48000E+08 0.00000
1.50000E+08 0.00000
1.52000E+08 0.00000
1.54000E+08 0.00000
1.56000E+08 0.00000
1.58000E+08 0.00000
1.60000E+08 0.00000
1.62000E+08 0.00000
1.64000E+08 0.00000
1.66000E+08 0.00000
1.68000E+08 0.00000
1.70000E+08 0.00000
1.72000E+08 0.00000
1.74000E+08 0.00000
1.76000E+08 0.00000
1.78000E+08 0.00000
1.80000E+08 0.00000
1.82000E+08 0.00000
1.84000E+08 0.00000
1.86000E+08 0.00000
1.88000E+08 0.00000
1.90000E+08 0.00000
1.92000E+08 0.00000
1.94000E+08 0.00000
1.96000E+08 0.00000
1.98000E+08 0.00000
2.00000E+08 0.00000
