Zr-92(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.5271
1.25000E-05 10.3102
1.50000E-05 9.41185
2.00000E-05 8.15090
2.75000E-05 6.95111
3.50000E-05 6.16150
4.25000E-05 5.59147
5.00000E-05 5.15508
6.25000E-05 4.61084
7.50000E-05 4.20911
0.000100000 3.64519
0.000125000 3.26036
0.000150000 2.97629
0.000200000 2.57754
0.000275000 2.19813
0.000350000 1.94844
0.000425000 1.76818
0.000500000 1.63018
0.000625000 1.45808
0.000750000 1.33104
0.00100000 1.15271
0.00125000 1.03102
0.00150000 0.941184
0.00200000 0.815089
0.00275000 0.695110
0.00350000 0.616148
0.00425000 0.559145
0.00500000 0.515506
0.00625000 0.461082
0.00750000 0.420908
0.0100000 0.364517
0.0125000 0.326033
0.0150000 0.297626
0.0200000 0.257750
0.0253000 0.229167
0.0314750 0.205460
0.0376500 0.187857
0.0500000 0.163012
0.0625000 0.145801
0.0750000 0.133096
0.100000 0.115263
0.125000 0.103092
0.150000 0.0941083
0.200000 0.0814973
0.275000 0.0694973
0.350000 0.0615995
0.500000 0.0515323
0.750000 0.0420684
1.00000 0.0364257
1.50000 0.0297308
2.00000 0.0257384
2.75000 0.0219380
3.50000 0.0194356
5.00000 0.0162436
7.50000 0.0132394
10.0000 0.0114454
15.0000 0.00931261
20.0000 0.00803721
27.5000 0.00681938
35.0000 0.00601465
50.0000 0.00498369
75.0000 0.00400735
100.000 0.00342129
150.000 0.00272307
200.000 0.00230776
275.000 0.00191852
350.000 0.00167102
500.000 0.00138038
750.000 0.00117276
1000.00 0.00113492
1250.00 0.00121946
1500.00 0.00145469
1750.00 0.00198973
1875.00 0.00261147
1906.25 0.00293205
1937.50 0.00354939
1953.13 0.00419628
1968.75 0.00560154
1976.56 0.00709661
1984.38 0.0101125
1992.19 0.0178575
1996.09 0.0274253
1998.05 0.0360774
2000.00 0.0502743
2002.46 0.0861639
2003.69 0.121737
2004.92 0.186151
2005.54 0.240023
2006.15 0.321672
2006.77 0.454056
2007.38 0.689824
2007.69 0.884100
2008.00 1.17276
2008.30 1.63184
2008.61 2.42029
2008.92 3.95836
2009.07 5.33845
2009.23 7.55699
2009.38 11.5019
2009.53 19.3195
2009.61 26.4597
2009.69 37.9807
2009.76 57.5742
2009.84 91.0698
2009.92 145.820
2010.00 181.616
2010.08 145.101
2010.16 90.5112
2010.24 55.6309
2010.32 36.1363
2010.41 24.9129
2010.49 18.0586
2010.57 13.6280
2010.65 10.6216
2010.81 6.94532
2010.97 4.88126
2011.13 3.61293
2011.46 2.20430
2011.78 1.48269
2012.11 1.06501
2012.43 0.801949
2012.75 0.626160
2013.40 0.411923
2014.05 0.291938
2014.70 0.217866
2015.34 0.169092
2016.64 0.110714
2017.93 0.0785214
2020.52 0.0460592
2023.12 0.0308402
2025.71 0.0225173
2030.89 0.0141992
2041.25 0.00826239
2051.61 0.00622936
2072.33 0.00489851
2093.06 0.00457659
2175.95 0.00518750
2258.84 0.00692798
2341.73 0.0101839
2383.18 0.0129014
2424.62 0.0169976
2466.07 0.0235899
2486.79 0.0285101
2497.16 0.0315915
2502.34 0.0333290
2507.52 0.0352177
2512.70 0.0372765
2517.88 0.0395260
2523.06 0.0419906
2528.24 0.0446980
2533.42 0.0476825
2538.60 0.0509826
2543.78 0.0546443
2548.96 0.0587217
2554.14 0.0632819
2559.32 0.0684032
2569.69 0.0807322
2580.05 0.0967709
2590.41 0.118161
2600.77 0.147567
2611.13 0.189512
2621.49 0.252196
2631.85 0.351601
2642.22 0.522133
2647.40 0.656428
2652.58 0.847217
2657.76 1.12855
2662.94 1.56019
2668.12 2.24686
2673.30 3.34834
2679.65 5.35171
2686.00 6.67199
2692.35 5.31907
2698.70 3.31696
2704.24 2.16380
2709.78 1.46969
2715.31 1.04549
2720.85 0.774955
2731.93 0.468968
2743.00 0.311832
2754.07 0.221502
2765.15 0.165132
2787.30 0.101642
2809.45 0.0687161
2831.60 0.0495263
2853.75 0.0373923
