Cr-50(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
24084.0 51.4769
24084.1 39.9166
24084.1 26.2639
24084.2 17.2572
24084.2 11.9505
24084.3 6.75672
24084.5 3.45883
24084.9 1.89122
24085.7 1.34681
24087.2 1.18347
24090.4 1.13669
24096.6 1.12154
24109.0 1.11267
24134.0 1.10093
24183.8 1.07917
24283.5 1.03608
24482.9 0.949482
24682.3 0.862027
24782.0 0.818211
24831.8 0.797621
24856.7 0.793573
24869.2 0.817144
24875.4 0.926943
24877.0 1.03685
24878.5 1.32814
24879.3 1.69570
24880.1 2.58720
24880.5 3.59850
24880.9 5.71619
24881.1 7.80734
24881.3 11.1857
24881.5 17.2750
24881.7 28.7022
24881.8 46.0305
24882.0 56.7893
24882.2 45.1409
24882.4 28.8607
24882.6 16.5763
24882.8 10.4208
24883.0 7.15612
24883.2 5.34229
24883.6 3.39196
24884.0 2.46157
24884.8 1.63959
24885.6 1.29871
24887.3 1.02569
24888.9 0.920603
24895.5 0.808982
24908.6 0.773258
24934.9 0.753359
24987.3 0.727553
25092.3 0.679668
25302.3 0.584397
25722.3 0.393048
26142.2 0.207451
26352.2 0.123334
26562.2 0.0530460
26667.2 0.0266790
26719.7 0.0166490
26772.2 0.00922726
26824.7 0.00487863
26877.2 0.00416275
26929.7 0.00774837
26982.1 0.0164394
27034.6 0.0312133
27087.1 0.0532489
27139.6 0.0840028
27192.1 0.125244
27297.1 0.248578
27402.1 0.448396
27507.1 0.765227
27612.1 1.26670
27717.1 2.07097
27822.1 3.39552
27927.0 5.66602
28032.0 9.77410
28084.5 13.0642
28137.0 17.7047
28189.5 24.3348
28242.0 33.8268
28438.0 91.7675
28487.0 94.6651
28536.0 87.0476
28634.0 60.7740
28709.8 44.2298
28785.6 32.9202
28861.4 25.3308
28937.2 20.1215
29088.8 13.7222
29240.4 10.1004
29392.0 7.83665
29543.6 6.31081
29846.8 4.40514
30150.0 3.26503
30453.2 2.49956
31059.6 1.51128
31665.9 0.876215
32272.3 0.430039
32575.5 0.262662
32878.7 0.135531
33030.3 0.0919216
33106.1 0.0779844
33181.9 0.0730931
33257.7 0.0865324
33295.6 0.108581
33333.5 0.154638
33352.5 0.195446
33371.4 0.258917
33390.4 0.363713
33409.3 0.552724
33418.8 0.709311
33428.3 0.943388
33437.7 1.31607
33447.2 1.95959
33456.7 3.21590
33461.4 4.34498
33466.2 6.17252
33470.9 9.41693
33473.3 12.0559
33475.6 15.9034
33478.0 21.8284
33480.4 31.4201
33482.7 47.8107
33485.1 76.3537
33487.6 122.361
33490.0 153.126
33492.5 122.743
33494.9 76.7774
33496.9 52.1818
33498.8 36.6053
33500.7 26.6786
33502.7 20.1401
33506.6 12.5032
33510.4 8.46426
33514.3 6.08669
33518.2 4.58426
33525.9 2.86358
33533.7 1.95731
33541.4 1.42309
