Ni-62(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 749.423
1.25000E-05 670.305
1.50000E-05 611.902
2.00000E-05 529.922
2.75000E-05 451.919
3.50000E-05 400.584
4.25000E-05 363.524
5.00000E-05 335.152
6.25000E-05 299.769
7.50000E-05 273.651
0.000100000 236.989
0.000125000 211.969
0.000150000 193.500
0.000200000 167.576
0.000275000 142.909
0.000350000 126.676
0.000425000 114.956
0.000500000 105.985
0.000625000 94.7954
0.000750000 86.5360
0.00100000 74.9424
0.00125000 67.0305
0.00150000 61.1902
0.00200000 52.9923
0.00275000 45.1920
0.00350000 40.0584
0.00425000 36.3524
0.00500000 33.5153
0.00625000 29.9770
0.00750000 27.3652
0.0100000 23.6990
0.0125000 21.1970
0.0150000 19.3502
0.0200000 16.7578
0.0253000 14.8995
0.0314750 13.3583
0.0376500 12.2138
0.0500000 10.5987
0.0625000 9.47979
0.0750000 8.65387
0.100000 7.49455
0.125000 6.70340
0.150000 6.11941
0.200000 5.29968
0.275000 4.51972
0.350000 4.00644
0.500000 3.35224
0.750000 2.73739
1.00000 2.37090
1.50000 1.93625
2.00000 1.67720
2.75000 1.43078
3.50000 1.26866
5.00000 1.06213
7.50000 0.868157
10.0000 0.752657
15.0000 0.615869
20.0000 0.534511
27.5000 0.457314
35.0000 0.406685
50.0000 0.342480
75.0000 0.282700
100.000 0.247523
150.000 0.206617
200.000 0.182976
275.000 0.161431
350.000 0.148118
500.000 0.133011
750.000 0.122875
999.999 0.121314
1000.00 0.121314
1000.01 0.121314
1000.02 0.121314
1000.03 0.121314
1000.06 0.121314
1000.12 0.121314
1000.25 0.121315
1000.49 0.121316
1000.98 0.121319
1001.96 0.121323
1003.91 0.121334
1007.81 0.121355
1015.63 0.121400
1031.25 0.121505
1062.50 0.121768
1125.00 0.122503
1250.00 0.124755
1500.00 0.132192
2000.00 0.159505
2399.68 0.197290
2799.35 0.257880
3199.03 0.356079
3598.70 0.512001
4000.00 0.719389
4000.00 0.719390
4000.01 0.719392
4000.01 0.719394
4000.02 0.719398
4000.03 0.719406
4000.07 0.719423
4000.13 0.719456
4000.27 0.719523
4000.53 0.719656
4001.06 0.719921
4002.11 0.720452
4004.22 0.721511
4008.44 0.723623
4016.88 0.727820
4033.75 0.736095
4067.50 0.752097
4135.00 0.781321
4270.00 0.823851
4540.00 0.817262
5000.00 0.581181
5481.30 0.337032
5909.85 0.209534
6338.41 0.137116
6766.96 0.0944961
7195.51 0.0680700
7624.06 0.0508525
8052.62 0.0391458
8481.17 0.0309103
8695.44 0.0277521
8802.58 0.0265547
8856.15 0.0267817
8882.94 0.0299965
8896.33 0.0436530
8899.68 0.0575884
8903.02 0.0962061
8904.70 0.148094
8906.37 0.287063
8907.21 0.466029
8907.63 0.633288
8908.05 0.915607
8908.47 1.45043
8908.67 1.91452
8908.88 2.64210
8909.09 3.87670
8909.30 6.16118
8909.41 8.09545
8909.51 10.9557
8909.62 15.3923
8909.72 22.1607
8909.86 35.4433
8910.00 44.2988
8910.14 35.4434
8910.28 22.1610
8910.41 14.3423
8910.53 9.71363
8910.65 6.88284
8910.78 5.10171
8911.03 3.08808
8911.28 2.06186
8911.52 1.47060
8911.77 1.10225
8912.27 0.688458
8913.27 0.348168
8914.26 0.215459
8916.25 0.113606
8918.24 0.0759575
8922.22 0.0480626
8926.20 0.0379991
8942.11 0.0279506
8973.94 0.0250772
9037.60 0.0237701
9164.92 0.0224884
9292.24 0.0224461
9324.08 0.0234196
9355.91 0.0267462
9371.82 0.0316374
