La-139(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
701.481 2.81107
701.647 2.87765
701.813 2.99819
701.896 3.09910
701.979 3.25178
702.062 3.49941
702.145 3.93925
702.187 4.30134
702.228 4.83910
702.270 5.68941
702.311 7.14953
702.353 9.97255
702.374 12.4958
702.394 16.5371
702.415 23.6535
702.436 37.6037
702.446 50.1547
702.457 70.1183
702.467 103.425
702.477 159.329
702.489 253.592
702.500 316.543
702.511 253.598
702.523 159.337
702.533 102.203
702.544 68.9228
702.555 49.1301
702.565 36.8487
702.586 23.1152
702.607 16.1719
702.628 12.2185
702.650 9.76613
702.692 7.01826
702.734 5.59642
702.776 4.77148
702.818 4.24993
702.861 3.89951
702.945 3.47235
703.030 3.23242
703.114 3.08408
703.198 2.98622
703.367 2.86896
703.536 2.80407
703.874 2.73837
704.212 2.70732
704.550 2.69013
705.225 2.67253
706.576 2.65886
707.927 2.65307
710.629 2.64697
713.331 2.64290
724.140 2.63004
745.757 2.60660
788.991 2.55929
810.609 2.53351
832.226 2.50374
843.034 2.48529
848.439 2.47410
853.843 2.46040
859.247 2.44190
861.949 2.42921
864.651 2.41215
866.003 2.40094
867.354 2.38691
868.705 2.36862
870.056 2.34356
871.407 2.30698
872.082 2.28186
872.758 2.25056
873.433 2.21459
873.771 2.19981
874.109 2.20010
874.278 2.21629
874.447 2.25790
874.616 2.35322
874.784 2.57285
874.869 2.78311
874.953 3.12752
875.038 3.72486
875.122 4.84342
875.207 7.20806
875.249 9.45274
875.291 13.2507
875.333 20.2983
875.354 26.2451
875.376 35.2257
875.397 49.5065
875.418 73.6577
875.439 117.297
875.460 199.206
875.480 326.041
875.500 417.115
875.520 342.547
875.540 220.676
875.555 157.789
875.569 116.136
875.584 88.3382
875.598 69.3237
875.627 46.1077
875.656 33.2857
875.685 25.4677
875.714 20.3891
875.773 14.3682
875.831 11.0611
875.889 9.03817
875.947 7.70301
876.005 6.77194
876.121 5.57775
876.237 4.86246
876.353 4.39404
876.469 4.06797
