Cr-52(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 43.0597
1.25000E-05 38.5131
1.50000E-05 35.1570
2.00000E-05 30.4462
2.75000E-05 25.9640
3.50000E-05 23.0142
4.25000E-05 20.8847
5.00000E-05 19.2545
6.25000E-05 17.2215
7.50000E-05 15.7208
0.000100000 13.6143
0.000125000 12.1768
0.000150000 11.1157
0.000200000 9.62623
0.000275000 8.20908
0.000350000 7.27643
0.000425000 6.60316
0.000500000 6.08773
0.000625000 5.44494
0.000750000 4.97046
0.00100000 4.30445
0.00125000 3.84995
0.00150000 3.51446
0.00200000 3.04354
0.00275000 2.59548
0.00350000 2.30060
0.00425000 2.08773
0.00500000 1.92477
0.00625000 1.72154
0.00750000 1.57152
0.0100000 1.36095
0.0125000 1.21725
0.0150000 1.11117
0.0200000 0.962282
0.0253000 0.855557
0.0314750 0.767549
0.0376500 0.702162
0.0500000 0.609819
0.0625000 0.545803
0.0750000 0.498520
0.100000 0.432105
0.125000 0.386748
0.150000 0.353246
0.200000 0.306188
0.275000 0.261373
0.350000 0.231854
0.500000 0.194197
0.750000 0.158761
1.00000 0.137614
1.50000 0.112503
2.00000 0.0975177
2.75000 0.0832455
3.50000 0.0738440
5.00000 0.0618495
7.50000 0.0505608
10.0000 0.0438232
15.0000 0.0358211
20.0000 0.0310443
27.5000 0.0264935
35.0000 0.0234947
50.0000 0.0196669
75.0000 0.0160612
100.000 0.0139068
150.000 0.0113442
200.000 0.00981133
275.000 0.00834747
350.000 0.00738014
500.000 0.00614086
750.000 0.00496753
999.999 0.00426641
1000.00 0.00426640
1000.01 0.00426639
1000.01 0.00426638
1000.02 0.00426636
1000.04 0.00426632
1000.08 0.00426623
1000.15 0.00426606
1000.31 0.00426572
1000.61 0.00426503
1001.22 0.00426365
1002.45 0.00426091
1004.89 0.00425544
1009.78 0.00424456
1019.56 0.00422305
1039.11 0.00418103
1078.21 0.00410083
1156.43 0.00395510
1312.85 0.00372574
1469.28 0.00370177
1508.39 0.00385977
1547.49 0.00440935
1567.05 0.00522490
1586.60 0.00759895
1596.38 0.0109370
1601.26 0.0142909
1606.15 0.0204484
1611.04 0.0336824
1613.49 0.0469020
1615.93 0.0710461
1617.15 0.0914103
1618.37 0.122531
1619.60 0.173564
1620.82 0.265960
1621.43 0.343216
1622.04 0.460277
