Br-79(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 553.373
1.25000E-05 494.951
1.50000E-05 451.827
2.00000E-05 391.293
2.75000E-05 333.696
3.50000E-05 295.790
4.25000E-05 268.425
5.00000E-05 247.476
6.25000E-05 221.349
7.50000E-05 202.063
0.000100000 174.992
0.000125000 156.517
0.000150000 142.880
0.000200000 123.738
0.000275000 105.524
0.000350000 93.5368
0.000425000 84.8832
0.000500000 78.2584
0.000625000 69.9964
0.000750000 63.8976
0.00100000 55.3369
0.00125000 49.4947
0.00150000 45.1822
0.00200000 39.1288
0.00275000 33.3690
0.00350000 29.5783
0.00425000 26.8417
0.00500000 24.7467
0.00625000 22.1340
0.00750000 20.2053
0.0100000 17.4980
0.0125000 15.6504
0.0150000 14.2866
0.0200000 12.3721
0.0253000 10.9998
0.0314750 9.86151
0.0376500 9.01626
0.0500000 7.82328
0.0625000 6.99679
0.0750000 6.38665
0.100000 5.53013
0.125000 4.94553
0.150000 4.51395
0.200000 3.90804
0.275000 3.33139
0.350000 2.95180
0.500000 2.46792
0.750000 2.01316
1.00000 1.74233
1.50000 1.42204
2.00000 1.23248
2.75000 1.05457
3.50000 0.940335
5.00000 0.802274
7.50000 0.692311
10.0000 0.652203
15.0000 0.692001
20.0000 0.908290
23.9100 1.34676
25.8650 1.78720
27.8200 2.58375
28.7975 3.24854
29.7750 4.25532
30.7525 5.88944
31.7300 8.81353
32.2188 11.2353
32.7075 14.8764
33.1963 20.7233
33.6850 31.0094
33.9294 39.3746
34.1738 51.7172
34.4181 71.0229
34.6625 103.685
34.7847 129.216
34.9069 165.460
35.0291 219.268
35.1513 303.834
35.2734 447.021
35.3956 714.535
35.4567 941.228
35.5178 1281.84
35.5789 1809.35
35.6400 2629.73
35.7200 4202.45
35.8000 5245.92
35.8800 4191.14
35.9600 2616.50
36.0149 1865.51
36.0697 1360.47
36.1245 1021.10
36.1794 788.074
36.2891 503.913
36.3988 346.958
36.5084 252.349
36.6181 191.329
36.8375 120.407
37.0569 82.5058
37.2763 59.9792
37.4956 45.5350
37.7150 35.7353
38.1538 23.6900
38.5925 16.8633
39.0313 12.6334
39.4700 9.83863
40.3475 6.50615
41.2250 4.68876
42.1025 3.60966
42.9800 2.93802
44.7350 2.26548
46.4900 2.15300
48.2450 2.62720
49.1225 3.26729
50.0000 4.50731
50.8775 7.16193
51.3163 9.73341
51.7550 14.2290
52.1938 23.1320
52.4131 31.2628
52.6325 44.6929
52.8519 69.1558
52.9616 89.6298
53.0713 120.506
53.1809 169.812
53.2906 254.245
53.3455 319.820
53.4003 410.623
53.4552 537.888
53.5100 715.045
53.6050 1142.78
53.7000 1426.94
53.7950 1140.48
53.8900 712.295
53.9801 448.788
54.0701 296.849
54.1602 207.237
54.2502 151.560
54.4304 90.1746
54.6105 59.3901
54.7906 41.9542
54.9707 31.1796
55.3309 19.1529
55.6912 12.9638
56.0514 9.37126
56.4117 7.10379
56.7719 5.58191
57.4924 3.72895
58.2128 2.68556
58.9333 2.03942
59.6538 1.61086
61.0947 1.09359
62.5356 0.803282
65.4175 0.502414
68.2994 0.355114
