Zn-68(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 53.5658
1.25000E-05 47.9107
1.50000E-05 43.7363
2.00000E-05 37.8768
2.75000E-05 32.3014
3.50000E-05 28.6321
4.25000E-05 25.9832
5.00000E-05 23.9554
6.25000E-05 21.4263
7.50000E-05 19.5595
0.000100000 16.9390
0.000125000 15.1507
0.000150000 13.8306
0.000200000 11.9777
0.000275000 10.2146
0.000350000 9.05429
0.000425000 8.21663
0.000500000 7.57536
0.000625000 6.77561
0.000750000 6.18526
0.00100000 5.35660
0.00125000 4.79109
0.00150000 4.37365
0.00200000 3.78770
0.00275000 3.23017
0.00350000 2.86325
0.00425000 2.59836
0.00500000 2.39558
0.00625000 2.14268
0.00750000 1.95600
0.0100000 1.69396
0.0125000 1.51513
0.0150000 1.38313
0.0200000 1.19785
0.0253000 1.06504
0.0314750 0.954885
0.0376500 0.873093
0.0500000 0.757663
0.0625000 0.677703
0.0750000 0.618682
0.100000 0.535840
0.125000 0.479310
0.150000 0.437585
0.200000 0.379024
0.275000 0.323315
0.350000 0.286661
0.500000 0.239960
0.750000 0.196093
1.00000 0.169965
1.50000 0.139012
2.00000 0.120593
2.75000 0.103105
3.50000 0.0916274
5.00000 0.0770558
7.50000 0.0634594
10.0000 0.0554354
15.0000 0.0460611
20.0000 0.0406028
27.5000 0.0355737
35.0000 0.0324127
50.0000 0.0287005
75.0000 0.0258904
100.000 0.0249482
150.000 0.0258459
200.000 0.0295626
275.000 0.0425250
312.500 0.0555139
350.000 0.0782926
368.750 0.0966289
378.125 0.108671
387.500 0.123389
392.188 0.132008
394.531 0.136689
396.875 0.141643
399.219 0.146892
401.563 0.152461
403.906 0.158376
406.250 0.164667
408.594 0.171365
410.938 0.178507
415.625 0.194291
420.313 0.212401
425.000 0.233320
429.688 0.257665
434.375 0.286231
439.063 0.320059
443.750 0.360533
453.125 0.469608
457.813 0.544428
462.500 0.639243
467.188 0.761889
471.875 0.924456
476.563 1.14637
481.250 1.46043
485.938 1.92559
490.625 2.65616
495.313 3.89737
497.656 4.86975
500.000 6.25040
503.018 9.06547
506.035 14.1782
507.544 18.3876
509.053 24.5398
510.561 33.7409
512.070 47.4834
514.235 75.7503
516.400 94.1780
518.565 74.9384
520.730 46.7010
522.602 30.5595
524.474 20.8015
526.347 14.8178
528.219 10.9913
531.963 6.65325
535.707 4.42082
539.452 3.13634
543.196 2.33436
550.684 1.43103
558.173 0.962762
565.662 0.690022
573.150 0.517700
580.639 0.402094
595.616 0.261713
610.593 0.183163
625.570 0.134938
640.548 0.103286
670.502 0.0657443
700.456 0.0452602
730.411 0.0329215
760.365 0.0249457
820.274 0.0156478
880.183 0.0106727
940.091 0.00772139
1000.00 0.00583701
1125.00 0.00360499
1250.00 0.00245364
1375.00 0.00178698
1500.00 0.00136807
1750.00 0.000892306
2000.00 0.000642954
2450.22 0.000418775
2900.44 0.000313891
3350.66 0.000268022
3575.76 0.000289659
3688.32 0.000432417
3744.60 0.00102127
3772.74 0.00337537
3779.77 0.00580633
3786.80 0.0127061
3790.32 0.0222861
3793.84 0.0492791
3795.60 0.0864181
3796.48 0.123156
3797.36 0.189551
3798.24 0.329033
3798.68 0.464942
3799.12 0.705549
3799.34 0.903129
3799.56 1.19676
3799.78 1.66019
3799.99 2.44908
3800.21 3.97215
3800.32 5.32240
3800.43 7.48345
3800.54 11.2383
3800.65 18.5370
3800.71 24.9796
3800.76 35.0610
3800.82 51.5105
3800.87 78.0733
3800.94 125.322
3801.00 156.168
3801.06 124.533
3801.13 78.0733
3801.20 44.5492
3801.27 27.6117
3801.35 18.4441
3801.42 13.0803
3801.49 9.67990
3801.57 7.45933
3801.71 4.80171
3801.86 3.33266
3802.01 2.44970
3802.30 1.48092
3802.59 0.988942
3802.88 0.706637
3803.47 0.412357
3804.06 0.269684
3804.64 0.190146
3805.81 0.109021
3806.98 0.0706271
3808.15 0.0494802
3810.49 0.0282010
3815.18 0.0127855
3819.86 0.00733096
3829.23 0.00340673
3838.59 0.00202511
3876.06 0.000685970
3950.99 0.000349999
4025.92 0.000290005
4100.85 0.000272814
4250.71 0.000275704
4400.56 0.000309983
4550.42 0.000396296
4625.35 0.000482597
4700.28 0.000634432
4775.21 0.000934948
4812.68 0.00120864
4850.14 0.00165995
4887.61 0.00248324
4906.34 0.00317681
4925.07 0.00423559
4943.80 0.00596977
4962.54 0.00910483
4971.90 0.0117230
4981.27 0.0156859
4990.63 0.0221007
5000.00 0.0334993
5004.65 0.0427787
5006.98 0.0489410
5009.30 0.0565369
5010.47 0.0610186
5011.63 0.0660555
5012.79 0.0717426
5013.95 0.0781908
5015.12 0.0855546
5016.28 0.0940078
5017.44 0.103775
5018.61 0.115132
5019.77 0.128464
5020.93 0.144240
5023.26 0.185862
5025.58 0.248237
5026.75 0.291730
5027.91 0.347465
5029.07 0.420522
5030.23 0.518567
5031.40 0.653934
5032.56 0.846916
5033.72 1.13318
5034.89 1.57554
5036.05 2.28579
5037.21 3.43707
5038.61 5.50230
5040.00 6.87885
5041.40 5.49838
5042.79 3.43329
5043.98 2.26058
5045.17 1.54695
5046.36 1.10641
5047.55 0.823648
5049.93 0.501418
5052.31 0.334768
5054.70 0.238523
5057.08 0.178245
5061.84 0.110099
5066.60 0.0746087
5071.36 0.0538507
5076.12 0.0406835
5080.89 0.0318178
5090.41 0.0209930
5099.93 0.0148921
5109.46 0.0111201
5118.98 0.00862734
5138.03 0.00564188
5157.08 0.00399112
5176.12 0.00298376
5195.17 0.00232438
5233.27 0.00154235
5271.36 0.00111404
5309.46 0.000854338
5347.55 0.000685073
5423.74 0.000485065
5499.93 0.000375766
5652.31 0.000266146
5804.69 0.000214671
5957.07 0.000186273
6261.83 0.000157659
6871.34 0.000142003
7176.10 0.000160723
7328.48 0.000248748
7404.67 0.000602818
7442.77 0.00201487
7452.29 0.00347368
7461.81 0.00761905
7466.58 0.0133825
7471.34 0.0296684
7473.72 0.0521447
7474.91 0.0744722
7476.10 0.114942
7477.29 0.200409
7477.89 0.284102
7478.48 0.433661
7478.78 0.557332
7479.08 0.741694
7479.37 1.03630
7479.67 1.54567
7479.97 2.55016
7480.12 3.46207
7480.27 4.94614
7480.42 7.63587
7480.49 9.88132
7480.56 13.1868
7480.64 18.4594
7480.71 27.1763
7480.79 42.7548
7480.86 71.9422
7480.93 115.282
7481.00 143.900
7481.07 115.280
7481.14 71.9407
7481.19 51.6762
7481.23 38.0440
7481.28 28.6091
7481.32 22.2281
7481.42 14.2942
7481.51 9.91796
7481.60 7.23251
7481.69 5.51069
7481.88 3.48553
7482.07 2.39291
7482.25 1.74503
7482.44 1.32803
7482.62 1.04415
7482.99 0.693034
7483.36 0.493576
7483.73 0.368987
7484.10 0.286414
7484.84 0.186795
7485.58 0.131382
7487.07 0.0751207
7488.55 0.0485782
7490.03 0.0339879
7492.99 0.0193312
7498.92 0.00873443
7504.85 0.00499196
7516.70 0.00230232
7528.56 0.00135642
7575.98 0.000441000
7670.82 0.000212750
7765.65 0.000173330
7860.49 0.000164348
8050.17 0.000197211
8145.01 0.000350010
8192.43 0.000945943
8216.14 0.00329863
8222.06 0.00571837
8227.99 0.0125613
8230.96 0.0220203
8233.92 0.0484964
8235.40 0.0846231
8236.88 0.183763
8237.62 0.315529
8237.99 0.442220
8238.36 0.662818
8238.74 1.10194
8238.92 1.50347
8239.11 2.16925
8239.29 3.38881
8239.38 4.42217
8239.48 5.97269
8239.57 8.49625
8239.66 12.8183
8239.75 21.0480
8239.85 37.2505
8239.92 59.7582
8240.00 74.5079
8240.08 59.4494
8240.16 37.2498
8240.24 21.9270
8240.33 13.8047
8240.41 9.31568
8240.50 6.65224
8240.58 4.96581
8240.67 3.83877
8240.84 2.48164
8241.01 1.73101
8241.18 1.27436
8241.51 0.772903
8241.85 0.517267
8242.19 0.370494
8242.87 0.216544
8244.23 0.100078
8245.59 0.0574545
8248.31 0.0261173
8251.02 0.0149078
8256.45 0.00678414
8261.89 0.00390999
8283.62 0.00111774
8327.08 0.000427389
8414.00 0.000323885
8500.92 0.000690490
8544.38 0.00227595
8566.11 0.00859203
8571.54 0.0150887
8576.97 0.0334381
8579.69 0.0587640
8582.41 0.129460
8583.76 0.225538
8584.44 0.319620
8585.12 0.487636
8585.80 0.833333
8586.14 1.16350
8586.48 1.73388
8586.82 2.85597
8586.99 3.87230
8587.16 5.52404
8587.33 8.50503
8587.41 10.9646
8587.50 14.6208
8587.58 20.3438
8587.67 29.8671
8587.75 46.7834
8587.84 77.6677
8587.92 124.120
8588.00 155.346
8588.08 124.119
8588.16 77.6671
8588.22 53.1272
8588.29 37.5549
8588.35 27.5253
8588.41 20.8636
8588.54 12.9724
8588.66 8.80044
8588.78 6.32310
8588.91 4.76342
8589.16 2.96882
8589.41 2.02294
8589.66 1.46539
8590.15 0.869325
8590.65 0.574552
8591.15 0.407689
8592.14 0.235752
8594.14 0.107710
8596.13 0.0614883
8600.11 0.0277858
8604.09 0.0158042
8612.06 0.00715584
8620.02 0.00410405
8651.88 0.00114107
8715.60 0.000393854
8843.05 0.000206548
9097.93 0.000170462
9352.82 0.000225553
9480.26 0.000472825
9543.98 0.00146001
9559.91 0.00247877
9575.84 0.00536956
9583.81 0.00938038
9591.77 0.0206779
9595.76 0.0362087
9597.75 0.0515676
9599.74 0.0793106
9601.73 0.137488
9602.73 0.194092
9603.72 0.294309
9604.72 0.498230
9605.22 0.690123
9605.71 1.01696
9606.21 1.64422
9606.46 2.19793
9606.71 3.08014
9606.96 4.60292
9607.21 7.53281
9607.33 10.1042
9607.46 14.0529
9607.58 20.3951
9607.70 30.6897
9607.85 49.1745
9608.00 61.3884
9608.15 49.0405
9608.30 30.6887
9608.39 22.3106
9608.49 16.5390
9608.68 9.83208
9608.87 6.37955
9609.06 4.44410
9609.26 3.25499
9609.45 2.48444
9609.83 1.57858
9610.21 1.08797
9610.59 0.794919
9611.36 0.476554
9612.12 0.317005
9612.89 0.225930
9614.42 0.131323
9615.95 0.0857503
9617.48 0.0603724
9620.54 0.0345812
9626.66 0.0157029
9632.78 0.00897019
9645.02 0.00410123
9657.26 0.00238066
9706.22 0.000708781
9804.15 0.000288346
10000.0 0.000185711
10264.0 0.000169205
10528.0 0.000171348
11056.0 0.000192536
11583.9 0.000236708
11847.9 0.000276820
11979.9 0.000312415
12045.9 0.000365368
12078.9 0.000522123
12095.4 0.00111517
12103.7 0.00344192
12107.8 0.0124780
12109.8 0.0466264
12110.9 0.168598
12111.4 0.567774
12111.7 1.64230
12111.8 3.75053
12111.8 6.19968
12111.9 11.6817
12112.0 18.3233
12112.0 23.2425
12112.1 18.3234
12112.1 11.5613
12112.1 7.48628
12112.2 4.76635
12112.3 2.31733
12112.5 0.903240
12112.9 0.289341
12113.6 0.0815163
12115.2 0.0218559
12118.2 0.00589453
12124.4 0.00174835
12136.7 0.000697314
12161.3 0.000438853
12210.5 0.000389103
12308.8 0.000413463
12505.5 0.000534087
12702.2 0.000776574
12800.6 0.000999584
12849.7 0.00116451
12874.3 0.00128393
12886.6 0.00142451
12892.8 0.00179303
12895.8 0.00312064
12897.4 0.00807379
12898.2 0.0255748
12898.5 0.0787944
12898.7 0.207531
12898.9 1.21713
12899.0 2.41883
12899.1 1.20302
12899.2 0.374893
12899.3 0.172258
12899.5 0.0626873
12900.0 0.0196359
12900.9 0.00636827
12902.7 0.00269162
12906.3 0.00173991
12913.5 0.00152823
12927.8 0.00154666
12956.6 0.00172024
13014.0 0.00223932
13071.5 0.00308528
13129.0 0.00459175
13157.7 0.00583152
13186.5 0.00768157
13215.2 0.0106192
13229.6 0.0127830
13244.0 0.0156969
13251.1 0.0175493
13258.3 0.0197503
13265.5 0.0224006
13272.7 0.0256209
13279.9 0.0295977
13287.1 0.0345706
13294.3 0.0409173
13301.4 0.0491619
13308.6 0.0601632
13315.8 0.0752247
13323.0 0.0966204
13330.2 0.128201
13337.4 0.177324
13344.5 0.258090
13348.1 0.318479
13351.7 0.399382
13355.3 0.508498
13358.9 0.654385
13366.0 1.04684
13373.0 1.30788
13380.1 1.04541
13387.1 0.653014
13392.2 0.456256
13397.4 0.327470
13402.5 0.242824
13407.6 0.185698
13417.9 0.117303
13428.2 0.0801871
13438.4 0.0580573
13448.7 0.0439137
13469.2 0.0275936
13489.7 0.0189264
13510.3 0.0137976
13530.8 0.0105167
13551.3 0.00829374
13592.3 0.00556353
13633.4 0.00401691
13674.4 0.00305764
13715.5 0.00242303
13797.6 0.00166339
13879.7 0.00124546
14043.8 0.000830358
14208.0 0.000644663
14372.2 0.000552180
14700.6 0.000485115
15028.9 0.000491678
15357.3 0.000549490
15685.7 0.000726928
15849.9 0.00120098
15890.9 0.00165292
15932.0 0.00290764
15952.5 0.00463243
15962.7 0.00634491
15973.0 0.00945721
15983.3 0.0160501
15988.4 0.0225416
15993.5 0.0342097
15996.1 0.0439188
15998.7 0.0584699
16001.2 0.0819237
16003.8 0.122930
16005.1 0.156445
16006.4 0.205358
16007.6 0.281346
16008.9 0.408581
16010.2 0.647766
16010.8 0.851385
16011.5 1.16557
16012.1 1.68348
16012.8 2.61237
16013.4 4.45737
16013.7 6.06345
16014.0 8.42451
16014.5 13.4898
16015.0 16.8705
16015.5 13.4885
16016.0 8.42367
16016.4 5.43855
16016.8 3.66482
16017.3 2.59282
16017.7 1.91459
16018.5 1.15350
16019.4 0.765354
16020.3 0.543156
16021.1 0.404822
16022.8 0.249299
16024.6 0.168716
16026.3 0.121734
16028.0 0.0919961
16029.7 0.0720965
16033.2 0.0476782
16036.6 0.0339697
16043.5 0.0198767
16050.3 0.0131660
16057.2 0.00945874
16070.9 0.00572847
16084.7 0.00400845
16098.4 0.00315652
16112.2 0.00315596
16119.0 0.00522850
16122.5 0.0139870
16124.2 0.0472217
16125.1 0.164835
16125.5 0.533007
16125.7 1.41261
16125.8 3.02367
16125.9 4.69599
16125.9 8.18186
16126.0 16.2764
16126.1 8.09668
16126.2 4.69602
16126.2 2.79090
16126.3 1.25963
16126.6 0.446358
16127.0 0.138065
16128.0 0.0397343
16129.9 0.0118783
16133.6 0.00439942
16141.2 0.00237149
16156.2 0.00169788
16186.4 0.00134072
16246.6 0.00110124
16367.2 0.000997786
16608.3 0.00108864
17090.5 0.00165095
17331.6 0.00217824
17572.7 0.00303654
17693.2 0.00368130
17753.5 0.00408669
17813.8 0.00456559
17843.9 0.00483874
17874.1 0.00513868
17904.2 0.00547000
17934.3 0.00583960
17964.5 0.00626157
17994.6 0.00677893
18024.7 0.00770602
18039.8 0.00972735
18047.3 0.0167600
18051.1 0.0434158
