U-238(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 134.433
1.25000E-05 120.240
1.50000E-05 109.764
2.00000E-05 95.0584
2.75000E-05 81.0662
3.50000E-05 71.8576
4.25000E-05 65.2098
5.00000E-05 60.1205
6.25000E-05 53.7735
7.50000E-05 49.0884
0.000100000 42.5119
0.000125000 38.0240
0.000150000 34.7111
0.000200000 30.0609
0.000275000 25.6363
0.000350000 22.7244
0.000425000 20.6223
0.000500000 19.0130
0.000625000 17.0061
0.000750000 15.5246
0.00100000 13.4452
0.00125000 12.0262
0.00150000 10.9788
0.00200000 9.50860
0.00275000 8.10985
0.00350000 7.18940
0.00425000 6.52499
0.00500000 6.01640
0.00625000 5.38222
0.00750000 4.91417
0.0100000 4.25736
0.0125000 3.80930
0.0150000 3.47867
0.0200000 3.01483
0.0253000 2.68261
0.0314750 2.40730
0.0376500 2.20307
0.0500000 1.91523
0.0625000 1.71623
0.0750000 1.56962
0.100000 1.36446
0.125000 1.22505
0.150000 1.12260
0.200000 0.979761
0.275000 0.845513
0.350000 0.758633
0.500000 0.650925
0.750000 0.555837
1.00000 0.505305
1.50000 0.460328
2.00000 0.453520
2.59900 0.479464
3.19799 0.545589
3.79699 0.674614
4.09648 0.781492
4.24623 0.859596
4.32111 0.933762
4.35854 1.05476
4.37726 1.27864
4.38662 1.59062
4.39598 2.36413
4.40748 3.81105
4.41898 2.38088
4.42806 1.63264
4.43714 1.32953
4.45529 1.12209
4.49161 1.04137
4.56424 1.05592
4.70949 1.16669
5.00000 1.50919
5.20766 1.88967
5.41531 2.47117
5.62297 3.42503
5.83063 5.15632
5.93445 6.61021
6.03828 8.82556
6.14211 12.4487
6.24594 18.9947
6.29785 24.4628
6.34977 32.7471
6.40168 46.1814
6.45359 70.1344
6.47955 89.8680
6.49253 103.039
6.50551 119.348
6.51200 129.003
6.51524 134.277
6.51849 139.881
6.52173 145.846
6.52498 152.200
6.52822 158.982
6.53147 166.226
6.53796 182.292
6.54444 200.805
6.55093 222.292
6.55742 247.424
6.56391 277.076
6.57040 312.385
6.57689 354.884
6.58338 406.657
6.58987 470.602
6.59636 550.794
6.60285 653.200
6.60934 786.733
6.61583 965.222
6.62232 1210.81
6.62880 1560.87
6.63529 2081.62
6.64178 2897.71
6.64827 4257.83
6.65476 6680.25
6.65801 8582.10
6.66125 11155.7
6.66737 17842.9
6.67349 22296.0
6.67961 17828.3
6.68573 11136.6
6.68955 8180.57
6.69337 6117.58
6.70101 3673.13
6.70865 2402.63
6.71630 1679.52
6.72394 1234.73
6.73158 943.640
6.74686 600.375
6.76214 414.323
6.77742 302.676
6.79271 230.579
6.80799 181.387
6.83855 120.537
6.86912 85.7963
6.89968 64.1298
6.93025 49.7223
6.99137 32.3666
7.05250 22.7181
7.11363 16.8120
7.17476 12.9390
7.23589 10.2643
7.29702 8.34103
7.41928 5.82370
7.54153 4.30120
7.66379 3.44860
7.67529 3.51397
7.68679 3.30176
7.72293 2.96554
7.75908 2.76480
7.83137 2.43299
7.97594 1.93407
8.26509 1.31948
8.55424 0.970803
8.84340 0.755496
9.42170 0.518852
9.71085 0.454887
10.0000 0.439142
10.0570 0.462280
10.1140 0.537495
10.1424 0.638948
10.1709 0.893140
10.1852 1.18841
10.1994 1.82200
10.2065 2.44421
10.2137 3.53556
10.2208 5.62845
10.2243 7.38806
10.2279 9.90056
10.2337 15.6140
10.2394 19.3776
10.2452 15.5366
10.2509 9.84243
10.2550 7.03477
10.2591 5.17760
10.2673 3.11453
10.2756 2.10730
10.2838 1.55738
10.3002 1.01567
10.3166 0.769615
10.3495 0.558626
10.3823 0.472120
10.4480 0.400845
10.5137 0.370574
10.7766 0.326236
11.0394 0.310948
11.1708 0.322668
11.2365 0.382016
11.2529 0.433974
11.2694 0.549720
11.2776 0.668126
11.2858 0.885057
11.2940 1.33064
11.2981 1.73215
11.3022 2.33767
11.3080 3.56898
11.3137 4.40090
11.3195 3.58846
11.3252 2.35308
11.3292 1.75458
11.3332 1.35396
11.3412 0.902775
11.3492 0.680103
11.3572 0.557569
11.3732 0.435995
11.3892 0.380345
11.4531 0.312244
11.5811 0.287810
11.8369 0.275856
12.3486 0.268300
13.3720 0.276402
14.3953 0.310574
15.4187 0.378931
16.4421 0.508085
17.4655 0.774239
17.9771 1.02429
18.4888 1.45040
19.0005 2.26943
19.2564 3.00582
19.3843 3.55860
19.4482 4.00849
19.4802 4.56059
19.4962 5.39828
19.5042 6.42264
19.5122 8.63348
19.5237 13.2128
19.5352 8.80602
19.5425 6.80210
19.5497 5.85874
19.5643 5.15137
19.5933 4.91819
19.6514 5.19093
19.7676 6.23393
20.0000 9.86032
20.1069 12.7430
20.1603 14.6937
20.2138 17.1367
20.2271 17.8441
20.2405 18.5967
20.2538 19.3986
20.2672 20.2541
20.2739 20.7034
20.2806 21.1680
20.2872 21.6485
20.2939 22.1458
20.3006 22.6606
20.3073 23.1937
20.3206 24.3185
20.3340 25.5279
20.3474 26.8306
20.3741 29.7568
20.4008 33.1933
20.4275 37.2647
20.4542 42.1415
20.4809 48.0488
20.5077 55.2988
20.5344 64.3317
20.5611 75.7838
20.5878 90.6026
20.6145 110.249
20.6413 137.058
20.6680 175.011
20.6947 231.226
20.7214 319.556
20.7481 469.898
20.7615 588.064
20.7749 756.654
20.7882 1008.56
20.8016 1407.90
20.8149 2092.28
20.8283 3394.67
20.8350 4519.30
20.8417 6241.12
20.8483 8972.72
20.8550 13335.4
20.8633 21354.8
20.8715 26732.2
20.8798 21394.7
20.8880 13362.6
20.8945 9095.82
20.9009 6390.58
20.9074 4661.89
20.9138 3520.87
20.9267 2184.87
20.9396 1476.52
20.9525 1060.31
20.9654 796.892
20.9912 495.839
21.0170 337.401
21.0428 244.169
21.0687 184.742
21.0945 144.608
21.1461 95.4368
21.1977 67.6416
21.2493 50.4197
21.3009 39.0204
21.4041 25.3489
21.5074 17.7807
21.6106 13.1592
21.7138 10.1337
21.9203 6.54595
22.1267 4.58300
22.3332 3.39493
22.5396 2.62261
22.9525 1.71484
23.3654 1.22410
23.7783 0.931303
23.9848 0.829151
24.0880 0.789789
24.1396 0.784046
24.1654 0.810343
24.1783 0.868227
24.1912 1.07353
24.2027 1.40194
24.2142 1.06765
24.2252 0.868839
24.2362 0.797334
24.2582 0.746968
24.3021 0.713536
24.3901 0.679388
24.5659 0.628112
24.9177 0.549057
25.6212 0.447123
26.3246 0.390727
26.6764 0.374227
26.8522 0.370378
26.9402 0.376499
26.9841 0.401492
27.0061 0.461120
27.0171 0.556117
27.0226 0.656128
27.0281 0.830029
27.0396 1.29821
27.0511 0.829649
27.0605 0.579048
27.0699 0.479000
27.0886 0.409179
27.1261 0.375705
27.2012 0.362620
27.3512 0.356702
27.6513 0.353163
28.2514 0.356443
29.4518 0.397955
30.6521 0.498067
31.8525 0.703985
32.4526 0.884070
33.0528 1.16328
33.6530 1.62622
34.2531 2.47370
34.5532 3.18931
34.8533 4.28398
35.0034 5.06322
35.1534 6.08203
35.1909 6.38578
35.2284 6.71327
35.2659 7.06702
35.3034 7.44995
35.3409 7.86534
35.3597 8.08643
35.3785 8.31697
35.3972 8.55778
35.4160 8.80920
35.4535 9.34705
35.4910 9.93649
35.5285 10.5840
35.6035 12.0868
35.6785 13.9379
35.7536 16.2538
35.8286 19.2046
35.9036 23.0456
35.9786 28.1747
36.0536 35.2399
36.1287 45.3540
36.2037 60.5609
36.2787 84.9528
36.3537 127.727
36.3912 162.368
36.4287 213.242
36.4663 292.263
36.5038 424.551
36.5413 670.495
36.5600 880.848
36.5788 1204.89
36.5975 1738.52
36.6163 2693.02
36.6257 3467.50
36.6351 4583.68
36.6444 6224.49
36.6538 8627.43
36.6680 13810.6
36.6821 17275.0
36.6963 13819.3
36.7104 8631.71
36.7233 5536.60
36.7361 3711.84
36.7490 2616.16
36.7619 1926.76
36.7876 1156.15
36.8133 765.098
36.8391 541.801
36.8648 403.124
36.9163 247.514
36.9677 167.031
37.0192 120.182
37.0707 90.5546
37.1221 70.6542
37.2251 46.4198
37.3280 32.7960
37.4309 24.3881
37.5339 18.8391
37.7397 12.2038
37.9456 8.54126
38.1514 6.30938
38.3573 4.85013
38.5632 3.84434
38.7690 3.12214
39.1808 2.17777
39.5925 1.60642
40.0042 1.23492
40.4159 0.980028
40.8276 0.797712
41.6511 0.560491
42.4745 0.418090
42.8863 0.368269
43.0921 0.349915
43.1950 0.351600
43.2465 0.383103
43.2722 0.470156
43.2851 0.624224
43.2915 0.801863
43.2980 1.14157
43.3037 1.63062
43.3095 1.95655
43.3152 1.62975
43.3210 1.13970
43.3282 0.770561
43.3354 0.590831
43.3498 0.443833
43.3786 0.362463
43.4363 0.326870
43.5516 0.307648
43.7822 0.287230
44.2435 0.256227
44.7047 0.232886
44.9353 0.230056
45.0506 0.254307
45.0795 0.280128
45.1083 0.345324
45.1227 0.421365
45.1371 0.585066
45.1443 0.746466
45.1515 1.03011
45.1587 1.57767
45.1659 2.70262
45.1717 4.19877
45.1774 5.19626
45.1832 4.19880
45.1889 2.70229
45.1956 1.63792
45.2022 1.09148
45.2089 0.796477
45.2155 0.624176
45.2288 0.444580
45.2421 0.358807
45.2686 0.282660
45.2952 0.250599
45.4014 0.212363
45.6139 0.194809
46.0389 0.178197
46.4638 0.165922
46.6763 0.161797
46.7825 0.164224
46.8357 0.178685
46.8622 0.217290
46.8755 0.286304
46.8821 0.367294
46.8888 0.524937
46.9003 0.894983
46.9118 0.524494
46.9171 0.389996
46.9224 0.311314
46.9330 0.234914
46.9543 0.185301
46.9968 0.162600
47.0819 0.153316
47.2521 0.147543
47.5924 0.140340
48.2730 0.129052
48.9537 0.120589
49.2940 0.118933
49.4642 0.125085
49.5492 0.151207
49.5705 0.174770
49.5918 0.229999
49.6024 0.290043
49.6131 0.408829
49.6184 0.515837
49.6237 0.686711
49.6290 0.973307
49.6343 1.46240
49.6401 2.27222
49.6458 2.81217
49.6516 2.27237
49.6573 1.46250
49.6627 0.969807
49.6680 0.683300
49.6734 0.512567
49.6787 0.406017
49.6895 0.287650
49.7002 0.227889
49.7216 0.172751
49.7430 0.149034
49.8287 0.121608
50.0000 0.112365
50.5079 0.106254
51.0157 0.102945
52.0314 0.0987520
54.0629 0.0979278
56.0943 0.108235
57.1100 0.119429
57.6179 0.127549
57.8718 0.133637
57.9988 0.141675
58.0622 0.161029
58.0940 0.209947
58.1098 0.304387
58.1178 0.427114
58.1257 0.696860
58.1315 1.03317
58.1372 1.25745
58.1430 1.03350
58.1487 0.697458
58.1540 0.496556
58.1592 0.378200
58.1697 0.262619
58.1906 0.187689
58.2325 0.155012
58.3163 0.145408
58.4839 0.146022
58.8191 0.154032
59.4895 0.176353
60.8303 0.252200
61.5007 0.318606
62.1711 0.423231
62.8415 0.603428
63.1767 0.756608
63.3443 0.901259
63.4281 1.14138
63.4490 1.32115
63.4700 1.72155
63.4805 2.14653
63.4909 2.97611
63.4962 3.71684
63.5014 4.88874
63.5067 6.84139
63.5119 10.1434
63.5176 15.6832
63.5234 19.3713
63.5292 15.6825
63.5349 10.1616
63.5397 7.06255
63.5446 5.15965
63.5494 3.97878
63.5542 3.21731
63.5639 2.34842
63.5735 1.90028
63.5929 1.48557
63.6122 1.31315
63.6894 1.16145
63.8440 1.24765
64.1530 1.65010
64.4621 2.33804
64.7712 3.59584
64.9257 4.65489
65.0802 6.27010
65.1575 7.41671
65.1961 8.11263
65.2348 8.91202
65.2541 9.35717
65.2734 9.83672
65.2927 10.3543
65.3120 10.9138
65.3313 11.5204
65.3507 12.1790
65.3700 12.8963
65.3893 13.6787
65.4086 14.5354
65.4279 15.4754
65.4666 17.6517
65.5052 20.3231
65.5438 23.6522
65.5825 27.8750
65.6211 33.3391
65.6597 40.5849
65.6983 50.4789
65.7370 64.4899
65.7756 85.2439
65.8142 117.867
65.8529 173.416
65.8722 217.108
65.8915 279.471
65.9108 372.703
65.9301 520.514
65.9495 774.169
65.9591 973.872
65.9688 1257.19
65.9784 1675.00
65.9881 2315.48
65.9978 3333.21
66.0074 4962.43
66.0193 7949.34
66.0312 9938.99
66.0431 7951.19
66.0549 4973.66
66.0661 3136.57
66.0774 2076.65
66.0886 1450.25
66.0998 1061.08
66.1111 805.997
66.1223 631.391
66.1448 415.746
66.1672 293.447
66.1897 217.850
66.2346 133.371
66.2796 89.8611
66.3245 64.5919
66.3694 48.6415
66.4144 37.9383
66.5042 24.9193
66.5941 17.6088
66.6839 13.0997
66.7738 10.1248
66.9535 6.56837
67.1333 4.60552
67.3130 3.41070
67.4028 2.98702
67.4478 2.82029
67.4927 2.95884
67.5042 3.25148
67.5157 2.87874
67.5539 2.45401
67.5922 2.31520
67.6687 2.09882
67.8216 1.75700
68.1276 1.28706
68.4335 0.985596
68.7395 0.780711
69.3514 0.528214
69.9633 0.384666
70.5752 0.295570
71.1871 0.236779
71.7990 0.196685
72.1049 0.183505
72.2579 0.185949
72.3344 0.214283
72.3535 0.240870
72.3726 0.302640
72.3822 0.368429
72.3917 0.494990
72.4013 0.775727
72.4061 1.04902
72.4108 1.49173
72.4166 2.28655
72.4223 2.81639
72.4281 2.28626
72.4338 1.49101
72.4379 1.10196
72.4420 0.843736
72.4501 0.554332
72.4582 0.412342
72.4663 0.334457
72.4825 0.257287
72.4987 0.221963
72.5636 0.178157
72.6933 0.160744
72.9527 0.148662
73.4715 0.133553
74.5091 0.113849
76.5843 0.100488
77.6220 0.109529
78.1408 0.122981
78.6596 0.150314
79.1784 0.211892
79.4378 0.274440
79.6972 0.389479
79.8269 0.486904
79.9566 0.636197
80.0863 0.881805
80.2160 1.32843
80.2809 1.70357
80.3457 2.27435
80.4106 3.20495
80.4754 4.87589
80.5078 6.26179
80.5403 8.34417
80.5727 11.6832
80.6051 17.5303
80.6375 29.2000
80.6538 39.9551
80.6700 57.9103
80.6862 91.1747
80.6902 103.943
80.6943 119.495
80.6983 138.734
80.7024 162.884
80.7065 193.796
80.7105 233.909
80.7146 287.180
80.7186 359.583
80.7227 460.745
80.7267 604.824
80.7308 814.115
80.7348 1116.96
80.7380 1429.92
80.7411 1787.56
80.7474 2233.65
80.7506 2102.07
80.7538 1786.37
80.7601 1116.86
80.7646 786.653
80.7691 567.956
80.7736 423.042
80.7781 324.794
80.7871 206.167
80.7960 141.339
80.8050 102.534
80.8140 77.6219
80.8320 48.7833
80.8500 33.4245
80.8680 24.3100
80.8859 18.4695
80.9039 14.5067
80.9399 9.63067
80.9759 6.86197
81.0118 5.14076
81.0478 3.99856
81.1197 2.62476
81.1916 1.86191
81.2635 1.39493
81.3355 1.08852
81.4074 0.876685
81.4793 0.724207
81.6232 0.524199
81.7670 0.402768
81.9109 0.323606
