20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
1.293780e-01 1.93074867e-01
1.400290e-01 1.85796670e-01
1.479320e-01 1.80396319e-01
1.500000e-01 1.78983194e-01
1.518830e-01 1.78080104e-01
1.646280e-01 1.71967642e-01
1.783160e-01 1.65402979e-01
1.929960e-01 1.58362615e-01
2.000000e-01 1.55003598e-01
2.093340e-01 1.52163881e-01
2.269000e-01 1.46819765e-01
2.457660e-01 1.41080198e-01
2.659990e-01 1.34924800e-01
2.750000e-01 1.32186483e-01
2.885160e-01 1.29480160e-01
3.127270e-01 1.24632408e-01
3.387290e-01 1.19426088e-01
3.500000e-01 1.17169338e-01
3.666150e-01 1.15049237e-01
3.976500e-01 1.11089159e-01
4.310190e-01 1.06831299e-01
4.668560e-01 1.02258560e-01
5.000000e-01 9.80294721e-02
5.052910e-01 9.76487025e-02
5.480640e-01 9.45705571e-02
6.099230e-01 9.01189415e-02
6.611060e-01 8.64356482e-02
7.160730e-01 8.24800767e-02
7.500000e-01 8.00386148e-02
7.750260e-01 7.89649823e-02
8.406320e-01 7.61504665e-02
9.111750e-01 7.31241796e-02
9.869340e-01 6.98741512e-02
1.000000e+00 6.93136298e-02
1.098330e+00 6.68116314e-02
1.188750e+00 6.45109281e-02
1.289380e+00 6.19504574e-02
1.397580e+00 5.91973957e-02
1.411660e+00 5.88391435e-02
1.500000e+00 5.65914162e-02
1.513780e+00 5.63823867e-02
1.638410e+00 5.44918881e-02
1.823330e+00 5.16868873e-02
2.000000e+00 4.90070552e-02
2.029120e+00 4.87268346e-02
2.200890e+00 4.70739188e-02
2.385580e+00 4.52966921e-02
2.583930e+00 4.33880340e-02
2.750000e+00 4.17900097e-02
2.875570e+00 4.09947265e-02
3.112310e+00 3.94953752e-02
3.375770e+00 3.78268117e-02
3.500000e+00 3.70400363e-02
3.756790e+00 3.60034437e-02
4.072040e+00 3.47308776e-02
4.289570e+00 3.38527830e-02
4.773720e+00 3.18984489e-02
5.000000e+00 3.09850479e-02
5.177820e+00 3.05801447e-02
5.612330e+00 2.95907603e-02
5.912140e+00 2.89080925e-02
6.579430e+00 2.73886878e-02
7.322030e+00 2.56978206e-02
7.500000e+00 2.52925942e-02
8.148460e+00 2.44121761e-02
9.068160e+00 2.31635091e-02
1.000000e+01 2.18983723e-02
1.009170e+01 2.18245028e-02
1.123070e+01 2.09069885e-02
1.218140e+01 2.01411661e-02
1.320360e+01 1.93177548e-02
1.469390e+01 1.81172861e-02
1.500000e+01 1.78707180e-02
1.635230e+01 1.72210205e-02
1.819800e+01 1.63342850e-02
2.000000e+01 1.54685532e-02
2.025190e+01 1.53917398e-02
2.253770e+01 1.46947269e-02
2.441160e+01 1.41233209e-02
2.642140e+01 1.35104796e-02
2.750000e+01 1.31815887e-02
2.940350e+01 1.27993342e-02
3.272220e+01 1.21328921e-02
3.500000e+01 1.16754819e-02
3.641550e+01 1.14941590e-02
4.052560e+01 1.09676701e-02
4.395610e+01 1.05282398e-02
4.764480e+01 1.00557391e-02
5.000000e+01 9.75405386e-03
5.160620e+01 9.63783833e-03
5.585480e+01 9.33043730e-03
5.900690e+01 9.10237284e-03
6.566690e+01 8.62050601e-03
7.307850e+01 8.08426419e-03
7.500000e+01 7.94524160e-03
8.132680e+01 7.67187270e-03
8.808860e+01 7.37971153e-03
9.534070e+01 7.06636790e-03
1.000000e+02 6.86505357e-03
1.034110e+02 6.77745705e-03
1.120890e+02 6.55460310e-03
1.214090e+02 6.31526465e-03
1.314040e+02 6.05859420e-03
1.462360e+02 5.67771350e-03
1.500000e+02 5.58105606e-03
1.627410e+02 5.38554977e-03
1.811090e+02 5.10370246e-03
2.000000e+02 4.81383284e-03
2.015500e+02 4.79868759e-03
2.242990e+02 4.57640731e-03
2.432860e+02 4.39088730e-03
2.600000e+02 4.22757776e-03
2.637020e+02 4.19173886e-03
2.750000e+02 4.08236432e-03
2.934650e+02 3.96319704e-03
3.125000e+02 3.84035239e-03
3.178650e+02 3.80599826e-03
3.440340e+02 3.63842968e-03
3.500000e+02 3.60022768e-03
3.731570e+02 3.50531761e-03
4.044710e+02 3.37697692e-03
4.501230e+02 3.18987375e-03
4.875480e+02 3.03648990e-03
5.000000e+02 2.98545654e-03
5.276870e+02 2.92124779e-03
5.872450e+02 2.78312888e-03
6.203860e+02 2.70627362e-03
6.250000e+02 2.69557358e-03
6.535270e+02 2.63063424e-03
7.272890e+02 2.46272284e-03
7.500000e+02 2.41102408e-03
8.055400e+02 2.33672694e-03
8.093760e+02 2.33159543e-03
8.750000e+02 2.24380972e-03
8.778910e+02 2.24013155e-03
9.503640e+02 2.14792610e-03
9.906930e+02 2.09661688e-03
9.957340e+02 2.09020338e-03
9.961220e+02 2.08970975e-03
9.962190e+02 2.08958639e-03
9.965100e+02 2.08921632e-03
9.967040e+02 2.08896961e-03
9.968490e+02 2.08878521e-03
9.968980e+02 2.08872290e-03
9.969950e+02 2.08859972e-03
9.970920e+02 2.08847655e-03
9.971890e+02 2.08835337e-03
9.972860e+02 2.08823020e-03
9.973830e+02 2.08810731e-03
9.974550e+02 2.08801610e-03
9.975280e+02 2.08792362e-03
9.975760e+02 2.08786281e-03
9.976010e+02 2.08783122e-03
9.976730e+02 2.08774028e-03
9.977460e+02 2.08764806e-03
9.977700e+02 2.08761774e-03
9.978190e+02 2.08755604e-03
9.978920e+02 2.08746413e-03
9.979640e+02 2.08737348e-03
9.980370e+02 2.08728197e-03
9.981100e+02 2.08719045e-03
9.981580e+02 2.08713029e-03
9.981820e+02 2.08710035e-03
9.982550e+02 2.08700926e-03
9.983040e+02 2.08694812e-03
9.983280e+02 2.08691832e-03
9.984000e+02 2.08682894e-03
9.984490e+02 2.08676809e-03
9.984730e+02 2.08673846e-03
9.985460e+02 2.08664829e-03
9.985940e+02 2.08658904e-03
9.986190e+02 2.08655831e-03
9.986910e+02 2.08646996e-03
9.987400e+02 2.08640978e-03
9.987640e+02 2.08638052e-03
9.988370e+02 2.08629146e-03
9.988850e+02 2.08623294e-03
9.989090e+02 2.08620387e-03
9.989820e+02 2.08611539e-03
9.990310e+02 2.08605599e-03
9.990550e+02 2.08602711e-03
9.991280e+02 2.08593922e-03
9.991760e+02 2.08588147e-03
9.992240e+02 2.08582409e-03
9.993210e+02 2.08570807e-03
9.994180e+02 2.08559280e-03
9.995150e+02 2.08547755e-03
