Pt-194(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 72.1994
1.25000E-05 64.5771
1.50000E-05 58.9506
1.51356E-05 58.6859
1.86209E-05 52.9095
2.00000E-05 51.0527
2.29087E-05 47.7017
2.75000E-05 43.5379
2.81838E-05 43.0065
2.98063E-05 41.8196
3.14288E-05 40.7258
3.46737E-05 38.7734
3.50000E-05 38.5922
3.59573E-05 38.0750
3.69145E-05 37.5781
3.88290E-05 36.6400
4.26579E-05 34.9570
5.00000E-05 32.2885
5.24808E-05 31.5162
5.85231E-05 29.8449
6.45654E-05 28.4141
7.50000E-05 26.3635
7.94328E-05 25.6173
8.85783E-05 24.2588
9.77238E-05 23.0958
0.000100000 22.8314
0.000105057 22.2752
0.000110113 21.7577
0.000120226 20.8225
0.000147911 18.7729
0.000150000 18.6417
0.000157993 18.1641
0.000165985 17.7214
0.000181970 16.9251
0.000200000 16.1442
0.000223872 15.2592
0.000275000 13.7678
0.000275423 13.7572
0.000276414 13.7325
0.000277405 13.7080
0.000279387 13.6593
0.000283350 13.5634
0.000291278 13.3776
0.000307133 13.0277
0.000338844 12.4031
0.000350000 12.2038
0.000383435 11.6596
0.000416870 11.1822
0.000500000 10.2104
0.000512861 10.0816
0.000542385 9.80332
0.000571909 9.54692
0.000630958 9.08921
0.000750000 8.33670
0.000776247 8.19454
0.000865620 7.75996
0.000954993 7.38792
0.00100000 7.21974
0.00117490 6.66069
0.00144544 6.00504
0.00150000 5.89481
0.00163914 5.63904
0.00177828 5.41392
0.00200000 5.10498
0.00218776 4.88098
0.00269154 4.40048
0.00275000 4.35344
0.00289033 4.24643
0.00303066 4.14694
0.00331131 3.96727
0.00350000 3.85883
0.00407380 3.57670
0.00500000 3.22839
0.00501187 3.22456
0.00504794 3.21302
0.00508401 3.20160
0.00515614 3.17912
0.00530040 3.13555
0.00558892 3.05351
0.00616596 2.90707
0.00750000 2.63578
0.00758578 2.62083
0.00780412 2.58389
0.00802247 2.54847
0.00845916 2.48178
0.00933255 2.36274
0.0100000 2.28249
0.0114816 2.13005
0.0141254 1.92024
0.0150000 1.86337
0.0173780 1.73107
0.0200000 1.61349
0.0213796 1.56050
0.0253000 1.43435
0.0323594 1.26802
0.0376500 1.17538
0.0398107 1.14296
0.0443943 1.08221
0.0489778 1.03019
0.0500000 1.01958
0.0525640 0.994324
0.0551280 0.970854
0.0602560 0.928486
0.0741311 0.836760
0.0750000 0.831877
0.0770252 0.820820
0.0790503 0.810191
0.0831006 0.790107
0.0912012 0.754025
0.100000 0.719906
0.112202 0.679395
0.138039 0.612065
0.150000 0.586951
0.169824 0.551313
0.200000 0.507580
0.208930 0.496487
0.232985 0.469832
0.257040 0.446997
0.275000 0.431930
0.316228 0.402312
0.350000 0.382038
0.389045 0.361953
0.478630 0.325487
0.500000 0.318260
0.544422 0.304611
0.588844 0.292523
0.724437 0.262709
0.750000 0.258004
0.820626 0.246156
0.891251 0.235726
1.00000 0.221852
1.34896 0.189135
1.50000 0.178598
1.65959 0.169035
2.00000 0.152520
2.04174 0.150778
2.15928 0.146139
2.27681 0.141853
