14-Si_n-g
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
4.973460e+03 2.19834838e-01
4.974130e+03 3.24731526e-01
4.974800e+03 5.21923795e-01
4.975140e+03 6.90338835e-01
4.975470e+03 9.44142548e-01
4.975810e+03 1.34134704e+00
4.976140e+03 1.96251127e+00
4.976570e+03 3.14128987e+00
4.977000e+03 3.92433885e+00
4.977430e+03 3.13782679e+00
4.977860e+03 1.96221127e+00
4.978210e+03 1.32367305e+00
4.978550e+03 9.22946746e-01
4.978900e+03 6.69523318e-01
4.979250e+03 5.03597306e-01
4.979940e+03 3.10987318e-01
4.980630e+03 2.09552680e-01
4.981320e+03 1.50286738e-01
4.982010e+03 1.12870105e-01
4.983400e+03 7.02659917e-02
4.984780e+03 4.78949989e-02
4.986160e+03 3.47486788e-02
4.987550e+03 2.63813536e-02
4.988930e+03 2.07355453e-02
4.991700e+03 1.38192629e-02
4.994470e+03 9.91115643e-03
4.997230e+03 7.48934387e-03
5.000000e+03 5.88579773e-03
5.004880e+03 4.13031370e-03
5.009770e+03 3.09824919e-03
5.014650e+03 2.44052719e-03
5.019530e+03 1.99576050e-03
5.029300e+03 1.45010675e-03
5.039060e+03 1.14076554e-03
5.048830e+03 9.48533577e-04
5.058590e+03 8.20946310e-04
5.078130e+03 6.67282553e-04
5.097660e+03 5.81660367e-04
5.117190e+03 5.29005394e-04
5.156250e+03 4.70022884e-04
5.195310e+03 4.39182212e-04
5.234380e+03 4.20809465e-04
5.312500e+03 4.00378493e-04
5.468750e+03 3.82106229e-04
5.625000e+03 3.72693565e-04
5.937500e+03 3.60474017e-04
6.250000e+03 3.50783014e-04
7.500000e+03 3.16560871e-04
1.000000e+04 2.78360106e-04
1.131910e+04 2.67518549e-04
1.263810e+04 2.58074518e-04
1.329760e+04 2.55205209e-04
1.362740e+04 2.55218154e-04
1.395720e+04 2.57650105e-04
1.428690e+04 2.66220990e-04
1.445180e+04 2.76271283e-04
1.461670e+04 2.95926435e-04
1.469910e+04 3.13089357e-04
1.478160e+04 3.39829460e-04
1.486400e+04 3.84427274e-04
1.494640e+04 4.66490564e-04
1.498770e+04 5.35955343e-04
1.500000e+04 5.67701873e-04
1.502890e+04 6.42406081e-04
1.507010e+04 8.17122631e-04
1.511130e+04 1.13342082e-03
1.513190e+04 1.39776481e-03
1.515250e+04 1.79803470e-03
1.517320e+04 2.44605163e-03
1.519380e+04 3.59741136e-03
1.520410e+04 4.54248473e-03
1.521440e+04 5.94639763e-03
1.522470e+04 8.16605805e-03
1.523500e+04 1.19676556e-02
1.524530e+04 1.93060064e-02
1.525040e+04 2.58208511e-02
1.525560e+04 3.62708610e-02
1.526080e+04 5.45347014e-02
1.526590e+04 9.01819068e-02
1.526850e+04 1.21910589e-01
1.527110e+04 1.71671837e-01
1.527360e+04 2.53883737e-01
1.527620e+04 3.90662769e-01
1.527910e+04 6.23518032e-01
1.528200e+04 7.78291679e-01
1.528490e+04 6.23808476e-01
1.528780e+04 3.90943818e-01
1.529010e+04 2.65013350e-01
1.529240e+04 1.85751104e-01
1.529470e+04 1.35285211e-01
1.529700e+04 1.02073236e-01
1.530160e+04 6.33240488e-02
1.530620e+04 4.28185329e-02
1.531080e+04 3.07799834e-02
1.531540e+04 2.31834228e-02
1.532460e+04 1.45105100e-02
1.533380e+04 9.94751338e-03
1.534300e+04 7.26573168e-03
1.535220e+04 5.55707133e-03
1.536140e+04 4.40246377e-03
1.537980e+04 2.98740431e-03
1.539830e+04 2.18700236e-03
1.541670e+04 1.69079790e-03
1.543510e+04 1.36227428e-03
1.547190e+04 9.67582348e-04
1.550870e+04 7.48699726e-04
1.554550e+04 6.14716332e-04
1.558230e+04 5.26800074e-04
1.565600e+04 4.22121958e-04
1.572960e+04 3.64467631e-04
1.580320e+04 3.29290996e-04
1.587680e+04 3.06204005e-04
1.602410e+04 2.78588736e-04
1.617130e+04 2.63170278e-04
1.646590e+04 2.47041641e-04
1.676040e+04 2.38787012e-04
1.705490e+04 2.33657043e-04
1.764390e+04 2.27163612e-04
1.882200e+04 2.19021393e-04
2.000000e+04 2.12670927e-04
2.397700e+04 2.02395398e-04
2.586980e+04 1.98087980e-04
2.750000e+04 1.96476562e-04
2.795400e+04 1.96040751e-04
2.880460e+04 1.95439234e-04
2.994250e+04 1.95558168e-04
3.027210e+04 1.95725890e-04
3.100580e+04 1.97481662e-04
3.137260e+04 2.03015395e-04
3.155610e+04 2.24192801e-04
3.164780e+04 3.08032819e-04
3.169360e+04 6.39338426e-04
3.171660e+04 1.93194943e-03
3.172800e+04 6.84079318e-03
3.173380e+04 2.45355777e-02
3.173660e+04 8.23428925e-02
3.173810e+04 2.37466591e-01
3.173880e+04 5.46616532e-01
3.173910e+04 9.56825358e-01
3.173950e+04 1.84965467e+00
3.174000e+04 3.70041350e+00
3.174050e+04 1.84973767e+00
3.174110e+04 6.90978728e-01
3.174160e+04 3.31299806e-01
3.174270e+04 1.23969592e-01
3.174500e+04 3.85917532e-02
3.174940e+04 1.09239338e-02
3.175830e+04 3.03376366e-03
3.177620e+04 9.26947779e-04
3.181180e+04 3.82043671e-04
3.188320e+04 2.43424524e-04
3.193100e+04 2.31731063e-04
3.202580e+04 2.08649513e-04
3.231110e+04 2.00469387e-04
3.288170e+04 1.99633033e-04
3.391950e+04 2.02005828e-04
3.402290e+04 2.02509002e-04
3.491380e+04 2.07943317e-04
3.500000e+04 2.08749531e-04
3.541090e+04 2.12600821e-04
3.590800e+04 2.19413742e-04
3.626700e+04 2.26697857e-04
3.630540e+04 2.27859136e-04
3.662600e+04 2.38392095e-04
3.698490e+04 2.56825043e-04
3.734390e+04 2.89114452e-04
3.752340e+04 3.15714437e-04
3.770290e+04 3.55782859e-04
3.788240e+04 4.20577306e-04
3.806190e+04 5.36105150e-04
3.815160e+04 6.31464575e-04
3.824130e+04 7.74252598e-04
3.833110e+04 1.00215392e-03
3.842080e+04 1.39893968e-03
3.851060e+04 2.18346585e-03
3.855550e+04 2.89953271e-03
3.860030e+04 4.08216892e-03
3.864520e+04 6.23557035e-03
3.866760e+04 8.03742452e-03
3.869010e+04 1.07520108e-02
3.871250e+04 1.50840929e-02
3.873490e+04 2.24858339e-02
3.875740e+04 3.61620084e-02
3.877980e+04 6.26693668e-02
3.879940e+04 1.00200987e-01
3.881900e+04 1.25151976e-01
3.883860e+04 1.00049831e-01
3.885820e+04 6.25736633e-02
3.888000e+04 3.66882425e-02
3.890170e+04 2.30831432e-02
3.892350e+04 1.56057900e-02
3.894530e+04 1.11857742e-02
3.896700e+04 8.39318641e-03
3.898880e+04 6.53127428e-03
3.903230e+04 4.29309121e-03
3.907580e+04 3.05691720e-03
3.911940e+04 2.30585663e-03
3.920640e+04 1.48018304e-03
3.929340e+04 1.06119556e-03
3.938050e+04 8.20229145e-04
3.946750e+04 6.69150110e-04
3.955460e+04 5.68332656e-04
3.972870e+04 4.46482866e-04
3.990280e+04 3.78620205e-04
4.007680e+04 3.37131787e-04
4.025090e+04 3.10041744e-04
4.059910e+04 2.78271418e-04
4.087030e+04 2.65125683e-04
4.094730e+04 2.62058640e-04
4.129550e+04 2.55348427e-04
4.164370e+04 2.52503621e-04
4.234000e+04 2.52773438e-04
4.303640e+04 2.56974750e-04
4.442910e+04 2.70138803e-04
4.543510e+04 2.81497950e-04
4.582180e+04 2.93731220e-04
4.721460e+04 3.38815127e-04
4.771760e+04 3.55321107e-04
4.885880e+04 4.24341110e-04
5.000000e+04 5.38958009e-04
5.133750e+04 8.03721106e-04
5.200630e+04 1.05474016e-03
5.267500e+04 1.48737951e-03
5.334380e+04 2.32983942e-03
5.351090e+04 2.66631806e-03
5.367810e+04 3.08712539e-03
5.376170e+04 3.33817635e-03
5.384530e+04 3.62267658e-03
5.392890e+04 3.94681426e-03
5.401250e+04 4.31820701e-03
5.409610e+04 4.74644601e-03
5.417970e+04 5.24343726e-03
5.426330e+04 5.82457278e-03
5.434690e+04 6.50941306e-03
5.443050e+04 7.32375287e-03
5.451410e+04 8.30122595e-03
5.459770e+04 9.48710457e-03
5.468130e+04 1.09427355e-02
5.476490e+04 1.27525027e-02
5.484840e+04 1.50338061e-02
5.493200e+04 1.79533849e-02
5.501560e+04 2.17481599e-02
5.509920e+04 2.67593564e-02
5.518280e+04 3.34664416e-02
5.526640e+04 4.25135009e-02
5.535000e+04 5.46361051e-02
5.551350e+04 8.75729631e-02
5.567700e+04 1.11457672e-01
5.575880e+04 1.06133622e-01
5.584050e+04 9.09838567e-02
5.600400e+04 5.71851085e-02
5.618720e+04 3.32467473e-02
5.625000e+04 2.89574085e-02
5.637050e+04 2.07270823e-02
5.655370e+04 1.39031168e-02
5.673690e+04 9.89868509e-03
5.692010e+04 7.38422660e-03
5.710340e+04 5.71501956e-03
5.746980e+04 3.71939081e-03
5.783630e+04 2.62408910e-03
5.820270e+04 1.96164527e-03
5.893560e+04 1.23739677e-03
5.966850e+04 8.72368850e-04
6.040140e+04 6.63699491e-04
6.186720e+04 4.47781338e-04
6.250000e+04 4.03979599e-04
6.333300e+04 3.46353788e-04
6.479880e+04 2.96820714e-04
6.626460e+04 3.05599321e-04
6.663110e+04 3.44377682e-04
6.699750e+04 4.67783561e-04
6.736400e+04 1.15628863e-03
6.754720e+04 3.88607075e-03
6.763880e+04 1.44631127e-02
6.766170e+04 2.50745665e-02
6.768460e+04 5.40886589e-02
6.769610e+04 9.24827533e-02
6.770750e+04 1.92999367e-01
6.771330e+04 3.18928029e-01
6.771900e+04 6.21498780e-01
6.772180e+04 9.63773378e-01
6.772470e+04 1.67345703e+00
6.772610e+04 2.34729360e+00
6.772760e+04 3.48673643e+00
6.772900e+04 5.55846157e+00
6.773040e+04 9.49298064e+00
6.773170e+04 1.51939298e+01
6.773300e+04 1.90103942e+01
6.773430e+04 1.52202134e+01
6.773560e+04 9.51354637e+00
6.773710e+04 5.43416341e+00
6.773860e+04 3.35012650e+00
6.774010e+04 2.22948794e+00
6.774160e+04 1.58035791e+00
6.774460e+04 9.02315969e-01
6.774760e+04 5.79751271e-01
6.775350e+04 2.95491396e-01
6.775950e+04 1.78448419e-01
6.777150e+04 8.52531117e-02
6.778350e+04 4.97918920e-02
6.780740e+04 2.30593942e-02
6.783130e+04 1.33054274e-02
6.792710e+04 3.58416835e-03
6.811860e+04 1.07321206e-03
6.850160e+04 4.31437320e-04
6.888460e+04 3.08660421e-04
6.926750e+04 2.63532526e-04
7.003350e+04 2.28627127e-04
7.041650e+04 2.23752723e-04
7.060800e+04 2.36653127e-04
7.070370e+04 3.00340154e-04
7.075160e+04 5.57480304e-04
7.077560e+04 1.56366427e-03
7.078750e+04 5.39419207e-03
7.079350e+04 1.92312477e-02
7.079650e+04 6.44670901e-02
7.079800e+04 1.88054210e-01
7.079870e+04 4.36726152e-01
7.079950e+04 1.52535596e+00
7.080000e+04 3.05166505e+00
7.080050e+04 1.52538362e+00
7.080150e+04 3.25645393e-01
7.080250e+04 1.27257119e-01
7.080440e+04 4.10570190e-02
7.080830e+04 1.18520236e-02
7.081610e+04 3.31776208e-03
7.083180e+04 1.01388318e-03
7.086300e+04 4.14937447e-04
7.092550e+04 2.61496357e-04
7.105040e+04 2.21318488e-04
7.130040e+04 2.08691311e-04
7.180020e+04 2.01434286e-04
7.279990e+04 1.93830500e-04
7.479920e+04 1.85144021e-04
7.500000e+04 1.84762752e-04
7.879800e+04 1.77698993e-04
8.279670e+04 1.77084431e-04
8.479600e+04 1.82439182e-04
8.579570e+04 2.02944185e-04
8.629560e+04 2.83395911e-04
8.654550e+04 6.02144918e-04
8.667040e+04 1.85807856e-03
8.673290e+04 6.73320688e-03
8.676420e+04 2.50917440e-02
8.677980e+04 9.01730538e-02
8.678760e+04 2.95233569e-01
8.679150e+04 8.14958130e-01
8.679340e+04 1.75578398e+00
8.679440e+04 2.89387113e+00
8.679540e+04 5.17695294e+00
8.679620e+04 8.26949447e+00
8.679700e+04 1.03601530e+01
8.679780e+04 8.27841243e+00
8.679860e+04 5.18395266e+00
8.679940e+04 3.18919684e+00
8.680020e+04 2.06938829e+00
8.680180e+04 1.03633391e+00
