Au-197(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
108.463 13.7168
108.697 13.0686
108.931 12.6151
109.399 12.0264
109.867 11.6624
110.335 11.4143
110.803 11.2331
111.739 10.9816
112.675 10.8099
114.548 10.5754
116.420 10.4068
118.292 10.2678
119.228 10.2067
119.696 10.1803
120.164 10.1615
120.632 10.1640
120.866 10.1870
121.100 10.2478
121.334 10.4056
121.451 10.5735
121.568 10.8824
121.685 11.5166
121.744 12.1038
121.802 13.0734
121.861 14.8148
121.919 18.3296
121.948 21.5379
121.978 26.6795
122.007 35.3839
122.036 50.2994
122.068 75.6372
122.100 93.6289
122.132 78.5331
122.164 53.9304
122.186 41.9752
122.207 33.7746
122.229 28.1741
122.251 24.2882
122.294 19.4504
122.337 16.7182
122.381 15.0388
122.424 13.9357
122.511 12.6218
122.597 11.8958
122.684 11.4498
122.857 10.9469
123.030 10.6789
123.203 10.5156
123.550 10.3276
123.896 10.2208
124.243 10.1495
124.936 10.0539
126.321 9.93005
127.707 9.83455
130.479 9.66377
133.250 9.49225
136.022 9.30313
138.793 9.07797
140.179 8.94543
140.872 8.87577
141.565 8.81146
142.257 8.78029
142.604 8.80779
142.950 8.92031
143.297 9.26947
143.470 9.67534
143.643 10.4684
143.816 12.2101
143.903 13.9177
143.990 16.8934
144.076 22.6475
144.120 27.7053
144.163 35.6593
144.206 49.0303
144.249 73.5172
144.271 93.7932
144.293 123.290
144.314 167.533
144.336 233.184
144.368 374.557
144.400 474.909
144.432 390.643
144.464 253.364
144.491 174.043
144.518 124.489
144.545 93.2938
144.572 72.9731
144.625 49.2575
144.679 36.7090
144.733 29.2880
144.787 24.5548
144.894 19.0559
145.001 16.0819
145.109 14.2809
145.324 12.2705
145.539 11.2086
145.754 10.5633
146.183 9.82021
146.613 9.39493
147.043 9.10600
147.903 8.70560
148.332 8.55521
148.762 8.43958
149.192 8.38852
149.622 8.49717
149.837 8.69143
150.052 9.08746
150.267 9.88613
150.481 11.5757
150.589 13.1163
150.696 15.5642
150.804 19.6856
150.911 27.1791
151.019 42.5022
151.072 56.6599
151.126 80.0349
151.153 97.7787
151.180 122.143
151.207 156.655
151.234 207.150
151.261 284.891
151.287 409.679
151.314 621.669
151.341 986.862
151.371 1617.47
151.400 2072.50
151.430 1694.55
151.459 1082.92
151.481 762.351
151.503 552.811
151.526 415.508
151.548 323.272
151.592 212.017
151.636 151.323
151.681 114.694
151.725 91.0249
151.814 63.1644
151.903 47.9593
151.991 38.6994
152.080 32.6070
152.169 28.3664
152.346 22.9431
152.523 19.6994
152.701 17.5761
152.878 16.0960
153.233 14.1871
153.587 13.0210
154.297 11.6726
155.006 10.9057
155.716 10.3955
157.135 9.71552
158.553 9.24692
159.263 9.08167
159.972 9.02238
160.327 9.08451
160.682 9.28083
161.037 9.74921
161.391 10.8293
161.569 11.8528
161.746 13.5138
161.923 16.3596
162.101 21.6208
162.278 32.5591
162.367 42.8160
162.455 59.9435
162.544 91.2713
162.588 117.370
162.633 156.182
162.677 217.002
162.721 317.310
162.766 492.853
162.810 809.160
162.855 1321.16
162.900 1689.25
162.945 1385.42
162.990 889.564
163.019 659.390
163.048 499.141
163.106 308.947
163.164 209.490
163.221 152.562
163.279 117.152
163.337 93.7778
163.453 65.7584
163.569 50.2528
163.684 40.7919
163.916 30.5087
164.147 26.0738
164.263 25.5031
164.378 26.4534
164.494 30.3451
164.552 34.6207
164.610 42.1604
164.668 56.4036
164.725 86.3512
164.754 114.514
164.783 161.106
164.812 242.596
164.827 305.593
164.841 389.072
164.856 499.485
164.871 626.855
164.900 797.956
164.930 657.787
164.959 427.566
164.984 294.946
165.008 211.899
165.033 159.473
165.058 125.231
165.107 85.1322
165.156 63.7132
165.206 50.9448
165.255 42.7292
165.354 33.0433
165.452 27.6764
165.551 24.3367
165.748 20.4483
165.946 18.2644
166.143 16.8589
166.537 15.1329
166.932 14.0915
167.326 13.3821
168.116 12.4590
168.905 11.8713
169.694 11.4563
171.272 10.8938
172.850 10.5148
174.429 10.2289
177.585 9.78949
180.742 9.41346
182.320 9.22187
183.898 9.01514
185.476 8.78940
186.265 8.67949
187.055 8.60487
187.449 8.60940
187.844 8.68361
188.238 8.90934
188.633 9.49451
188.830 10.0813
189.027 11.0672
189.225 12.8088
189.422 16.1271
189.619 23.2473
189.718 30.0965
189.817 41.7884
189.915 63.7790
189.965 82.5284
190.014 111.136
190.063 157.241
190.112 236.646
190.162 383.835
190.186 503.648
190.211 669.551
190.256 1095.78
190.300 1405.03
190.345 1156.06
190.389 744.946
190.427 506.535
190.464 358.278
190.502 264.766
190.539 203.829
190.614 132.837
190.689 95.1294
190.765 72.8188
190.840 58.5252
190.990 41.8775
191.140 32.8379
191.290 27.3420
191.440 23.7241
191.590 21.2004
191.891 17.9627
192.191 16.0138
192.492 14.7302
192.792 13.8294
193.393 12.6581
193.993 11.9348
194.594 11.4445
195.195 11.0893
196.396 10.6049
197.597 10.2840
200.000 9.86728
