Pd-105(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
63.3897 5.47807
65.0100 5.39448
65.8202 5.39560
66.2253 5.42806
66.6304 5.51475
67.0354 5.74039
67.2380 5.98295
67.4405 6.43643
67.6431 7.39722
67.7444 8.32062
67.8456 9.91264
67.9469 12.9721
67.9975 15.6608
68.0482 19.9037
68.0988 27.0991
68.1494 40.4988
68.1748 51.7843
68.2001 68.6131
68.2254 94.3966
68.2507 133.983
68.2680 170.987
68.2854 213.587
68.3200 268.624
68.3547 218.319
68.3893 139.896
68.4255 87.3564
68.4617 58.4259
68.4979 41.9484
68.5340 31.9528
68.5702 25.5098
68.6064 21.1427
68.6788 15.7937
68.7512 12.7752
68.8235 10.9068
68.9683 8.80554
69.1130 7.70686
69.2577 7.05643
69.5472 6.34831
69.8367 5.98404
70.1262 5.76721
70.7051 5.52413
71.2841 5.39147
71.8630 5.30851
73.0210 5.22506
74.1789 5.26266
74.7578 5.38261
75.3368 5.67995
75.6263 5.96998
75.9157 6.45013
76.2052 7.29105
76.4947 8.89475
76.6394 10.2732
76.7842 12.3888
76.9289 15.8361
77.0737 21.9338
77.2184 34.0811
77.2908 45.1421
77.3631 63.2357
77.4355 95.5032
77.4717 121.823
77.5079 160.399
77.5441 219.551
77.5802 314.943
77.6164 476.855
77.6526 757.836
77.6913 1224.78
77.7300 1548.83
77.7687 1255.43
77.8074 796.200
77.8420 522.393
77.8765 357.953
77.9110 257.635
77.9456 193.681
78.0147 121.188
78.0838 83.7428
78.1528 62.0454
78.2219 48.3822
78.3601 32.7817
78.4983 24.5222
78.6365 19.6053
78.7746 16.4286
78.9128 14.2493
79.1892 11.5168
79.4655 9.91719
79.7419 8.89016
80.0182 8.18549
80.5709 7.29630
81.1236 6.76900
82.2290 6.19919
83.3344 5.97850
83.8871 6.00755
84.4398 6.22723
84.7162 6.48162
84.9925 6.92799
85.2689 7.73822
85.5452 9.32040
85.6834 10.6977
85.8216 12.8279
85.9597 16.3257
86.0979 22.5628
86.2361 35.1123
86.3052 46.6432
86.3743 65.6687
86.4433 100.021
86.4779 128.381
86.5124 170.428
86.5470 235.889
86.5815 343.656
86.6161 531.811
86.6333 676.725
86.6506 870.160
86.6853 1407.08
86.7200 1780.22
86.7547 1443.56
86.7894 915.790
