92-U_n-tot
>  92-U-235:0.007204
>  92-U-238:0.992796
4.800940e+00 9.59014600e+00
4.814520e+00 9.86639954e+00
4.821310e+00 1.01007496e+01
4.828100e+00 1.04419839e+01
4.849700e+00 1.19102610e+01
4.855130e+00 1.18075015e+01
4.860550e+00 1.14360873e+01
4.871400e+00 1.05881283e+01
4.879440e+00 1.01569485e+01
4.887480e+00 9.88112415e+00
4.895510e+00 9.70450407e+00
4.903550e+00 9.58825619e+00
4.919630e+00 9.45379633e+00
4.935700e+00 9.38468301e+00
4.951780e+00 9.34627927e+00
4.967850e+00 9.32396782e+00
5.000000e+00 9.30337748e+00
5.031000e+00 9.31061164e+00
5.062000e+00 9.32476921e+00
5.124000e+00 9.36344716e+00
5.194700e+00 9.41691436e+00
5.207660e+00 9.42803315e+00
5.265400e+00 9.51485958e+00
5.406800e+00 9.74265845e+00
5.415310e+00 9.75542515e+00
5.548150e+00 1.01267301e+01
5.622970e+00 1.03200179e+01
5.689500e+00 1.06857191e+01
5.779700e+00 1.11840367e+01
5.830630e+00 1.14715362e+01
5.869900e+00 1.18761734e+01
5.934450e+00 1.25561075e+01
5.960100e+00 1.29874247e+01
6.038280e+00 1.43442847e+01
6.050300e+00 1.46972192e+01
6.107450e+00 1.64309452e+01
6.142110e+00 1.75077131e+01
6.164600e+00 1.87851473e+01
6.221750e+00 2.19669327e+01
6.245940e+00 2.33097698e+01
6.250330e+00 2.37273639e+01
6.278900e+00 2.65144796e+01
6.297850e+00 2.84551572e+01
6.299480e+00 2.87064293e+01
6.320050e+00 3.20588967e+01
6.330340e+00 3.38665244e+01
6.340630e+00 3.58301200e+01
6.349770e+00 3.77976166e+01
6.350910e+00 3.81526222e+01
6.361200e+00 4.17420337e+01
6.375000e+00 4.72364630e+01
6.388800e+00 5.20199342e+01
6.401680e+00 5.37275203e+01
6.402600e+00 5.40328338e+01
6.416400e+00 5.78655556e+01
6.424130e+00 6.03731955e+01
6.431850e+00 6.31282185e+01
6.447300e+00 6.91408006e+01
6.453590e+00 7.17382152e+01
6.462750e+00 7.82429123e+01
6.478200e+00 8.93945814e+01
6.479550e+00 9.03772841e+01
6.492530e+00 1.03137556e+02
6.493650e+00 1.04511337e+02
6.505510e+00 1.19099832e+02
6.509100e+00 1.24353507e+02
6.512000e+00 1.28605396e+02
6.515240e+00 1.33816345e+02
6.518490e+00 1.39359839e+02
6.521730e+00 1.45270709e+02
6.524980e+00 1.51575678e+02
6.528220e+00 1.58316525e+02
6.531470e+00 1.65525930e+02
6.537960e+00 1.81552118e+02
6.540000e+00 1.87383155e+02
6.544440e+00 2.00082418e+02
6.550930e+00 2.21654409e+02
6.557420e+00 2.46956334e+02
6.563910e+00 2.76892628e+02
6.570400e+00 3.12637770e+02
6.570900e+00 3.15961687e+02
6.576890e+00 3.55787550e+02
6.583380e+00 4.08497404e+02
6.589870e+00 4.73778035e+02
6.596360e+00 5.55868683e+02
6.601800e+00 6.43977875e+02
6.602850e+00 6.60984907e+02
6.609340e+00 7.98429984e+02
6.615830e+00 9.82651618e+02
6.622320e+00 1.23683159e+03
6.628800e+00 1.60013072e+03
6.635290e+00 2.14209335e+03
6.641780e+00 2.99390749e+03
6.648270e+00 4.41783995e+03
6.654760e+00 6.96214226e+03
6.658010e+00 8.96483710e+03
6.661250e+00 1.16806372e+04
6.663600e+00 1.44021308e+04
6.667370e+00 1.87681030e+04
6.673490e+00 2.35638005e+04
6.679610e+00 1.89351870e+04
6.685730e+00 1.18885206e+04
6.689550e+00 8.76154092e+03
6.693370e+00 6.57395440e+03
6.701010e+00 3.97437646e+03
6.708650e+00 2.61827502e+03
6.716300e+00 1.84382274e+03
6.723940e+00 1.36588873e+03
6.725400e+00 1.30592834e+03
6.731580e+00 1.05212483e+03
6.746860e+00 6.80479844e+02
6.762140e+00 4.77805694e+02
6.777420e+00 3.55444737e+02
6.787200e+00 3.04600849e+02
6.792710e+00 2.75956932e+02
6.807990e+00 2.21402442e+02
6.838550e+00 1.53354495e+02
6.849000e+00 1.39918020e+02
6.869120e+00 1.14056345e+02
6.899680e+00 8.92732328e+01
6.910800e+00 8.32116416e+01
6.930250e+00 7.26252929e+01
6.949850e+00 6.61042043e+01
6.969380e+00 5.96278620e+01
6.988900e+00 5.31839082e+01
6.991370e+00 5.23740587e+01
7.002530e+00 5.03240090e+01
7.016150e+00 4.78661826e+01
7.029780e+00 4.54801187e+01
7.043400e+00 4.32165608e+01
7.052500e+00 4.18489982e+01
7.066900e+00 4.07083662e+01
7.079400e+00 3.96374592e+01
7.088400e+00 3.85566362e+01
7.097400e+00 3.72075001e+01
7.113630e+00 3.45919956e+01
7.115400e+00 3.43761344e+01
7.129750e+00 3.27945692e+01
7.144100e+00 3.13757368e+01
7.158450e+00 3.00598961e+01
7.172800e+00 2.88048871e+01
7.174760e+00 2.86399911e+01
7.201500e+00 2.70173046e+01
7.230200e+00 2.53371815e+01
7.235890e+00 2.50096353e+01
7.258900e+00 2.40284511e+01
7.287600e+00 2.28190095e+01
7.297020e+00 2.24255090e+01
7.345000e+00 2.10659420e+01
7.402400e+00 1.94528764e+01
7.419280e+00 1.89803989e+01
7.459800e+00 1.82628306e+01
7.541530e+00 1.68225117e+01
7.574600e+00 1.64639477e+01
7.616850e+00 1.60067060e+01
7.659100e+00 1.55457879e+01
7.663790e+00 1.54942640e+01
7.675290e+00 1.55186532e+01
7.686790e+00 1.52682366e+01
7.701350e+00 1.50857256e+01
7.722930e+00 1.48173695e+01
7.743600e+00 1.46416899e+01
7.759080e+00 1.45119754e+01
7.831370e+00 1.39951920e+01
7.861580e+00 1.38265968e+01
7.975940e+00 1.31940464e+01
7.979550e+00 1.31809450e+01
8.097530e+00 1.27601686e+01
8.215500e+00 1.23543244e+01
8.265090e+00 1.21925702e+01
8.274490e+00 1.21748964e+01
8.333480e+00 1.20764424e+01
8.392460e+00 1.19986869e+01
8.451450e+00 1.19575345e+01
8.510440e+00 1.19870370e+01
8.554240e+00 1.21221059e+01
8.569430e+00 1.21800633e+01
8.598920e+00 1.24089831e+01
8.628410e+00 1.27852181e+01
8.657910e+00 1.34154063e+01
8.687400e+00 1.44858347e+01
8.720450e+00 1.64963858e+01
8.753500e+00 1.89583783e+01
8.760400e+00 1.93084179e+01
8.778630e+00 1.95433511e+01
8.796850e+00 1.87568621e+01
8.833300e+00 1.61016174e+01
8.843400e+00 1.55109491e+01
8.856450e+00 1.47551198e+01
8.879600e+00 1.38140765e+01
8.925900e+00 1.27215332e+01
8.969000e+00 1.21861732e+01
9.012100e+00 1.18431272e+01
9.055200e+00 1.15931834e+01
9.098300e+00 1.14101973e+01
9.155800e+00 1.12779525e+01
9.184550e+00 1.12866585e+01
9.213300e+00 1.13950084e+01
9.270800e+00 1.20078920e+01
9.285200e+00 1.20310045e+01
9.299600e+00 1.19068233e+01
9.328400e+00 1.14945106e+01
9.357860e+00 1.11643930e+01
9.387330e+00 1.09551814e+01
9.416790e+00 1.08162828e+01
9.421700e+00 1.07995653e+01
9.446250e+00 1.07239521e+01
9.505180e+00 1.06018619e+01
9.564100e+00 1.05223517e+01
9.630200e+00 1.04671092e+01
9.696300e+00 1.04366792e+01
9.710850e+00 1.04228765e+01
9.762450e+00 1.03854229e+01
9.828600e+00 1.02918313e+01
9.914300e+00 1.01940635e+01
1.000000e+01 1.01313897e+01
1.002950e+01 1.01335939e+01
1.005700e+01 1.01453786e+01
1.005900e+01 1.01480663e+01
1.008850e+01 1.02109462e+01
1.010330e+01 1.02607618e+01
1.011400e+01 1.03135227e+01
1.011800e+01 1.03422028e+01
1.014050e+01 1.05721067e+01
1.014240e+01 1.05952695e+01
1.016300e+01 1.09558960e+01
1.017090e+01 1.10496596e+01
1.017430e+01 1.11296163e+01
1.018520e+01 1.13154854e+01
1.018550e+01 1.13277414e+01
1.019940e+01 1.18369513e+01
1.020650e+01 1.24002014e+01
1.020800e+01 1.26144393e+01
1.021370e+01 1.34351905e+01
1.022080e+01 1.54670236e+01
1.022430e+01 1.71912581e+01
1.022790e+01 1.96623570e+01
