Pb-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2517.76 30.4280
2524.72 26.6823
2531.69 24.1126
2538.66 22.2488
2552.59 19.7363
2566.52 18.1272
2580.45 17.0106
2594.38 16.1908
2622.24 15.0665
2650.11 14.3297
2677.97 13.8085
2684.93 13.7021
2691.90 13.6061
2695.38 13.5649
2698.87 13.5378
2700.61 13.5416
2701.48 13.5565
2702.35 13.5924
2703.22 13.6793
2703.65 13.7680
2704.09 13.9276
2704.53 14.2527
2704.74 14.5552
2704.96 15.0598
2705.18 16.0008
2705.29 16.8035
2705.40 18.0226
2705.50 20.0319
2705.61 23.5939
2705.72 30.5354
2705.78 36.3955
2705.83 44.8354
2705.92 63.6145
2706.00 76.1098
2706.09 63.4073
2706.17 44.6854
2706.24 34.6907
2706.31 28.3521
2706.37 24.3060
2706.44 21.6371
2706.57 18.5150
2706.71 16.8580
2706.84 15.8844
2706.98 15.2670
2707.24 14.5599
2707.51 14.1861
2707.78 13.9646
2708.32 13.7249
2708.85 13.6031
2709.39 13.5314
2710.46 13.4512
2711.53 13.4063
2712.60 13.3758
2714.75 13.3329
2719.04 13.2714
2723.32 13.2202
2731.90 13.1284
2740.47 13.0444
2774.77 12.7588
2843.38 12.3416
2911.98 12.0447
2980.58 11.8176
3117.78 11.4819
3254.99 11.2338
3529.40 10.8625
3666.60 10.7101
3700.90 10.6743
3735.20 10.6395
3752.35 10.6227
3769.50 10.6073
3778.08 10.6014
3786.65 10.6005
3790.94 10.6070
3795.23 10.6331
3797.37 10.6728
3798.44 10.7130
3799.52 10.7865
3800.59 10.9408
3801.12 11.0906
3801.66 11.3544
3801.93 11.5688
3802.20 11.8845
3802.46 12.3763
3802.73 13.2028
3803.00 14.7472
3803.13 16.0742
3803.27 18.1294
3803.40 21.5340
3803.54 27.6839
3803.60 32.7167
3803.67 40.0286
3803.74 50.8803
3803.80 66.6648
3803.90 100.547
3804.00 122.863
3804.10 100.257
3804.20 66.7597
3804.31 42.3257
3804.43 30.0094
3804.55 23.4495
3804.67 19.6540
3804.78 17.2923
3804.90 15.7337
3805.13 13.8857
3805.37 12.8699
3805.60 12.2568
3806.07 11.5878
3806.54 11.2490
3807.00 11.0548
3807.94 10.8514
3808.87 10.7524
3809.81 10.6967
3811.68 10.6389
3815.42 10.5939
3819.16 10.5754
3826.63 10.5572
3834.11 10.5460
3849.07 10.5287
3864.03 10.5133
3923.85 10.4556
3983.68 10.3999
4043.51 10.3454
4163.17 10.2390
4223.00 10.1872
4252.91 10.1631
4260.39 10.1587
4267.87 10.1581
4271.61 10.1632
4275.35 10.1836
4277.22 10.2147
4278.15 10.2461
4279.08 10.3035
4280.02 10.4240
4280.49 10.5410
4280.95 10.7465
4281.42 11.1596
4281.66 11.5424
4281.89 12.1810
4282.12 13.3746
4282.24 14.3966
4282.36 15.9569
4282.47 18.5442
4282.59 23.1770
4282.71 32.3491
4282.77 40.2206
4282.82 51.7109
4282.91 76.8477
4283.00 93.3879
4283.09 76.6257
4283.18 51.8098
4283.23 40.9791
4283.28 33.4694
4283.39 24.3907
4283.50 19.5698
4283.60 16.7854
4283.71 15.0547
4283.81 13.9133
4284.03 12.5566
4284.24 11.8127
4284.45 11.3662
4284.88 10.8779
4285.30 10.6306
4285.72 10.4890
4286.57 10.3405
4287.42 10.2682
4288.27 10.2274
4289.97 10.1851
4293.36 10.1519
4296.76 10.1381
4303.55 10.1242
4310.34 10.1155
4337.50 10.0893
4391.82 10.0421
4500.46 9.94982
4609.10 9.85851
4636.26 9.83623
4663.42 9.81536
4677.00 9.80698
4690.58 9.80467
4697.37 9.81202
4700.77 9.82240
4704.16 9.84392
4707.56 9.89348
4709.25 9.94426
4710.95 10.0375
4712.65 10.2354
4713.50 10.4291
4714.35 10.7730
4714.77 11.0556
4715.19 11.4741
4715.62 12.1349
4716.04 13.2600
4716.47 15.4180
4716.68 17.3145
4716.89 20.3264
4717.10 25.4993
4717.32 35.3720
4717.42 43.9203
4717.53 57.0403
4717.63 77.9177
4717.74 111.433
4717.87 172.567
4718.00 213.425
4718.13 172.797
4718.26 111.724
4718.40 70.8027
4718.54 48.6639
4718.67 36.2379
4718.81 28.8270
4718.95 24.0561
4719.09 20.8694
4719.36 16.9882
4719.64 14.8202
4719.91 13.5005
4720.46 12.0405
4721.01 11.2938
4721.56 10.8630
4722.11 10.5916
4722.66 10.4096
4723.76 10.1879
4724.86 10.0631
4727.07 9.93419
4729.27 9.87169
4731.47 9.83618
4735.87 9.79826
4744.67 9.76561
4753.48 9.74901
4771.09 9.72729
4788.70 9.70982
4859.13 9.64712
4929.57 9.58603
5000.00 9.52475
5212.07 9.33615
5424.14 9.13768
5848.28 8.68395
6060.34 8.39912
6272.41 8.01523
6378.45 7.73380
6431.47 7.54282
6484.48 7.28789
6537.50 6.91132
6564.01 6.63665
6590.52 6.25422
6603.77 5.99799
6617.03 5.67469
6630.28 5.25294
6643.53 4.68019
6650.16 4.31117
6656.79 3.86753
6663.42 3.33313
6670.04 2.70596
6676.67 2.07328
6678.33 1.95704
6679.98 1.88960
6681.64 1.90577
6683.30 2.06408
6684.13 2.22604
6684.95 2.46668
6685.78 2.81250
6686.61 3.29821
6687.44 3.97465
6688.27 4.91048
6689.10 6.20773
6689.92 8.01560
6690.75 10.5625
6691.58 14.1895
