41-Nb_n-tot
>  41-Nb-93:1.000000
7.983500e+01 5.73801000e+00
8.391250e+01 5.72454000e+00
8.799000e+01 5.71316000e+00
8.954500e+01 5.71151000e+00
9.032240e+01 5.71270000e+00
9.109990e+01 5.71725000e+00
9.187740e+01 5.73017000e+00
9.226610e+01 5.74430000e+00
9.265490e+01 5.77076000e+00
9.304360e+01 5.82697000e+00
9.323800e+01 5.88137000e+00
9.343230e+01 5.97641000e+00
9.362670e+01 6.16411000e+00
9.372390e+01 6.33478000e+00
9.382110e+01 6.61511000e+00
9.391830e+01 7.12099000e+00
9.396690e+01 7.54005000e+00
9.401540e+01 8.16541000e+00
9.406400e+01 9.14931000e+00
9.411260e+01 1.07984000e+01
9.416120e+01 1.37581000e+01
9.420980e+01 1.92807000e+01
9.425490e+01 2.74395000e+01
9.430000e+01 3.28812000e+01
9.434520e+01 2.74399000e+01
9.439030e+01 1.92779000e+01
9.443410e+01 1.41623000e+01
9.447800e+01 1.12499000e+01
9.452180e+01 9.54920000e+00
9.456560e+01 8.50015000e+00
9.460940e+01 7.81683000e+00
9.465330e+01 7.35068000e+00
9.474090e+01 6.77727000e+00
9.482860e+01 6.45336000e+00
9.491620e+01 6.25346000e+00
9.509150e+01 6.03033000e+00
9.526680e+01 5.91526000e+00
9.544210e+01 5.84819000e+00
9.579270e+01 5.77677000e+00
9.614330e+01 5.74111000e+00
9.649390e+01 5.72040000e+00
9.719520e+01 5.69766000e+00
9.789640e+01 5.68516000e+00
9.859760e+01 5.67681000e+00
1.000000e+02 5.66520000e+00
1.014290e+02 5.65687000e+00
1.021440e+02 5.65427000e+00
1.028580e+02 5.65421000e+00
1.035730e+02 5.66122000e+00
1.039300e+02 5.67179000e+00
1.042870e+02 5.69457000e+00
1.046440e+02 5.74842000e+00
1.048230e+02 5.80390000e+00
1.050020e+02 5.90484000e+00
1.051800e+02 6.11209000e+00
1.052700e+02 6.30525000e+00
1.053590e+02 6.62800000e+00
1.054480e+02 7.21992000e+00
1.054930e+02 7.71629000e+00
1.055370e+02 8.46069000e+00
1.055820e+02 9.64241000e+00
1.056270e+02 1.16305000e+01
1.056710e+02 1.52258000e+01
1.057160e+02 2.19585000e+01
1.057580e+02 3.22082000e+01
1.058000e+02 3.94056000e+01
1.058420e+02 3.30320000e+01
1.058840e+02 2.29860000e+01
1.059170e+02 1.75523000e+01
1.059500e+02 1.40844000e+01
1.059830e+02 1.18588000e+01
1.060160e+02 1.03868000e+01
1.060820e+02 8.64790000e+00
1.061490e+02 7.71470000e+00
1.062150e+02 7.15981000e+00
1.062810e+02 6.80488000e+00
1.064130e+02 6.39252000e+00
1.065450e+02 6.17023000e+00
1.066780e+02 6.03631000e+00
1.069420e+02 5.88824000e+00
1.072070e+02 5.81124000e+00
1.074710e+02 5.76525000e+00
1.080000e+02 5.71371000e+00
1.086960e+02 5.67893000e+00
1.093920e+02 5.65829000e+00
1.107840e+02 5.63189000e+00
1.121760e+02 5.61218000e+00
1.135680e+02 5.59454000e+00
1.142640e+02 5.58654000e+00
1.149600e+02 5.58012000e+00
1.156560e+02 5.57795000e+00
1.163520e+02 5.58776000e+00
1.167000e+02 5.60362000e+00
1.170480e+02 5.63561000e+00
1.173960e+02 5.70028000e+00
1.177440e+02 5.83857000e+00
1.179180e+02 5.96612000e+00
1.180920e+02 6.17145000e+00
1.182660e+02 6.52258000e+00
1.184400e+02 7.17681000e+00
1.185270e+02 7.72891000e+00
1.186140e+02 8.56304000e+00
1.187010e+02 9.89560000e+00
1.187880e+02 1.21902000e+01
1.188750e+02 1.65814000e+01
1.189190e+02 2.04165000e+01
1.189620e+02 2.64232000e+01
1.190060e+02 3.64845000e+01
1.190490e+02 5.48552000e+01
1.190710e+02 7.00419000e+01
1.190930e+02 9.21182000e+01
1.191140e+02 1.25212000e+02
1.191360e+02 1.74298000e+02
1.191520e+02 2.23019000e+02
1.191680e+02 2.79177000e+02
1.192000e+02 3.52488000e+02
1.192320e+02 2.88162000e+02
1.192640e+02 1.85564000e+02
1.192900e+02 1.28061000e+02
1.193160e+02 9.18782000e+01
1.193420e+02 6.87901000e+01
1.193680e+02 5.36584000e+01
1.194200e+02 3.59270000e+01
1.194720e+02 2.64891000e+01
1.195250e+02 2.09132000e+01
1.195770e+02 1.73531000e+01
1.196810e+02 1.32315000e+01
1.197850e+02 1.10192000e+01
1.198890e+02 9.68936000e+00
1.199930e+02 8.82387000e+00
1.200980e+02 8.22709000e+00
1.203060e+02 7.47318000e+00
1.205140e+02 7.02886000e+00
1.207230e+02 6.74222000e+00
1.209310e+02 6.54497000e+00
1.213480e+02 6.29514000e+00
1.217650e+02 6.14630000e+00
1.221810e+02 6.04879000e+00
1.225980e+02 5.98049000e+00
1.234320e+02 5.89165000e+00
