Cu-65(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
3143.08 0.269679
3143.52 0.141208
3143.97 0.0877435
3144.85 0.0449631
3145.73 0.0286057
3147.49 0.0162331
3149.26 0.0117031
3152.79 0.00836645
3156.31 0.00716505
3170.43 0.00595628
3198.65 0.00560676
3255.09 0.00555205
3367.99 0.00611853
3480.88 0.00782322
3537.33 0.00974729
3565.55 0.0124160
3572.60 0.0143684
3579.66 0.0193295
3583.19 0.0258792
3586.72 0.0438180
3588.48 0.0679741
3590.24 0.133423
3591.13 0.219189
3591.57 0.300522
3592.01 0.440650
3592.45 0.713042
3592.67 0.957900
3592.89 1.35268
3593.11 2.05422
3593.22 2.62148
3593.33 3.45094
3593.44 4.72084
3593.55 6.77085
3593.66 10.2633
3593.77 16.3658
3593.89 26.2816
3594.00 33.0213
3594.12 26.5409
3594.23 16.6400
3594.31 11.9434
3594.38 8.75716
3594.54 5.12976
3594.69 3.30629
3594.84 2.29080
3595.00 1.67528
3595.15 1.27664
3595.45 0.811231
3595.76 0.561369
3596.07 0.412321
3596.68 0.251257
3597.29 0.170731
3597.90 0.124971
3599.13 0.0775558
3601.58 0.0421526
3604.03 0.0294042
3608.92 0.0202845
3613.82 0.0172468
3623.62 0.0155097
3633.41 0.0154139
3672.60 0.0185822
3711.78 0.0248785
3750.96 0.0362049
3790.14 0.0591405
3809.73 0.0805728
3829.33 0.116902
3848.92 0.185801
3858.71 0.245993
3868.51 0.340896
3878.30 0.502382
3888.10 0.806530
3893.00 1.06665
3897.90 1.46148
3902.79 2.08192
3907.69 3.06703
3920.00 6.30779
3926.16 5.16753
3932.31 3.24803
3936.58 2.30551
3940.84 1.67295
3945.11 1.25024
3949.37 0.961563
3957.91 0.612033
3966.44 0.420463
3974.97 0.305636
3983.50 0.231899
4000.56 0.146568
4017.63 0.101194
4034.69 0.0743412
4068.82 0.0456459
4102.94 0.0316213
4137.07 0.0239366
4171.19 0.0195089
4205.32 0.0170355
4273.57 0.0162115
4307.70 0.0180856
4341.83 0.0227217
4375.95 0.0335071
4393.02 0.0442121
4410.08 0.0630742
4427.14 0.100532
4435.67 0.134715
4444.20 0.191035
4452.74 0.293145
4457.00 0.378149
4461.27 0.505595
4465.53 0.707531
4469.80 1.04936
4474.07 1.67177
4476.20 2.17037
4478.33 2.85556
4482.17 4.56511
4486.00 5.70459
4489.84 4.56335
4493.67 2.85228
4497.63 1.73056
4501.58 1.11382
4505.54 0.763385
4509.49 0.551443
4513.45 0.415350
4517.41 0.323480
4525.32 0.211743
4533.23 0.149316
4541.14 0.111086
4556.96 0.0687380
4572.79 0.0470796
4588.61 0.0345408
4620.25 0.0213184
4651.90 0.0148300
4683.54 0.0111534
4746.84 0.00732378
4810.13 0.00544913
4873.42 0.00438286
5000.00 0.00327466
5214.45 0.00256921
5428.90 0.00244178
5643.35 0.00271294
5750.57 0.00307624
5804.18 0.00345950
5830.99 0.00416870
5837.69 0.00478624
5844.39 0.00645755
5847.74 0.00872586
5851.09 0.0150155
5852.77 0.0235394
5854.44 0.0467219
5855.28 0.0772464
5856.12 0.156383
5856.54 0.254460
5856.96 0.487033
5857.17 0.745151
5857.38 1.26655
5857.48 1.75100
5857.58 2.53825
5857.69 3.92313
5857.79 6.38370
