Pt-195(n,tot) JEFF-3.2
Energy(eV) XS(b)
67.9460 1072.83
68.0245 719.273
68.1029 526.636
68.1814 408.747
68.2599 330.409
68.4169 234.261
68.5738 178.439
68.7308 142.487
69.0447 99.6454
69.3586 75.5360
69.6726 60.3887
70.3004 42.8401
70.7925 34.9280
71.2846 29.5974
72.2689 22.9868
73.2531 19.1220
74.2373 16.6203
76.2057 13.6049
78.1741 11.8580
80.1426 10.7094
82.1110 9.88399
86.0478 8.73472
89.5359 7.99744
93.0239 7.38129
96.5120 6.81574
100.000 6.25418
102.932 5.75925
105.864 5.24445
107.330 5.02737
108.063 4.97772
108.796 5.04985
109.529 5.47057
109.896 6.03036
110.262 7.19223
110.629 9.88840
110.812 12.6554
110.995 17.6977
111.178 28.1390
111.270 37.9899
111.362 54.6967
111.407 67.7492
111.453 86.1312
111.499 113.126
111.545 154.794
111.591 223.291
111.636 345.168
111.659 443.208
111.682 583.234
111.705 786.640
111.728 1080.87
111.764 1739.87
111.800 2194.51
111.837 1773.28
111.873 1118.07
111.902 764.745
111.931 541.306
111.960 398.044
111.988 303.729
112.046 192.813
112.104 133.687
112.161 98.6545
112.219 76.3288
112.334 50.4926
112.450 36.6684
112.565 28.3882
112.796 19.3270
113.026 14.6867
113.257 11.9672
113.718 9.02156
114.179 7.51709
114.641 6.64794
115.563 5.85435
116.486 6.00729
116.947 6.59256
117.408 7.82000
117.639 8.84045
117.869 10.3020
117.985 11.2681
118.100 12.4490
118.215 13.9102
118.331 15.7486
118.446 18.1167
118.561 21.2620
118.677 25.6476
118.792 32.2381
118.850 37.0021
118.907 43.4526
118.965 52.7527
119.022 67.2383
119.080 92.5900
119.109 113.405
119.138 144.663
119.167 194.985
119.195 282.133
119.224 447.915
119.239 586.576
119.253 783.992
119.277 1239.85
119.300 1558.50
119.324 1274.40
119.348 825.748
119.364 613.422
119.380 470.496
119.413 307.615
119.445 227.205
119.477 184.485
119.542 147.339
119.606 138.288
119.735 156.537
119.864 211.952
119.993 324.933
120.058 422.047
120.122 569.435
120.187 804.525
120.251 1203.36
120.316 1927.57
120.380 3296.57
120.440 5363.63
120.500 6828.80
120.560 5566.91
120.620 3543.13
120.685 2141.44
120.750 1382.55
120.815 955.258
120.879 697.769
120.944 532.502
121.009 420.681
121.139 283.836
121.268 206.512
121.398 158.513
121.657 104.245
121.916 75.6363
122.175 58.5654
122.435 47.4743
122.694 39.8069
123.212 30.0680
123.731 24.2521
124.249 20.4356
124.767 17.7555
125.804 14.2482
126.841 12.0405
128.915 9.32629
131.640 7.13503
133.002 6.28134
134.365 5.53342
135.728 4.97998
136.409 4.91101
137.090 5.24850
137.771 6.74461
138.112 8.65654
138.282 10.2493
138.453 12.5745
138.538 14.1404
138.623 16.0797
138.708 18.5084
138.793 21.5859
138.878 25.5551
138.964 30.7547
139.049 37.7306
139.134 47.3119
139.219 60.9271
139.304 81.0056
139.389 112.220
139.474 163.938
139.560 257.925
139.602 335.836
139.645 451.432
139.687 632.343
139.730 931.530
139.773 1456.69
139.815 2404.53
139.858 3911.54
139.900 4979.44
139.943 4057.60
139.985 2579.69
140.025 1653.45
140.065 1112.15
140.106 789.366
140.146 587.248
140.226 361.099
140.306 245.669
140.387 179.201
140.467 137.463
140.628 89.8404
140.788 64.5633
140.949 49.4593
141.109 39.6435
141.270 32.8620
141.591 24.2590
141.913 19.1299
142.555 13.4000
143.198 10.3003
143.840 8.35708
145.125 6.15973
145.768 5.67969
146.410 5.73456
146.731 6.07242
146.892 6.35496
147.053 6.73508
147.213 7.23552
147.294 7.53938
147.374 7.88483
147.534 8.72172
147.695 9.79744
147.856 11.1822
148.016 12.9697
148.177 15.2938
148.338 18.3452
148.498 22.4056
148.659 27.8902
148.819 35.4549
148.980 46.1568
149.141 61.8007
149.301 85.5892
149.462 123.750
149.623 189.470
149.703 241.226
149.783 314.530
149.864 422.523
149.944 589.354
150.024 862.811
150.104 1345.18
150.185 2270.91
150.225 3048.37
150.265 4154.09
150.333 6824.84
150.400 8750.91
150.468 7182.56
150.535 4612.14
150.596 3051.43
150.656 2108.91
150.717 1529.65
150.777 1158.80
150.898 734.947
151.019 513.894
151.141 384.839
151.262 303.146
151.504 209.805
151.746 161.309
151.988 134.210
152.473 112.813
152.957 121.772
153.199 140.550
153.441 176.244
153.684 243.815
153.926 381.017
154.047 504.003
154.168 697.245
154.289 1012.44
154.410 1531.85
154.555 2484.09
154.700 3167.92
154.845 2598.35
154.990 1670.49
155.078 1262.70
155.165 971.304
155.340 615.990
155.515 424.930
155.691 313.100
155.866 242.596
156.041 195.389
156.391 137.981
156.741 105.510
157.091 85.1954
157.792 61.7836
158.749 45.6952
159.707 36.9705
160.664 31.5415
161.622 27.8456
163.536 23.1312
165.451 20.2336
167.366 18.2537
169.281 16.7999
173.110 14.7614
176.940 13.3252
180.770 12.1342
182.685 11.5399
183.642 11.2236
184.599 10.8902
185.557 10.5649
186.036 10.4503
186.514 10.4698
186.754 10.6072
186.993 10.9354
187.232 11.6528
187.472 13.2427
187.591 14.7242
187.711 17.1071
187.831 21.1487
187.950 28.5320
188.070 43.6322
188.130 57.5633
188.190 80.3951
188.220 97.6369
188.250 121.068
188.280 153.931
188.309 201.594
188.339 273.454
188.369 386.534
188.399 571.785
188.429 879.416
188.465 1441.91
188.500 1851.51
188.536 1525.11
188.571 983.612
188.593 735.621
