Ge-70(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 153.503
1.25000E-05 137.298
1.50000E-05 125.335
2.00000E-05 108.543
2.75000E-05 92.5660
3.50000E-05 82.0510
4.25000E-05 74.4601
5.00000E-05 68.6488
6.25000E-05 61.4014
7.50000E-05 56.0515
0.000100000 48.5420
0.000125000 43.4173
0.000150000 39.6344
0.000200000 34.3244
0.000275000 29.2719
0.000350000 25.9468
0.000425000 23.5463
0.000500000 21.7086
0.000625000 19.4168
0.000750000 17.7250
0.00100000 15.3503
0.00125000 13.7297
0.00150000 12.5334
0.00200000 10.8543
0.00275000 9.25651
0.00350000 8.20499
0.00425000 7.44589
0.00500000 6.86475
0.00625000 6.13999
0.00750000 5.60499
0.0100000 4.85402
0.0125000 4.34152
0.0150000 3.96321
0.0200000 3.43217
0.0253000 3.05151
0.0314750 2.73579
0.0376500 2.50134
0.0500000 2.17044
0.0625000 1.94121
0.0750000 1.77199
0.100000 1.53444
0.125000 1.37231
0.150000 1.25262
0.200000 1.08459
0.275000 0.924671
0.350000 0.819394
0.500000 0.685155
0.750000 0.558883
1.00000 0.483538
1.50000 0.394042
2.00000 0.340590
2.75000 0.289614
3.50000 0.255973
5.00000 0.212929
7.50000 0.172197
10.0000 0.147713
15.0000 0.118350
20.0000 0.100597
27.5000 0.0834534
35.0000 0.0719929
50.0000 0.0571294
75.0000 0.0428748
100.000 0.0342854
150.000 0.0241734
200.000 0.0183633
275.000 0.0132217
350.000 0.0102149
500.000 0.00719762
625.000 0.00638573
750.000 0.00700371
812.500 0.00824112
875.000 0.0108777
906.250 0.0132502
937.500 0.0170107
968.750 0.0234117
1000.00 0.0355549
1000.00 0.0355555
1000.01 0.0355577
1000.01 0.0355598
1000.02 0.0355637
1000.03 0.0355714
1000.06 0.0355867
1000.11 0.0356175
1000.23 0.0356798
1000.45 0.0358048
1000.91 0.0360570
1001.81 0.0365696
1003.62 0.0376320
1007.23 0.0399134
1014.45 0.0452094
1028.91 0.0599005
1043.36 0.0838642
1057.81 0.126946
1065.04 0.162748
1068.65 0.186779
1070.46 0.200889
1072.26 0.216683
1074.07 0.234461
1074.97 0.244190
1075.88 0.254547
1076.78 0.265600
1077.68 0.277385
1078.59 0.289982
1079.49 0.303470
1081.30 0.333484
1083.10 0.368219
1084.91 0.408763
1086.72 0.456434
1088.52 0.513069
1090.33 0.580983
1092.14 0.663472
1093.94 0.764898
1095.75 0.891667
1097.56 1.05275
1099.36 1.26195
1101.17 1.54003
1102.98 1.92112
1104.78 2.46184
1106.59 3.26499
1108.39 4.52626
1110.20 6.66158
1111.10 8.31919
1112.01 10.6437
1112.91 14.0170
1113.81 19.0734
1114.72 26.8878
1115.62 39.0100
1116.81 62.3688
1118.00 77.8548
1119.19 62.2000
1120.38 38.8471
1121.76 22.2139
1123.14 13.7046
1124.52 9.12329
1125.90 6.45508
1127.28 4.78545
1128.66 3.67998
1131.42 2.36165
1134.18 1.63889
1136.94 1.20212
1142.46 0.724420
1147.97 0.483239
1153.49 0.345012
1159.01 0.258584
1164.53 0.201016
1175.57 0.131534
1186.61 0.0928534
1197.64 0.0691617
1208.68 0.0536289
1230.75 0.0352265
1252.83 0.0252299
1274.90 0.0192935
1296.98 0.0155985
1341.13 0.0120547
1363.20 0.0117900
1385.28 0.0128775
1407.35 0.0167414
1418.39 0.0211084
1429.43 0.0294366
1434.95 0.0366016
1440.46 0.0476665
1445.98 0.0659794
1451.50 0.0994462
1454.26 0.127665
