Co-59(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
4375.40 237.639
4394.18 186.488
4412.96 152.145
4450.53 114.864
4488.09 99.1112
4525.65 93.6196
4600.78 97.9617
4675.90 114.538
4837.95 178.685
5000.00 237.614
5016.00 239.425
5058.51 239.337
5101.03 232.579
5186.05 205.174
5356.10 139.730
5485.18 103.066
5614.25 78.1529
5743.33 61.2465
5872.40 49.4631
6130.55 34.6306
6259.63 29.6678
6324.17 27.3772
6340.30 26.7301
6356.43 25.9457
6364.50 25.4344
6368.54 25.1222
6372.57 24.7563
6376.60 24.3356
6378.62 24.1274
6380.64 23.9842
6382.65 24.1048
6383.66 24.4568
6384.67 25.3053
6385.68 27.3101
6386.18 29.2347
6386.69 32.3733
6387.19 37.7099
6387.69 47.2764
6388.20 65.4630
6388.70 101.308
6389.20 163.951
6389.70 220.807
6390.20 199.960
6390.70 145.916
6391.10 112.776
6391.50 90.6067
6391.91 75.8502
6392.31 65.7447
6393.12 53.3242
6393.92 46.2817
6394.73 41.8787
6395.53 38.9175
6397.15 35.2498
6398.76 33.1006
6400.37 31.7009
6403.59 29.9921
6406.82 28.9820
6410.04 28.3052
6416.49 27.4295
6422.94 26.8586
6429.38 26.4345
6442.28 25.8005
6468.07 24.8863
6493.86 24.1573
6597.02 21.8426
6803.34 18.3548
7215.99 13.4520
7422.31 11.4389
7628.64 9.29685
7731.80 7.95047
7783.38 7.11284
7834.96 6.08584
7886.54 4.76925
7912.33 3.96870
7938.12 3.08519
7963.91 2.25526
7976.81 2.02342
7989.70 2.18483
7996.15 2.56821
8002.60 3.31458
8009.04 4.64414
8015.49 6.92721
8021.94 10.8034
8028.39 17.3844
8034.83 28.5750
8041.28 47.2876
8051.59 98.1494
8056.75 126.601
8061.90 144.231
8072.21 132.957
8082.52 100.222
8093.05 74.8405
8103.57 58.5519
8114.10 47.9761
8124.62 40.7948
8145.68 31.9158
8166.73 26.7585
8187.78 23.4294
8208.83 21.1128
8250.94 18.1004
8293.04 16.2154
8335.14 14.9099
8419.35 13.1812
8587.77 11.2010
8671.97 10.4925
8693.02 10.3100
8714.08 10.0965
8724.60 9.95660
8729.87 9.86739
8735.13 9.75408
8740.39 9.59721
8743.02 9.49029
8745.65 9.35231
8748.29 9.16931
8750.92 8.94432
8752.23 8.87411
8752.89 8.91165
8753.55 9.09885
8754.21 9.68941
8754.54 10.3496
8754.86 11.5520
8755.19 13.8741
8755.52 18.7737
8755.69 23.3011
8755.85 30.4831
8756.02 42.3331
8756.18 62.1720
8756.60 143.617
8756.81 130.133
8757.02 92.2461
8757.19 69.2223
8757.35 53.8971
8757.52 43.6510
8757.69 36.6987
8758.02 28.1716
8758.35 23.3783
8758.69 20.4076
8759.02 18.4267
8759.69 16.0024
8760.35 14.6057
8761.02 13.7115
8761.68 13.0956
8762.35 12.6479
8763.68 12.0439
8765.01 11.6568
8766.35 11.3879
8767.68 11.1902
8770.34 10.9173
8773.00 10.7363
8778.33 10.5059
8783.66 10.3598
8788.98 10.2544
8799.64 10.1033
8820.95 9.89895
8842.26 9.74456
8927.49 9.27105
9097.95 8.53458
9268.42 7.91032
9353.65 7.61684
9396.27 7.47181
9417.58 7.40399
9428.23 7.39103
9430.90 7.40629
9433.56 7.46442
9434.89 7.54918
9436.22 7.77835
9436.89 8.06767
9437.56 8.76312
9437.89 9.54166
9438.22 11.1433
9438.39 12.6512
9438.55 15.1506
9438.72 19.5953
9438.89 27.7907
9439.04 40.1600
9439.20 48.3665
9439.36 40.1198
9439.52 27.8417
9439.64 21.2277
9439.77 17.0535
9439.89 14.4006
9440.02 12.6681
9440.27 10.6296
9440.51 9.55507
9441.01 8.52301
9441.51 8.06525
9442.51 7.68064
9443.51 7.52617
9445.50 7.40210
9447.50 7.35129
9451.49 7.30437
9455.48 7.27816
9471.45 7.20819
9503.39 7.08430
9535.32 6.95318
9567.26 6.80462
9599.20 6.62020
9615.16 6.50133
9631.13 6.34776
9647.10 6.12744
9655.08 5.96964
9663.07 5.75228
9667.06 5.60768
9671.05 5.42600
9675.04 5.18990
9679.04 4.87019
9681.03 4.66436
9683.03 4.41643
9685.02 4.11579
9687.02 3.75548
9689.02 3.35937
9690.01 3.19309
9691.01 3.13841
9692.01 3.41542
9692.51 3.84971
9693.01 4.69324
9693.51 6.29058
9693.76 7.56832
9694.01 9.33020
9694.26 11.7916
9694.51 15.2153
9694.75 19.9920
9695.00 26.5924
9695.30 37.5795
9695.60 51.7348
9696.20 77.0736
9696.50 78.8807
9696.80 73.3027
9697.40 55.5978
9697.99 41.7702
9698.58 32.8276
9699.17 27.0274
9699.76 23.1093
9700.36 20.3434
9700.95 18.3130
9702.13 15.5697
9703.31 13.8269
9704.49 12.6336
9706.86 11.1187
9709.22 10.2042
9711.58 9.59462
9713.95 9.15982
9716.31 8.83404
9721.04 8.37756
9725.77 8.07184
9730.50 7.85138
9735.23 7.68377
9744.68 7.44286
9754.14 7.27469
9773.05 7.04630
9791.96 6.88918
9810.88 6.76740
9848.70 6.57627
9924.35 6.27951
10000.0 6.02218
10170.0 5.47139
10255.0 5.19513
10340.0 4.93177
10424.9 4.75427
10467.4 4.77886
10509.9 5.01883
10552.4 5.80507
10573.7 6.66856
10594.9 8.19601
10616.2 11.0222
10637.4 16.6079
10648.0 21.4362
10658.7 28.6841
10669.3 39.7985
10679.9 56.9233
10713.0 142.044
10721.3 143.655
10729.6 130.709
10746.1 92.2181
10760.7 66.2926
10775.2 49.5972
10789.8 38.8863
10804.3 31.7619
10833.5 23.2568
10862.6 18.5597
10891.7 15.6664
10920.8 13.7359
10979.1 11.3535
11037.3 9.95165
11095.5 9.02854
11212.0 7.87364
11328.5 7.16009
11444.9 6.65720
11561.4 6.27054
11619.6 6.10568
11648.8 6.02885
11663.3 5.99211
11670.6 5.97587
11674.2 5.97513
11676.1 6.00221
11677.0 6.10951
11677.4 6.42632
11677.7 7.16445
11677.8 8.25608
11677.9 11.6539
11677.9 15.1306
11678.0 17.4132
11678.1 15.1503
11678.1 11.6784
11678.2 8.61323
11678.3 7.46920
11678.5 6.58947
11678.9 6.16732
11679.6 6.01504
11681.1 5.96491
11684.2 5.94457
11690.2 5.92635
11702.2 5.89638
11726.3 5.83975
11774.5 5.73500
11798.6 5.69013
11810.6 5.67245
11822.7 5.66220
11834.7 5.67017
11840.7 5.69083
11846.8 5.73853
11849.8 5.78272
11852.8 5.85246
11855.8 5.96857
11858.8 6.17766
11861.8 6.60329
11863.3 7.00164
11864.8 7.66675
11866.3 8.91521
11867.1 9.97693
11867.8 11.6107
11868.6 14.3380
11869.4 19.1513
11870.1 28.6147
11870.5 36.8980
11870.9 48.6440
11871.4 74.8141
11872.0 91.9158
11872.6 74.5035
11873.2 48.8594
11873.5 36.8436
11873.9 28.8053
11874.7 19.3053
11875.4 14.4617
11876.2 11.7379
11876.9 10.0753
11877.7 8.99259
11879.2 7.72058
11880.7 7.03240
11882.2 6.61888
11885.1 6.16809
11888.1 5.93765
11891.1 5.80356
11894.1 5.71709
11897.1 5.65756
11903.1 5.58055
11909.1 5.53210
11921.1 5.47073
11933.1 5.42890
11945.0 5.39500
11969.0 5.33669
12016.9 5.22605
12028.9 5.19366
12040.9 5.15207
12046.9 5.12211
12052.9 5.07454
12055.9 5.03406
12058.9 4.96370
12060.4 4.90214
12061.9 4.79948
12062.6 4.72018
12063.4 4.62156
12063.7 4.59062
12064.1 4.68498
12064.3 4.93216
12064.5 5.62085
12064.6 6.52174
12064.7 8.11486
12064.8 11.3728
12064.8 18.3843
12064.9 29.9665
12065.0 40.9598
12065.1 37.7540
12065.2 27.9254
12065.2 20.6037
12065.3 16.5683
12065.5 12.1520
12065.6 9.98088
12065.7 8.75636
12066.0 7.44719
12066.3 6.82329
12066.9 6.21030
12067.4 5.92006
12068.6 5.64451
12069.7 5.51285
12072.0 5.38464
12074.3 5.32074
12078.8 5.25438
12083.4 5.21786
12092.5 5.17366
12101.6 5.14380
12138.1 5.06008
12211.0 4.92698
12356.8 4.68425
12648.5 4.20359
12794.3 3.93399
12940.2 3.60104
13013.1 3.38346
13049.5 3.25184
13086.0 3.09832
13122.5 2.91653
13158.9 2.70448
13177.1 2.59424
13195.4 2.50073
13213.6 2.47869
13222.7 2.54474
13227.3 2.63622
13229.6 2.78059
13230.7 3.14518
13231.0 3.45444
13231.3 4.12886
13231.5 6.14975
13231.7 8.99051
13231.8 11.6762
13231.8 16.0739
13231.9 24.0688
13232.0 29.6067
13232.1 24.1654
13232.2 16.2015
13232.3 10.9038
13232.4 7.81050
13232.6 5.22283
13232.8 4.15409
13233.0 3.66972
13233.3 3.23101
13233.7 3.05589
13235.3 2.90191
13238.4 2.97394
13244.6 3.35850
13250.8 4.04495
13257.0 5.25506
13263.3 7.48306
13269.5 11.8391
13272.6 15.5691
13275.7 21.1224
13278.8 29.5466
13281.9 42.3312
13292.0 110.410
13294.5 112.586
13297.1 103.013
13302.1 72.9592
13307.6 48.5737
13313.2 34.4670
13318.7 26.1694
13324.2 20.9840
13329.7 17.5288
13335.3 15.1148
13346.3 12.0187
13357.4 10.1595
13368.4 8.93806
13390.5 7.45110
13412.6 6.58779
13434.7 6.02592
13478.9 5.33476
13523.1 4.91886
13567.3 4.63428
13611.5 4.42288
13633.6 4.34003
13644.7 4.32416
13647.5 4.34044
13650.2 4.40383
13651.6 4.49761
13653.0 4.75608
13653.7 5.08979
13654.4 5.91753
13654.7 6.89912
13655.0 8.95896
13655.2 11.1367
13655.4 14.8167
13655.6 21.9447
13655.7 28.4317
13655.7 36.8517
13655.9 57.2457
13656.0 69.7616
13656.1 57.3986
13656.3 37.0435
13656.4 26.1576
13656.5 18.9939
13656.6 14.6660
13656.7 11.9322
13657.0 8.87148
13657.2 7.31424
13657.7 5.86975
13658.2 5.24633
13659.1 4.73268
13660.1 4.53131
13662.0 4.37023
13663.9 4.30649
13671.6 4.22232
