Cd-111(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 345.858
1.25000E-05 309.344
1.50000E-05 282.391
2.00000E-05 244.558
2.75000E-05 208.560
3.50000E-05 184.868
4.25000E-05 167.765
5.00000E-05 154.672
6.25000E-05 138.343
7.50000E-05 126.289
0.000100000 109.369
0.000125000 97.8226
0.000150000 89.2993
0.000200000 77.3353
0.000275000 65.9514
0.000350000 58.4595
0.000425000 53.0509
0.000500000 48.9103
0.000625000 43.7464
0.000750000 39.9345
0.00100000 34.5838
0.00125000 30.9323
0.00150000 28.2368
0.00200000 24.4530
0.00275000 20.8527
0.00350000 18.4832
0.00425000 16.7725
0.00500000 15.4628
0.00625000 13.8294
0.00750000 12.6235
0.0100000 10.9308
0.0125000 9.77536
0.0150000 8.92238
0.0200000 7.72480
0.0253000 6.86612
0.0314750 6.15370
0.0376500 5.62450
0.0500000 4.87727
0.0625000 4.35927
0.0750000 3.97663
0.100000 3.43899
0.125000 3.07159
0.150000 2.80001
0.200000 2.41808
0.275000 2.05352
0.350000 1.81268
0.500000 1.50415
0.750000 1.21168
1.00000 1.03564
1.50000 0.824587
2.00000 0.697701
2.62038 0.594755
3.24075 0.527994
3.86113 0.507471
4.17131 0.589727
4.24886 0.665433
4.32641 0.822533
4.40395 1.20368
4.44273 1.60704
4.48150 2.31162
4.52225 3.45934
4.56300 4.23646
4.60375 3.48427
4.64450 2.33807
4.68894 1.55050
4.73338 1.12891
4.77781 0.893535
4.82225 0.752313
4.91113 0.600247
5.00000 0.524215
5.23539 0.438091
5.47078 0.402768
5.94155 0.371735
6.41233 0.381716
6.64771 0.469248
6.70656 0.538612
6.76541 0.673697
6.82425 0.974763
6.85368 1.26766
6.88310 1.74114
6.91885 2.60095
6.95460 3.17984
6.99035 2.61234
7.02610 1.75257
7.07257 1.08673
7.11904 0.769599
7.16550 0.606840
7.21197 0.514550
7.30490 0.420010
7.39784 0.374711
7.76958 0.312532
8.51305 0.278472
10.0000 0.247760
12.5000 0.222859
15.0000 0.220329
17.5000 0.245295
20.0000 0.325004
21.8755 0.480399
22.8133 0.638728
23.7510 0.928741
24.2199 1.17301
24.6888 1.54536
25.1576 2.15374
25.6265 3.24994
25.8609 4.16276
26.0954 5.54106
26.3298 7.76565
26.5643 11.7043
26.6815 14.9266
26.7987 19.7070
26.9159 27.2375
27.0331 40.1051
27.1504 64.8074
27.2090 86.6630
27.2676 121.579
27.3262 182.104
27.3555 230.273
27.3848 299.376
27.4141 402.603
27.4434 563.639
27.4727 825.562
27.5020 1257.18
27.5360 2010.09
27.5700 2510.91
27.5870 2362.48
27.6040 2007.53
27.6380 1254.02
27.6598 913.182
27.6817 677.859
27.7254 402.660
27.7690 261.585
27.8127 182.032
27.8564 133.389
27.9001 101.704
27.9874 64.4972
28.0748 44.4166
28.1621 32.4018
28.2495 24.6593
28.3368 19.3850
28.5115 12.8717
28.6862 9.15991
28.8609 6.84817
29.0356 5.31258
29.3850 3.46494
29.7344 2.43913
30.0839 1.81178
30.4333 1.40066
31.1321 0.912828
31.8309 0.645727
32.5297 0.483908
33.2285 0.378546
34.6261 0.254215
36.0238 0.186361
38.8190 0.118342
41.6143 0.0863841
44.4095 0.0687619
50.0000 0.0512136
54.8812 0.0446270
59.7625 0.0427983
64.6437 0.0483785
65.8640 0.0542280
67.0843 0.0695833
67.6945 0.0897494
67.9995 0.109268
68.3046 0.143960
68.6097 0.215278
68.7622 0.283434
68.9148 0.402055
69.0673 0.636678
69.1436 0.851081
69.2198 1.20575
69.2961 1.85336
69.3342 2.39687
69.3724 3.21853
69.4105 4.53561
69.4486 6.80177
69.4868 11.0295
69.5249 19.3430
69.5575 30.9174
69.5900 38.6291
69.6226 30.9031
69.6551 19.3252
69.6873 11.9725
69.7194 7.82882
69.7516 5.42734
69.7837 3.95477
69.8159 2.99971
69.8480 2.35043
69.9123 1.55466
69.9767 1.10703
70.0410 0.831662
70.1696 0.525622
70.2982 0.368840
70.4268 0.278165
70.6841 0.183041
70.9413 0.136986
71.1985 0.111425
71.7130 0.0859276
72.7420 0.0690564
73.7709 0.0654493
75.8288 0.0701230
77.8867 0.0850751
79.9446 0.117504
80.9736 0.148698
82.0025 0.203902
83.0315 0.318253
83.5459 0.429710
84.0604 0.629575
84.3176 0.795782
84.5749 1.04685
84.8321 1.45280
85.0894 2.17410
85.2180 2.76656
85.3466 3.64913
85.4752 5.04723
85.6038 7.45548
85.7325 12.1366
85.7968 16.3333
85.8611 23.1318
85.9254 35.1599
85.9575 44.9317
85.9897 59.2325
86.0219 81.1654
86.0540 116.623
86.0862 177.137
86.1022 222.863
