Ni-60(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
12375.9 200.848
12535.0 210.063
13076.9 190.540
13347.9 165.042
13483.4 152.043
13551.1 145.754
13585.0 142.711
13593.5 141.985
13602.0 141.326
13606.2 141.082
13608.3 141.024
13610.4 141.068
13612.5 141.351
13613.6 141.700
13614.7 142.354
13615.7 143.700
13616.2 144.921
13616.8 146.889
13617.3 150.307
13617.8 156.882
13618.1 162.733
13618.4 171.396
13618.6 185.075
13618.9 206.823
13619.2 247.672
13619.5 273.776
13619.9 246.348
13620.2 206.766
13620.6 177.830
13620.9 163.342
13621.3 155.277
13621.7 150.678
13622.1 147.705
13622.4 145.775
13623.2 143.405
13623.9 142.074
13624.7 141.243
13626.2 140.277
13627.7 139.719
13629.2 139.342
13632.2 138.825
13638.2 138.107
13644.1 137.512
13668.1 135.366
13716.0 131.284
13912.4 115.930
14108.8 102.696
14501.5 81.8356
14894.3 66.7627
15287.0 55.7124
16072.5 41.0777
16858.0 32.1090
17643.5 26.1686
18429.0 21.9771
20000.0 16.4362
20634.1 14.8219
20951.2 14.0999
21109.7 13.7564
21189.0 13.5886
21228.6 13.5058
21248.4 13.4651
21258.3 13.4467
21263.3 13.4447
21265.8 13.4689
21267.0 13.5590
21267.6 13.7951
21267.9 14.2296
21268.2 15.7998
21268.5 18.1762
21268.8 15.7989
21269.1 14.2273
21269.4 13.7916
21270.0 13.5546
21271.2 13.4582
21273.7 13.4235
21278.6 13.4049
21288.4 13.3825
21308.0 13.3415
21347.2 13.2610
21425.7 13.1020
21582.6 12.7903
21896.5 12.1899
22524.3 11.0615
23152.0 9.99701
23465.9 9.47987
23544.4 9.35419
23622.8 9.23627
23662.1 9.18785
23681.7 9.17181
23701.3 9.16922
23720.9 9.20011
23730.7 9.24640
23740.5 9.34277
23750.3 9.56203
23755.3 9.78270
23760.2 10.1782
23765.1 10.9889
23767.5 11.7501
23770.0 13.0452
23772.4 15.5078
23773.6 17.6728
23774.9 21.0598
23776.1 26.8695
23777.3 37.7006
23777.9 47.0978
23778.5 61.0956
23779.2 82.9004
23779.8 117.053
23780.6 182.207
23781.3 225.855
23782.1 182.425
23782.9 117.262
23783.8 73.6503
23784.6 50.1184
23785.4 36.9343
23786.3 29.0361
23787.1 24.0002
23788.0 20.6173
23789.6 16.5393
23791.3 14.2542
23793.0 12.8588
23796.3 11.3201
23799.7 10.5311
23803.1 10.0754
23809.8 9.59241
23816.5 9.35378
23823.2 9.21750
23836.6 9.07628
23850.0 9.01932
23856.7 9.01633
23863.4 9.04026
23870.2 9.12192
23873.5 9.21274
23876.9 9.38063
23880.2 9.72969
23881.9 10.0585
23883.6 10.6115
23885.3 11.6570
23886.1 12.5604
23886.9 13.9451
23887.8 16.2730
23888.6 20.5088
23889.0 24.0000
23889.4 29.1061
23889.9 36.7458
23890.3 47.8357
23890.9 71.5348
23891.5 87.0474
23892.1 71.1841
23892.7 47.8973
23893.2 33.8903
23893.8 25.6306
23894.3 20.6691
23894.9 17.5898
23896.0 14.0953
23897.1 12.3122
23898.2 11.2831
23899.3 10.6484
23901.4 9.93195
23903.6 9.55666
23905.8 9.33688
23910.2 9.09943
23914.5 8.97796
23918.9 8.90564
23927.6 8.82296
23945.1 8.74052
23962.6 8.69020
23997.5 8.61401
24032.4 8.54778
24102.3 8.42345
24172.2 8.30239
24451.6 7.81965
25010.5 6.81080
26128.4 4.39717
26687.3 2.83487
27246.2 1.00454
27385.9 0.565061
27525.6 0.201793
27595.5 0.0759363
27630.4 0.0343818
27665.4 0.0110014
27682.8 0.00724399
27700.3 0.00945548
27735.2 0.0341144
27752.7 0.0578744
27770.2 0.0902069
27805.1 0.184001
27840.0 0.323075
27875.0 0.516416
27909.9 0.774987
27944.8 1.11199
28014.7 2.08874
28084.6 3.61897
28154.4 5.95542
28224.3 9.46072
28294.1 14.6384
28364.0 22.1251
28399.8 27.0718
28417.7 29.8603
28426.6 31.3384
28431.1 32.1089
28433.4 32.5425
28434.5 32.8932
28435.0 33.3968
28435.3 34.2000
28435.6 37.0073
28435.8 41.1864
28436.0 37.0854
28436.3 34.6844
28436.5 33.8942
28436.9 33.4351
28437.7 33.3469
28439.4 33.5659
28442.8 34.1463
28449.6 35.3705
28463.2 37.9217
28476.8 40.5973
28483.6 41.9969
28487.0 42.7767
28488.7 43.3999
28489.6 44.3440
28490.0 46.0256
28490.2 48.3172
28490.4 54.1167
28490.6 60.6918
28490.7 64.9124
28490.8 60.7610
28491.0 54.2449
28491.1 50.5184
28491.2 48.3776
28491.4 46.1948
28491.8 44.7481
28492.7 44.2099
28494.5 44.3294
28498.1 45.0052
28505.2 46.5073
28519.3 49.6179
28547.7 56.0745
28604.5 69.2069
28718.0 89.3092
28894.5 88.6296
29071.0 70.4812
29269.0 53.5219
29368.0 47.4017
29417.6 44.8186
29442.3 43.6308
29454.7 43.0625
29460.9 42.7916
29464.0 42.6848
29465.5 42.7208
29466.3 42.9770
29466.7 43.5740
29466.9 44.4020
29467.1 46.3783
29467.3 50.2546
29467.6 46.3564
29467.8 44.2993
29467.9 43.4897
29468.3 42.8868
29469.1 42.5625
29470.6 42.3908
29473.7 42.2250
29479.8 41.9506
29492.1 41.4273
29516.6 40.4249
29565.6 38.5695
29663.7 35.3702
29859.8 30.5026
30056.0 27.0110
30105.0 26.2903
30154.1 25.6196
30178.6 25.3024
30203.1 24.9994
30227.6 24.7305
30233.7 24.6868
30239.9 24.6939
30242.9 24.7621
30246.0 24.9944
30247.5 25.3052
30249.1 26.0561
30249.8 26.8916
30250.6 28.5412
30251.0 30.0825
30251.4 32.5076
30251.7 36.6071
30252.1 43.7893
30252.5 55.4972
30252.9 63.1532
30253.3 55.4885
30253.7 43.7544
30254.1 37.2841
30254.4 33.2272
30254.8 30.7126
30255.1 29.1302
30255.8 27.2754
30256.4 26.3045
30257.8 25.3744
30259.1 24.9627
30261.8 24.6026
30264.5 24.4428
30269.9 24.2826
30275.3 24.1852
30296.8 23.9095
30318.3 23.6700
30339.8 23.4413
30382.8 23.0044
30425.9 22.5908
30598.0 21.1285
30942.3 18.8870
31630.8 15.9882
32319.3 14.1738
32491.5 13.8201
32663.6 13.4998
32749.7 13.3552
32792.7 13.2898
32835.7 13.2334
32878.8 13.1973
32900.3 13.1972
32921.8 13.2258
32932.6 13.2617
32943.3 13.3251
32954.1 13.4385
32964.8 13.6536
32970.2 13.8358
32975.6 14.1111
32981.0 14.5511
32986.4 15.3118
32991.7 16.7867
32994.4 18.1001
32997.1 20.2086
32999.8 23.8838
33002.5 31.0561
33003.8 37.4399
33005.2 47.3908
33006.5 63.6780
33007.9 90.7213
33009.4 137.673
33010.9 168.826
33012.5 137.628
33014.0 91.0388
33015.4 62.4279
33016.9 45.9007
33018.3 36.0647
33019.7 29.9107
33022.6 23.0602
33025.5 19.6138
33028.3 17.6443
33031.2 16.4260
33036.9 15.0543
33042.7 14.3416
33048.4 13.9231
33054.1 13.6554
33059.8 13.4730
33071.3 13.2439
33082.8 13.1081
33094.2 13.0184
33105.7 12.9542
33128.6 12.8664
33151.5 12.8071
33197.3 12.7311
33243.2 12.7023
33266.1 12.7171
33289.0 12.7749
33311.9 12.9337
33323.4 13.1015
33334.8 13.4042
