P-31(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
319000 2.50199
329000 1.90199
340000 2.00198
361000 3.80197
369000 5.80197
395000 2.10195
417000 2.10194
425000 1.80194
430000 3.90194
437000 7.20193
453000 2.10193
456000 4.00193
465000 2.10192
469000 5.50192
471000 4.50192
475000 6.60192
491000 2.80191
525000 2.00189
529000 3.90189
550000 1.50188
561000 5.60187
585000 3.00186
850000 2.20174
869000 4.40173
900000 2.30171
930000 4.30170
936000 3.30169
948000 6.50169
968000 3.60168
995000 2.90167
1.01000E+06 2.10166
1.01600E+06 2.10166
1.02200E+06 3.30165
1.03000E+06 3.30165
1.05600E+06 2.70164
1.06000E+06 2.90163
1.07600E+06 2.10163
1.08200E+06 3.50162
1.09200E+06 2.80162
1.11500E+06 1.80161
1.12700E+06 3.00160
1.15000E+06 5.00159
1.20000E+06 3.30157
1.31000E+06 3.19151
1.31001E+06 3.19151
1.50000E+06 3.05142
1.59000E+06 2.99868
1.65000E+06 2.96635
1.75000E+06 2.91048
2.00000E+06 2.92082
2.20000E+06 2.84909
2.25000E+06 2.83273
2.30600E+06 2.71921
2.35000E+06 2.63001
2.50000E+06 2.90094
2.65000E+06 3.28696
2.73000E+06 2.93283
2.75000E+06 2.83042
2.78000E+06 2.88164
2.84000E+06 3.04128
2.94000E+06 3.22901
2.95000E+06 3.25436
3.00000E+06 3.14363
3.05000E+06 3.03297
3.12500E+06 3.07949
3.20000E+06 3.07730
3.21000E+06 3.03868
3.30000E+06 2.71084
3.35000E+06 2.64120
3.46000E+06 2.51537
3.50000E+06 2.45652
3.60000E+06 2.67075
3.61000E+06 2.68218
3.72000E+06 2.84984
3.75000E+06 2.86570
3.82000E+06 2.82271
3.85000E+06 2.81601
4.10000E+06 2.76014
4.14000E+06 2.74358
4.22000E+06 2.73921
4.25000E+06 2.72949
4.35000E+06 3.03045
4.40000E+06 2.82538
4.42500E+06 2.79785
4.50000E+06 2.73560
4.54000E+06 2.72641
4.75000E+06 2.64117
4.80000E+06 2.71588
4.85000E+06 2.78302
5.00000E+06 2.55943
5.05000E+06 2.53853
5.50000E+06 2.44161
6.00000E+06 2.20170
6.30000E+06 2.36236
6.75000E+06 2.37834
7.10000E+06 2.24077
7.53772E+06 2.15905
8.00000E+06 2.07374
9.00000E+06 2.02576
1.00000E+07 1.99945
1.10000E+07 1.96091
1.20000E+07 1.93487
1.27110E+07 1.91281
1.30000E+07 1.90584
1.35000E+07 1.89382
1.40000E+07 1.88180
1.45000E+07 1.86454
1.50000E+07 1.85028
1.70000E+07 1.77025
1.80000E+07 1.74857
2.00000E+07 1.67020
2.00000E+07 1.93034
2.04021E+07 1.94170
2.10000E+07 1.95551
2.20000E+07 1.97230
2.30000E+07 1.98657
2.34672E+07 1.99282
2.40000E+07 1.99958
2.41132E+07 2.00096
2.43966E+07 2.00429
2.44017E+07 2.00435
2.49421E+07 2.01018
2.50000E+07 2.01076
2.60000E+07 2.01951
2.70000E+07 2.02534
2.71857E+07 2.02613
2.73308E+07 2.02670
2.76821E+07 2.02795
2.80000E+07 2.02895
2.90000E+07 2.03112
3.00000E+07 2.03210
3.00110E+07 2.03211
3.08317E+07 2.03217
3.10000E+07 2.03209
3.12129E+07 2.03194
3.20000E+07 2.03099
3.27856E+07 2.02947
3.30000E+07 2.02896
3.32251E+07 2.02839
3.40000E+07 2.02614
3.50000E+07 2.02266
3.52034E+07 2.02185
3.52516E+07 2.02164
3.53574E+07 2.02117
3.53816E+07 2.02106
3.60000E+07 2.01785
3.70000E+07 2.01123
3.71705E+07 2.00994
3.78842E+07 2.00415
3.80000E+07 2.00315
3.90000E+07 1.99393
3.98856E+07 1.98503
4.00000E+07 1.98384
4.10000E+07 1.97294
4.18794E+07 1.96270
4.19848E+07 1.96144
4.20000E+07 1.96125
4.26805E+07 1.95293
4.28456E+07 1.95088
4.29516E+07 1.94955
4.30000E+07 1.94894
4.32272E+07 1.94607
4.36003E+07 1.94131
4.40000E+07 1.93615
4.46396E+07 1.92777
4.46523E+07 1.92760
4.48654E+07 1.92478
4.50000E+07 1.92299
4.54770E+07 1.91660
4.60000E+07 1.90950
4.65436E+07 1.90201
4.67071E+07 1.89974
4.70000E+07 1.89563
4.80000E+07 1.88137
4.90000E+07 1.86671
4.97553E+07 1.85537
5.00000E+07 1.85165
5.10000E+07 1.83618
5.14326E+07 1.82934
