31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
1.750000e+02 5.81288124e+00
1.777460e+02 5.81839568e+00
2.000000e+02 5.88339677e+00
2.104480e+02 6.12089608e+00
2.208950e+02 6.62920650e+00
2.313430e+02 7.67392043e+00
2.334040e+02 8.02703793e+00
2.365660e+02 8.56818123e+00
2.417900e+02 9.89263696e+00
2.470140e+02 1.19107348e+01
2.501050e+02 1.38024138e+01
2.522380e+02 1.51065962e+01
2.574610e+02 2.04495793e+01
2.626850e+02 3.00923565e+01
2.652970e+02 3.79806221e+01
2.668070e+02 4.46692388e+01
2.679090e+02 4.95492279e+01
2.705210e+02 6.73215132e+01
2.731330e+02 9.63134234e+01
2.757440e+02 1.47535556e+02
2.783560e+02 2.48402877e+02
2.796620e+02 3.37962212e+02
2.809680e+02 4.78293293e+02
2.822740e+02 7.07037811e+02
2.835090e+02 1.06394524e+03
2.835800e+02 1.08446367e+03
2.851400e+02 1.77245238e+03
2.867000e+02 2.25751049e+03
2.882600e+02 1.84041900e+03
2.898200e+02 1.17645586e+03
2.911320e+02 7.96011174e+02
2.918600e+02 6.64581975e+02
2.924440e+02 5.59148396e+02
2.937550e+02 4.10221853e+02
2.950670e+02 3.12945865e+02
2.976900e+02 1.99863336e+02
3.002110e+02 1.42221729e+02
3.003140e+02 1.39866388e+02
3.029370e+02 1.04400722e+02
3.043860e+02 9.18669569e+01
3.055610e+02 8.16998873e+01
3.085610e+02 6.65844062e+01
3.108080e+02 5.52535500e+01
3.127370e+02 4.99715913e+01
3.160540e+02 4.08684430e+01
3.169120e+02 3.94321792e+01
3.190000e+02 3.59235270e+01
3.210880e+02 3.24039412e+01
3.213010e+02 3.20438317e+01
3.231760e+02 2.99386390e+01
3.252630e+02 2.75941557e+01
3.263070e+02 2.64325183e+01
3.265480e+02 2.61705511e+01
3.273510e+02 2.55659640e+01
3.283950e+02 2.48478355e+01
3.294390e+02 2.43082579e+01
3.299610e+02 2.41937611e+01
3.304830e+02 2.42989229e+01
3.310040e+02 2.48349451e+01
3.315260e+02 2.63006576e+01
3.317870e+02 2.77446335e+01
3.317950e+02 2.78168295e+01
3.320480e+02 3.01749325e+01
3.323090e+02 3.42472862e+01
3.325700e+02 4.15399260e+01
3.327010e+02 4.74429865e+01
3.328310e+02 5.60000241e+01
3.329620e+02 6.89301906e+01
3.330920e+02 8.95137571e+01
3.332230e+02 1.24662545e+02
3.333530e+02 1.90270310e+02
3.334180e+02 2.45443083e+02
3.334840e+02 3.27219810e+02
3.335490e+02 4.51603339e+02
3.336140e+02 6.41116892e+02
3.337070e+02 1.04154465e+03
3.338000e+02 1.33252175e+03
3.338930e+02 1.09849754e+03
3.339860e+02 7.12291899e+02
3.340540e+02 5.13624837e+02
3.341210e+02 3.81450294e+02
3.341890e+02 2.93294795e+02
3.342570e+02 2.33174869e+02
3.343920e+02 1.59983200e+02
3.345270e+02 1.19433782e+02
3.346620e+02 9.47522749e+01
3.347980e+02 7.86477298e+01
3.350680e+02 5.95235474e+01
3.353390e+02 4.89515628e+01
3.356090e+02 4.24299843e+01
3.358800e+02 3.80784563e+01
3.361500e+02 3.49995635e+01
3.366910e+02 3.09638022e+01
3.372320e+02 2.84419810e+01
3.377730e+02 2.67046895e+01
3.383140e+02 2.54185085e+01
3.393960e+02 2.35893218e+01
3.404780e+02 2.22871620e+01
3.415600e+02 2.12583134e+01
3.422890e+02 2.06715122e+01
3.426420e+02 2.04665484e+01
3.448060e+02 1.94731855e+01
3.469700e+02 1.86691268e+01
3.475360e+02 1.84849929e+01
3.491340e+02 1.82625145e+01
3.512980e+02 1.80201418e+01
3.527830e+02 1.78881491e+01
3.556260e+02 1.86716915e+01
3.580290e+02 1.93748237e+01
3.599540e+02 2.11173593e+01
3.606530e+02 2.17565271e+01
3.632760e+02 2.66006461e+01
3.642820e+02 3.05457575e+01
3.659000e+02 3.68997710e+01
3.672120e+02 4.63979529e+01
3.685230e+02 6.17560483e+01
3.686100e+02 6.35114582e+01
3.698350e+02 8.82342210e+01
3.711470e+02 1.37892051e+02
3.718030e+02 1.79607848e+02
3.724580e+02 2.41364602e+02
3.731140e+02 3.34905692e+02
3.737700e+02 4.76658657e+02
3.747350e+02 7.87571877e+02
3.757000e+02 1.02077149e+03
3.766650e+02 8.49741483e+02
3.772660e+02 6.66538835e+02
3.776300e+02 5.55582086e+02
3.785860e+02 3.60656609e+02
3.795420e+02 2.47793763e+02
3.804980e+02 1.80862166e+02
3.814540e+02 1.38901766e+02
3.824100e+02 1.11115790e+02
3.833660e+02 9.18307998e+01
3.852780e+02 6.75094439e+01
3.859220e+02 6.27119672e+01
3.871900e+02 5.32688749e+01
3.891020e+02 4.41546894e+01
3.929260e+02 3.34375430e+01
3.967500e+02 2.74839802e+01
4.005740e+02 2.37480136e+01
4.032350e+02 2.22164095e+01
4.082230e+02 1.93497462e+01
4.158710e+02 1.68362848e+01
4.205470e+02 1.58296921e+01
4.235190e+02 1.51884362e+01
4.292030e+02 1.44148338e+01
4.378590e+02 1.32266569e+01
4.388150e+02 1.30930889e+01
4.465150e+02 1.24076865e+01
4.508430e+02 1.20074130e+01
4.541110e+02 1.16918069e+01
4.551710e+02 1.16156293e+01
4.573350e+02 1.14502634e+01
4.594990e+02 1.12758934e+01
4.616630e+02 1.10905716e+01
4.638270e+02 1.08945266e+01
4.649090e+02 1.07954973e+01
4.659910e+02 1.07024367e+01
4.670730e+02 1.06311713e+01
4.681550e+02 1.06271607e+01
4.686960e+02 1.06879803e+01
4.692370e+02 1.08412940e+01
4.694080e+02 1.09483618e+01
4.697780e+02 1.11868741e+01
4.703190e+02 1.19436728e+01
4.708600e+02 1.37338664e+01
4.711310e+02 1.55584499e+01
4.714010e+02 1.88059447e+01
4.716720e+02 2.51798022e+01
4.718070e+02 3.08161192e+01
4.719420e+02 3.96717006e+01
4.720770e+02 5.44925801e+01
4.722130e+02 8.12634964e+01
4.722800e+02 1.03057528e+02
4.723480e+02 1.34361210e+02
4.724150e+02 1.80160574e+02
4.724830e+02 2.47010324e+02
4.725920e+02 4.04023654e+02
4.727000e+02 5.21429453e+02
4.728090e+02 4.34185509e+02
4.729170e+02 2.84699165e+02
4.730230e+02 1.87024784e+02
4.731290e+02 1.30120458e+02
4.732340e+02 9.62375304e+01
4.733400e+02 7.49526038e+01
4.734460e+02 6.08508236e+01
4.735520e+02 5.10669618e+01
4.737630e+02 3.87541882e+01
4.739750e+02 3.15783898e+01
4.741870e+02 2.70140436e+01
4.746100e+02 2.17093968e+01
4.750330e+02 1.88192884e+01
4.754560e+02 1.70466479e+01
4.758790e+02 1.58663115e+01
4.763020e+02 1.50318967e+01
4.771490e+02 1.39394079e+01
4.779950e+02 1.32602566e+01
4.788420e+02 1.27971526e+01
4.796880e+02 1.24597152e+01
4.813810e+02 1.19946307e+01
4.830730e+02 1.16809989e+01
4.847660e+02 1.14475105e+01
4.864590e+02 1.12612428e+01
4.898440e+02 1.09689625e+01
4.932290e+02 1.07356722e+01
5.000000e+02 1.03519698e+01
5.079680e+02 1.00592655e+01
5.159360e+02 9.79769124e+00
5.199200e+02 9.67386460e+00
5.239040e+02 9.55489468e+00
5.255580e+02 9.50862485e+00
5.258960e+02 9.50112644e+00
5.268920e+02 9.48149794e+00
5.278880e+02 9.46574642e+00
5.288840e+02 9.45938977e+00
5.293820e+02 9.46471372e+00
5.298800e+02 9.48362208e+00
5.303780e+02 9.53501281e+00
5.306270e+02 9.58919636e+00
5.308760e+02 9.68701230e+00
