27-Co_n-g
>  27-Co-59:1.000000
2.277740e+03 3.32457000e+00
2.277880e+03 2.23259000e+00
2.278020e+03 1.59512000e+00
2.278170e+03 1.19111000e+00
2.278310e+03 9.24238000e-01
2.278590e+03 6.02978000e-01
2.278880e+03 4.26063000e-01
2.279160e+03 3.18744000e-01
2.279730e+03 2.00968000e-01
2.280300e+03 1.41298000e-01
2.280870e+03 1.07002000e-01
2.282010e+03 7.11562000e-02
2.284290e+03 4.40891000e-02
2.286570e+03 3.41985000e-02
2.291130e+03 2.69372000e-02
2.295690e+03 2.43451000e-02
2.313940e+03 2.18274000e-02
2.350420e+03 2.12577000e-02
2.423380e+03 2.13062000e-02
2.569310e+03 2.19323000e-02
2.715250e+03 2.31512000e-02
2.788210e+03 2.49429000e-02
2.824690e+03 3.00163000e-02
2.833810e+03 3.49704000e-02
2.838370e+03 3.98720000e-02
2.842930e+03 4.87806000e-02
2.847500e+03 6.77114000e-02
2.849780e+03 8.64296000e-02
2.852060e+03 1.20258000e-01
2.854340e+03 1.91230000e-01
2.855480e+03 2.60361000e-01
2.856620e+03 3.83088000e-01
2.857190e+03 4.83700000e-01
2.857760e+03 6.33220000e-01
2.858330e+03 8.69210000e-01
2.858900e+03 1.27340000e+00
2.859470e+03 2.05170000e+00
2.859750e+03 2.74229000e+00
2.860040e+03 3.84865000e+00
2.860320e+03 5.77382000e+00
2.860610e+03 9.52560000e+00
2.860750e+03 1.28615000e+01
2.860890e+03 1.80615000e+01
2.861030e+03 2.66495000e+01
2.861180e+03 4.08400000e+01
2.861340e+03 6.54518000e+01
2.861500e+03 8.17415000e+01
2.861660e+03 6.52902000e+01
2.861830e+03 4.08413000e+01
2.861960e+03 2.69616000e+01
2.862100e+03 1.85331000e+01
2.862240e+03 1.32760000e+01
2.862380e+03 9.91429000e+00
2.862650e+03 6.05749000e+00
2.862930e+03 4.05754000e+00
2.863200e+03 2.90050000e+00
2.863480e+03 2.17496000e+00
2.864030e+03 1.35371000e+00
2.864580e+03 9.25482000e-01
2.865130e+03 6.74789000e-01
2.865680e+03 5.15660000e-01
2.866230e+03 4.08435000e-01
2.867330e+03 2.77458000e-01
2.868430e+03 2.03579000e-01
2.870620e+03 1.27668000e-01
2.872820e+03 9.14376000e-02
2.875020e+03 7.13915000e-02
2.879420e+03 5.11497000e-02
2.883820e+03 4.16580000e-02
2.888220e+03 3.64748000e-02
2.897020e+03 3.13251000e-02
2.932210e+03 2.66128000e-02
3.002600e+03 2.62336000e-02
3.143380e+03 2.81987000e-02
3.284160e+03 3.12123000e-02
3.424940e+03 3.53754000e-02
3.565710e+03 4.12297000e-02
3.706490e+03 4.98692000e-02
3.847270e+03 6.38316000e-02
3.917660e+03 7.48974000e-02
3.952850e+03 8.31319000e-02
3.970450e+03 9.18862000e-02
3.979250e+03 1.12289000e-01
3.981450e+03 1.31325000e-01
3.983650e+03 1.83215000e-01
3.984750e+03 2.52905000e-01
3.985300e+03 3.20701000e-01
3.985850e+03 4.41048000e-01
3.986400e+03 6.86500000e-01
3.986670e+03 9.18341000e-01
3.986950e+03 1.31600000e+00
3.987220e+03 2.08355000e+00
3.987360e+03 2.76943000e+00
3.987500e+03 3.86321000e+00
3.987640e+03 5.78881000e+00
3.987770e+03 9.53691000e+00
3.987840e+03 1.28999000e+01
3.987910e+03 1.81258000e+01
3.987980e+03 2.68774000e+01
3.988050e+03 4.13328000e+01
3.988120e+03 6.61213000e+01
3.988200e+03 8.26645000e+01
3.988280e+03 6.61211000e+01
3.988350e+03 4.13333000e+01
3.988420e+03 2.67159000e+01
3.988490e+03 1.80303000e+01
3.988560e+03 1.27811000e+01
3.988630e+03 9.46025000e+00
3.988770e+03 5.73390000e+00
3.988910e+03 3.83366000e+00
3.989040e+03 2.74591000e+00
3.989180e+03 2.06874000e+00
3.989460e+03 1.30748000e+00
3.989730e+03 9.13095000e-01
3.990010e+03 6.83193000e-01
3.990560e+03 4.40195000e-01
3.991110e+03 3.20904000e-01
3.991670e+03 2.53839000e-01
3.992770e+03 1.85241000e-01
3.994980e+03 1.34871000e-01
3.997180e+03 1.17180000e-01
4.006010e+03 1.01805000e-01
4.023660e+03 1.03138000e-01
4.058970e+03 1.16718000e-01
4.129580e+03 1.66494000e-01
4.164880e+03 2.13187000e-01
4.200190e+03 2.93839000e-01
4.235500e+03 4.49826000e-01
4.253150e+03 5.84136000e-01
4.270800e+03 7.81107000e-01
4.296950e+03 1.20020000e+00
4.323100e+03 1.49497000e+00
4.349250e+03 1.23300000e+00
4.375400e+03 8.17403000e-01
4.394180e+03 6.11569000e-01
4.412960e+03 4.77806000e-01
4.450530e+03 3.35812000e-01
4.488090e+03 2.74763000e-01
4.525650e+03 2.49450000e-01
4.600780e+03 2.46370000e-01
4.675900e+03 2.74778000e-01
4.837950e+03 3.88597000e-01
5.000000e+03 4.67797000e-01
5.016000e+03 4.66768000e-01
5.058510e+03 4.54655000e-01
5.101030e+03 4.30593000e-01
5.186050e+03 3.61074000e-01
5.356100e+03 2.23057000e-01
5.485180e+03 1.53425000e-01
5.614250e+03 1.08920000e-01
5.743330e+03 8.02561000e-02
5.872400e+03 6.12302000e-02
6.130550e+03 3.91185000e-02
6.259630e+03 3.36786000e-02
6.324170e+03 3.64149000e-02
6.340300e+03 4.13586000e-02
6.356430e+03 5.62830000e-02
6.364500e+03 7.70594000e-02
6.368540e+03 9.75234000e-02
